VESSEL_NAME,VESSEL_CATEGORY,VESSEL_TYPE,OWNER,DATA_SOURCE,DATA_SOURCE_URL,DIMENSION_CONFIDENCE,IMO_NUMBER,MMSI,FLAG_STATE,LOA_M,BEAM_M,GROSS_TONNAGE,DEADWEIGHT_TONNES,YEAR_BUILT
Q4000,intervention_vessel,heavy_intervention_semi,Helix Energy Solutions,myshiptracking,https://www.myshiptracking.com/vessels/q4000-mmsi-369550000-imo-8767123,registry,8767123,369550000,USA,95.0,61.0,14802.0,11099.0,2002.0
Q5000,intervention_vessel,heavy_intervention_semi,Helix Energy Solutions,myshiptracking,https://www.myshiptracking.com/vessels/q5000-mmsi-311000240-imo-8772104,registry,8772104,311000240,Bahamas,98.0,70.0,,,
Q7000,intervention_vessel,heavy_intervention_semi,Helix Energy Solutions,myshiptracking,https://www.myshiptracking.com/vessels/q7000-mmsi-311000594-imo-9710359,registry,9710359,311000594,Bahamas,96.0,62.0,,,
Seawell,intervention_vessel,rlwi_monohull,Helix Energy Solutions,myshiptracking,https://www.myshiptracking.com/vessels/seawell-mmsi-232159000-imo-8324567,registry,8324567,232159000,United Kingdom,111.0,22.0,9158.0,4615.0,1987.0
Well Enhancer,intervention_vessel,rlwi_monohull,Helix Energy Solutions,myshiptracking,https://www.myshiptracking.com/vessels/well-enhancer-mmsi-235062421-imo-9421996,registry,9421996,235062421,United Kingdom,132.0,22.0,9383.0,7950.0,2009.0
Siem Helix 1,intervention_vessel,rlwi_monohull,"Helix Energy Solutions (chartered, Siem Offshore-owned)",myshiptracking,https://www.myshiptracking.com/vessels/siem-helix-1-mmsi-311000363-imo-9733454,registry,9733454,311000363,Bahamas,154.0,31.0,,,
Siem Helix 2,intervention_vessel,rlwi_monohull,"Helix Energy Solutions (chartered, Siem Offshore-owned)",myshiptracking,https://www.myshiptracking.com/vessels/siem-helix-2-mmsi-311000364-imo-9733466,registry,9733466,311000364,Bahamas,154.0,31.0,,,
Island Constructor,intervention_vessel,rlwi_monohull,Island Offshore / TIOS (Island Offshore + TechnipFMC JV),myshiptracking,https://www.myshiptracking.com/vessels/island-constructor-mmsi-259749000-imo-9390678,registry,9390678,259749000,Norway,121.0,26.0,11602.0,8700.0,2008.0
Island Wellserver,intervention_vessel,rlwi_monohull,Island Offshore / TIOS,myshiptracking,https://www.myshiptracking.com/vessels/island-wellserver-mmsi-257202000-imo-9372755,registry,9372755,257202000,Norway,116.0,26.0,12223.0,8200.0,2008.0
Island Frontier,intervention_vessel,rlwi_monohull,Island Offshore / TIOS,myshiptracking,https://www.myshiptracking.com/vessels/island-frontier-mmsi-258866000-imo-9249520,registry,9249520,258866000,Norway,106.0,21.0,6834.0,4600.0,2003.0
Vanguard,intervention_vessel,osv,Island Offshore,myshiptracking,https://www.myshiptracking.com/vessels/vanguard-mmsi-259121000-imo-9356189,registry,9356189,259121000,Norway,86.0,22.0,5733.0,4229.0,2007.0
Island Venture,intervention_vessel,mpsv,C-Innovation / Edison Chouest Offshore (Island Ventures 5 LLC JV w/ Island Offshore),myshiptracking,https://www.myshiptracking.com/vessels/island-venture-mmsi-577358000-imo-9721786,registry,9721786,577358000,Vanuatu,160.0,30.0,,,
Island Performer,intervention_vessel,mpsv,C-Innovation / Edison Chouest Offshore,myshiptracking,https://www.myshiptracking.com/vessels/island-performer-mmsi-577305000-imo-9682045,registry,9682045,577305000,Vanuatu,130.0,25.0,11800.0,8600.0,2014.0
Island Intervention,intervention_vessel,mpsv,C-Innovation / Edison Chouest Offshore,myshiptracking,https://www.myshiptracking.com/vessels/island-intervention-mmsi-710008574-imo-9460095,registry,9460095,710008574,Brazil,120.0,24.0,11572.0,8588.0,2011.0
Ocean Evolution,intervention_vessel,mpsv,Oceaneering International,myshiptracking,https://www.myshiptracking.com/vessels/ocean-evolution-mmsi-338293000-imo-9733167,registry,9733167,338293000,USA,108.0,22.0,,,
