API_WELL_NUMBER,WELL_NAME,WATER_DEPTH,SURF_LATITUDE,WELL_NAME_SUFFIX,COMPANY_NAME,BOTM_FLD_NAME_CD,WELL_SPUD_DATE,TOTAL_DEPTH_DATE,BH_TOTAL_MD,WELL_BORE_TVD,WELL_BP_ST_KICKOFF_MD,BOREHOLE_STAT_DT,BOREHOLE_STAT_CD,CASING_CUT_CODE,UNDWTR_COMP_STUB,SURF_LONGITUDE,BOTM_LATITUDE,BOTM_LONGITUDE
177114156300.0,002,60.0,28.64980917,ST00BP00,GOM Shelf LLC,ST295,5/31/1988,8/18/1988,13517.0,,,,,,,,,
608074031400.0,002,4878.0,27.0412575,ST00BP00,"Magnum Hunter Production, Inc.",ST265,6/3/1988,7/13/1988,13000.0,5337,2950,9/8/2002,ST,,N,-93.11459777,29.08343929,-93.11959577
608174128900.0,006,2047.0,28.402795,ST00BP00,Odeco Oil & Gas Company,ST314,6/16/1988,7/5/1988,10080.0,5635,3870,10/3/2009,PA,E,N,-93.11459777,29.08203529,-93.12044517
177104167601.0,K018,269.0,28.19607611,ST00BP00,"SOCO Offshore, Inc.",WILD,6/17/1988,7/7/1988,9600.0,9898,,3/30/1990,ST,N,N,-93.26142733,29.11564619,-93.26175153
608084004700.0,002,6827.0,26.21497167,ST00BP00,GOM Shelf LLC,ST295,7/11/1988,9/21/1988,14861.0,9897,4550,7/21/1995,PA,Y,N,-93.26142733,29.11568999,-93.25660743
608114061500.0,MD018,4428.0,27.18830972,ST00BP00,GOM Shelf LLC,ST295,9/29/1988,10/29/1988,16218.0,6519,,3/26/1990,PA,Y,N,-93.16250234,29.08209703,-93.17223944
177104167800.0,K017,269.0,28.19612,ST00BP00,Hess Corporation,ST235,10/26/1988,11/2/1988,4053.0,5809,,4/5/2004,ST,N,N,-93.33534383,29.19136138,-93.33503073
177144001205.0,076,43.0,29.05868284,ST00BP00,GOM Shelf LLC,ST295,11/4/1988,11/30/1988,16263.0,4309,1499,11/6/2010,PA,M,N,-93.33534383,29.18080528,-93.34448463
608174128900.0,006,2047.0,28.402795,ST00BP01,GOM Shelf LLC,ST295,1/6/1989,1/22/1989,15243.0,4406,,6/26/2000,PA,Y,N,-93.04079395,28.68901902,-93.03931275
608174112305.0,PI001,3853.0,28.15824905,ST01BP00,GOM Shelf LLC,ST295,5/13/2000,5/19/2000,11095.0,6992,,4/11/1990,PA,Y,N,-93.40712899,29.1861856,-93.41149609
608114007502.0,A005,760.0,27.94365999,ST02BP00,GOM Shelf LLC,ST295,9/10/2000,9/24/2000,11965.0,8505,,5/1/1990,PA,Y,N,-93.29744754,29.55897591,-93.29613494
177144001503.0,078,43.0,29.05868749,ST00BP00,GOM Shelf LLC,ST295,12/12/1988,1/1/1989,15527.0,8245,,7/4/1998,PA,Y,N,-93.17524341,29.0199224,-93.18931331
177114156100.0,C008,53.0,28.73911611,ST00BP01,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,ST260,2/15/1989,3/24/1989,10112.0,5671,,6/26/2000,PA,Y,N,-93.04079405,28.71163948,-93.02955285
177094121802.0,A005,88.0,28.73240282,ST00BP00,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,ST260,1/30/1989,2/15/1989,3212.0,14613,,2/6/1991,PA,Y,N,-93.19343392,29.59403153,-93.19432972
608124009400.0,JU101,7138.0,26.384256,ST00BP00,"SOCO Offshore, Inc.",ST225,5/29/1989,7/3/1989,10460.0,,,9/11/1990,CNL,N,N,-93.12596186,,
177190084601.0,C004,172.0,28.9419172,ST00BP00,"Dominion Exploration & Production, Inc.",WILD,10/30/1989,11/20/1989,8790.0,6506,4726,6/26/2000,PA,Y,N,-93.0407973,28.70076413,-93.056087
608114063200.0,006,1940.0,27.74660333,ST00BP00,Gulfstar Operating Company,WILD,11/17/1989,11/26/1989,6750.0,5780,,6/12/1990,ST,N,N,-93.0407973,28.70047513,-93.0542897
177114020302.0,B017,117.0,28.49239865,ST00BP00,Anadarko E&P Company LP,ST265,10/29/1989,11/25/1989,13381.0,8338,,9/29/2003,PA,M,N,-93.17378552,29.26009423,-93.15772162
608114066900.0,005,5336.0,27.11543806,ST00BP00,"Norcen Explorer, Inc.",ST287,11/27/1989,12/7/1989,2290.0,10098,,12/10/2003,PA,E,N,-93.19469344,29.1327143,-93.20623484
177064098401.0,A004,223.0,28.22875533,ST00BP01,"Norcen Explorer, Inc.",ST287,2/11/1990,2/13/1990,9161.0,10200,,3/3/2010,PA,O,N,-93.5757563,29.41484955,-93.5741971
608114066300.0,PC001,4239.0,27.3215125,ST00BP00,"Norcen Explorer, Inc.",ST287,12/21/1989,2/9/1990,8909.0,12906,,7/13/1995,PA,Y,N,-93.17632501,29.60511424,-93.17413311
608174134500.0,002,3230.0,28.12675278,ST00BP00,"Dominion Exploration & Production, Inc.",WILD,12/19/1989,12/22/1989,9403.0,13939,,10/26/1990,PA,Y,N,-93.48071276,29.40132756,-93.48509836
608174123200.0,006,4611.0,28.27127778,ST00BP00,"Dominion Exploration & Production, Inc.",ST267,4/2/1990,5/6/1990,11632.0,15598,,10/28/2013,PA,M,N,-93.31548653,29.307534,-93.31525283
608174135000.0,001,7289.0,28.41858444,ST00BP00,Samedan Oil Corporation,ST219,5/4/1990,6/3/1990,12550.0,9991,,6/19/2014,PA,E,N,-93.19470586,29.12337313,-93.20805306
