API Well Number,Permit Type,APD Received Date,APD Approved Date,Company Number,Company Name,Bottom Area Code,Bottom Block Number,Bottom Lease Number,Surface Area Code,Surface Block Number,Surface Lease Number,Surface NS Dist,Surface NS Code,Surface EW Dist,Surface EW Code,Well Type,Well Name,Well Name Suffix,Water Depth (feet),Rig ID Number,Rig Name,Surf X Coord Loc,Surf Y Coord Loc,Surface Latitude,Surface Longitude
608164025600,New Well,2/22/1996,3/20/1996,00689,Shell Offshore Inc.,VK,956,G06896,VK,956,G06896,1414,N,7209,E,Exploratory,A020,ST00BP00,3214,,,1291671,10548026,29.06086446,-88.09193857
608164025400,New Well,2/22/1996,3/20/1996,00689,Shell Offshore Inc.,VK,956,G06896,VK,956,G06896,1402,N,7198,E,Exploratory,A015,ST00BP00,3214,,,1291682,10548038,29.06089775,-88.09190448
608164025800,New Well,2/22/1996,3/20/1996,00689,Shell Offshore Inc.,VK,956,G06893,VK,956,G06896,1429,N,7161,E,Exploratory,A011,ST00BP00,3214,,,1291718.926849,10548010.663132,29.06082349,-88.09178809
608164024500,New Well,2/22/1996,3/20/1996,00689,Shell Offshore Inc.,VK,956,G06896,VK,956,G06896,1426,N,7129,E,Exploratory,A007,ST00BP00,3214,,,1291751,10548014,29.06083349,-88.09168777
608174059000,New Well,1/2/1998,1/21/1998,00689,Shell Offshore Inc.,MC,809,G05868,MC,809,G05868,5908,S,3470,E,Development,A002,ST00BP00,3800,44736,H&P 204,962770,10222708,28.15407782,-89.10340562
608164032700,New Well,1/22/1998,3/16/1998,02237,"Noble Affliates, Inc.",VK,826,G06888,VK,826,G06888,3927,S,5346,E,Development,A011,ST00BP00,1932,,,1325214,10585047,29.1635138,-87.98789984
177054107800,,4/3/1998,4/9/1998,02148,"Westport Oil and Gas Company, L.P.",VR,220,G17910,VR,220,G17910,8756,S,92,W,,  001,,112,,,1603200.0280,16419.8090,28.70592503,-92.57086299
177094120301,,4/3/1998,,01777,Devon Louisiana Corporation,EI,119, 00049,EI,119, 00049,6533,N,1045,E,,  035,ST00BP00,40,,,1953888.52,118373.78,28.99209409,-91.47755036
177244067506,,4/3/1998,,02313,Freeport-McMoRan Energy LLC,MP,299,G09372,MP,299,G09372,6772,N,3907,E,,SW227,ST06BP00,210,,,2821083,227058,29.26567776,-88.758128
177024118904,,4/4/1998,,01586,Petsec Energy Inc.,WC,480,G13845,WC,480,G13845,8358,N,263,W,,  002,ST00BP00,140,,,1406472.76,-42551.1520,28.53650426,-93.18135624
177024119901,,4/4/1998,,01777,Devon Louisiana Corporation,WC,528,G16202,WC,528,G16202,2001,N,6182,E,, A003,ST00BP00,167,,,1400027.76,-95226.3440,28.39140209,-93.1987503
177104149201,,4/6/1998,,00078,Chevron U.S.A. Inc.,EI,339,G02318,EI,339,G02318,5791,S,7477,W,, C019,ST00BP00,268,,,1902321.88,-173772.40,28.18851913,-91.63641156
177244081900,,4/6/1998,4/16/1998,00748,"SOCO Offshore, Inc.",VK,1002,G13035,VK,1002,G13035,1350,N,7800,E,, A005,,281,,,3025800,261980,29.34744844,-88.11329037
177250102001,,4/6/1998,4/17/1998,00078,Chevron U.S.A. Inc.,BS,55,G01372,MP,42, 00375,432,N,4086,E,, E006,,40,,,2734514,277648,29.40984014,-89.02636732
608044005600,,4/6/1998,8/16/1983,00003,Union Oil Company of California,EB,158,G02645,EB,159,G02646,4337,N,6203,W,, A012,,924,,,1115003,10101583,27.82736172,-94.62604732
177004099500,,4/7/1998,4/16/1998,01855,"Vastar Resources, Inc.",WC,65,G02825,WC,65,G02826,3465,N,4493,W,, B019,,36,,,1425460.8080,360809.1440,29.64639822,-93.14206684
177024120600,,4/7/1998,5/6/1998,00491,"EP Energy Management, L.L.C.",WC,514,G13848,WC,514,G02006,4718,S,1993,W,, B005,,153,,,1393444.7120,-73749.2960,28.45014964,-93.22031398
177064080902,,4/7/1998,,01956,Seagull Energy E&P Inc.,VR,299,G13890,VR,299,G13890,5272,S,1116,E,,  002,ST00BP00,194,,,1631508.1240,-105128.5750,28.37253955,-92.47879327
177154094103,,4/7/1998,4/2/1998,00078,Chevron U.S.A. Inc.,ST,37,G02625,ST,37,G02625,2210,N,4367,W,, I003,,53,,,2309463.100748,102603.922783,28.94521605,-90.36590372
177194066000,,4/7/1998,,01138,El Paso Production GOM Inc.,WD,39,G16469,WD,39,G16469,4579,N,3030,E,, A001,ST00BP00,82,,,2483592,160939.40,29.10044015,-89.81919208
608044005601,,4/7/1998,,00003,Union Oil Company of California,EB,158,G02645,EB,159,G02646,4337,N,6203,W,, A012,ST00BP00,924,,,1115003,10101583,27.82736177,-94.62604731
177024055501,,4/8/1998,5/24/1998,00276,Exxon Mobil Corporation,WC,630,G02560,WC,630,G02560,5039,S,4977,W,, A005,,337,,,1366912.6160,-235766.8240,28.00354727,-93.29421457
177114003801,,4/8/1998,,00148,Anadarko E&P Company LP,SS,216,G01524,SS,216,G01524,4502,N,8121,E,, C009,ST00BP00,102,,,2116679,-58410.0020,28.50555017,-90.97016458
427064040802,,4/8/1998,,01046,The Houston Exploration Company,GA,144,G17119,GA,144,G17119,1617,S,1659,E,, A001,ST00BP00,52,,,3426616.81,548097,29.26570662,-94.52426844
427094104801,,4/8/1998,4/9/1998,00185,Samedan Oil Corporation,HI,A 550,G04081,HI,A 550,G04081,6945,N,9345,W,, A006,,272,,,3580180.81,96015,28.00637913,-94.10239403
608114022700,,4/8/1998,4/10/1998,02139,Shell Deepwater Development Inc.,GC,326,G09928,GC,326,G09928,2260,N,7581,E,,  001,,2564,,,2273379,10040300,27.65450499,-91.04426937
