SN_APD_CSNG_INTV_FK,CASING_SECTION_NUM,CASING_SIZE,CASING_WEIGHT,CASING_GRADE,CASING_BURST_PSI,CASING_COLLPSE_PSI,CASING_SECTION_MD,CASING_SECTION_TVD,CASING_PORE_PRSS_PPG
-455629,1,18.625,87.5,J-55,2250.0,630.0,1200,1200,8.4
-455810,1,10.875,72.0,C- 110,11940.0,9250.0,12127,12126,9.6
-455810,3,9.875,62.8,C-110,12180.0,10290.0,24233,23233,11.9
-455810,4,9.875,62.8,SD25CR-125,14240.0,11140.0,25333,24234,12.1
-455810,5,9.875,62.8,C-110,12180.0,10290.0,26175,25000,12.1
-455835,1,11.75,65.0,P-110,8750.0,4480.0,6454,6421,11.2
-455835,2,11.75,65.0,P-110,8750.0,4480.0,8000,7416,11.2
-455836,1,9.375,39.0,Q-125,9330.0,3960.0,13494,11700,11.6
-455837,1,7.625,39.0,P-110,12620.0,11080.0,19023,16281,12.1
-455838,1,7.625,33.7,P-110,10860.0,7850.0,3137,3137,12.1
-455838,2,7.625,39.0,P-110,12620.0,11080.0,7700,7295,12.1
-455838,3,7.625,39.0,P-110,12620.0,11080.0,13200,11456,12.1
-455838,4,7.625,39.0,P-110,12620.0,11080.0,19023,16281,12.1
-455847,1,22.0,225.0,X-80,6364.0,3873.0,2800,2800,8.6
-455848,1,18.0,117.0,P-110 HC,6680.0,2660.0,4300,4300,9.8
-455849,1,16.0,97.0,JFE Q-125,8740.0,3150.0,7390,7100,11.5
-455850,1,13.625,88.2,JFE-125T,10730.0,6280.0,11271,10400,14.6
-455851,1,11.875,71.8,JFE-125T,10720.0,7190.0,16327,14500,15.1
-455852,1,9.875,62.8,Q125 XHP PE,14960.0,13690.0,16127,14366,15.4
-455852,2,9.875,62.8,Q125 XHP PE,14960.0,13690.0,21204,17000,15.4
-455915,1,28.0,218.5,X-65,3050.0,950.0,8550,8550,8.7
-455916,1,22.0,328.7,X-80,10420.0,9500.0,6834,6834,8.5
-455916,2,22.0,224.5,X80,6850.0,3880.0,10580,10578,9.8
-455917,1,16.0,109.0,Q125-IC,9230.0,4150.0,13429,13293,11.3
-455918,1,14.0,115.0,VM 125HC,13050.0,11640.0,16039,15776,12.1
-455919,1,10.875,72.0,C- 110,11940.0,9250.0,10784,10779,9.9
-455919,2,9.875,62.8,C-110,12180.0,10290.0,15659,15407,8.0
-455919,3,9.875,62.8,C110,12180.0,10280.0,17500,17233,12.6
-455919,4,9.875,62.8,110CR13S,12180.0,10280.0,18000,17733,12.7
-455919,5,9.875,62.8,C110,12180.0,10280.0,19700,19433,13.4
-455972,1,20.0,94.0,J-55,2110.0,520.0,1930,1930,8.3
-455973,1,16.0,97.0,Q125,7570.0,2340.0,2720,2720,11.0
-455974,1,13.375,72.0,T-95,6391.0,2820.0,4900,4900,11.0
-455975,1,11.875,71.8,HCQ - 125,10720.0,7160.0,12600,12024,13.0
-455976,1,9.875,62.8,HCQ--125,13840.0,11660.0,13448,12800,13.0
-455977,1,7.75,46.1,Q125-IC,16790.0,17780.0,15524,14700,14.7
