SN_APD_QA,QA_RESPONSE_CD,QA_RESPONSE_TXT
-1119,Y,
-1062,Y,
-1063,Y,
-1064,,
-1065,,
-1066,Y,
-1067,,
-1259,N,Synthetic based dried cuttings will be discharged. Discharges according to the below EPA Permit (#290103).
-1260,,
-1261,,
-1262,Y,GMG 290103
-1263,,Rig will already be on the well from PA operations.
-1258,Y,
-878,Y,A MINIMUM OF 1100 SXS BARITE & 200 SXS GEL WILL BE ON LOCATION AT ALL TIMES.
-879,Y,
-880,,
-881,,
-882,Y,EPA COVERAGE TRANSFERRED FROM MARATHON 05/18/04
-883,,
-1054,Y,
-1055,Y,
-1056,,
-1057,,
-1277,N,
-1102,Y,1000 SXS BARITE & 200 SXS GEL
-1103,,NAF (Hydrocarbon Based) will be used and cuttings with associated mud will be discharged per the DEPI Individual Permit noted below. Zero discharge will only be implemented in the event the fluids fail the RPE/GCMS or ROC is outside the limitiations.
-1104,Y,
-1105,,
-1106,Y,"INDIVIDUAL PERMIT #AL0076040
GENERAL PERMIT # GMG280000
OUTFALL # GMG28A701"
-1107,,
-1122,,
-1123,,
-1124,Y,GMG290132
-1125,Y,
-1264,Y,
-1265,,
-1120,Y,
-1121,,
-932,Y,
-933,Y,
-934,Y,
-935,,
-936,Y,GMG290271
-937,,
-938,Y,
-939,,
-940,,
-941,,
-942,Y,GMG290073
-943,Y,
-962,Y,
-963,,
-964,,
-965,,
-966,Y,GMG290057
-967,,
-1246,Y,
-1247,Y,
-1248,,
-1215,,
-1216,Y,GMG 2900128
-1217,,
-1014,Y,
-1015,Y,
-1016,,
-1017,,
-1018,Y,29147
-1019,,
-1249,,
-1250,Y,GMG290073
-1251,Y,
-1279,,
-1280,Y,
-1281,,
-1288,Y,
-1278,Y,
-1715,,
-1716,Y,
-1717,,
-1718,,
-1719,,
-1720,Y,290128
-1688,Y,minimum of 1000 sxs barite and 200 sxs gel on location.
-1689,,
-1690,,
-1691,,
-1692,Y,"GMG290073
Outfall # 242A"
-1693,Y,
-1721,Y,
-1730,Y,
-1731,Y,
-1732,,
-1733,,
-1734,Y,EPA Region 6 NPDES General Permit GMG 290000 for Gulf of Mexico South Timbalier 23 Outfall No. 421A
-1735,Y,
-1833,Y,
-1834,,
-1058,Y,
-1059,,
-1132,Y,
-1133,,NAF (Hydrocarbon Based) will be used and cuttings with associated mud will be discharged per the DEPI Individual Permit noted below. Zero discharge will only be implemented in the event the fluids fail the RPE/GCMS or ROC is outside the limitations.
-1134,,
-1135,,
-1136,Y,"GENERAL PERMIT #GMG290014
OUTFALL # 255A/255S"
-1137,,
-1218,Y,481 sxs of Barite & 200 sxs gel
-1219,,
-1220,,
-1221,,
-1222,Y,GMG 290213
-1223,,
-1291,,
-1292,Y,"GMG290079, Outfall No. 058A"
-1293,Y,
-1294,Y,
-1295,Y,
-1296,,
-896,Y,
-897,Y,"Low Toxicity OBM will be used in the 7"" production hole section from approximately 12200' to 16200' MD."
-898,,
-899,,
-900,Y,GMG 290070
-901,Y,
-1168,Y,
-1169,,
-1170,,
-1171,,
-1172,Y,GMG 290344B & Y
-1173,Y,
-1174,Y,
-1175,Y,
-1176,,
-1177,,
-1178,Y,GMG 290103
-1179,,Rig will already be on the well from PA operations.
-1180,Y,
-1181,Y,Plan to bypass on Lease OCS-G8801 to commence production
-1182,,
-1183,,
-1184,Y,Permit number GMG 290070
-1185,,
-1208,,
-1209,,
-1210,Y,Permit number GMG 290070
-1211,,
-1212,Y,
-1213,,
-1214,Y,
-872,Y,
-873,Y,
-874,Y,
-875,,
-876,Y,NPDES general permit GMG290000
-877,Y,
-890,Y,
-891,Y,
-892,,
-893,,
-894,Y,290147
-895,Y,
-908,Y,277 SACKS OF BARITE & 200 SACKS GEL
-909,,
-910,,
-911,,
-912,Y,GMG290213
-913,,
-914,Y,
-915,,
