SN_EOR,BOTM_LONGITUDE,BOTM_LATITUDE,BH_TOTAL_MD,WELL_BORE_TVD,WELL_BP_ST_KICKOFF_MD
-76333,-94.40163885,27.95927424,7998,5939,
-133564,-94.40163885,27.95927424,7998,5939,
-72167,-90.63922561,28.83762782,18814,18510,
-46869,-90.63922561,28.83762782,18814,18510,
-167491,-90.63922561,28.83762782,18814,18510,
-64333,-88.73193192,29.09020922,9823,9204,
-117127,-91.6698777,28.6291614,11209,10355,
-122970,-91.6698777,28.6291614,11209,10355,
-81571,-95.56518732,28.25662849,11550,11545,
-92389,-95.56518732,28.25662849,11550,11545,
-169416,-95.56518732,28.25662849,11550,11545,
-165273,-95.56518732,28.25662849,11550,11545,
-164882,-95.56518732,28.25662849,11550,11545,
-23754,-92.78591292,28.55427761,12642,10575,
-58647,-92.78591292,28.55427761,12642,10575,
-136038,-92.79704253,29.49858548,12959,11525,
-132764,-92.79704253,29.49858548,12959,11525,
-111256,-92.72226274,28.38368469,11388,10916,
-100381,-92.72226274,28.38368469,11388,10916,
-111894,-92.72226274,28.38368469,11388,10916,
-138130,-94.93285267,28.84168587,14236,11502,
-147365,-94.93285267,28.84168587,14236,11502,
-196542,-88.75515609,29.27168904,3469,1862,1660.0
-53367,-93.56400633,29.2211111,10748,9604,
-8713,-90.47518998,28.60778844,10977,8740,
-78079,-90.47518998,28.60778844,10977,8740,
-167964,-93.50047106,28.34591304,6322,6140,
-168764,-93.50047106,28.34591304,6322,6140,
-97758,-89.22776132,28.77784568,9605,6941,
-172731,-89.22776132,28.77784568,9605,6941,
-196300,-89.22776132,28.77784568,9605,6941,2649.0
-113720,-90.05959573,28.93982519,8982,5640,
-142184,-92.073923,28.60322089,9130,8989,
-143807,-92.073923,28.60322089,9130,8989,
-113497,-91.89425791,29.12932158,4313,3966,
-172714,-90.81612418,28.37821134,13228,12216,
-197709,-90.77497815,28.94793034,10350,10349,
-199439,-90.77497815,28.94793034,10350,10349,
-124523,-94.06448707,28.07154852,2407,2407,
-163007,-90.21585367,28.10254088,13010,11880,
-169440,-90.21585367,28.10254088,13010,11880,
-167694,-90.21585367,28.10254088,13010,11880,
-146823,-88.74397097,29.27119979,9650,7762,
-176670,-92.85498818,28.08528323,12324,9394,
-27183,-88.12307263,29.33345046,9570,6701,
-118589,-92.57706454,28.31097641,11258,9292,
-124322,-92.57706454,28.31097641,11258,9292,
-106492,-91.25463787,28.73570698,10650,10408,
-154839,-91.25463787,28.73570698,10650,10408,
-201343,-88.73745418,29.08260857,7395,6654,4765.0
-62965,-92.15706961,29.32302239,5161,5150,
-101250,-92.15706961,29.32302239,5161,5150,
-91841,-92.53143709,29.46594534,10664,9565,
-200033,-91.97551875,28.81195819,14920,14850,
-202745,-91.97551875,28.81195819,14920,14850,
-111353,-92.63509148,28.42360636,5130,5039,
-115586,-93.03839005,27.96934755,7387,5113,
-13181,-91.66253855,28.20724376,6690,5450,
-17359,-91.66253855,28.20724376,6690,5450,
-105942,-91.66253855,28.20724376,6690,5450,
-116290,-91.66253855,28.20724376,6690,5450,
-199601,-90.7756973,28.91464573,11302,11093,4525.0
-27202,-88.10738087,29.32557284,11300,6800,
-201986,-88.99512739,29.06335401,16710,12656,16007.0
-107471,-92.06467691,28.92659401,4900,4900,
-118359,-92.06467691,28.92659401,4900,4900,
-127640,-92.06467691,28.92659401,4900,4900,
-60548,-92.71817403,28.37909662,10350,10204,
-111893,-92.71817403,28.37909662,10350,10204,
-142766,-92.52079535,28.44150341,12436,11153,
-48950,-89.1858793,28.78184527,14190,12835,
-157357,-89.1858793,28.78184527,14190,12835,
-125909,-88.21745038,28.40190027,17338,16486,
-95489,-91.98050093,28.80164844,13571,13224,
-387,-93.93703896,27.90222679,10737,9746,
-132863,-93.93703896,27.90222679,10737,9757,9678.0
-145288,-93.93703896,27.90222679,10737,9746,9678.0
-140033,-93.93703896,27.90222679,10737,9746,9678.0
-200636,-93.93703896,27.90222679,10737,9746,9678.0
-23297,-93.56593067,28.22534289,9230,5064,
-61179,-93.56593067,28.22534289,9230,5064,
-110444,-93.56593067,28.22534289,9230,5064,
-168818,-93.56593067,28.22534289,9230,5064,
-104154,-93.69427076,28.45719497,7808,5600,
-96197,-93.69427076,28.45719497,7808,5600,
-127889,-93.69427076,28.45719497,7808,5600,
-74762,-93.45981305,28.3571141,11267,9800,
-81025,-93.45981305,28.3571141,11267,9800,
-59208,-93.39641728,28.48995054,6645,6056,
-6558,-93.53140658,28.22286339,11840,8714,
-151073,-88.62409758,28.96180627,7956,6222,
-163806,-88.62409758,28.96180627,7956,6222,
-123655,-92.35718587,29.46994045,8290,8086,
-125892,-92.35718587,29.46994045,8290,8086,
-152032,-91.58779572,28.42415062,10630,8790,4608.0
-143469,-91.58779572,28.42415062,10630,8790,4608.0
-169475,-90.28859595,28.66570822,18180,17250,
-192935,-90.28859595,28.66570822,18180,17250,
-117504,-91.195942,28.70151096,6188,5555,
-130042,-92.97608904,29.40557045,10818,9963,
-170097,-92.97608904,29.40557045,10818,9963,
-155096,-90.50512849,28.89087895,8366,7029,
-46108,-93.10762196,29.65960248,8866,8428,
-53908,-93.10762196,29.65960248,8866,8428,
-160515,-90.46293718,28.47875742,11022,7645,
-162196,-90.46293718,28.47875742,11022,7645,
-115260,-89.07351262,28.1213024,27535,19245,
-112788,-89.07351262,28.1213024,27535,19245,
-179320,-89.07351262,28.1213024,27535,19245,
-176655,-89.07351262,28.1213024,27535,19245,
-177176,-89.07351262,28.1213024,27535,19245,
-159445,-89.09832592,28.12123332,5575,5575,
-180912,-89.09832592,28.12123332,23988,18703,
-199650,-89.09832592,28.12123332,23988,18703,
-15452,-88.54979073,29.21728276,6279,5900,
-32029,-88.54979073,29.21728276,6279,5900,
-22492,-93.06208752,28.12310854,12632,12500,
-78119,-93.06208752,28.12310854,12632,12500,
-104174,-93.71832163,28.44402976,7517,5613,
-96196,-93.71832163,28.44402976,7517,5613,
-127891,-93.71832163,28.44402976,7517,5613,
-29388,-93.23333971,28.46285308,10361,7236,
-164261,-93.23333971,28.46285308,10361,7236,
-147459,-93.20262495,28.45356637,8920,6132,
-164349,-93.20262495,28.45356637,8920,6133,
-2115,-93.20355979,28.45701516,8192,4042,
-147440,-93.22431418,28.43161873,9874,6679,
-164348,-93.22431418,28.43161873,9874,6679,
-75320,-88.76238786,29.26403123,3469,1591,
-174827,-88.76238786,29.26403123,3469,1591,
-197621,-88.76238786,29.26403123,3469,1611,3220.0
-198763,-88.76238786,29.26403123,3469,1611,3220.0
-144110,-91.52780688,28.21163871,7727,5610,
-166195,-91.52780688,28.21163871,7727,5610,
