Occurrence_Id;Local_Date_Main_Event;Date_Main_Event_Unconfirmed;Year_Reported;Occurrence_Severity;Main_Event_L1;Main_Event_L2;Main_Event_L3;Not_Vessel_Operations;Short_Description;Description;State_Reporting;National_Location_L1;National_Location_L2;Latitude;Longitude;Lat_Long_Unknown;Port_Of_Accident_L1;Port_Of_Accident_L2;Vessel_Profile_Id;Vessel_Severity;Flag_State;Vessel_Category_L1;Vessel_Category_L2;Ship_Craft_Type_L1;Ship_Craft_Type_L2;Ship_Craft_Type_L3;Ship_Craft_Type_L4;Ship_Craft_Type_L5;Is_Commercial_Vessel;Ship_Boat;Registered_Length_In_Metres;LOA_Length_Overall_in_Metres;GT_Gross_Tonnage;Hull_Material;Year_Built;Deaths_Crew;Deaths_Passenger;Deaths_Other;Deaths_Total;Injuries_Crew;Injuries_Passenger;Injuries_Other;Injuries_Total;Loss_Of_Vessel_Damage;Did_The_Vessel_Sink;Vessel_Abandoned;Damage_Description;Pollution_Result;Crew_Voyage;Voyage_Segment;Pilot_On_Board;Place_On_Board_L1;Place_On_Board_L2;Place_On_Board_L3;Place_On_Board_L4;Place_On_Board_L5;Port_Of_Departure_L1;Port_Of_Departure_L2;Publication_Date;Publication_No;Publication_Type;Published_Report_Website_Link;Vessel_Record_Modified_On
"ff3952b0-6fe3-ed11-8846-002248c87a40";"2023-04-01";"No";2023;"Marine Incident";"Damage / Loss Of Equipment";;;False;"A chemical/products tanker parted a mooring line whilst coming alongside.";"A chemical/products tanker was coming alongside when it parted its forward spring line. There were no injuries, pollution or other damages reported. The mooring line reportedly parted due to the angle of approach to the berth being too steep and putting too much weight onto the two forward spring lines. ";"UK";"United Kingdom";"England";53.633683;-0.189000;;"UNITED KINGDOM";"Immingham";"4e329ece-6fe3-ed11-8846-002248c87a40";"Marine Incident";"NORWAY";"Merchant Vessel >= 100gt";"500gt or more";"Cargo ship";"Liquid Cargo";"Chemical tanker";;;True;;94.00;100.00;3900.00;"Steel";"1990";0;0;0;0;0;0;0;0;"No damage";"No";"No";"None";"No Pollution";"10";"Arrival";"Yes";;;;;;"UNITED KINGDOM";"Immingham";;;;;"2024-08-09"
"d9096ad0-5d16-ee11-9cbe-002248c87217";"2023-06-01";"No";2023;"Less Serious";"Accident to person(s)";;;False;"A cruise ship passenger fell out of bed resulting in a fractured clavicle.";"A cruise ship passenger fell out of bed and landed on their left shoulder. The passenger was taken to the medical centre and was diagnosed with a fractured left clavicle.";"UK";"Norway";;61.168333;5.056667;"NA";;;"5f60ad39-5e16-ee11-9cbe-002248c87217";"Less Serious";"UNITED KINGDOM";"Merchant Vessel >= 100gt";"500gt or more";"Passenger ship";"Only passenger";"International";;;True;;0.00;330.00;140000.00;"Steel";"2015";0;0;0;0;0;1;0;1;"No damage";"No";"No";"NA";"No Pollution";"1352";"Mid-water";"Yes";"Accommodation";"Cabin space - passengers";;;;"NORWAY";;;;;;"2024-08-29"
"02d9d69b-2f22-ee11-9967-002248c8714f";"2023-07-01";"No";2023;"Less Serious";"Accident to person(s)";;;False;"Cruise ship's passenger tripped and sustained a fractured shoulder.";"Cruise ship's passenger tripped on the carpeted edge and landed on their shoulder resulting in a closed fracture. No defects found in the area. ";"UK";;;49.290000;-123.106667;;"CANADA";;"182703e1-2f22-ee11-9967-002248c8714f";"Less Serious";"UNITED KINGDOM";"Merchant Vessel >= 100gt";"500gt or more";"Passenger ship";"Only passenger";"International";;;True;;0.00;290.00;110000.00;"Steel";"2004";0;0;0;0;0;1;0;1;"No damage";"No";"No";;"No Pollution";"1070";"Departure";"Yes";"Accommodation";"Restaurant/Bar";;;;"CANADA";;;;;;"2024-08-09"
"f5131f0e-0127-ee11-9965-002248c87a51";"2023-07-01";"No";2023;"Less Serious";"Accident to person(s)";;;False;"A ro-pax crew member sustained a torn rotator cuff when moving a heavy drum.";"On board a ro-pax ferry, a crew member was working in a store room when they attempted to move a 20l drum from a shelf. The crew member had previously injured their shoulder but thought it had heeled. Despite using the correct manual lifting technique on the 20l drum, the crewmember pulled their shoulder. This resulted in a torn rotator cuff. ";"UK";"United Kingdom";"England";50.792800;-1.106900;;"UNITED KINGDOM";"Portsmouth";"ca835483-0127-ee11-9965-002248c87a51";"Less Serious";"UNITED KINGDOM";"Merchant Vessel >= 100gt";"500gt or more";"Passenger ship";"Passenger and Ro-Ro cargo";"Domestic - Class B";;;True;;0.00;89.00;8000.00;"Steel";"2018";0;0;0;0;1;0;0;1;"No damage";"No";"No";"None";"No Pollution";"13";"Anchored or alongside";"Under PEC direction";"Engine department";"Workshop / stores";;;;"UNITED KINGDOM";"Portsmouth";;;;;"2024-08-09"
"3f33abdb-bd6d-ee11-9ae7-002248c8714f";"2023-10-01";"No";2023;"Less Serious";"Accident to person(s)";;;False;"Container ship's crew member sustained an open fractured finger injury while working.";"Container ship's crew member was supervising cargo operations when they noticed that the right-hand twist lock for securing containers was not in proper position. The crew member informed that they were going to fix the twist lock and contacted the gantry driver to stop loading. While they were fixing the twist lock, the gantry operator resumed loading resulting in an open fracture injury. The crew member required a finger amputation. No further injuries reported. ";"UK";"United Kingdom";"England";53.418300;-3.006800;;"UNITED KINGDOM";"Liverpool";"2beabf55-be6d-ee11-9ae7-002248c8714f";"Less Serious";"CYPRUS";"Merchant Vessel >= 100gt";"500gt or more";"Cargo ship";"Solid Cargo";"Container Ship";;;True;;120.00;130.00;9900.00;"Steel";"2008";0;0;0;0;1;0;0;1;"No damage";"No";"No";;"No Pollution";;"Arrival";"n/a";"Ship";"Deck";;;;"UNITED KINGDOM";"Liverpool";;;;;"2024-08-29"
"9f50599a-596f-ee11-9ae7-002248c87217";"2023-10-01";"No";2023;"Marine Incident";"Loss Of Control";"Loss Of Propulsion Power";;False;"Port tender vessel suffered an engine failure resulting in no further damage.";"Port tender vessel reported port engine issues. No further damage reported. ";"UK";"United Kingdom";"Wales";51.709300;-5.038200;;"UNITED KINGDOM";"Milford Haven";"b71d5ec5-596f-ee11-9ae7-002248c87217";"Marine Incident";"UNITED KINGDOM";"Small Commercial (under 100gt, excl. FVs)";;"Passenger ship";"Only passenger";"Port or internal waters";;;True;;0.00;12.00;28.00;"Steel";"2008";0;0;0;0;0;0;0;0;"No damage";"No";"No";;"No Pollution";;"Mid-water";"n/a";;;;;;"UNITED KINGDOM";"Milford Haven";;;;;"2024-08-28"
"b7b5686e-d5a4-ee11-be37-002248c878ca";"2023-12-01";"No";2023;"Marine Incident";"Loss Of Control";"Loss Of Propulsion Power";;False;"port tender suffered an engine issue.";"Port tender had an engine issue and was not available for berthing. No further defects reported. ";"UK";"United Kingdom";"Wales";51.710200;-5.034700;;"UNITED KINGDOM";"Milford Haven";"9d8164bf-d5a4-ee11-be37-002248c878ca";"Marine Incident";"UNITED KINGDOM";"Small Commercial (under 100gt, excl. FVs)";;"Inland waterway vessel";"Other";;;;True;;0.00;12.00;28.00;"Steel";"2008";0;0;0;0;0;0;0;0;"Minor damage (less than material damage)";"No";"No";"Engine issue ";"No Pollution";;"Arrival";"No";;;;;;"UNITED KINGDOM";"Milford Haven";;;;;"2024-08-09"
"5bb4aec6-b9b6-ee11-a568-002248c87a57";"2024-01-01";"No";2024;"Marine Incident";"Damage / Loss Of Equipment";;;False;"Ro-Ro passenger vessel's roller failed resulting in damaged mooring equipment.";"Ro-Ro passenger vessel was alongside when the crew used two headlines to move the vessel forward from the 'overnight' position towards the linkspan in preparation for loading vehicles onto the car deck. When the mooring party heaved on the headline run out from the starboard windlass via the deadman roller, it dismantled sending the roller and holding down the plate causing it to fly in the air and strike the open bow visor (approximately 3 metres up). No crew members were injured.";"UK";"United Kingdom";"Scotland";56.411667;-5.476667;"NA";"UNITED KINGDOM";"Oban";"98369849-bab6-ee11-a568-002248c87a40";"Marine Incident";"UNITED KINGDOM";"Merchant Vessel >= 100gt";"500gt or more";"Passenger ship";"Passenger and Ro-Ro cargo";;;;True;;75.00;84.00;3500.00;"Steel";"1989";0;0;0;0;0;0;0;0;"Minor damage (less than material damage)";"No";"No";"Damaged mooring equipment at the forward mooring station. ";"No Pollution";"32";"Anchored or alongside";"No";"Ship";"Deck";"Forecastle deck";;;"UNITED KINGDOM";"Oban";;;;;"2024-06-04"
"f4c50e53-f9c0-ee11-9079-002248c8714f";"2024-01-01";"No";2024;"Less Serious";"Accident to person(s)";;;False;"A cruise ship passenger fell and sustained a fractured shoulder";"A cruise ship passenger sustained a fractured shoulder when they fell whilst taking part in a dancing activity in the lounge area. There were no defects noted that could have contributed to the fall, vessel motions reported to be a factor. ";"UK";;;45.983367;-8.536833;"NA";;;"b97aeaa3-f9c0-ee11-9079-002248c8714f";"Less Serious";"UNITED KINGDOM";"Merchant Vessel >= 100gt";"500gt or more";"Passenger ship";"Only passenger";"International";;;True;;210.00;230.00;58000.00;"Steel";"2019";0;0;0;0;0;1;0;1;"No damage";"No";"No";"None";"No Pollution";"502";"Mid-water";"No";"Accommodation";"Restaurant/Bar";;;;"UNITED KINGDOM";"Portsmouth";;;;;"2024-06-07"
"498e714c-abcc-ee11-9079-002248c878ca";"2024-02-01";"No";2024;"Less Serious";"Grounding / Stranding";"Power";;False;"EERV made contact/grounded with the fairway resulting in damage to the thruster.";"EERV made contact/grounded with the fairway resulting in damage to the thruster. Upon investigation by the ship the thruster has been noticed as missing from the bottom of the vessel";"UK";"United Kingdom";"Scotland";57.141800;-2.068200;"n/a";"UNITED KINGDOM";"Aberdeen";"c36d22bc-adcc-ee11-9079-002248c878ca";"Less Serious";"UNITED KINGDOM";"Merchant Vessel >= 100gt";"500gt or more";"Service ship";"Other offshore ship";;;;True;;0.00;50.00;1300.00;"Steel";"2012";0;0;0;0;0;0;0;0;"No damage";"No";"No";"Thruster missing from the bottom of the vessel";"No Pollution";"15";"Departure";"No";"Ship";"Unknown";;;;"UNITED KINGDOM";"Aberdeen";;;;;"2024-10-10"
