Occurrence_Id;Local_Date_Main_Event;Date_Main_Event_Unconfirmed;Year_Reported;Occurrence_Severity;Main_Event_L1;Main_Event_L2;Main_Event_L3;Not_Vessel_Operations;Short_Description;Description;State_Reporting;National_Location_L1;National_Location_L2;Latitude;Longitude;Lat_Long_Unknown;Port_Of_Accident_L1;Port_Of_Accident_L2;Vessel_Profile_Id;Vessel_Severity;Flag_State;Vessel_Category_L1;Vessel_Category_L2;Ship_Craft_Type_L1;Ship_Craft_Type_L2;Ship_Craft_Type_L3;Ship_Craft_Type_L4;Ship_Craft_Type_L5;Registered_Length_In_Metres;LOA_Length_Overall_in_Metres;GT_Gross_Tonnage;Loss_Of_Vessel_Damage;Did_The_Vessel_Sink;Vessel_Abandoned;Affected_Person_Id;Sequence_No;Age;Gender;Affected_Person_Type;Rank;On_Duty;Physical_Condition_L1;Physical_Condition_L2;Physical_Condition_L3;Injury_Type_L1;Injury_Type_L2;Parts_of_Body_Injured;Affected_Person_Place_On_Board_L1;Affected_Person_Place_On_Board_L2;Affected_Person_Place_On_Board_L3;Affected_Person_Place_On_Board_L4;Affected_Person_Place_On_Board_L5;Affected_Person_Deviation_L1;Affected_Person_Deviation_L2;PPE_Used;PPE_Deficient;Publication_Date;Publication_No;Publication_Type;Published_Report_Website_Link;Affected_Person_Record_Modified_On
"27db8e0c-90c7-ef11-b8e8-6045bd0dbe09";"2024-12-01";"No";2024;"Less Serious";"Accident to person(s)";;;False;"Cruise ship passenger slipped on small puddle of water resulting in a dislocated shoulder";"A cruise ship passenger had wash and dried their hands in the ships public toilets, whilst turning to leave the toilets they slipped on a small puddle of water on the deck. The fall resulted in the passenger being in a lot of pain, they went to the medical centre for an assessment where they treated for a dislocated left shoulder. The passenger was wearing new trainers with poor grip. There was a “wet floor” sign located next to the paper towel dispenser and the internal lighting was working at the time.";"UK";;;11.891333;-68.339333;"NA";;;"6b61c740-93c7-ef11-b8e8-6045bd0dbe09";"Less Serious";"UNITED KINGDOM";"Merchant Vessel >= 100gt";"500gt or more";"Passenger ship";"Only passenger";"International";;;0.00;330.00;140000.00;"No damage";"No";"No";"6012f93f-dcc8-ef11-b8e8-6045bd0d69a9";1;"69";"Male";"Passenger";;;"Injured";"Serious injury";"More than 72 hours incapacitation";"Dislocations, sprains and strains";"Sprains and strains";"Upper Extremities -> Shoulder and shoulder joints";"Ship";"Amidships";;;;"Slipping - Stumbling and falling - Fall of persons";"Slipping - Stumbling and falling - Fall of person - on the same level";;;;;;;"2025-01-03"
"946e6bf3-f6c8-ef11-b8e8-002248c68c1c";"2024-12-01";"No";2024;"Marine Incident";"Accident to person(s)";;;False;"A passengers vessel crew member fell overboard while alongside resulting in a head injury.";"A passengers vessel crew member fell overboard while alongside resulting in a head injury. A crew member who had fallen overboard while they were alongside. Crew member was wearing a lifejacket which deployed and was recovered.. The crew member sustained a head injury and the vessel requested ambulance attendance.";"UK";"United Kingdom";;51.502163;0.009288;"n/a";"UNITED KINGDOM";"Greenwich";"90bc0fea-fac8-ef11-b8e8-002248c68c1c";"Marine Incident";"UNITED KINGDOM";"Merchant Vessel >= 100gt";"100gt to 199.99gt";"Inland waterway vessel";"Passenger";;;;35.00;38.00;160.00;"No damage";"No";"No";"fd9b3402-00c9-ef11-b8e8-002248c68c1c";1;"Unknown";"Male";"Crew";"Other crew member";"Yes - On duty prior to casualty";"Injured";"Minor injury";;"Wounds and superficial injuries";"Superficial injuries";"Head -> Head, multiple sites affected";"Ship";"Unknown";;;;"Slipping - Stumbling and falling - Fall of persons";"Fall overboard of person";"Life jacket";;;;;;"2025-01-02"
"8db92202-dbc7-ed11-b596-002248c638b9";"2023-03-01";"No";2023;"Marine Incident";"Loss Of Control";"Loss Of Directional Control";;False;"A search and rescue vessel was conducting training when a person fell overboard.";"A search and rescue (SAR) vessel was conducting training. A trainee was at the helm starting to execute the manoeuvre to carry out a beach landing. The manoeuvre was carried out very slowly and a wave building behind the vessel picked up the starboard quarter resulting in a man overboard. The individual was in waist deep water and resulted in no injuries. No damages were reported.";"UK";"United Kingdom";"Wales";51.397300;-3.265600;;"UNITED KINGDOM";"Barry Island";"b4c3a23e-dbc7-ed11-b596-002248c638b9";"Marine Incident";"UNITED KINGDOM";"Small Commercial (under 100gt, excl. FVs)";;"Service ship";"SAR craft";;;;4.90;4.90;0.40;"No damage";"No";"No";"755cc745-f0c9-ef11-b8e8-6045bd0d69a9";1;"Unknown";"Unknown";"Crew";"Other crew member";"Yes - On duty prior to casualty";"No injury";;;"Drowning and asphyxiation";"Drowning and non-fatal submersions";"Whole body and multiple sites -> Multiple sites of the body affected";"Ship";"Over side";;;;"Slipping - Stumbling and falling - Fall of persons";"Fall overboard of person";"Life jacket";;;;;;"2025-01-03"
"45c08d4d-7f08-ef11-9f89-000d3a871495";"2024-04-01";"No";2024;"Less Serious";"Accident to person(s)";;;False;"A pilot boat passenger transferred onto a tug, tripped on mooring wire, resulting in fractured elbows";"A pilot boat with six passenger onboard had returned to a pontoon and moored alongside a tug ready for disembarkation. One passenger jumped off pilot boat onto tug walked forwards and tripped on mooring wire in the centre of the deck. Crew and one of the passengers checked that the injured passenger was alright and checked again once ashore. Later on in the day the passenger went to hospital for an assessment was confirmed to have fractured both elbows.";"UK";"United Kingdom";"Wales";51.690833;-4.956667;"n/a";"UNITED KINGDOM";"Pembroke";"232b1896-8108-ef11-9f89-000d3a871495";"Less Serious";"UNITED KINGDOM";"Small Commercial (under 100gt, excl. FVs)";;"Service ship";"Other";;;;15.00;15.00;16.00;"No damage";"No";"No";"9ae61962-91d2-ef11-8ee9-6045bd0e3723";1;"55";"Male";"Passenger";;;"Injured";"Serious injury";"More than 72 hours incapacitation";"Bone fractures";"Closed fractures";"Upper Extremities -> Arm, including elbow";"Ship";"Deck";"Open deck";;;"Body movement without any physical stress (generally leading to an external injury)";"Uncoordinated movements, spurious or untimely actions";"Life jacket";;;;;;"2025-01-14"
"5c8ad27a-a63e-ef11-a316-6045bd0b033c";"2024-07-01";"No";2024;"Marine Incident";"Loss Of Control";;;False;"A sailing vessel was towed back to safety as the lone sailor was injured";"A sailing vessel crew member called for help as the lone sailor was injured and unable to helm the vessel. A search and rescue (SAR) vessel assisted the vessel however the injured crew member refused to come out of wheel house to assist the SAR crew with attaching a tow line. One SAR crew member fell in water whilst attempting to board the vessel. They were recovered safely from the water by the SAR vessel. A helicopter was rejected to scene due to the skipper's minor injuries, adverse weather conditions and the skipper's refusal to come up to deck for assistance. The vessel was towed back to safety.";"UK";"United Kingdom";"England";50.156900;-3.449850;"n/a";;;"9af1acd7-aa3e-ef11-a316-6045bd0b033c";"Marine Incident";"UNITED KINGDOM";"Recreational (non Commercial)";;"Recreational craft";"Sailboat (aux. motor)";;;;9.90;9.90;0.00;"No damage";"No";"No";"0bdb0a71-e1d7-ef11-8eea-6045bd0d9dfc";1;"Unknown";"Male";"Other";"Other non-crew member";"Yes - On duty prior to casualty";"Injured";"Minor injury";;"Wounds and superficial injuries";"Superficial injuries";"Torso and organs -> Rib cage, ribs including joints and shoulder blade";"Ship";"Deck";"Open deck";;;"Slipping - Stumbling and falling - Fall of persons";"Fall overboard of person";;;;;;;"2025-01-21"
"1c91ae9f-f57f-ef11-ac20-6045bd0cb55a";"2024-09-01";"No";2024;"Marine Incident";"Accident to person(s)";;;False;"Sailing yacht crew member fell overboard into water during berthing operations";"A crew member was attempting to berth their vessel when they fell overboard into the water and, was recovered from the water uninjured.";"UK";"United Kingdom";"Scotland";55.995600;-3.408300;;"UNITED KINGDOM";"Other";"ceed64bd-f77f-ef11-ac20-6045bd0cb55a";"Marine Incident";"UNITED KINGDOM";"Recreational (non Commercial)";;"Recreational craft";"Sailboat (aux. motor)";;;;0.00;11.00;13.00;"No damage";"No";"No";"9a00842d-c8d8-ef11-8eea-002248c75a95";1;"Unknown";"Unknown";"Crew";"Skipper";"Yes - On duty prior to casualty";"No injury";;;"Drowning and asphyxiation";"Drowning and non-fatal submersions";"Whole body and multiple sites -> Whole body (Systemic effects)";"Ship";"Deck";;;;"Slipping - Stumbling and falling - Fall of persons";"Fall overboard of person";;;;;;;"2025-01-22"
"464fc1b3-9b80-ef11-ac20-6045bd0cb55a";"2024-09-01";"No";2024;"Marine Incident";"Accident to person(s)";;;False;"A motorboat crew member fell overboard.";"A crew member that had fallen off their motorboat resulting in them ending up in the water, lifeboats assisted with the rescue provided safety cover and initial aid to the casualty they were found to be stable, in shock and cold.";"UK";"United Kingdom";"England";52.649000;1.568100;;;;"f00a7656-ac80-ef11-ac20-6045bd0cb55a";"Marine Incident";"UNITED KINGDOM";"Recreational (non Commercial)";;"Recreational craft";"Motorboat";;;;0.00;9.90;0.00;"No damage";"No";"Yes";"bc544693-cad8-ef11-8eea-002248c75a95";1;"45";"Female";"Crew";"Deck officer";"Yes - On duty prior to casualty";"No injury";;;"Drowning and asphyxiation";"Drowning and non-fatal submersions";"Whole body and multiple sites -> Whole body (Systemic effects)";"Ship";"Other";;;;"Slipping - Stumbling and falling - Fall of persons";"Fall overboard of person";"Life jacket";;;;;;"2025-01-22"
"01b5a039-c9b4-ec11-983f-00224800a465";"2022-04-01";"No";2022;"Marine Incident";"Accident to person(s)";;;False;"A ro-pax vessel passenger slipped and fell on deck suffering a suspected concussion";"A ro-pax vessel passenger slipped and fell hitting their head resulting in a concussion. The vessel was enroute to the port at the time of the incident and an ambulance was called but due to high levels of traffic around the port, the passenger was driven to hospital for an assessment.";"UK";"United Kingdom";"England";51.117100;1.346600;;;;"59caa913-cab4-ec11-983f-00224800a465";"Marine Incident";"FRANCE";"Merchant Vessel >= 100gt";"500gt or more";"Passenger ship";"Passenger and Ro-Ro cargo";;;;0.00;210.00;40000.00;"No damage";"No";"No";"5fcc69b0-b2dc-ef11-8ee9-002248c823fa";1;"9";"Male";"Passenger";;;"Injured";"Minor injury";;"Concussions and internal injuries (including crush injuries not mentioned above)";"Concussion and intracranial injuries";"Head -> Head (Caput), brain and cranial nerves and vessels";"Ship";"Unknown";;;;"No information";;;;;;;;"2025-01-27"
"df64135d-d3b4-ec11-983f-00224800a465";"2022-04-01";"No";2022;"Marine Incident";"Accident to person(s)";;;False;"A pilot vessel hit a large wave resulting in minor injuries to a crew member and two pilots";"A pilot vessel with six crew onboard was heading out to a vessel when it hit a large wave resulting in three of the crew injuring themselves. One crew member had banged their head, a second had sustained an injury to their back and the third had also banged their head and could feel some minor pain on the right side of the neck. The vessel radioed ashore to notify what had happened and the crew were asked if they needed medical attention, they replied they did not but stated that the weather conditions were not suitable for the pilot vessel to proceed and as a result, the pilot vessel headed back to port.  Once ashore the three crew sought medical attention, the third crew member returned to work with the other two receiving further hospital treatment.";"UK";"United Kingdom";"England";53.593400;0.013400;"NA";"UNITED KINGDOM";"Grimsby";"59c0f2dc-d3b4-ec11-983f-00224800a465";"Marine Incident";"UNITED KINGDOM";"Small Commercial (under 100gt, excl. FVs)";;"Service ship";"Other";;;;16.00;16.00;21.00;"No damage";"No";"No";"501d9aa9-bbdc-ef11-8ee9-002248c823fa";1;"Unknown";"Male";"Other";"Pilot";"Yes - On duty prior to casualty";"Injured";"Minor injury";;"Concussions and internal injuries (including crush injuries not mentioned above)";"Concussion and intracranial injuries";"Head -> Head (Caput), brain and cranial nerves and vessels";"Ship";"Unknown";;;;"Body movement without any physical stress (generally leading to an external injury)";"Uncoordinated movements, spurious or untimely actions";;;;;;;"2025-01-27"
"df64135d-d3b4-ec11-983f-00224800a465";"2022-04-01";"No";2022;"Marine Incident";"Accident to person(s)";;;False;"A pilot vessel hit a large wave resulting in minor injuries to a crew member and two pilots";"A pilot vessel with six crew onboard was heading out to a vessel when it hit a large wave resulting in three of the crew injuring themselves. One crew member had banged their head, a second had sustained an injury to their back and the third had also banged their head and could feel some minor pain on the right side of the neck. The vessel radioed ashore to notify what had happened and the crew were asked if they needed medical attention, they replied they did not but stated that the weather conditions were not suitable for the pilot vessel to proceed and as a result, the pilot vessel headed back to port.  Once ashore the three crew sought medical attention, the third crew member returned to work with the other two receiving further hospital treatment.";"UK";"United Kingdom";"England";53.593400;0.013400;"NA";"UNITED KINGDOM";"Grimsby";"59c0f2dc-d3b4-ec11-983f-00224800a465";"Marine Incident";"UNITED KINGDOM";"Small Commercial (under 100gt, excl. FVs)";;"Service ship";"Other";;;;16.00;16.00;21.00;"No damage";"No";"No";"2a88f210-bcdc-ef11-8ee9-002248c823fa";2;"Unknown";"Male";"Other";"Pilot";"Yes - On duty prior to casualty";"Injured";"Minor injury";;"Other specified injuries not included under other headings";;;"Ship";"Unknown";;;;"Body movement without any physical stress (generally leading to an external injury)";"Uncoordinated movements, spurious or untimely actions";;;;;;;"2025-01-27"
