Occurrence_Id;Local_Date_Main_Event;Date_Main_Event_Unconfirmed;Year_Reported;Occurrence_Severity;Main_Event_L1;Main_Event_L2;Main_Event_L3;Not_Vessel_Operations;Short_Description;Description;National_Keywords;EMCIP_Keywords;SAR_Intervention;State_Reporting;Occurrence_Location;Coastal_State_Affected;National_Location_L1;National_Location_L2;Latitude;Longitude;Lat_Long_Unknown;Port_Of_Accident_L1;Port_Of_Accident_L2;Natural_Light;Sea_State;Visibility;Weather;Wind_Force;Publication_Date;Publication_No;Publication_Type;Published_Report_Website_Link;Occurrence_Record_Modified_On;Last_Updated_At;Occurrences_Reported_From;Occurrences_Reported_To
"ff3952b0-6fe3-ed11-8846-002248c87a40";"2023-04-01";"No";2023;"Marine Incident";"Damage / Loss Of Equipment";;;False;"A chemical/products tanker parted a mooring line whilst coming alongside.";"A chemical/products tanker was coming alongside when it parted its forward spring line. There were no injuries, pollution or other damages reported. The mooring line reportedly parted due to the angle of approach to the berth being too steep and putting too much weight onto the two forward spring lines. ";;;"No";"UK";"Internal waters -> Port area";"UNITED KINGDOM";"United Kingdom";"England";53.633683;-0.189000;;"UNITED KINGDOM";"Immingham";"Night";"1 - Calm rippled - (0 - 0.1 m)";"Very good - Vis >= 25.0 nm";"Clear";"1 - Light air - knot (1-3) m/s (1-2)";;;;;"2025-03-28";"2025-09-05";"2021-01-01";"2024-12-31"
"d9096ad0-5d16-ee11-9cbe-002248c87217";"2023-06-01";"No";2023;"Less Serious";"Accident to person(s)";;;False;"A cruise ship passenger fell out of bed resulting in a fractured clavicle.";"A cruise ship passenger fell out of bed and landed on their left shoulder. The passenger was taken to the medical centre and was diagnosed with a fractured left clavicle.";;;"No";"UK";"Coastal waters <= 12 nm";"NORWAY";"Norway";;61.168333;5.056667;"NA";;;"Night";"0 - Calm glassy - (0 m)";"Good - 5.0 <= Vis < 25.0 nm";"Clear";"3 - Gentle Breeze - knot (7-10) m/s (4-5)";;;;;"2025-03-28";"2025-09-05";"2021-01-01";"2024-12-31"
"02d9d69b-2f22-ee11-9967-002248c8714f";"2023-07-01";"No";2023;"Less Serious";"Accident to person(s)";;;False;"Cruise ship's passenger tripped and sustained a fractured shoulder.";"Cruise ship's passenger tripped on the carpeted edge and landed on their shoulder resulting in a closed fracture. No defects found in the area. ";;;"No";"UK";"Internal waters -> Port area";"CANADA";;;49.290000;-123.106667;;"CANADA";;"Daylight";"1 - Calm rippled - (0 - 0.1 m)";"Good - 5.0 <= Vis < 25.0 nm";"Clear";"3 - Gentle Breeze - knot (7-10) m/s (4-5)";;;;;"2025-03-28";"2025-09-05";"2021-01-01";"2024-12-31"
"f5131f0e-0127-ee11-9965-002248c87a51";"2023-07-01";"No";2023;"Less Serious";"Accident to person(s)";;;False;"A ro-pax crew member sustained a torn rotator cuff when moving a heavy drum.";"On board a ro-pax ferry, a crew member was working in a store room when they attempted to move a 20l drum from a shelf. The crew member had previously injured their shoulder but thought it had heeled. Despite using the correct manual lifting technique on the 20l drum, the crewmember pulled their shoulder. This resulted in a torn rotator cuff. ";;;"No";"UK";"Internal waters -> Port area";"UNITED KINGDOM";"United Kingdom";"England";50.792800;-1.106900;;"UNITED KINGDOM";"Portsmouth";"Daylight";"2 - Smooth - (0.1 - 0.5 m)";"Moderate - 2.0 <=Vis < 5.0 nm";"Unknown";"Beaufort scale: Unknown";;;;;"2025-03-28";"2025-09-05";"2021-01-01";"2024-12-31"
"3f33abdb-bd6d-ee11-9ae7-002248c8714f";"2023-10-01";"No";2023;"Less Serious";"Accident to person(s)";;;False;"Container ship's crew member sustained an open fractured finger injury while working.";"Container ship's crew member was supervising cargo operations when they noticed that the right-hand twist lock for securing containers was not in proper position. The crew member informed that they were going to fix the twist lock and contacted the gantry driver to stop loading. While they were fixing the twist lock, the gantry operator resumed loading resulting in an open fracture injury. The crew member required a finger amputation. No further injuries reported. ";;;"No";"UK";"Internal waters -> Port area";"UNITED KINGDOM";"United Kingdom";"England";53.418300;-3.006800;;"UNITED KINGDOM";"Liverpool";"Unknown";"Unknown";"Unknown";"Unknown";"Beaufort scale: Unknown";;;;;"2025-03-28";"2025-09-05";"2021-01-01";"2024-12-31"
"9f50599a-596f-ee11-9ae7-002248c87217";"2023-10-01";"No";2023;"Marine Incident";"Loss Of Control";"Loss Of Propulsion Power";;False;"Port tender vessel suffered an engine failure resulting in no further damage.";"Port tender vessel reported port engine issues. No further damage reported. ";;;"No";"UK";"Internal waters -> Port area";"UNITED KINGDOM";"United Kingdom";"Wales";51.709300;-5.038200;;"UNITED KINGDOM";"Milford Haven";"Night";"3 - Slight - (0.5 - 1.25 m)";"Good - 5.0 <= Vis < 25.0 nm";"Unknown";"3 - Gentle Breeze - knot (7-10) m/s (4-5)";;;;;"2025-03-28";"2025-09-05";"2021-01-01";"2024-12-31"
"b7b5686e-d5a4-ee11-be37-002248c878ca";"2023-12-01";"No";2023;"Marine Incident";"Loss Of Control";"Loss Of Propulsion Power";;False;"port tender suffered an engine issue.";"Port tender had an engine issue and was not available for berthing. No further defects reported. ";;;"No";"UK";"Internal waters -> Port area";"UNITED KINGDOM";"United Kingdom";"Wales";51.710200;-5.034700;;"UNITED KINGDOM";"Milford Haven";"Daylight";"4 - Moderate - (1.25 - 2.5 m)";"Good - 5.0 <= Vis < 25.0 nm";"Unknown";"6 - Strong Breeze - knot (22-27) m/s (11-14)";;;;;"2025-04-04";"2025-09-05";"2021-01-01";"2024-12-31"
"5bb4aec6-b9b6-ee11-a568-002248c87a57";"2024-01-01";"No";2024;"Marine Incident";"Damage / Loss Of Equipment";;;False;"Ro-Ro passenger vessel's roller failed resulting in damaged mooring equipment.";"Ro-Ro passenger vessel was alongside when the crew used two headlines to move the vessel forward from the 'overnight' position towards the linkspan in preparation for loading vehicles onto the car deck. When the mooring party heaved on the headline run out from the starboard windlass via the deadman roller, it dismantled sending the roller and holding down the plate causing it to fly in the air and strike the open bow visor (approximately 3 metres up). No crew members were injured.";;;"No";"UK";"Internal waters -> Port area";"UNITED KINGDOM";"United Kingdom";"Scotland";56.411667;-5.476667;"NA";"UNITED KINGDOM";"Oban";"Night";"3 - Slight - (0.5 - 1.25 m)";"Good - 5.0 <= Vis < 25.0 nm";"Overcast";"6 - Strong Breeze - knot (22-27) m/s (11-14)";;;;;"2025-03-28";"2025-09-05";"2021-01-01";"2024-12-31"
"f4c50e53-f9c0-ee11-9079-002248c8714f";"2024-01-01";"No";2024;"Less Serious";"Accident to person(s)";;;False;"A cruise ship passenger fell and sustained a fractured shoulder";"A cruise ship passenger sustained a fractured shoulder when they fell whilst taking part in a dancing activity in the lounge area. There were no defects noted that could have contributed to the fall, vessel motions reported to be a factor. ";;;"No";"UK";"Open sea -> Outside EEZ";"None/Register withdrawn";;;45.983367;-8.536833;"NA";;;"Twilight";"4 - Moderate - (1.25 - 2.5 m)";"Very good - Vis >= 25.0 nm";"Clear";"5 - Fresh Breeze - knot (17-21) m/s (9-11)";;;;;"2025-03-28";"2025-09-05";"2021-01-01";"2024-12-31"
"498e714c-abcc-ee11-9079-002248c878ca";"2024-02-01";"No";2024;"Less Serious";"Grounding / Stranding";"Power";;False;"EERV made contact/grounded with the fairway resulting in damage to the thruster.";"EERV made contact/grounded with the fairway resulting in damage to the thruster. Upon investigation by the ship the thruster has been noticed as missing from the bottom of the vessel";;;"No";"UK";"Internal waters -> Port area";"UNITED KINGDOM";"United Kingdom";"Scotland";57.141800;-2.068200;"n/a";"UNITED KINGDOM";"Aberdeen";"Night";"4 - Moderate - (1.25 - 2.5 m)";"Moderate - 2.0 <=Vis < 5.0 nm";"Clear";"4 - Moderate Breeze - knot (11-16) m/s (6-8)";;;;;"2025-03-28";"2025-09-05";"2021-01-01";"2024-12-31"
