SN_WAR,TEXT_REMARK
36206,DRILL TO 24790'.
34821,"RIG ARRIVED ON LOCATION JAN 19, 2002."
34942,DRILL TO 11745'.
35132,DRILL TO 16037'.
35346,DRILL TO 18545'.
35550,DRILL TO 22592'.
35686,DRILL TO 23937'.
35806,DRILL TO 23937'.
35989,DRILL TO 24790'.
36481,DRILL TO 24790'.
36584,DRILL TO 26710'.
36754,FINAL REPORT.
36926,DRILL TO 25739'.
37072,DRILL TO 16545'.
37140,DRILL TO 27432'.
37357,DRILL TO 27929'.
37603,"LOG WITH OBMI-DSI-HGNS TO 27929'. LOG RUN #3 MDT 85 SETS. STUCK WIRELINE IN HOLE. RIH WITH FISHING ASSEMBLY, POH WITH FISH. TIH, CCM, CIRC BOTTOMS UP THRU CHOKE AND KILL LINES."
37675,DRILL TO 27929'.
37808,PULLED RISER AND MOVED OFF LOCATION WELL TA.FINAL REPORT.
47846,"Washed down from 28827' to 27,045, did not tag any cmt. POOH PU EZSV RIH to 26300' set EZSV, mix and pmp 846 cu ft cmt below EZSV, POOH  RIH with 8 1/2"", drilled out EZSV.  Drlg and washed cmt to 27,038, drlg new formation to 27,047, performed LOT MW=14.6 @ 2,190 psi EMW=16.15 ppg.  performed second LOT at 1,226 psi, EMW=15.47 ppg.  RIH circulate, obtain approval from the MMS to TA well."
-239468,"12.22.13 - Test upper annular against bi-directional ram. Complete 3 remaining BOP tests.
12.23.13 - TIH with Dril-Quip modified BOP test tool. Test between bi-directional rams and upper annular. Complete BOP test (2 of 2 tests) as per IPT and Vantage subsea engineers. POOH with Dril-Quip modified BOP test tool.
12.24.13 - L/D Dril-Quip modified BOP test tool. P/U drill out BHA. TIH, tag top of cement at 9,168'. Displace hole to 11.0 ppg WBM while control drilling cement. Monitor well for pressure, circulate bottoms up to condition viscous mud.
12.25.13 - Drill cement to 9,242', circulate and condition mud. Continue to drill cement from 9,242' to 9,505'. Conduct casing test to 2500 psi. Good test.
12.26.13 - Drill cement to 9,505'. Conduct casing test to 2500 psi. Good test. TIH to 10,797', break circulation. TIH to 12,800' circulate to condition mud. POOH from 12,800 to 11,800, circulate bottom up. POOH with BHA. R/U, run wireline, perforate 13-5/8"", at 11,600'.
12.27.13 - Unable to inject. POOH with W/L perf assy. C/O perf guns. RIH to 11,400' and correlate. Fire guns. POOH. Unable to inject. TIH with RTTS assembly to 11,500', set same. Pressure up to 1450 psi. RTTS leaking. Reset packer.
12.28.13 - POOH with Halliburton packer assembly after failed injection test. L/D packer assembly. RIH with Baker tubing punch charged gun assembly #1 on wireline to 11,600'. Conduct correlation log for casing 
"
-239596,"12.29.13 - Perforate 13 5/8"" casing at 11,510', could not establish injection rate. Make perforating run#2, no indication of perforations. TIH with RTTS packer. Multiple attempts to set packer, packer would not set. Pump slug POOH.
12.30.13 - POOH w/ Halliburton RTTS. Function test BOP, BSRs & diverter. Continue POOH with RTTS and L/D. RIH with Baker wireline, perforate at 11,300', observe 1.5 bbl gain in trip tank. Perform injectivity test. Test failed.
12.31.13 - TIH with Baker packer. Set packer at 11,450' to establish communication between perforations at 11,300' and 11,505'. Set packer at 11,200', check communication of all perforations below 11,200'. Could not establish injection rate. POOH with Baker packer.
1.01.14 - TIH, set RTTS packer at 11,214', 11,400', and 10,110'.  Test depths to establish communication path. Set packer at 12,426', held pressure 2480 psi for 5 minutes. Unseat Halliburton RTTS packer, close compensator. POOH wet from 12,426' to 11,235'.
1.02.14 - Set RTTS at 11,200' and 11,450'. Circulate down drill pipe and catch oil contaminated mud from backside of 13-5/8"" casing.  POOH with Halliburton RTTS packer, L/D same. TIH with Halliburton EZSV packer to 11,200'.
1.03.14 - Set EZSV packer at 11,200'. Pump 50 bbls cement below packer. POOH to 11,100', pump 30 bbls cement above EZSV packer. POOH to 9,600' and circulate bottoms up. Wait on cement.
1.04.14 - WOC, conduct positive / negative tests. Spot 30 bbls hi-vis pill. POOH to 9,300', pump final cement plug. WOC, conduct positive / negative tests. Begin displacing well to seawater.
"
43978,DRILL. CIRC WELL. POOH. DRILL CEMENT AND 10' NEW FORMATION TO 16920'.
44187,"DRILL 14 1/2"" X 17 1/2"" HOLE TO 20158'."
44371,TRIP FOR NEW BIT. CUT DRILL LINE REPAIR TOP DRIVE. RIH AND REAM PREVIOUS SECTION. MADE BIT TRIP AND DRILLED.
44606,"RIH WITH 13 5/8 88.2# TCA150 CSG TO 17,920' PIPE BECAME STUCK, ATTEMPT TO WORK FREE, UNABLE TO GET FREE SHEARED PIPE AND POOH.  RIH WITH SPEAR AND CUTTER ASSEMBLY, TOP OF FISH @ 5062'. CUT CSG AT 9028', POOH.  RIH WITH SPEAR AND CUTTER ASSEMBLY, CUT CSG @ 13,735, POOH.  RIH WITH SPEAR AND CUTTER ASSEMBLY, CUT CSG @ 16,731, POOH"
44882,"RIH WITH CLEAN OUT BHA, DRILL OUT PLUGS AND FLOATS, CIRC BOTTOMS UP, POOH.  RIH WITH SPEAR AND CUTTER ASSEMBLY, TOP OF FISH @ 16,727'.  ENGAGED SPEAR ATTEMPT TO PULL CSG FREE, NO MOVEMENT.  CUT CSG AT 17,477', POOH WITH PART OF FISH.  RIH WITH SPEAR AND CUTTER ASSEMBLY TO TOP OF FISH @ 17,477'. ENGAGED SPEAR ATTEMPT TO PULL CSG FREE, NO MOVEMENT.  CUT CSG @ 17,730, POOH (190' CSG LEFT IN HOLE).  TEST BOPS 250/3500 250/7000.  RIH WITH SPEAR AND CUTTER ASSEMBLY TO TOP OF FISH @ 17,730'.  ENGAGED SPEAR ATTEMPT TO PULL CSG, NO MOVEMENT,  CUT CSG AT 17,803'  POOH"
44973,"RIH TO TOF AT 17,803'  ENGAGED SPEAR ATTEMPT TO PULL CSG, CASING CAME FREE POOH WITH 51.4' OF CASING.  RIH WITH SPEAR ASSY., TAGGED TOF @ 17,857', STABBED INTO FISH POOH WITH LAST OF CASING.  RIH WITH REAMER BHA REAMED TO 21,840', POOH, RIH WITH OPEN HOLE CALIPER, POOH.  RIH WITH UNDERREAMER REAMED TO 17,547' OBSERVED PRESSURE DROP, POOH, LEFT 16.25' OF FISH IN HOLE.  RIH WASHED OWN TO 21,829' ROTATED ON TOP OF FISH, PICKED UP AND ROTATED FISH FREE.  POOH WITH FISH."
45322,"DISCONNECT AND PULL RISER AND BOP TO REPAIR POD ON STACK.  FOUND 3 LEAKS IN BLUE POD, REPAIRED LEAKS, REMOVED CAMERON ANNULAR AND REPLACED WITH SCHAFFER.  FINISHED REPAIRING BOPS AND RE-INSTALLED COMPONENTS.  TESTED BOPS AND PREPARED TO RUN RISER."
45408,"DISCONNECT AND PULL RISER AND BOP TO REPAIR POD ON STACK.  FOUND 3 LEAKS IN BLUE POD, REPAIRED LEAKS, REMOVED CAMERON ANNULAR AND REPLACED WITH SCHAFFER.  FINISHED REPAIRING BOPS AND RE-INSTALLED COMPONENTS.  TESTED BOPS AND PREPARED TO RUN RISER."
46657,"RIH WITH RTTS PACKER WITH STORM VALVE SET @ 11,071, POOH TESTED SEAL ASSEMBLY (TEST GOOD).  POOH WITH WEAR BUSHING (NO INDICATION OF EXCESS WEAR)  RIH WITH 13.375"" CHAMP PACKER.  TEST CSG BELOW 8910 AND STORM PACKER AT 11,071' (TEST GOOD).  TESTED ANNULUS FROM TOP OF PACKER TO MIDDLE PIPE RAMS (TEST NO GOOD INDICATING A PROBABLE LEAK AT THE CONNECTION BETWEEN THE 14.625"" CSG HANGER AND THE PUP JT.  POOH WITH STORM PACKER, RU WIRELINE TO RUN EZSV, RIH WITH EZSV, SET EZSV IN 11 7/8"" LINER @ 21,891 RAN CSG CALIPER LOG OVER 13 5/8"" CSG INDICATES A LEAK IN THE CSG JUST BELOW THE WEAR BUSHING.  POOH WITH PACKER, RETRIEVED SEAL ASSEMBLY.  RIH WITH STINGER TAGGED EZSV @ 21,873', MIXED AND PUMPED 322 CU FT CMT SET CMT PLUG ON TOP OF EZSV.  POOH. PICKED UP CSG CUTTING ASSEMBLY CUT 13 5/8"" CSG @ 10,386'.  POOH WITH CSG."
47508,"Made wiper trip, washed from 24,200 to 26,900, POOH.  5/21/03 RIH with Schlumberger OBMI/DSI/GR evaluation tools, logged from 26950 to 17400, POOH.  5/21/03 RIH with Schlumberger rotary sidewall coring assembly.  POOH, RIH with reamer assembly, reamed from 23,850' to 27,035'.  POOH"
47649,"RIH with 9 5/8"" 53.5# Q125 liner to 23,030', (TOL @ 21,221' ), cmt with 1,156 cu ft H. POOH.  Test BOP R-250/8500 A-250/3500.  Tested 9 5/8"" and 13 5/8"" csg to 2800 psi.  Washed and reamed cmt to 27,035', drilg 10' new formation to 27,045', LOT MW=14.6 @ 1350 psi, EMW=15.57 ppg.  POOH, RIH to 27,030' sqz with 269 cu ft H"
47987,"decided to drill deeper rather than TA well.  Set EZSV @ 26,880' sqz 1128 cu ft cmt into formation, POOH.  RIH washed cmt from 26,879 to 26,882, milled EZSV, washed and mill cmt to 27,030, performed FIT MW=14.6 @ 1960 psi EMW= 16.35.  Ream to 27,044, POOH.  Test BOPs A-250/3500 R-250/8500.  RIH drlg formation to 27,050, POOH.  RIH with 8 1/2"" rock bit"
48208,"Drlg 8 1/2"" hole to 27,652, circ and cut MW to 14.6, POOH prepare to log well.  RIH with QAIT-HLDS-HNGS"
-238692,"12.15.13 - Complete running 116 joints of riser & P/U two pup joints. Start pressure test choke & kill lines 250-psi low, 10,000-psi high; boost & rigid conduit lines 250-psi low, 5,000-psi high.
12.16.13 - Complete running riser and testing. Land out BOP, latch up & confirm with 100 klbs overpull, and 1000 psi pressure test. Conduct weight & acoustic test. All tests good. Scope out slip joint.
12.17.13 - Rig down riser handling equipment. Conduct dead man test. Test manifold while TIH with BOP test assembly to 8,772'.
12.18.13 -Test BOP's using IPT test plan (12 of 17 test completed).
12.19.13 - Continue testing BOP's (failed test against bi-directional rams). POOH change cup tester. TIH and conduct casing test to 2,500 psi (good test). TIH to test BOP's (failed test against bi-directional rams).
12.20.13 - POOH with Dril-Quip cup tester. Reposition Dril-Quip cup tester to land out in 13-5/8"" casing. TIH, land out in casing, perform test (test failed, communication up drill pipe at 150 psi). POOH with Dril-Quip cup tester, L/D BHA.
12.21.13 - Make up Dril-Quip dual cam tool. TIH, test BSR's (4 of 4 test completed). POOH with dual cam tool and L/D. Reposition 12 1/8"" stabilizer and change float to non-ported on 12 1/4"" drill out BHA.
"
-241057,1.5.14 - Finish displacing well to seawater. POOH and L/D BHA. Rig up riser running equipment. Unlatch BOP from wellhead. Rig down surface equipment.
43256,JETTED IN. DRILLED . RAN BOP AND RISER.
43704,FINISH RUNNING RISER AND BOP. VERIFIED BOP'S WERE NOT LEAKING. RIH WITH BOP TEST TOOL. DRILL NEW FORMATION.
45949,"RIH DRLG TO 23,850', PERFORMED SHORT WIPR TRIP POOH TO RUN 11 7/8"" 71.8# Q125 LINER.  LINER 23,820'.  CMT WITH 983 CU FT H.  TEST CSG TO 4700 WITH 13.7 MUD.  RIH WITH BOP TEST ASSEMBLY"
46328,"TESTED BOPS A-250/3500 R-250/7000.  RIH WITH 10 5/8"" X 12 1/4"" BHA.  DRLG HARD CMT 23587' TO 23,687, DRLG OUT SHOE, WASHED AND REAMED TO 23850' DRLG 10' NEW FORMATION TO 23860'.  LOT MW=13.7 @ 1438 PSI EMW=14.86 PPG, INSUFFICIENT TO CONTINUE.  POOH, RIH WITH SQUEEZE ASSMB.  SQUEEZE 393 CU FT POOH.  RIH WITH BHA WASHED AND REAMED CMT TO 23,860', DRLG 10' NEW FORMATION TO 23,870'.  LOT MW= 13.9 @ 1735 EMW=15.15.  DRLG TO 25,015'. LOST CIRCULATION, PMP LCM PILL.  SI WELL TO ALLOW HYDRO-PLUG TO SET UP."
46329,"FINISHED RUNNING RISER AND LANDED STACK.  RIH WITH OVERSHOT AND TEST PLUG, LATCHED RTTS.  RIH AND TESTED BOPS A-250/3500 R-250/10,000.  POOH, RIH WITH 12 1/4"" X 14 3/4"" BHA.  DRLG HARD CMT TO 21,400', CLEAN OUT HOLE TO 21,1845' DRLG 10' NEW FORMATION TO 21,855'.  LOT MW=12.4 @ 1,791 PSIA. EMW=13.8 PPG.  DRLG 12 1/4"" X 14 3/4"" HOLE TO 22,796'. POOH TO CHANGE BIT/REAMER."
46617,"EVALUATED LOSSES, LOWERED MW TO 12.1 IN RISER, OPENED BOP, POOH, RIH OPEN ENDED TO 24,870' SQZ FORMATION WITH 702 CU FT H, POOH TO 23,746' CHECK FOR LOSSES, NO IMPROVEMENT.  RIH TO 24,870' SQZ WITH 702 CU FT H.  WOC.  POOH, RIH TO 24,300 PMP LCM PILL.  POOH.  RIH TO 21,715' WITH 11.75"" CHAMP PACKER, UNABLE TO TEST PACKER.  POOH.  RIH WITH RTTS PACKER WITH STORM VALVE"
47363,"Drlg 12 1/4"" hole to 27,035, circ BU, tested BOPs, A-250/3500 R-250/7000.  RIH with log #1 HNGS/CMRT/HAPS/HLDS/HAIT logged from 23,700 to 27,000,  RIH with log #2 MDT captured 22 pressure from 25276 to 25937,   RIH with log #3 CMR logged from 23,820 to 27035.  RIH with log #4 MDT 25 pressure measurements taken from 25435 to 26518.  POOH rigged down wireline for wiper trip."
46885,"RIH and dress off casing stub from 10,390' to 10,406', POOH.  RIH with 13 5/8"" csg patch to 10,389' (12' of casing inside overshot).  Set and tested casing patch to 10,500 psi.  RIH with 13 5/8"" spear to 10,489', engaged spear and tensioned up casing patch (4.5' stretch).  Tested 13 5/8"" csg to 5,000 psi. Tested BOPs A-250/3,500 R-250/7,000.  Displaced riser to 14.1 mud.  RIH with clean out assembly, circ and condition mud.  POOH.  Retrieved wear bushing.  Made up 18 3/4 x 10.75 wear bushing and ran in hole and landed WB.  RIH with drilling BHA."
47052,"Drilled 12/14""  hole to 25,652, POOH to change bits, RIH with 10.625"" X 12 1/4"" bit drlg 12 1/4"" hole to 26,560'"
48730,FINISHED PULLING RISER. DEFT LOCATION. FINAL REPORT.
-13643,"11/13/05-Logged with trible combo from 23,998' to 27,036' POOH RIH with MDT to 26,445' performed 12 tests on upper probe, POOH
11/14/05-RIH with MDT unable to get past 24,750, unable to get samples, POOH. RIH with drill pipe tested BSR's
11/15/05-POOH with test assembly, RIH with MSCT to 23,951' tool failed, POOH.  RIH with USIT 
11/16/05-Continued to RIH to 23,950' tool failed, POOH
11/17/05-RIH with coring BHA, cut core from 27,017' to 27,066' POOH
11/18/05-Continued POOH
11/19/05-Finished POOH. RIH with coring BHA #2"
-14733,"Ongoing MWD/LWD and/or Mudlog Operations 12/04/05-Continued taking pressures with MDT
12/05/05-Finished with MDT, POOH.  RIH with MDT took samples at 26,416', 26,880'
12/06/05-Took samples at 27,141', 26,497', POOH.  RIH with MDT 
12/07/05-Took sample at 27,675', 27,768'
12/08/05-Took sample at 26,760', POOH.  RIH with test plug
12/09/05-Tested BOPs A-250/3500 R-250/8500, POOH
12/10/05-RIH with wiper assembly"
-375810,"12/12/2021  Ran BOP on marine riser.

12/13/2021  Continued to run BOP on riser.

12/14/2021  Landed & latched BOP.  Installed diverter.  RU drill pipe handling equipment.

12/15/2021  Test BOP's on 6.625"" DP to 250-350 psi low &  5100 psi high.  Performed BOP function test.  Washed down using SW.  Tagged firm cement at 8489'.  Received approval to continue operations with full functionality assigned to the yellow pod. Approval granted by Albert Kachich BSEE Houma district.

12/16/2021  Milled cement from 8,489' to 8,529'.  POOH.  Drill CMT from 8,529' to 8,635'.

12/17/2021  Drill CMT to 8972'.  Circulated hole clean.  Flow checked well, static.

12/18/2021  TIH with CIBP TCP gun assembly to 8,968'.  Tagged and confirmed top of cement at 8,968'.  Set CIBP at 8,951'.  Pick up on string from 8,951' to 8,942' to correlate and place TCP Guns on depth (top perfs at 8671' bottom perfs at 8921'). Close upper annular and fired TCP Guns."
-375500,"12/05/2021  Vessel on location.  Performing pre-deployment testing on BOP.

12/06/2021  Continued stump testing.  Began soak test.

12/07/2021  Continued soak testing.

12/08/2021  Continued soak testing.

12/09/2021  Continued soak testing.

12/10/2021  Continued soak testing.

12/11/2021  Continued pre-deployment testing on BOP."
