Reference,Number of ships involved,Ships involved,SOLAS status,Flag Administrations,Ship types,Occurrence date and time,Casualty event,Casualty severity,Coordinates,Place,Location,Number of investigation reports,Administrations submitting investigation reports
"C0012787","1","FAY (IMO 9827619)","FAY (IMO 9827619): ","Norway","Fish Catching","2019-12-28 13:00","","Very serious marine casualty","71° 25.23' N 26° 21.14' E","Nordkapp","","0",""
"C0012601","1","NODUS (IMO 9497464)","NODUS (IMO 9497464): ","Liberia","General Cargo","2019-12-27 14:20","","Very serious marine casualty","41° 14.50' N 29° 00.70' E","Turleli Anchorage, Turkey","Anchorage","1","Liberia"
"C0013135","1","LA SOLOGNAIS (IMO 9733258)","LA SOLOGNAIS (IMO 9733258): ","Malta","Bulk Dry","2019-12-26 11:00","Occupational accident - overflow, overturn, leak, flow,
vaporization, emission of material agent","Marine casualty","7° 43.50' N 76° 08.00' E","","Open sea","2","Malta; Malta"
"C0013801","1","KAZIM DEDE (IMO 9171371)","KAZIM DEDE (IMO 9171371): ","Panama","General Cargo","2019-12-25 13:40","","Marine casualty","34° 09.00' N 22° 34.70' E","MEDITERRANEAN SEA","","1","Panama"
"C0013012","2","CATHINKA SPIRIT (IMO 9370654), Zhe Ling Yu Yun 60007","CATHINKA SPIRIT (IMO 9370654): , Zhe Ling Yu Yun 60007: ","Bahamas, Unknown","Chemical Tanker, ","2019-12-24 23:48","","Very serious marine casualty","33° 54.00' N 123° 26.00' E","Yellow Sea","Open sea","1","Bahamas"
"C0012568","1","EVANGELIA (IMO 9221798)","EVANGELIA (IMO 9221798): ","Liberia","Bulk Dry","2019-12-24 16:34","","Very serious marine casualty","1° 28.10' N 119° 15.80' E","At Sea","Open sea","1","Liberia"
"C0013110","1","SVITZER MERCURIUS (IMO 9695523)","SVITZER MERCURIUS (IMO 9695523): ","United Kingdom","Towing / Pushing","2019-12-22 12:28","","Marine incident","50° 52.00' N 1° 22.00' W","Southampton container terminal","","0",""
"C0013527","1","MU DAN SONG (IMO 9608831)","MU DAN SONG (IMO 9608831): ","Hong Kong, China","General Cargo","2019-12-21 20:06","","Very serious marine casualty","","At Matou Shipyard in Ningde, China","At berth","1","Hong Kong, China"
"C0013549","1","REGINA BALTICA (IMO 7827225)","REGINA BALTICA (IMO 7827225): ","Cyprus","Passenger/Ro-Ro Cargo","2019-12-21 08:09","Ship/equipment damage - ship/equipment damage","Marine casualty","38° 55.82' N 1° 36.59' E","","Coastal waters","2","Spain; Spain"
"C0013147","2","CARNIVAL GLORY (IMO 9198367), CARNIVAL LEGEND (IMO 9224726)","CARNIVAL GLORY (IMO 9198367): , CARNIVAL LEGEND (IMO 9224726): ","Panama, Malta","Passenger, ","2019-12-20 07:46","","Marine casualty","20° 28.90' N 86° 58.60' W","COZUMEN MEXICO","Port approach","1","Panama"
"C0013317","1","SAJIR (IMO 9708784)","SAJIR (IMO 9708784): ","Germany","Container","2019-12-19 17:00","Occupational accident - slipping, stumbling, falling of person to a
lower level","Very serious marine casualty","29° 44.39' N 122° 31.50' E","","Open sea","2","Germany; Germany"
"C0012850","1","ANDIAMO (IMO 9446233)","ANDIAMO (IMO 9446233): ","Marshall Islands","Other Activities","2019-12-18 19:30","","Marine incident","25° 47.07' N 80° 10.47' W","Watson Island, Miami, Florida, United States","","0",""
"C0013169","1","LIRA (IMO 8516744)","LIRA (IMO 8516744): ","Panama","General Cargo","2019-12-16 04:40","","Marine casualty","39° 40.50' N 11° 42.50' E","approx. 90 nautical miles north-west of Ustica island, in the Thyrrenian sea ","Open sea","1","Panama"
"C0012927","1","EMMALIE","EMMALIE: ","Denmark","Fish Catching","2019-12-12 11:15","Fire/explosion - fire","Very serious marine casualty","57° 32.20' N 8° 38.30' E","","Open sea","3","Denmark; Denmark; Denmark"
"C0013055","1","Sea Eagle (IMO 9830135)","Sea Eagle (IMO 9830135): ","Liberia","Bulk Dry","2019-12-11 22:32","Grounding - while drifting","Marine casualty","49° 25.99' N 0° 38.00' E","","River","1","France"
"C0012773","1","SVANEN","SVANEN: ","Denmark","Passenger","2019-12-10 18:25","Ship/equipment damage - ship/equipment damage","Marine casualty","56° 09.41' N 10° 12.88' E","","Port","3","Denmark; Denmark; Denmark"
"C0012816","1","SHINPO 16 (IMO 8114467)","SHINPO 16 (IMO 8114467): ","Indonesia","General Cargo","2019-12-10 17:40","","Very serious marine casualty","8° 22.00' S 123° 24.00' E","Jetty Atlewoleba, Lembata, Indonesia","","0",""
"C0013866","1","APL MEXICO CITY (IMO 9632210)","APL MEXICO CITY (IMO 9632210): ","Singapore","Container","2019-12-09 13:55","Contact - with fixed object","Marine casualty","51° 16.99' N 4° 18.99' E","","Port","1","Belgium"
"C0013763","2","AGAPI S (IMO 9514822), SEA BAZOU 2 (IMO 9334428)","AGAPI S (IMO 9514822): , SEA BAZOU 2 (IMO 9334428): ","Liberia, Marshall Islands",", Oil Tanker","2019-12-06 17:24","","Marine incident","","Bay of Gibraltar (British Gibraltar Territorial Waters)","","0",""
"C0013159","1","LE MORDU","LE MORDU: ","France","Fish Catching","2019-12-06 10:19","Capsize/listing - capsize","Very serious marine casualty","49° 49.50' N 0° 29.39' E","","Coastal waters","2","France; France"
"C0013030","1","GANTIADI","GANTIADI: ","Georgia","Fish Catching","2019-12-06 02:20","","Very serious marine casualty","41° 54.00' N 41° 45.00' E","Black sea coast, Near "Shekvetili"","Inland waters","1","Georgia"
"C0013109","1","Diversion","Diversion: ","United Kingdom","Other Activities","2019-12-04 22:00","","Very serious marine casualty","53° 57.63' N 1° 05.28' W","York, England","River","1","United Kingdom"
"C0013064","1","Conception","Conception: ","United States","Passenger","2019-12-02 03:00","","Very serious marine casualty","34° 02.00' N 119° 44.00' W","Coast of Santa Cruz Island, California, United States","","0",""
"C0013274","1","THEMSESTERN (IMO 9183843)","THEMSESTERN (IMO 9183843): Y","Portugal","Chemical Tanker","2019-11-30 09:36","Ship/equipment damage - ship/equipment damage","Marine casualty","54° 21.95' N 10° 08.35' E","Lock of Kiel Holtenau","Strait/channel","3","Germany; Germany; Germany"
"C0012946","1","NORDANA SOPHIE (IMO 9205562)","NORDANA SOPHIE (IMO 9205562): ","Thailand","General Cargo","2019-11-28 20:43","","Marine casualty","18° 07.97' N 106° 29.40' E","Ha Tinh seaport waters, Vietnam, in anchorage area of Son Duong port, 1.83 NM from Son Duong island,","","1","Thailand"
"C0013269","1","UK-165 Lummetje (IMO 8432613)","UK-165 Lummetje (IMO 8432613): ","Netherlands (Kingdom of)","Fish Catching","2019-11-28 05:46","Capsize/listing - capsize","Very serious marine casualty","52° 59.14' N 4° 35.51' E","","Coastal waters","2","Netherlands (Kingdom of); Netherlands (Kingdom of)"
"C0012811","1","LUMMETJE (IMO 8432613)","LUMMETJE (IMO 8432613): ","Netherlands (Kingdom of)","Fish Catching","2019-11-28 05:45","","Very serious marine casualty","52° 59.59' N 4° 36.12' E","North Sea 7 miles NW of Den Helder, Netherland","","1","Netherlands (Kingdom of)"
"C0012815","1","ILHAN YILMAZ 5 (IMO 9892638)","ILHAN YILMAZ 5 (IMO 9892638): ","Türkiye","Fish Catching","2019-11-27 13:00","","Very serious marine casualty","20° 40.00' N 16° 59.00' W","Nouadhibou, Mauritania","Open sea","1","Türkiye"
"C0013027","1","VERA ROSE (IMO 9114696)","VERA ROSE (IMO 9114696): ","Vanuatu","General Cargo","2019-11-25 09:25","","Marine incident","","CORINTH CANAL SOUTH ENTRY","","0",""
"C0013856","1","LA BELLE DES OCEANS (IMO 8800195)","LA BELLE DES OCEANS (IMO 8800195): ","Belgium","Passenger","2019-11-24 23:57","Grounding - while under power","Marine casualty","7° 37.99' N 98° 48.89' E","","Coastal waters","1","Belgium"
"C0012572","1","QUEEN HIND (IMO 7920675)","QUEEN HIND (IMO 7920675): ","Palau","General Cargo","2019-11-24 11:29","","Very serious marine casualty","44° 19.00' N 28° 40.00' E","Midia, Constanta, Romania","Port approach","2","Palau; Palau"
"C0013163","1","MARIWIT (IMO 9459448)","MARIWIT (IMO 9459448): ","Panama","General Cargo","2019-11-24 02:00","","Very serious marine casualty","5° 28.80' N 100° 11.50' E","MALACCA STRAIT - MALAYSIA","","1","Panama"
"C0012809","1","MITRA SEJAHTERA IX (IMO 3561720)","MITRA SEJAHTERA IX (IMO 3561720): ","Indonesia","General Cargo","2019-11-23 07:00","","Very serious marine casualty","5° 56.50' S 118° 34.00' E","Java Sea","","0",""
"C0012814","1","BLUE STAR (IMO 9527764)","BLUE STAR (IMO 9527764): ","Malta","Chemical Tanker","2019-11-22 22:00","","Marine casualty","43° 25.27' N 8° 15.40' W","Punta Miranda, Ares, Spain","","0",""
"C0013059","1","ALMA (IMO 9231676)","ALMA (IMO 9231676): ","Malta","Bulk Dry","2019-11-22 19:55","Occupational accident - slipping, stumbling, falling of person to a
lower level","Very serious marine casualty","47° 38.10' N 8° 51.79' W","","Open sea","2","Malta; Malta"
"C0012813","1","ORE SUDBURY (IMO 9000986)","ORE SUDBURY (IMO 9000986): ","Liberia","Bulk Dry","2019-11-22 05:00","","Marine casualty","23° 10.47' S 43° 59.42' W","Rio de Janeiro, Brazil","","0",""
"C0013057","1","EUROCARGO TRIESTE (IMO 9131515)","EUROCARGO TRIESTE (IMO 9131515): ","Malta","Ro-Ro Cargo","2019-11-21 02:20","Fire/explosion - fire","Marine casualty","43° 31.70' N 10° 13.60' E","","Coastal waters","2","Malta; Malta"
"C0012780","1","GENTING DREAM (IMO 9733105)","GENTING DREAM (IMO 9733105): ","Bahamas","Passenger","2019-11-18 17:35","","Marine casualty","","Langkawi, Malaysia","Port","1","Bahamas"
"C0012518","1","ORANGE PHOENIX (IMO 9700835)","ORANGE PHOENIX (IMO 9700835): ","Panama","Bulk Dry","2019-11-16 11:20","","Very serious marine casualty","","Around 3km off to the west-northwest of the Wakayama-honko Offshore South Breakwater Lighthouse, Jap","Port","1","Japan"
"C0013108","1","RESURGAM (IMO 8883551)","RESURGAM (IMO 8883551): ","United Kingdom","Fish Catching","2019-11-15 15:51","","Very serious marine casualty","50° 06.18' N 5° 32.75' W","Newlyn, England","At berth","0",""
