Reference,Number of ships involved,Ships involved,SOLAS status,Flag Administrations,Ship types,Occurrence date and time,Casualty event,Casualty severity,Coordinates,Place,Location,Number of investigation reports,Administrations submitting investigation reports
"C0000042","1","SKIPPER I","SKIPPER I: ","Panama","","1900-01-01 00:00","","Marine incident","","","","0",""
"C0000317","1","EASTERN CLIPPER","EASTERN CLIPPER: ","Philippines","","1900-01-01 00:00","","Marine incident","","","","0",""
"C0000539","1","MAYA R.","MAYA R.: ","Saudi Arabia","","1900-01-01 00:00","","Marine incident","","","","0",""
"C0000543","1","KARP","KARP: ","Trust Territory of the Pacific Islands [historical]","","1900-01-01 00:00","","Marine incident","","","","0",""
"C0000602","1","WELLBORN","WELLBORN: ","Liberia","","1900-01-01 00:00","","Marine incident","","","","0",""
"C0000603","1","ROMERAL","ROMERAL: ","Liberia","","1900-01-01 00:00","","Marine incident","","","","0",""
"C0000604","1","RAINBOW CHASER","RAINBOW CHASER: ","Liberia","","1900-01-01 00:00","","Marine incident","","","","0",""
"C0001847","1","DANIELLE (IMO 7535121)","DANIELLE (IMO 7535121): ","Belize","General Cargo","1900-01-01 00:00","","Very serious marine casualty","","In Indonesia/Malaysia area","","0",""
"C0001915","1","SMENA (IMO 7038173)","SMENA (IMO 7038173): ","Ukraine","General Cargo","1900-01-01 00:00","","Very serious marine casualty","","Yangon","","0",""
"C0002034","1","OHTORI (IMO 7722358)","OHTORI (IMO 7722358): ","Japan","","1900-01-01 00:00","","Marine incident","","","","0",""
"C0002078","1","ATLANTIS (IMO 0      )","ATLANTIS (IMO 0      ): ","France","Passenger","1900-01-01 00:00","","Marine casualty","","Caille du Bois, Guadeloupe, France","","0",""
"C0002153","2","GULSUM ANA (IMO 7379266), THEODOROS S. (IMO 0      )","GULSUM ANA (IMO 7379266): , THEODOROS S. (IMO 0      ): ","Türkiye, Cyprus","Bulk Dry, Bulk Dry","1900-01-01 00:00","","Marine casualty","","30 nm SW of Malaga","","0",""
"C0002199","1","CHILE STAR (IMO 0      )","CHILE STAR (IMO 0      ): ","Liberia","Container","1900-01-01 00:00","","Marine casualty","","Puerto Quetzal","","0",""
"C0002317","1","LONDON SERVICE (IMO 8119247)","LONDON SERVICE (IMO 8119247): ","Vanuatu","Towing / Pushing","1900-01-01 00:00","","Marine casualty","","","","0",""
"C0002365","1","EASTERN POWER (IMO 8819225)","EASTERN POWER (IMO 8819225): ","Vanuatu","Bulk Dry","1900-01-01 00:00","","Marine casualty","","","","0",""
"C0002414","1","HORIZON Y (IMO 1000760)","HORIZON Y (IMO 1000760): ","United Kingdom","Non-ship structures","1900-01-01 00:00","","Marine incident","","","","0",""
"C0002455","1","NORASIA TORONTO(EX:ANTIGONI) (IMO 7511618)","NORASIA TORONTO(EX:ANTIGONI) (IMO 7511618): ","Panama","Container","1900-01-01 00:00","","Marine casualty","","","","0",""
"C0002667","1","HUMU (IMO 7411662)","HUMU (IMO 7411662): ","Nigeria","General Cargo","1900-01-01 00:00","","Very serious marine casualty","","Bight of Benin","","0",""
"C0002669","1","MASTROPETROS (IMO 6724969)","MASTROPETROS (IMO 6724969): ","Greece","General Cargo","1900-01-01 00:00","","Marine incident","","1.5 miles off Andros Island","","0",""
"C0002863","2","GLOBAL RIO (IMO 8220589), NORSUL TUBARAO (IMO 8128640)","GLOBAL RIO (IMO 8220589): , NORSUL TUBARAO (IMO 8128640): ","Brazil, Brazil","Chemical Tanker, Bulk Dry","1900-01-01 00:00","","Marine casualty","","Off Vitor, Towed to Sao Sebastiao","","0",""
"C0004265","1","NORTH EMPRESS (IMO 7528520)","NORTH EMPRESS (IMO 7528520): ","Cayman Islands (United Kingdom)","General Cargo","1900-01-01 00:00","","Marine casualty","","60 m. NE. of Grand Cayman","","0",""
"C0004345","1","(Unknown)","(Unknown): ","Unknown","","1900-01-01 00:00","","Marine incident","","","","0",""
"C0004346","2","ATALANTE (IMO 1000605), BINA (IMO 7020671)","ATALANTE (IMO 1000605): , BINA (IMO 7020671): ","United Kingdom, Indonesia","Non-ship structures, Non-ship structures","1900-01-01 00:00","","Marine incident","","","","0",""
