Reference,Number of ships involved,Ships involved,SOLAS status,Flag Administrations,Ship types,Occurrence date and time,Casualty event,Casualty severity,Coordinates,Place,Location,Number of investigation reports,Administrations submitting investigation reports
"C0007750","1","HUMEN BRIDGE (IMO 9302164)","HUMEN BRIDGE (IMO 9302164): ","Panama","Container","2009-12-29 21:00","","Very serious marine casualty","24° 25.70' N 118° 03.48' E","China coastal","Port","0",""
"C0008053","1","MONIQUE 1 (IMO 7911686)","MONIQUE 1 (IMO 7911686): ","Panama","General Cargo","2009-12-27 06:25","","Marine incident","","Berth No.18, Mina Zayed Port, Abu Dhabi","Port","1","Panama"
"C0007735","1","UNION PEARL (IMO 8903026)","UNION PEARL (IMO 8903026): ","Isle of Man (United Kingdom)","General Cargo","2009-12-26 23:59","","Very serious marine casualty","","Wicklow Harbour, Eire","At berth","0",""
"C0007700","1","GRAND ESMERALDA (IMO 8920062)","GRAND ESMERALDA (IMO 8920062): ","Liberia","Bulk Dry / Oil","2009-12-26 02:00","","Marine incident","46° 00.29' N 122° 50.46' W","Columbia River, near Kalama, USA","River","0",""
"C0007754","1","COTAI STRIP COTAIGOLD (IMO 9429704)","COTAI STRIP COTAIGOLD (IMO 9429704): ","Hong Kong, China","Passenger","2009-12-25 09:18","","Marine incident","","PEARL RIVER, CHINA","","0",""
"C0007601","1","AEGEAN WIND (IMO 8130746)","AEGEAN WIND (IMO 8130746): ","Greece","Bulk Dry","2009-12-25 02:05","","Marine casualty","12° 26.50' N 64° 37.04' E","VENEZUELA SRR ","","0",""
"C0008051","1","CATALYN B","CATALYN B: ","Philippines","Passenger/Ro-Ro Cargo","2009-12-24 00:00","","Very serious marine casualty","14° 15.24' N 120° 32.38' E","Vicinity of Limbones Island, Philippines","","1","Philippines"
"C0007549","1","MAERSK DELFT (IMO 9293088)","MAERSK DELFT (IMO 9293088): ","United Kingdom","Passenger/Ro-Ro Cargo","2009-12-21 03:15","","Marine incident","51° 05.00' N 2° 18.00' E","Dunkerque","","0",""
"C0007696","1","ALAM PINTAR (IMO 9296858)","ALAM PINTAR (IMO 9296858): ","Singapore","Bulk Dry","2009-12-20 18:51","","Very serious marine casualty","49° 58.10' N 1° 53.80' W","Enliish Channel, about 16nm North of Cap De La Hague","Coastal waters","1","United Kingdom"
"C0007797","1","A. P. MOLLER (IMO 9214898)","A. P. MOLLER (IMO 9214898): ","DIS (Denmark)","Container","2009-12-19 19:35","","Marine casualty","1° 15.92' N 103° 50.19' E","Singapore habour","Port","1","Denmark"
