Reference,Number of ships involved,Ships involved,SOLAS status,Flag Administrations,Ship types,Occurrence date and time,Casualty event,Casualty severity,Coordinates,Place,Location,Number of investigation reports,Administrations submitting investigation reports
"C0000158","1","VULCA","VULCA: ","Saint Vincent and the Grenadines","","1989-12-29 00:00","","Marine incident","","","","0",""
"C0000157","1","TOPOLOVENI","TOPOLOVENI: ","Romania","","1989-12-24 00:00","","Marine incident","","","","0",""
"C0000576","1","ARKLOW VICTOR","ARKLOW VICTOR: ","Ireland","","1989-12-17 00:00","","Marine incident","","","","0",""
"C0000156","1","VITAUTAS PUTNA","VITAUTAS PUTNA: ","Trust Territory of the Pacific Islands [historical]","","1989-12-08 00:00","","Marine incident","","","","0",""
"C0000155","1","JOHANNA B","JOHANNA B: ","Panama","","1989-12-07 00:00","","Marine incident","","","","0",""
"C0000154","1","TRINITARIA","TRINITARIA: ","Panama","","1989-12-04 00:00","","Marine incident","","","","0",""
"C0007708","1","GREY FLAMINGO","GREY FLAMINGO: ","United Kingdom","","1989-11-24 05:55","","Very serious marine casualty","","Off Lamorna, near Land's End","","1","United Kingdom"
"C0000153","1","KAO HWA 3","KAO HWA 3: ","Panama","","1989-11-20 00:00","","Marine incident","","","","0",""
"C0000152","1","TYCHE","TYCHE: ","Panama","","1989-11-15 00:00","","Marine incident","","","","0",""
"C0000151","1","BEAS","BEAS: ","India","","1989-11-13 00:00","","Marine incident","","","","0",""
"C0007707","1","MOBIL PETREL","MOBIL PETREL: ","Bermuda (United Kingdom)","","1989-11-07 16:29","","Marine casualty","","Fawley Oil Termial ","","1","United Kingdom"
"C0000150","1","SEACREST","SEACREST: ","Panama","","1989-11-03 00:00","","Marine incident","","","","0",""
"C0000149","1","MAR","MAR: ","Panama","","1989-11-02 00:00","","Marine incident","","","","0",""
"C0000148","1","JINGSHAN","JINGSHAN: ","China","","1989-10-31 00:00","","Marine incident","","","","0",""
"C0000147","1","MURREE","MURREE: ","Pakistan","","1989-10-28 00:00","","Marine incident","","","","0",""
"C0000146","1","TOMOCO","TOMOCO: ","Panama","","1989-10-07 00:00","","Marine incident","","","","0",""
"C0000564","1","NORTHUMBERLAND","NORTHUMBERLAND: ","United States","","1989-10-03 00:00","","Marine incident","","","","0",""
"C0000575","1","MANSION TRADER","MANSION TRADER: ","Panama","","1989-09-19 00:00","","Marine incident","","","","0",""
"C0000145","1","KENT DOMINATOR","KENT DOMINATOR: ","Panama","","1989-09-13 00:00","","Marine incident","","","","0",""
"C0000143","1","LUNG HAO","LUNG HAO: ","Panama","","1989-09-12 00:00","","Marine incident","","","","0",""
"C0000144","1","SAFIR","SAFIR: ","Panama","","1989-09-12 00:00","","Marine incident","","","","0",""
"C0000142","1","DORINE I","DORINE I: ","Peru","","1989-08-22 00:00","","Marine incident","","","","0",""
"C0008463","1","MARCHIONESS","MARCHIONESS: ","Unknown","Passenger","1989-08-20 01:46","","Very serious marine casualty","","River Thames","","1","United Kingdom"
"C0000141","1","MAZATLAN","MAZATLAN: ","Mexico","","1989-08-20 00:00","","Marine incident","","","","0",""
"C0000140","1","GOODLINK","GOODLINK: ","Panama","","1989-07-07 00:00","","Marine incident","","","","0",""
"C0000139","1","AL RAHIMI","AL RAHIMI: ","United Arab Emirates","","1989-07-04 00:00","","Marine incident","","","","0",""
"C0000138","1","HWAN YANG","HWAN YANG: ","Panama","","1989-06-28 00:00","","Marine incident","","","","0",""
"C0000137","1","LADY RHODA","LADY RHODA: ","Cyprus","","1989-06-23 00:00","","Marine incident","","","","0",""
"C0000136","1","YOSHINO MARU","YOSHINO MARU: ","Japan","","1989-06-21 00:00","","Marine incident","","","","0",""
"C0000135","1","ELEFTHERIOS S","ELEFTHERIOS S: ","Panama","","1989-06-12 00:00","","Marine incident","","","","0",""
"C0000134","1","SEA TRANS I","SEA TRANS I: ","United Arab Emirates","","1989-06-04 00:00","","Marine incident","","","","0",""
"C0000132","1","QING CHUAN 1","QING CHUAN 1: ","China","","1989-05-28 00:00","","Marine incident","","","","0",""
"C0000133","1","VIGOUR PIONEER","VIGOUR PIONEER: ","Panama","","1989-05-28 00:00","","Marine incident","","","","0",""
"C0000131","1","ZAMBALES","ZAMBALES: ","Philippines","","1989-05-17 00:00","","Marine incident","","","","0",""
"C0000130","1","TROPIGAS FAR EAST","TROPIGAS FAR EAST: ","Panama","","1989-05-16 00:00","","Marine incident","","","","0",""
"C0000129","1","ORANGE CORAL","ORANGE CORAL: ","Panama","","1989-05-02 00:00","","Marine incident","","","","0",""
"C0000127","1","WING HOA","WING HOA: ","Honduras","","1989-04-30 00:00","","Marine incident","","","","0",""
"C0000128","1","YACU WASI","YACU WASI: ","Peru","","1989-04-30 00:00","","Marine incident","","","","0",""
"C0000550","1","STAR OF ALEXANDRIA","STAR OF ALEXANDRIA: ","United Kingdom","","1989-04-17 00:00","","Marine incident","","","","0",""
"C0000126","1","PHILIPPINE PRINCESS","PHILIPPINE PRINCESS: ","Philippines","","1989-04-13 00:00","","Marine incident","","","","0",""
