Reference,Number of ships involved,Ships involved,SOLAS status,Flag Administrations,Ship types,Occurrence date and time,Casualty event,Casualty severity,Coordinates,Place,Location,Number of investigation reports,Administrations submitting investigation reports
"C1000784","1","WAN HAI 503 (IMO 9294862)","WAN HAI 503 (IMO 9294862): Y","Singapore","Container","2025-06-09 04:30","Fire/explosion - fire","Very serious marine casualty","9° 59.02' N 76° 14.60' E","80 km southwest of Azhikkal, Kerala, India","Unknown","0",""
"C1000776","1","MSC ELSA 3 (IMO 9123221)","MSC ELSA 3 (IMO 9123221): Y","Liberia","Container","2025-05-25 07:50","Capsize/listing - capsize","Very serious marine casualty","9° 18.75' N 76° 06.00' E","Indian Ocean","Open sea","0",""
"C1000809","1","PHOENIX 15 (IMO 8357667)","PHOENIX 15 (IMO 8357667): Y","Comoros","Container","2025-05-21 04:38","Unknown - Unknown","Very serious marine casualty","16° 36.58' N 54° 04.38' E","In the Arabian sea","Open sea","0",""
"C1000762","1","N/A","N/A: ","China","Other Activities","2025-05-04 16:40","Collision - with other ship","Very serious marine casualty","25° 10.14' N 106° 38.15' E","","River","0",""
"C1000799","1","HONGHAI 16 (IMO 8665870)","HONGHAI 16 (IMO 8665870): ","Philippines","Dredging","2025-04-15 17:20","Capsize/listing - capsize","Very serious marine casualty","12° 31.68' N 120° 55.06' E","Lumintao River at Barangay Malawaan, Rizal Occidental Mindoro","Inland waters","1","Philippines"
"C1000747","1","ALTZEK (IMO 9621417)","ALTZEK (IMO 9621417): Y","Liberia","Bulk Dry","2025-04-13 16:07","Fire/explosion - explosion","Marine casualty","14° 23.00' S 40° 44.00' E","Baia de Fernao Veloso","Port approach","0",""
"C1000753","1","AKKAD (IMO 9948970)","AKKAD (IMO 9948970): Y","Iraq","Oil Tanker","2025-03-29 14:58","Loss of control - loss of directional control","Marine incident","30° 01.88' N 47° 57.09' E","Basra/Umm Qasr","Port","0",""
"C1000795","3","SADONG 33, SEA ASIA 201, UNIVERSE KAISA (IMO 9283849)","SADONG 33: N, SEA ASIA 201: N, UNIVERSE KAISA (IMO 9283849): Y","Philippines, Philippines, Panama","Towing / Pushing, General Cargo, Bulk Dry","2025-03-25 04:12","Capsize/listing - capsize","Very serious marine casualty","6° 05.00' N 125° 09.00' E","SARANGANI BAY","Open sea","1","Philippines"
"C1000736","1","MARTENITSA (IMO 9138733)","MARTENITSA (IMO 9138733): ","Saint Vincent and the Grenadines","General Cargo","2025-02-14 16:33","Loss of control - loss of directional control","Marine incident","45° 34.52' N 13° 42.97' E","Mediterranean Region - Mediterranean Region, Mediterranean Region - Adriatic Sea","Port","1","Slovenia"
"C1000760","1","SERPESCAS","SERPESCAS: ","Portugal","Fish Catching","2025-02-05 03:00","Ship/equipment damage - ship/equipment damage","Very serious marine casualty","40° 37.88' N 8° 44.10' W","North Atlantic Ocean - North Atlantic Ocean","Port","1","Portugal"
"C1000742","1","PRAIA DO NEIVA","PRAIA DO NEIVA: ","Portugal","Fish Catching","2025-02-03 05:45","Contact - with fixed object","Very serious marine casualty","41° 10.94' N 8° 41.87' W","North Atlantic Ocean - North Atlantic Ocean","Port","1","Portugal"
"C1000697","1","ASL BAUHINIA (IMO 9935868)","ASL BAUHINIA (IMO 9935868): ","Hong Kong, China","Container","2025-01-28 08:00","Fire/explosion - explosion","Very serious marine casualty","16° 12.39' N 40° 58.90' E","","Open sea","0",""
"C1000699","2","ANTERO DE QUENTAL (IMO 9312638), BINA","ANTERO DE QUENTAL (IMO 9312638): , BINA: ","Portugal, Poland","Passenger, Yacht","2025-01-06 16:50","Collision - with other ship","Very serious marine casualty","38° 40.06' N 9° 07.20' W","North Atlantic Ocean - North Atlantic Ocean","Strait/channel","1","Portugal"
"C1000695","1","SUN S (IMO 9473975)","SUN S (IMO 9473975): ","Panama","Bulk Dry","2024-12-19 08:03","Grounding - while drifting","Marine incident","42° 10.60' N 41° 37.90' E","POTI PORT","Coastal waters","0",""
"C1000738","1","PRESTIGE ACE (IMO 9213454)","PRESTIGE ACE (IMO 9213454): Y","Panama","Ro-Ro Cargo","2024-12-05 18:00","Others - Others","Very serious marine casualty","22° 08.00' N 89° 41.00' W","","Open sea","1","Panama"
"C1000761","1","ORKO (IMO 9430325)","ORKO (IMO 9430325): ","Barbados","General Cargo","2024-12-02 18:00","Contact - with fixed object","Marine casualty","40° 08.73' N 8° 52.32' W","North Atlantic Ocean - North Atlantic Ocean","Port","1","Portugal"
