PLAN_CTRL_CD,PLAN_CTRL_NUM,PLAN_SITE_TYPE,PLAN_SITE_NAME,PLAN_FNL_ACTN_CD,PLAN_FNL_ACTN_DT,SURF_E_W_DIST,SURF_E_W_CODE,SURF_N_S_DIST,SURF_N_S_CODE,SURF_AREA_CODE,SURF_BLOCK_NUM,SURF_PROT_NUM,SURF_LEASE_NUM,SURF_PROJ_ZONE,SURF_X_COORD_LOC,SURF_Y_COORD_LOC,SURF_LATITUDE,SURF_LONGITUDE,BOTM_LEASE_NUM,BOTM_AREA_CODE,BOTM_BLOCK_NUM,WATER_DEPTH,SITE_CANCEL_DT
N,3429,WELL,C,A,10/26/1989,5750,E,5900,N,BA,  490,TX5,G10219,71,2994845.81,223780.0,28.41257598,-95.90500975,G10219,BA,  490,71,10/31/1993
N,3429,WELL,D,A,10/26/1989,6350,W,7900,S,BA,  490,TX5,G10219,71,2991105.81,221740.0,28.40723882,-95.91680685,G10219,BA,  490,72,10/31/1993
N,3429,WELL,E,A,10/26/1989,1250,E,4900,N,BA,  490,TX5,G10219,71,2999345.81,224780.0,28.41499716,-95.89093403,G10219,BA,  490,72,10/31/1993
N,3396,WELL,A,A,9/22/1989,1200,E,6550,S,WC,   98,LA1,G07600,72,1375493.664,326550.0,29.54993589,-93.2974926,G07600,WC,   98,42,8/31/1990
N,3396,WELL,B,A,9/22/1989,3200,E,6400,S,WC,   98,LA1,G07600,72,1373493.664,326400.0,29.54942903,-93.30377353,G07600,WC,   98,42,8/31/1990
N,3396,WELL,C,A,9/22/1989,1700,E,2300,S,WC,   98,LA1,G07600,72,1374993.664,322300.0,29.53822647,-93.2988356,G07600,WC,   98,42,8/31/1990
N,3396,WELL,D,A,9/22/1989,4800,E,2400,S,WC,   98,LA1,G07600,72,1371893.664,322400.0,29.53835485,-93.30858789,G07600,WC,   98,42,8/31/1990
N,3396,WELL,E,A,9/22/1989,4075,E,4357,N,WC,   98,LA1,G07600,72,1372618.664,330401.048,29.56038893,-93.30674166,G07600,WC,   98,42,8/31/1990
N,3397,WELL,A,A,9/29/1989,4500,E,2500,N,PL,   25,LA6B,G09655,72,2259946.02,69245.84,28.85454571,-90.52143497,G09655,PL,   25,61,6/30/1993
N,3397,WELL,B,A,9/29/1989,8400,E,2950,N,PL,   25,LA6B,G09655,72,2256046.02,68795.84,28.85338373,-90.53362539,G09655,PL,   25,61,6/30/1993
N,3397,WELL,C,A,9/29/1989,5700,E,5700,N,PL,   25,LA6B,G09655,72,2258746.02,66045.84,28.84576977,-90.52525333,G09655,PL,   25,61,6/30/1993
S,2315,STRUCTURE,#2,A,10/2/1989,6117,E,1083,S,EC,   24,LA2,G04098,72,1532915.192,316808.856,29.52963495,-92.80205071,,,,40,
S,2315,WELL,#2,A,10/2/1989,6117,E,1083,S,EC,   24,LA2,G04098,72,1532915.192,316808.856,29.52963495,-92.80205071,G04098,EC,   24,40,2/12/2014
S,2316,WELL,B,A,9/12/1989,7000,W,6050,N,EI,   83,LA4,G06709,72,1961933.52,162352.52,29.113058,-91.45253214,G06709,EI,   83,0,1/24/1990
N,3398,WELL,A,A,9/27/1989,4000,E,4800,S,WC,  419,LA1A,G10582,72,1268587.0,35597.0,28.74452189,-93.61542386,G10582,WC,  419,76,6/28/1993
N,3398,WELL,B,A,9/27/1989,3900,E,2750,S,WC,  419,LA1A,G10582,72,1269487.328,27589.04,28.72255545,-93.61211865,G10582,WC,  419,83,6/28/1993
N,3398,WELL,C,A,9/27/1989,4750,E,7450,S,WC,  419,LA1A,G10582,72,,,,,G10582,WC,  419,76,6/28/1993
N,3399,WELL,A,A,9/29/1989,6260,W,2900,S,SM,   98,LA3C,G10701,72,1786464.612,-75627.113,28.45701671,-91.99765614,G10701,SM,   98,182,4/30/1994
N,3399,WELL,B,A,9/29/1989,1000,E,2850,S,SM,   98,LA3C,G10701,72,1793962.662,-75677.113,28.45699666,-91.97432883,G10701,SM,   98,180,4/30/1994
N,3399,WELL,C,A,9/29/1989,600,W,6950,S,SM,   98,LA3C,G10701,72,1780804.612,-71577.113,28.46806085,-92.01533936,G10701,SM,   98,178,4/30/1994
N,3399,WELL,D,A,9/29/1989,7300,E,700,S,SM,   98,LA3C,G10701,72,1787662.662,-77827.113,28.45098682,-91.99388955,G10701,SM,   98,183,4/30/1994
N,3399,WELL,E,A,9/29/1989,1500,E,2450,S,SM,   98,LA3C,G10701,72,1793462.662,-76077.113,28.45588915,-91.97587735,G10701,SM,   98,181,4/30/1994
N,3400,WELL,A,A,9/29/1989,3100,E,4300,N,MP,  130,LA10,G08750,72,2824000.0,273780.0,29.39395012,-88.74567381,G08750,MP,  130,142,6/30/1992
N,3400,WELL,B,A,9/29/1989,2000,E,3000,N,MP,  130,LA10,G08750,72,2825100.0,275080.0,29.39745587,-88.74212828,G08750,MP,  130,140,6/30/1992
