DOC_ID,DOC_TYPE,API,LEASE,WELL_NAME,WELL_NAME_SUFFIX,BLOCK,AREA,BLI,TLI,RUN_DATE,FILE_SIZE,LOG_PKG_VOLUME,LOG_SOURCE,BARCODE_ID,QC_CHECK_FLAG,COMMENTS,RELEASABLE_DATE,FILE_EXT,SOURCE,REGION,WATER_DEPTH,LEASE_STATUS_CHANGE_DATE,CREATED_DATE
0000000010{B-1161}0000024841-0001,10in MD PLATFORM EXPRESS / ARRAY IND / HI RES / DENSITY / NEUTRON / FINAL,177034083900,G02127, D004,ST00BP00,   33,EC,13438,9804,10/18/1997,6428186,QCCD0038,QC_DATA,log02941,N,,12/17/1999,.tif,1,G,42,12/17/2015 8:25:16 AM,
0000000010{B-1193}0000019357-0001,5in  IMPulse / Final,177244012701,G01666, A021,ST01BP00,  289,MP,8095,4032,1/13/1998,4920957,QCCD0025,QC_DATA,,N,,3/12/2000,.tif,1,G,394,,
0000000010{B-1193}0000019358-0001,5in  QC Log / Final,177244012701,G01666, A021,ST01BP00,  289,MP,8039,4032,1/13/1998,4259726,QCCD0025,QC_DATA,log03873,N,,3/12/2000,.tif,1,G,394,,
0000000010{B-1193}0000019359-0001,5in  QUAD Log / Final,177244012701,G01666, A021,ST01BP00,  289,MP,8006,4032,1/13/1998,3918860,QCCD0025,QC_DATA,log03874,N,,3/12/2000,.tif,1,G,394,,
0000000010{B-1193}0000019360-0001,5in  IMPulse / Final,177244012701,G01666, A021,ST01BP00,  289,MP,8095,4032,1/13/1998,5283455,QCCD0025,QC_DATA,,N,,3/12/2000,.tif,1,G,394,,
0000000010{B-1193}0000019361-0001,5in TVD  IMPulse / Final / Directional Survey included,177244012701,G01666, A021,ST01BP00,  289,MP,4993,3206,1/13/1998,2225811,QCCD0025,QC_DATA,log03875,N,,3/12/2000,.tif,1,G,394,,
0000000010{B-1193}0000019362-0001,1in  IMPulse / Final,177244012701,G01666, A021,ST01BP00,  289,MP,8095,4032,1/13/1998,849819,QCCD0025,QC_DATA,log03876,N,,3/12/2000,.tif,1,G,394,,
0000000010{B-1193}0000019363-0001,1in TVD  IMPulse / Final / Directional Survey included,177244012701,G01666, A021,ST01BP00,  289,MP,4993,3206,1/13/1998,771686,QCCD0025,QC_DATA,log03877,N,,3/12/2000,.tif,1,G,394,,
0000000010{B-1193}0000019364-0001,1in  Mud Log/Formation Evaluation Log/Show Reports included,177244012701,G01666, A021,ST01BP00,  289,MP,8095,1617,1/13/1998,1755025,QCCD0025,QC_DATA,,N,,3/12/2000,.tif,1,G,394,,
0000000010{B-1193}0000019365-0001,1in  Mud Log / Drilling Data Log,177244012701,G01666, A021,ST01BP00,  289,MP,8095,1617,1/13/1998,942442,QCCD0025,QC_DATA,log03872,N,,3/12/2000,.tif,1,G,394,,
0000000010{B-1193}0000019366-0001,1in TVD  Mud Log / Formation Evaluation Log,177244012701,G01666, A021,ST01BP00,  289,MP,4994,1590,1/13/1998,652487,QCCD0025,QC_DATA,,N,,3/12/2000,.tif,1,G,394,,
0000000010{B-1262}0000027694-0001,1in & 5in MD mwd dgr dual gamma ray ewr-phase 4 electromagnetic wave resistivity,608074016601,G10350,  001,ST01BP00,  386,GB,25342,8057,12/18/1997,23275989,QCCD0031,QC_DATA,gb003972,N,,2/8/2000,.tif,1,G,2663,,
0000000010{B-1262}0000027695-0001,1in & 5in TVD mwd dgr dual gamma ray ewr-phase 4 electromagnetic wave resistivity,608074016601,G10350,  001,ST01BP00,  386,GB,24511,8053,12/16/1997,22237200,QCCD0031,QC_DATA,gb003973,N,,2/8/2000,.tif,1,G,2663,,
0000000010{B-1262}0000027696-0001,5in array induction density-neutron-gr,608074016601,G10350,  001,ST01BP00,  386,GB,23650,18156,12/16/1997,7840450,QCCD0031,QC_DATA,gb003966,N,,2/8/2000,.tif,1,G,2663,,
0000000010{B-1262}0000027697-0001,5in geoframe processed inerpretation dipole sonic shear imager composite display,608074016601,G10350,  001,ST01BP00,  386,GB,25012,17960,1/5/1997,5693966,QCCD0031,QC_DATA,,N,,2/8/2000,.tif,1,G,2663,,
0000000010{B-1262}0000027698-0001,1in aray induction correlation log,608074016601,G10350,  001,ST01BP00,  386,GB,23650,18156,12/12/1997,1627710,QCCD0031,QC_DATA,gb003970,N,,2/8/2000,.tif,1,G,2663,,
0000000010{B-1262}0000027699-0001,1in tvd array induction correlation log,608074016601,G10350,  001,ST01BP00,  386,GB,23650,18158,12/12/1997,1428313,QCCD0031,QC_DATA,gb003971,N,,2/8/2000,.tif,1,G,2663,,
