UNIT_AGT_NAME,UNIT_AGT_NUMBER,SORT_NAME,MMS_COMPANY_NUM
MC300,754312006,MURPHY EXPLORATION & PRODUCTION COMPANY - USA,2647
ST231,754313001,MURPHY EXPLORATION & PRODUCTION COMPANY - USA,2647
DC178,754314004,MURPHY EXPLORATION & PRODUCTION COMPANY - USA,2647
MC487,754389006,SOJITZ ENERGY VENTURE INC,2655
GC599,754306017,PLAINS EXPLORATION & PRODUCTION COMPANY (PXP),2702
WR543,754308009,EQUINOR GULF OF MEXICO LLC,2748
EB112,754391005,ENI US OPERATING CO. INC.,2782
GC473,754393007,ENI US OPERATING CO. INC.,2782
GC254,754395015,ENI US OPERATING CO. INC.,2782
EW965,754397011,ENI US OPERATING CO. INC.,2782
GC252,754306015,ENI US OPERATING CO. INC.,2782
GC385,754307016,ENI US OPERATING CO. INC.,2782
MC459,754307018,ENI US OPERATING CO. INC.,2782
MC502,754310006,ENI US OPERATING CO. INC.,2782
MC035,754315008,ENI US OPERATING CO. INC.,2782
EB165,754388012,FIELDWOOD SD OFFSHORE LLC,2865
BA453,754389018,TALOS ERT LLC,2899
VK203,754393021,TALOS ERT LLC,2899
EC184,754305004,TALOS ERT LLC,2899
HI160,891008666,MC OFFSHORE PETROLEUM LLC,2957
GC184,891020257,MC OFFSHORE PETROLEUM LLC,2957
CA027,754309003,TENGASCO INC,3008
WC076,754393010,TALOS ENERGY VENTURES LLC,3026
AT574,754395004,TALOS ENERGY VENTURES LLC,3026
EW873,754395007,TALOS ENERGY VENTURES LLC,3026
GC158,754395014,TALOS ENERGY VENTURES LLC,3026
MC194,891016931,TALOS ENERGY VENTURES LLC,3026
EW1003,754398001,TALOS ENERGY VENTURES LLC,3026
ST185,891012335,BLACK ELK ENERGY OFFSHORE OPERATIONS LLC,3033
EC331/332,754392008,FIELDWOOD ENERGY OFFSHORE LLC,3035
VK252,754394013,FIELDWOOD ENERGY OFFSHORE LLC,3035
SS271,891008784,FIELDWOOD ENERGY OFFSHORE LLC,3035
WC507,754394008,FIELDWOOD ENERGY OFFSHORE LLC,3035
SP060,754394018,FIELDWOOD ENERGY OFFSHORE LLC,3035
WD079,754392002,FIELDWOOD ENERGY OFFSHORE LLC,3035
WD079,891013841,FIELDWOOD ENERGY OFFSHORE LLC,3035
WC643,891013843,HILCORP ENERGY GOM LLC,3041
GI016,891002932,COX OPERATING LLC,3151
ST054,891003444,COX OPERATING LLC,3151
ST021,891008806,COX OPERATING LLC,3151
GI043,891011658,COX OPERATING LLC,3151
ST026,891016953,COX OPERATING LLC,3151
SM236,891020234,COX OPERATING LLC,3151
WD109,891020245,COX OPERATING LLC,3151
SP093,754389008,COX OPERATING LLC,3151
WC017,891008927,COX OPERATING LLC,3151
MP073,891020233,COX OPERATING LLC,3151
SP049,891020241,COX OPERATING LLC,3151
MC397,891020256,COX OPERATING LLC,3151
MP072,754303003,COX OPERATING LLC,3151
ST021,754308004,COX OPERATING LLC,3151
ST021,754312001,COX OPERATING LLC,3151
ST021,754312003,COX OPERATING LLC,3151
ST021,754312002,COX OPERATING LLC,3151
ST021,754312004,COX OPERATING LLC,3151
VK823,754397010,W & T ENERGY VI LLC,3148
MC718,754396010,APACHE DEEPWATER LLC,3165
GB213,754314002,APACHE DEEPWATER LLC,3165
VR369,891016149,RENAISSANCE OFFSHORE LLC,3209
EI330,891016937,RENAISSANCE OFFSHORE LLC,3209
EI330,891016941,RENAISSANCE OFFSHORE LLC,3209
ST317,754300009,RENAISSANCE OFFSHORE LLC,3209
EW305,754320003,TALOS ENERGY OFFSHORE LLC,3247
VK817,754393018,HIGH POINT GAS GATHERING LLC,3255
HI179,754388006,FIELDWOOD ENERGY LLC,3295
EI212,754388017,FIELDWOOD ENERGY LLC,3295
MP259,754390012,FIELDWOOD ENERGY LLC,3295
SM137,891020237,FIELDWOOD ENERGY LLC,3295
MI623,754398002,FIELDWOOD ENERGY LLC,3295
SS207,891020231,FIELDWOOD ENERGY LLC,3295
EI330,891016943,FIELDWOOD ENERGY LLC,3295
MC214,754313006,KOSMOS ENERGY GULF OF MEXICO OPERATIONS LLC,3362
MC727,754313008,KOSMOS ENERGY GULF OF MEXICO OPERATIONS LLC,3362
SP027,891011687,WHITNEY OIL & GAS LLC,3368
SP027,891011733,WHITNEY OIL & GAS LLC,3368
SP027,754315006,WHITNEY OIL & GAS LLC,3368
AC903,754320002,ATLANTIA PROMETHEUS LLC,3507
SS072,891002945,SANARE ENERGY PARTNERS LLC,3520
SBM,891003915,CANTIUM LLC,3481
MP299,891008850,CANTIUM LLC,3481
MP040,891003847,CANTIUM LLC,3481
MP059,754300007,CANTIUM LLC,3481
BM002,754307005,CANTIUM LLC,3481
