LOCATION,HS_BAND_M,TP_BAND_S,OCCURRENCE_PCT
Gulf of Mexico (deep water),0.2 to 0.5,1.5 to 2.5,0.16
Gulf of Mexico (deep water),0.2 to 0.5,2.5 to 3.5,1.99
Gulf of Mexico (deep water),0.2 to 0.5,3.5 to 4.5,4.26
Gulf of Mexico (deep water),0.2 to 0.5,4.5 to 5.5,5.67
Gulf of Mexico (deep water),0.2 to 0.5,5.5 to 6.5,2.74
Gulf of Mexico (deep water),0.2 to 0.5,6.5 to 7.5,1.05
Gulf of Mexico (deep water),0.2 to 0.5,7.5 to 8.5,0.67
Gulf of Mexico (deep water),0.2 to 0.5,8.5 to 9.5,0.05
Gulf of Mexico (deep water),0.2 to 0.5,9.5 to 10.5,0.01
Gulf of Mexico (deep water),0.2 to 0.5,10.5 to 11.5,0.02
Gulf of Mexico (deep water),0.2 to 0.5,Total for 0.5 to 12.5,16.62
Gulf of Mexico (deep water),0.5 to 0.8,1.5 to 2.5,0.04
Gulf of Mexico (deep water),0.5 to 0.8,2.5 to 3.5,1.22
Gulf of Mexico (deep water),0.5 to 0.8,3.5 to 4.5,3.39
Gulf of Mexico (deep water),0.5 to 0.8,4.5 to 5.5,7.78
Gulf of Mexico (deep water),0.5 to 0.8,5.5 to 6.5,6.62
Gulf of Mexico (deep water),0.5 to 0.8,6.5 to 7.5,1.84
Gulf of Mexico (deep water),0.5 to 0.8,7.5 to 8.5,0.53
Gulf of Mexico (deep water),0.5 to 0.8,8.5 to 9.5,0.13
Gulf of Mexico (deep water),0.5 to 0.8,9.5 to 10.5,0.01
Gulf of Mexico (deep water),0.5 to 0.8,Total for 0.5 to 12.5,21.56
Gulf of Mexico (deep water),8.0 to 1.1,1.5 to 2.5,0.01
Gulf of Mexico (deep water),8.0 to 1.1,2.5 to 3.5,0.35
Gulf of Mexico (deep water),8.0 to 1.1,3.5 to 4.5,1.41
Gulf of Mexico (deep water),8.0 to 1.1,4.5 to 5.5,4.8
Gulf of Mexico (deep water),8.0 to 1.1,5.5 to 6.5,7.84
Gulf of Mexico (deep water),8.0 to 1.1,6.5 to 7.5,3.14
Gulf of Mexico (deep water),8.0 to 1.1,7.5 to 8.5,0.61
Gulf of Mexico (deep water),8.0 to 1.1,8.5 to 9.5,0.08
Gulf of Mexico (deep water),8.0 to 1.1,9.5 to 10.5,0.03
Gulf of Mexico (deep water),8.0 to 1.1,Total for 0.5 to 12.5,18.27
Gulf of Mexico (deep water),1.1to 1.4,2.5 to 3.5,0.07
Gulf of Mexico (deep water),1.1to 1.4,3.5 to 4.5,0.27
Gulf of Mexico (deep water),1.1to 1.4,4.5 to 5.5,1.97
Gulf of Mexico (deep water),1.1to 1.4,5.5 to 6.5,5.89
Gulf of Mexico (deep water),1.1to 1.4,6.5 to 7.5,4.78
Gulf of Mexico (deep water),1.1to 1.4,7.5 to 8.5,1.5
Gulf of Mexico (deep water),1.1to 1.4,8.5 to 9.5,0.08
Gulf of Mexico (deep water),1.1to 1.4,9.5 to 10.5,0.01
Gulf of Mexico (deep water),1.1to 1.4,10.5 to 11.5,0.01
Gulf of Mexico (deep water),1.1to 1.4,Total for 0.5 to 12.5,14.58
Gulf of Mexico (deep water),1.4 to 1.7,2.5 to 3.5,0.01
Gulf of Mexico (deep water),1.4 to 1.7,3.5 to 4.5,0.05
Gulf of Mexico (deep water),1.4 to 1.7,4.5 to 5.5,0.49
Gulf of Mexico (deep water),1.4 to 1.7,5.5 to 6.5,3.02
Gulf of Mexico (deep water),1.4 to 1.7,6.5 to 7.5,4.28
Gulf of Mexico (deep water),1.4 to 1.7,7.5 to 8.5,2.32
Gulf of Mexico (deep water),1.4 to 1.7,8.5 to 9.5,0.14
Gulf of Mexico (deep water),1.4 to 1.7,9.5 to 10.5,0.03
Gulf of Mexico (deep water),1.4 to 1.7,10.5 to 11.5,0.01
Gulf of Mexico (deep water),1.4 to 1.7,Total for 0.5 to 12.5,10.35
Gulf of Mexico (deep water),1.7 to 2.0,4.5 to 5.5,0.13
Gulf of Mexico (deep water),1.7 to 2.0,5.5 to 6.5,1.16
Gulf of Mexico (deep water),1.7 to 2.0,6.5 to 7.5,2.87
Gulf of Mexico (deep water),1.7 to 2.0,7.5 to 8.5,2.37
Gulf of Mexico (deep water),1.7 to 2.0,8.5 to 9.5,0.23
Gulf of Mexico (deep water),1.7 to 2.0,9.5 to 10.5,0.03
Gulf of Mexico (deep water),1.7 to 2.0,10.5 to 11.5,0.01
Gulf of Mexico (deep water),1.7 to 2.0,Total for 0.5 to 12.5,6.8
Gulf of Mexico (deep water),2.0 to 2.3,4.5 to 5.5,0.03
Gulf of Mexico (deep water),2.0 to 2.3,5.5 to 6.5,0.36
Gulf of Mexico (deep water),2.0 to 2.3,6.5 to 7.5,1.54
Gulf of Mexico (deep water),2.0 to 2.3,7.5 to 8.5,2.05
Gulf of Mexico (deep water),2.0 to 2.3,8.5 to 9.5,0.39
Gulf of Mexico (deep water),2.0 to 2.3,9.5 to 10.5,0.08
Gulf of Mexico (deep water),2.0 to 2.3,10.5 to 11.5,0.02
Gulf of Mexico (deep water),2.0 to 2.3,Total for 0.5 to 12.5,4.47
Gulf of Mexico (deep water),2.3 to 2.6,5.5 to 6.5,0.11
Gulf of Mexico (deep water),2.3 to 2.6,6.5 to 7.5,0.62
Gulf of Mexico (deep water),2.3 to 2.6,7.5 to 8.5,1.46
Gulf of Mexico (deep water),2.3 to 2.6,8.5 to 9.5,0.39
Gulf of Mexico (deep water),2.3 to 2.6,9.5 to 10.5,0.1
Gulf of Mexico (deep water),2.3 to 2.6,10.5 to 11.5,0.02
Gulf of Mexico (deep water),2.3 to 2.6,Total for 0.5 to 12.5,2.7
Gulf of Mexico (deep water),2.6 to 2.9,5.5 to 6.5,0.02
Gulf of Mexico (deep water),2.6 to 2.9,6.5 to 7.5,0.2
Gulf of Mexico (deep water),2.6 to 2.9,7.5 to 8.5,0.88
Gulf of Mexico (deep water),2.6 to 2.9,8.5 to 9.5,0.37
Gulf of Mexico (deep water),2.6 to 2.9,9.5 to 10.5,0.11
Gulf of Mexico (deep water),2.6 to 2.9,10.5 to 11.5,0.02
Gulf of Mexico (deep water),2.6 to 2.9,Total for 0.5 to 12.5,1.6
Gulf of Mexico (deep water),2.9 to 3.2,6.5 to 7.5,0.06
Gulf of Mexico (deep water),2.9 to 3.2,7.5 to 8.5,0.46
Gulf of Mexico (deep water),2.9 to 3.2,8.5 to 9.5,0.42
Gulf of Mexico (deep water),2.9 to 3.2,9.5 to 10.5,0.08
Gulf of Mexico (deep water),2.9 to 3.2,10.5 to 11.5,0.02
Gulf of Mexico (deep water),2.9 to 3.2,Total for 0.5 to 12.5,1.04
Gulf of Mexico (deep water),3.2 to 3.5,6.5 to 7.5,0.02
Gulf of Mexico (deep water),3.2 to 3.5,7.5 to 8.5,0.2
Gulf of Mexico (deep water),3.2 to 3.5,8.5 to 9.5,0.25
Gulf of Mexico (deep water),3.2 to 3.5,9.5 to 10.5,0.1
Gulf of Mexico (deep water),3.2 to 3.5,10.5 to 11.5,0.03
Gulf of Mexico (deep water),3.2 to 3.5,Total for 0.5 to 12.5,0.6
Gulf of Mexico (deep water),3.5 to 3.8,6.5 to 7.5,0.01
Gulf of Mexico (deep water),3.5 to 3.8,7.5 to 8.5,0.12
Gulf of Mexico (deep water),3.5 to 3.8,8.5 to 9.5,0.17
Gulf of Mexico (deep water),3.5 to 3.8,9.5 to 10.5,0.13
Gulf of Mexico (deep water),3.5 to 3.8,10.5 to 11.5,0.03
Gulf of Mexico (deep water),3.5 to 3.8,Total for 0.5 to 12.5,0.46
Gulf of Mexico (deep water),3.8 to 4.1,7.5 to 8.5,0.08
Gulf of Mexico (deep water),3.8 to 4.1,8.5 to 9.5,0.12
Gulf of Mexico (deep water),3.8 to 4.1,9.5 to 10.5,0.13
Gulf of Mexico (deep water),3.8 to 4.1,10.5 to 11.5,0.04
Gulf of Mexico (deep water),3.8 to 4.1,Total for 0.5 to 12.5,0.37
Gulf of Mexico (deep water),4.1 to 4.4,7.5 to 8.5,0.02
Gulf of Mexico (deep water),4.1 to 4.4,8.5 to 9.5,0.05
Gulf of Mexico (deep water),4.1 to 4.4,9.5 to 10.5,0.08
Gulf of Mexico (deep water),4.1 to 4.4,10.5 to 11.5,0.03
Gulf of Mexico (deep water),4.1 to 4.4,Total for 0.5 to 12.5,0.18
Gulf of Mexico (deep water),4.4 to 4.7,7.5 to 8.5,0.01
Gulf of Mexico (deep water),4.4 to 4.7,8.5 to 9.5,0.03
Gulf of Mexico (deep water),4.4 to 4.7,9.5 to 10.5,0.04
Gulf of Mexico (deep water),4.4 to 4.7,10.5 to 11.5,0.05
Gulf of Mexico (deep water),4.4 to 4.7,Total for 0.5 to 12.5,0.13
Gulf of Mexico (deep water),4.7 to 5.0,8.5 to 9.5,0.01
Gulf of Mexico (deep water),4.7 to 5.0,9.5 to 10.5,0.03
Gulf of Mexico (deep water),4.7 to 5.0,10.5 to 11.5,0.05
Gulf of Mexico (deep water),4.7 to 5.0,Total for 0.5 to 12.5,0.09
Gulf of Mexico (deep water),5.0 to 5.3,9.5 to 10.5,0.01
Gulf of Mexico (deep water),5.0 to 5.3,10.5 to 11.5,0.05
Gulf of Mexico (deep water),5.0 to 5.3,Total for 0.5 to 12.5,0.06
Gulf of Mexico (deep water),5.3 to 5.6,10.5 to 11.5,0.04
Gulf of Mexico (deep water),5.3 to 5.6,Total for 0.5 to 12.5,0.04
Gulf of Mexico (deep water),5.6 to 5.9,9.5 to 10.5,0.01
Gulf of Mexico (deep water),5.6 to 5.9,10.5 to 11.5,0.04
Gulf of Mexico (deep water),5.6 to 5.9,Total for 0.5 to 12.5,0.05
Gulf of Mexico (deep water),5.9 to 6.3,9.5 to 10.5,0.01
Gulf of Mexico (deep water),5.9 to 6.3,10.5 to 11.5,0.02
Gulf of Mexico (deep water),5.9 to 6.3,Total for 0.5 to 12.5,0.03
Offshore Nigeria,0 to 0.49,6 to 7.99,0.02
Offshore Nigeria,0 to 0.49,10 to 11.99,0.03
Offshore Nigeria,0 to 0.49,12 to 13.99,0.02
Offshore Nigeria,0 to 0.49,14 to 15.99,0.03
Offshore Nigeria,0.50 to 0.99,4 to 5.99,0.5
Offshore Nigeria,0.50 to 0.99,6 to 7.99,5.37
Offshore Nigeria,0.50 to 0.99,8 to 9.99,2.55
Offshore Nigeria,0.50 to 0.99,10 to 11.99,3.48
Offshore Nigeria,0.50 to 0.99,12 to 13.99,3.14
Offshore Nigeria,0.50 to 0.99,14 to 15.99,2.46
Offshore Nigeria,0.50 to 0.99,16 to 17.99,0.64
Offshore Nigeria,0.50 to 0.99,18 to 19.99,0.13
Offshore Nigeria,0.50 to 0.99,20to 21.99,0.05
Offshore Nigeria,0.50 to 0.99,22 to 23.99,0.02
Offshore Nigeria,1.00 to 1.49,4 to 5.99,0.34
Offshore Nigeria,1.00 to 1.49,6 to 7.99,11.01
Offshore Nigeria,1.00 to 1.49,8 to 9.99,16.65
Offshore Nigeria,1.00 to 1.49,10 to 11.99,9.4
Offshore Nigeria,1.00 to 1.49,12 to 13.99,11.01
Offshore Nigeria,1.00 to 1.49,14 to 15.99,8.76
Offshore Nigeria,1.00 to 1.49,16 to 17.99,2.74
Offshore Nigeria,1.00 to 1.49,18 to 19.99,0.88
Offshore Nigeria,1.00 to 1.49,20to 21.99,0.24
Offshore Nigeria,1.00 to 1.49,22 to 23.99,0.04
Offshore Nigeria,1.50 to 1.99,6 to 7.99,0.08
Offshore Nigeria,1.50 to 1.99,8 to 9.99,5.85
Offshore Nigeria,1.50 to 1.99,10 to 11.99,4.67
Offshore Nigeria,1.50 to 1.99,12 to 13.99,2.76
Offshore Nigeria,1.50 to 1.99,14 to 15.99,2.95
Offshore Nigeria,1.50 to 1.99,16 to 17.99,1.19
Offshore Nigeria,1.50 to 1.99,18 to 19.99,0.33
Offshore Nigeria,1.50 to 1.99,20to 21.99,0.09
Offshore Nigeria,1.50 to 1.99,22 to 23.99,0.03
Offshore Nigeria,2.00 to 2.49,8 to 9.99,0.17
Offshore Nigeria,2.00 to 2.49,10 to 11.99,0.79
Offshore Nigeria,2.00 to 2.49,12 to 13.99,0.58
Offshore Nigeria,2.00 to 2.49,14 to 15.99,0.41
Offshore Nigeria,2.00 to 2.49,16 to 17.99,0.19
Offshore Nigeria,2.00 to 2.49,18 to 19.99,0.07
Offshore Nigeria,2.00 to 2.49,20to 21.99,0.03
Offshore Nigeria,2.50 to 2.99,10 to 11.99,0.06
Offshore Nigeria,2.50 to 2.99,12 to 13.99,0.08
Offshore Nigeria,2.50 to 2.99,14 to 15.99,0.04
Offshore Nigeria,2.50 to 2.99,16 to 17.99,0.05
Offshore Nigeria,2.50 to 2.99,18 to 19.99,0.02
Offshore Nigeria,˃3.00,12 to 13.99,0.02
Offshore Nigeria,˃3.00,14 to 15.99,0.03
Offshore Angola,0 to 0.49,6 to 7.99,0.01
Offshore Angola,0 to 0.49,8 to 9.99,0.03
Offshore Angola,0 to 0.49,10 to 11.99,0.04
Offshore Angola,0 to 0.49,12 to 13.99,0.06
Offshore Angola,0 to 0.49,14 to 15.99,0.06
Offshore Angola,0.50 to 0.99,2 to 3.99,0.01
Offshore Angola,0.50 to 0.99,4 to 5.99,1
Offshore Angola,0.50 to 0.99,6 to 7.99,3.98
Offshore Angola,0.50 to 0.99,8 to 9.99,1.82
Offshore Angola,0.50 to 0.99,10 to 11.99,5.17
Offshore Angola,0.50 to 0.99,12 to 13.99,5.52
Offshore Angola,0.50 to 0.99,14 to 15.99,3.7
Offshore Angola,0.50 to 0.99,16 to 17.99,1.17
Offshore Angola,0.50 to 0.99,18 to 19.99,0.34
Offshore Angola,0.50 to 0.99,20to 21.99,0.13
Offshore Angola,0.50 to 0.99,22 to 23.99,0.01
Offshore Angola,1.00 to 1.49,4 to 5.99,0.6
Offshore Angola,1.00 to 1.49,6 to 7.99,6.28
Offshore Angola,1.00 to 1.49,8 to 9.99,10.48
Offshore Angola,1.00 to 1.49,10 to 11.99,11.49
Offshore Angola,1.00 to 1.49,12 to 13.99,11.38
Offshore Angola,1.00 to 1.49,14 to 15.99,9.19
Offshore Angola,1.00 to 1.49,16 to 17.99,2.87
Offshore Angola,1.00 to 1.49,18 to 19.99,0.83
Offshore Angola,1.00 to 1.49,20to 21.99,0.19
Offshore Angola,1.00 to 1.49,22 to 23.99,0.06
Offshore Angola,1.50 to 1.99,4 to 5.99,0.01
Offshore Angola,1.50 to 1.99,6 to 7.99,0.06
Offshore Angola,1.50 to 1.99,8 to 9.99,2.86
Offshore Angola,1.50 to 1.99,10 to 11.99,5.78
Offshore Angola,1.50 to 1.99,12 to 13.99,4.76
Offshore Angola,1.50 to 1.99,14 to 15.99,3.52
Offshore Angola,1.50 to 1.99,16 to 17.99,1.51
Offshore Angola,1.50 to 1.99,18 to 19.99,0.54
Offshore Angola,1.50 to 1.99,20to 21.99,0.12
Offshore Angola,1.50 to 1.99,22 to 23.99,0.01
Offshore Angola,2.00 to 2.49,8 to 9.99,0.07
Offshore Angola,2.00 to 2.49,10 to 11.99,0.94
Offshore Angola,2.00 to 2.49,12 to 13.99,1.33
Offshore Angola,2.00 to 2.49,14 to 15.99,1.05
Offshore Angola,2.00 to 2.49,16 to 17.99,0.34
Offshore Angola,2.00 to 2.49,18 to 19.99,0.1
Offshore Angola,2.00 to 2.49,20to 21.99,0.01
Offshore Angola,2.50 to 2.99,10 to 11.99,0.04
Offshore Angola,2.50 to 2.99,12 to 13.99,0.14
Offshore Angola,2.50 to 2.99,14 to 15.99,0.23
Offshore Angola,2.50 to 2.99,16 to 17.99,0.1
Offshore Angola,2.50 to 2.99,18 to 19.99,0.03
Offshore Angola,3.00 to 3.49,14 to 15.99,0.02
Offshore Angola,3.00 to 3.49,16 to 17.99,0.01
