ZONE,LOCATION,HMAX_100YR_MEAN_M,HMAX_100YR_RANGE_M,WAVE_STEEPNESS_RANGE,CURRENT_MEAN_MS,CURRENT_RANGE_MS,STORM_TIDE_MEAN_M,STORM_TIDE_RANGE_M,BASIS
6,Washington/Oregon,26,21-31,1/13-1/19,1,0.5-2.0,2.4,2.1-3.0,3
7,Gulf of Alaska (Icy Bay),31,27-37,1/13-1/17,1.5,1.0-2.0,3.4,3.0-4.0,2
8,Gulf of Alaska (Kodiak),28,24-34,1/13-1/17,1.5,1.0-2.0,3,2.7-3.7,2
9,Lower Cook Inlet,18,14-21,1/10-1/11,2,1.5-3.0,4.9,4.0-6.1,2
10,Northern Aleutian Shelf,21,18-27,1/12-1/16,1.5,1.0-2.0,2.4,1.8-3.7,1
11,St. George Basin,26,23-29,1/12-1/16,1.5,1.0-2.0,1.5,0.9-2.1,1
12,Navarin Basin,26,23-29,1/12-1/16,1,0.5-1.5,1.2,0.9-1.5,1
13,Norton Sound (depth = 18 m),14,11 to 15,1/11-1/18,1.5,0.5-2.0,3.4,2.4-4.3,2
14,Chukchi Sea (depth > 18 m),15,12 to18,1/11-1/15,1,0.5-1.5,1.8,1.2-2.4,3
15,Chukchi Sea (depth ≤18 m),Depth limited,Depth limited,1/11-1/15,1.5,1.0-2.5,2.7,1.8-3.7,3
16,Beaufort Sea (depth > 15 m),12,11 to 15,1/13-1/17,1,0.5-1.5,1.2,0.6-2.1,2
17,Beaufort Sea (depth ≤15 m),Depth limited,Depth limited,1/13-1/17,2,1.5-3.0,2.4,0.6-3.7,2
18,Georges Bank,26,23-29,1/10-1/16,1,0.5-1.5,1.5,1.2-1.5,2
19,Baltimore Canyon,28,24-31,1/10-1/14,1.5,1.0-2.0,1.5,1.2-1.5,2
20,Georgia Embaymen,23,20-26,1/11-1/15,2.5,1.0-4.0,1.5,0.9-2.1,2
