CHECK,PROJECT,DETAIL,VALUE,REFERENCE,VERDICT
coverage,GranMorgu (Block 58),4 valued / 1 not-public awards,45%+,gross $10500MM,
coverage,Liza Phase 2,2 valued / 3 not-public awards,33%+,gross $6000MM,
coverage,Yellowtail,3 valued / 2 not-public awards,29%+,gross $10000MM,
coverage,Bacalhau Phase 1,3 valued / 2 not-public awards,20%+,gross $8000MM,
coverage,Payara,2 valued / 3 not-public awards,19%+,gross $9000MM,
coverage,Anchor,1 valued / 7 not-public awards,15%+,gross $5700MM,
coverage,Liza Phase 1,1 valued / 4 not-public awards,12%+,gross $4400MM,
coverage,Sangomar Phase 1,1 valued / 2 not-public awards,12%+,gross $4200MM,
coverage,Barossa,2 valued / 1 not-public awards,10%+,gross $3600MM,
coverage,Kaskida,2 valued / 2 not-public awards,10%+,gross $5000MM,
coverage,Ballymore,2 valued / 1 not-public awards,4%+,gross $1600MM,
partner_net,Liza Phase 1,Hess 30.0% net $955,implied gross $3183,disclosed $4400,implied below gross — net likely excludes a scope element (e.g. FPSO)
partner_net,Liza Phase 2,Hess 30.0% net $1600,implied gross $5333,disclosed $6000,implied below gross — net likely excludes a scope element (e.g. FPSO)
partner_net,Payara,Hess 30.0% net $1800,implied gross $6000,disclosed $9000,implied below gross — net likely excludes a scope element (e.g. FPSO)
partner_net,Yellowtail,Hess 30.0% net $2300,implied gross $7667,disclosed $10000,implied below gross — net likely excludes a scope element (e.g. FPSO)
partner_net,Barossa,SK E&S 37.5% net $1400,implied gross $3733,disclosed $3600,implied ~= gross (within 10%)
partner_net,GranMorgu (Block 58),Staatsolie 20.0% net $2400,implied gross $12000,disclosed $10500,implied above gross — check interest or base
stage_anchor,Anchor,drill (Transocean),14.6%,prior 17-35%,below_band (floor)
stage_anchor,Bacalhau Phase 1,drill (Seadrill),4.8%,prior 14-30%,below_band (floor)
stage_anchor,Bacalhau Phase 1,surf (Subsea7 (Subsea Integration Alliance)),9.4%,prior 16-32%,below_band (floor)
stage_anchor,Ballymore,install (Subsea 7),3.1%,prior 6-16%,below_band (floor)
stage_anchor,Barossa,complete (TechnipFMC),2.1%,prior 6-16%,below_band (floor)
stage_anchor,Barossa,surf (Subsea 7),8.3%,prior 16-32%,below_band (floor)
stage_anchor,GranMorgu (Block 58),complete (TechnipFMC),9.5%,prior 6-16%,in_band (floor)
stage_anchor,GranMorgu (Block 58),drill (Noble Corporation),7.2%,prior 14-30%,below_band (floor)
stage_anchor,GranMorgu (Block 58),host (Technip Energies),10.0%,prior 20-40%,below_band (floor)
stage_anchor,GranMorgu (Block 58),surf (Saipem),18.1%,prior 16-32%,in_band
stage_anchor,Kaskida,complete (TechnipFMC),5.0%,prior 8-18%,below_band (floor)
stage_anchor,Kaskida,drill (Transocean),4.6%,prior 17-35%,below_band (floor)
stage_anchor,Liza Phase 1,host (SBM Offshore),12.2%,prior 20-40%,below_band (floor)
stage_anchor,Liza Phase 2,host (SBM Offshore),21.0%,prior 20-40%,in_band (floor)
stage_anchor,Liza Phase 2,surf (Saipem),11.7%,prior 16-32%,below_band
stage_anchor,Payara,complete (TechnipFMC),5.6%,prior 6-16%,below_band (floor)
stage_anchor,Payara,host (SBM Offshore),13.7%,prior 20-40%,below_band (floor)
stage_anchor,Sangomar Phase 1,complete (Subsea Integration Alliance),11.9%,prior 6-16%,in_band (floor)
stage_anchor,Yellowtail,complete (TechnipFMC),5.0%,prior 6-16%,below_band (floor)
stage_anchor,Yellowtail,complete (TechnipFMC),0.8%,prior 6-16%,below_band (floor)
stage_anchor,Yellowtail,host (SBM Offshore),23.2%,prior 20-40%,in_band (floor)
outturn,Martin Linge (ex-Hild),NOK sanction->final,x2.46,25600->63000,
outturn,Gorgon (incl. Jansz-Io),USD sanction->final,x1.46,37000->54000,
outturn,Tyra Redevelopment,DKK sanction->final,x1.29,21000->27000,
outturn,Sangomar Phase 1,USD sanction->final,x1.19,4200->5000,
outturn,Mariner,USD sanction->final,x1.10,7000->7700,
outturn,Jubilee Phase 1,USD sanction->final,x1.05,3150->3300,
outturn,TEN (Tweneboa-Enyenra-Ntomme),USD sanction->final,x1.00,4000->4000,
outturn,Peregrino Phase 2,USD sanction->final,x0.86,3500->3000,
outturn,Kraken,USD sanction->final,x0.78,3200->2500,
