accounting_view,direction,row_kind,additive,project_id,requirement_id,award_id,total_event_id,scenario_id,lane,effective_date,date_precision,value_low_mm,value_high_mm,total_mm,eligible_mm,excluded_mm,overlap_mm,currency,price_basis,basis_year,ownership_basis,scope_basis,capex_basis,value_basis,evidence_derivation,source_provenance,confidence,counting_disposition,mapping_status,residual_mm,unallocated_mm,unreconciled_variance_mm,value_coverage,eligible_requirement_coverage,linked_requirement_coverage,source_identity,source_locator,scenario_status,reuse_allowed,rounding_policy,assumption_vintage,comparison_eligibility
bottom_up:evt-000003,project_to_asset,observed_component,true,prj-000001,req-000005,awd-000001,evt-000003,,,,,45,45,,,,,USD,nominal,2011,gross,component,component_capex,point,disclosed,operator,high,included,mapped,,,,,,,awd-000001,contract_awards.csv:PROJECT=Big Foot|AWARD_YEAR=2011|CONTRACTOR=GE Oil & Gas,,,,,
bottom_up:evt-000003,project_to_asset,observed_component,false,prj-000001,req-000006,awd-000002,evt-000003,,,,,200,200,,,,,USD,nominal,2009,third_party,midstream,non_capex,point,disclosed,operator,high,excluded,mapped,,,,,,,awd-000002,contract_awards.csv:PROJECT=Big Foot|AWARD_YEAR=2009|CONTRACTOR=Enbridge,,,,,
bottom_up:evt-000003,project_to_asset,aggregate_reconciliation,false,prj-000001,,,evt-000003,,,,,,,4000,45,200,0,USD,nominal,2010,gross,project,project_capex,,reconciled,operator,medium,aggregate,,3955,0,0,0.01125,1/8,2/8,evt-000003,https://www.offshore-technology.com/projects/bigfootoilfield/,,,,,
bottom_up:evt-000004,project_to_asset,observed_component,true,prj-000001,req-000005,awd-000001,evt-000004,,,,,45,45,,,,,USD,nominal,2011,gross,component,component_capex,point,disclosed,operator,high,included,mapped,,,,,,,awd-000001,contract_awards.csv:PROJECT=Big Foot|AWARD_YEAR=2011|CONTRACTOR=GE Oil & Gas,,,,,
bottom_up:evt-000004,project_to_asset,observed_component,false,prj-000001,req-000006,awd-000002,evt-000004,,,,,200,200,,,,,USD,nominal,2009,third_party,midstream,non_capex,point,disclosed,operator,high,excluded,mapped,,,,,,,awd-000002,contract_awards.csv:PROJECT=Big Foot|AWARD_YEAR=2009|CONTRACTOR=Enbridge,,,,,
bottom_up:evt-000004,project_to_asset,aggregate_reconciliation,false,prj-000001,,,evt-000004,,,,,,,5100,45,200,0,USD,nominal,2018,gross,project,project_capex,,reconciled,trade_press,low,aggregate,,5055,0,0,0.008823529411764705882352941176,1/8,2/8,evt-000004,https://drillingcontractor.org/lonestar-energy-fabrication-completes-work-on-big-foot-extended-tension-leg-platform-35084,,,,,
scenario:evt-000003:reference,project_to_asset,scenario_allocation,true,prj-000001,req-000001,,evt-000003,reference,,,,1160.00,1160.00,,,,,USD,nominal,2010,gross,project,project_capex,point,allocated,assumed,low,included,mapped,3955,0,0,,,,evt-000003,https://www.offshore-technology.com/projects/bigfootoilfield/,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000003:reference,project_to_asset,scenario_allocation,true,prj-000001,req-000002,,evt-000003,reference,,,,240.00,240.00,,,,,USD,nominal,2010,gross,project,project_capex,point,allocated,assumed,low,included,mapped,3955,0,0,,,,evt-000003,https://www.offshore-technology.com/projects/bigfootoilfield/,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000003:reference,project_to_asset,scenario_allocation,true,prj-000001,req-000003,,evt-000003,reference,,,,480.00,480.00,,,,,USD,nominal,2010,gross,project,project_capex,point,allocated,assumed,low,included,mapped,3955,0,0,,,,evt-000003,https://www.offshore-technology.com/projects/bigfootoilfield/,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000003:reference,project_to_asset,scenario_allocation,true,prj-000001,req-000004,,evt-000003,reference,,,,880.00,880.00,,,,,USD,nominal,2010,gross,project,project_capex,point,allocated,assumed,low,included,mapped,3955,0,0,,,,evt-000003,https://www.offshore-technology.com/projects/bigfootoilfield/,proposed,false,largest_remainder_0.01_USD_MM,,
