PROJECT,OPERATOR,FID_YEAR,TOTAL_CAPEX_USD_MM,DEVELOPMENT_TYPE,WELL_COUNT,STAGE,SHARE_MID,COST_MID_USD_MM,COST_LOW_USD_MM,COST_HIGH_USD_MM,PROVENANCE,METHOD
Stampede,Hess,2014,6000.0,new_host_tlp,10,drill,0.2893,1735.7,1195.7,2275.7,allocated,"Top-down back-allocation of a disclosed $6,000MM total. Shares: ASSUMED prior for new_host_tlp. drill+complete shares tilted x1.12 for 10 wells vs a reference 8 for new_host_tlp (sub-linear, factor 0.5). Rationale: TLP host, typically dry-tree. Similar structure to a spar."
Stampede,Hess,2014,6000.0,new_host_tlp,10,host,0.2762,1657.1,1117.1,2197.1,allocated,"Top-down back-allocation of a disclosed $6,000MM total. Shares: ASSUMED prior for new_host_tlp. drill+complete shares tilted x1.12 for 10 wells vs a reference 8 for new_host_tlp (sub-linear, factor 0.5). Rationale: TLP host, typically dry-tree. Similar structure to a spar."
Stampede,Hess,2014,6000.0,new_host_tlp,10,surf,0.1810,1085.7,665.7,1505.7,allocated,"Top-down back-allocation of a disclosed $6,000MM total. Shares: ASSUMED prior for new_host_tlp. drill+complete shares tilted x1.12 for 10 wells vs a reference 8 for new_host_tlp (sub-linear, factor 0.5). Rationale: TLP host, typically dry-tree. Similar structure to a spar."
Stampede,Hess,2014,6000.0,new_host_tlp,10,complete,0.1393,835.7,535.7,1135.7,allocated,"Top-down back-allocation of a disclosed $6,000MM total. Shares: ASSUMED prior for new_host_tlp. drill+complete shares tilted x1.12 for 10 wells vs a reference 8 for new_host_tlp (sub-linear, factor 0.5). Rationale: TLP host, typically dry-tree. Similar structure to a spar."
Stampede,Hess,2014,6000.0,new_host_tlp,10,install,0.0667,400.0,160.0,640.0,allocated,"Top-down back-allocation of a disclosed $6,000MM total. Shares: ASSUMED prior for new_host_tlp. drill+complete shares tilted x1.12 for 10 wells vs a reference 8 for new_host_tlp (sub-linear, factor 0.5). Rationale: TLP host, typically dry-tree. Similar structure to a spar."
Stampede,Hess,2014,6000.0,new_host_tlp,10,hookup,0.0476,285.7,105.7,465.7,allocated,"Top-down back-allocation of a disclosed $6,000MM total. Shares: ASSUMED prior for new_host_tlp. drill+complete shares tilted x1.12 for 10 wells vs a reference 8 for new_host_tlp (sub-linear, factor 0.5). Rationale: TLP host, typically dry-tree. Similar structure to a spar."
Leviathan Phase 1,Noble Energy (now Chevron),2017,3750.0,new_host_fixed,4,host,0.3864,1448.9,1073.9,1823.9,allocated,"Top-down back-allocation of a disclosed $3,750MM total. Shares: ASSUMED prior for new_host_fixed. drill+complete shares tilted x0.67 for 4 wells vs a reference 12 for new_host_fixed (sub-linear, factor 0.5). Rationale: Fixed steel jacket / gravity-base platform (Clair Ridge, Tyra, Johan Sverdrup P2 class). Relative to a floater: HOST and INSTALL take a larger share (heavy jacket fabrication and a heavy-lift install campaign), while SURF takes less — wells are frequently drilled from the platform itself rather than tied back subsea, so there is less flowline and no riser/mooring system to buy."
Leviathan Phase 1,Noble Energy (now Chevron),2017,3750.0,new_host_fixed,4,drill,0.1818,681.8,381.8,981.8,allocated,"Top-down back-allocation of a disclosed $3,750MM total. Shares: ASSUMED prior for new_host_fixed. drill+complete shares tilted x0.67 for 4 wells vs a reference 12 for new_host_fixed (sub-linear, factor 0.5). Rationale: Fixed steel jacket / gravity-base platform (Clair Ridge, Tyra, Johan Sverdrup P2 class). Relative to a floater: HOST and INSTALL take a larger share (heavy jacket fabrication and a heavy-lift install campaign), while SURF takes less — wells are frequently drilled from the platform itself rather than tied back subsea, so there is less flowline and no riser/mooring system to buy."
Leviathan Phase 1,Noble Energy (now Chevron),2017,3750.0,new_host_fixed,4,surf,0.1591,596.6,371.6,821.6,allocated,"Top-down back-allocation of a disclosed $3,750MM total. Shares: ASSUMED prior for new_host_fixed. drill+complete shares tilted x0.67 for 4 wells vs a reference 12 for new_host_fixed (sub-linear, factor 0.5). Rationale: Fixed steel jacket / gravity-base platform (Clair Ridge, Tyra, Johan Sverdrup P2 class). Relative to a floater: HOST and INSTALL take a larger share (heavy jacket fabrication and a heavy-lift install campaign), while SURF takes less — wells are frequently drilled from the platform itself rather than tied back subsea, so there is less flowline and no riser/mooring system to buy."
Leviathan Phase 1,Noble Energy (now Chevron),2017,3750.0,new_host_fixed,4,install,0.1136,426.1,238.6,613.6,allocated,"Top-down back-allocation of a disclosed $3,750MM total. Shares: ASSUMED prior for new_host_fixed. drill+complete shares tilted x0.67 for 4 wells vs a reference 12 for new_host_fixed (sub-linear, factor 0.5). Rationale: Fixed steel jacket / gravity-base platform (Clair Ridge, Tyra, Johan Sverdrup P2 class). Relative to a floater: HOST and INSTALL take a larger share (heavy jacket fabrication and a heavy-lift install campaign), while SURF takes less — wells are frequently drilled from the platform itself rather than tied back subsea, so there is less flowline and no riser/mooring system to buy."
Leviathan Phase 1,Noble Energy (now Chevron),2017,3750.0,new_host_fixed,4,complete,0.0909,340.9,153.4,528.4,allocated,"Top-down back-allocation of a disclosed $3,750MM total. Shares: ASSUMED prior for new_host_fixed. drill+complete shares tilted x0.67 for 4 wells vs a reference 12 for new_host_fixed (sub-linear, factor 0.5). Rationale: Fixed steel jacket / gravity-base platform (Clair Ridge, Tyra, Johan Sverdrup P2 class). Relative to a floater: HOST and INSTALL take a larger share (heavy jacket fabrication and a heavy-lift install campaign), while SURF takes less — wells are frequently drilled from the platform itself rather than tied back subsea, so there is less flowline and no riser/mooring system to buy."
Leviathan Phase 1,Noble Energy (now Chevron),2017,3750.0,new_host_fixed,4,hookup,0.0682,255.7,143.2,368.2,allocated,"Top-down back-allocation of a disclosed $3,750MM total. Shares: ASSUMED prior for new_host_fixed. drill+complete shares tilted x0.67 for 4 wells vs a reference 12 for new_host_fixed (sub-linear, factor 0.5). Rationale: Fixed steel jacket / gravity-base platform (Clair Ridge, Tyra, Johan Sverdrup P2 class). Relative to a floater: HOST and INSTALL take a larger share (heavy jacket fabrication and a heavy-lift install campaign), while SURF takes less — wells are frequently drilled from the platform itself rather than tied back subsea, so there is less flowline and no riser/mooring system to buy."
Liza Phase 1,ExxonMobil,2017,4400.0,new_host_fpso,17,host,0.3028,1332.2,892.2,1772.2,allocated,"Top-down back-allocation of a disclosed $4,400MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x0.97 for 17 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Liza Phase 1,ExxonMobil,2017,4400.0,new_host_fpso,17,surf,0.2422,1065.8,713.8,1417.8,allocated,"Top-down back-allocation of a disclosed $4,400MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x0.97 for 17 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Liza Phase 1,ExxonMobil,2017,4400.0,new_host_fpso,17,drill,0.2159,949.8,597.8,1301.8,allocated,"Top-down back-allocation of a disclosed $4,400MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x0.97 for 17 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Liza Phase 1,ExxonMobil,2017,4400.0,new_host_fpso,17,complete,0.1079,474.9,254.9,694.9,allocated,"Top-down back-allocation of a disclosed $4,400MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x0.97 for 17 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Liza Phase 1,ExxonMobil,2017,4400.0,new_host_fpso,17,install,0.0807,355.3,179.3,531.3,allocated,"Top-down back-allocation of a disclosed $4,400MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x0.97 for 17 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Liza Phase 1,ExxonMobil,2017,4400.0,new_host_fpso,17,hookup,0.0505,222.0,90.0,354.0,allocated,"Top-down back-allocation of a disclosed $4,400MM total. Shares: ASSUMED prior for new_host_fpso. drill+complete shares tilted x0.97 for 17 wells vs a reference 18 for new_host_fpso (sub-linear, factor 0.5). Rationale: FPSO hull+topsides is the single largest line item. Well counts are high (15-30 on a Guyana-class development) but each well is a smaller share of a very large total."
Mad Dog Phase 2 (Argos),BP,2016,9000.0,new_host_semi,22,drill,0.3567,3210.4,2400.4,4020.4,allocated,"Top-down back-allocation of a disclosed $9,000MM total. Shares: ASSUMED prior for new_host_semi. drill+complete shares tilted x1.80 for 22 wells vs a reference 8 for new_host_semi (sub-linear, factor 0.5). Rationale: Semi-submersible FPU (GOM Anchor/Whale class). Fewer wells than an FPSO development; host is a major but not dominant share."
Mad Dog Phase 2 (Argos),BP,2016,9000.0,new_host_semi,22,host,0.2058,1852.1,1042.1,2662.1,allocated,"Top-down back-allocation of a disclosed $9,000MM total. Shares: ASSUMED prior for new_host_semi. drill+complete shares tilted x1.80 for 22 wells vs a reference 8 for new_host_semi (sub-linear, factor 0.5). Rationale: Semi-submersible FPU (GOM Anchor/Whale class). Fewer wells than an FPSO development; host is a major but not dominant share."
Mad Dog Phase 2 (Argos),BP,2016,9000.0,new_host_semi,22,complete,0.1784,1605.2,1155.2,2055.2,allocated,"Top-down back-allocation of a disclosed $9,000MM total. Shares: ASSUMED prior for new_host_semi. drill+complete shares tilted x1.80 for 22 wells vs a reference 8 for new_host_semi (sub-linear, factor 0.5). Rationale: Semi-submersible FPU (GOM Anchor/Whale class). Fewer wells than an FPSO development; host is a major but not dominant share."
Mad Dog Phase 2 (Argos),BP,2016,9000.0,new_host_semi,22,surf,0.1677,1509.1,789.1,2229.1,allocated,"Top-down back-allocation of a disclosed $9,000MM total. Shares: ASSUMED prior for new_host_semi. drill+complete shares tilted x1.80 for 22 wells vs a reference 8 for new_host_semi (sub-linear, factor 0.5). Rationale: Semi-submersible FPU (GOM Anchor/Whale class). Fewer wells than an FPSO development; host is a major but not dominant share."
Mad Dog Phase 2 (Argos),BP,2016,9000.0,new_host_semi,22,install,0.0534,480.2,120.2,840.2,allocated,"Top-down back-allocation of a disclosed $9,000MM total. Shares: ASSUMED prior for new_host_semi. drill+complete shares tilted x1.80 for 22 wells vs a reference 8 for new_host_semi (sub-linear, factor 0.5). Rationale: Semi-submersible FPU (GOM Anchor/Whale class). Fewer wells than an FPSO development; host is a major but not dominant share."
Mad Dog Phase 2 (Argos),BP,2016,9000.0,new_host_semi,22,hookup,0.0381,343.0,73.0,613.0,allocated,"Top-down back-allocation of a disclosed $9,000MM total. Shares: ASSUMED prior for new_host_semi. drill+complete shares tilted x1.80 for 22 wells vs a reference 8 for new_host_semi (sub-linear, factor 0.5). Rationale: Semi-submersible FPU (GOM Anchor/Whale class). Fewer wells than an FPSO development; host is a major but not dominant share."
