fclNpdidFacility,fclNpdidCurrentOperator,fclNpdidCurrentRespCompany,fclFixedOrMoveable,fclName,fclKind,fclPhase,fclFunctions,fclGeodeticDatum,fclNsDeg,fclNsMin,fclNsSec,fclNsCode,fclEwDeg,fclEwMin,fclEwSec,fclEwCode,fclUtmHemisphere,fclUtmZone,fclNsUtm,fclEwUtm,fclRkb,fclWaterDepth,fclStartupDate,fclDesignLifetime,fclStatus,fclSurface,fclBelongsToName,fclBelongsToS,fclBelongsToKind,fclCurrentOperatorName,fclCurrentRespCompanyName,fclNationCode2,fclNationName,fclBelongsToFactPageUrl,fclFactPageUrl,fclFactMapUrl,fclSlotCapacityGross,fclSlotCapacityNet,fclDateUpdated,fclFormalName1Quadrant,fclFormalName2Block,fclPointGeometryWKT
271245,32011216,,FIXED,OSEBERG A,CONDEEP 4 SHAFTS,IN SERVICE,DRILLING - PROCESSING - QUARTER,ED50,60,29,30.71,N,2,49,38.33,E,1,31,6706361.32,490510.84,0,109,1988-12-01 00:00:00,40,,Y,OSEBERG,43625,FIELD,Equinor Energy AS,,NO,Norway,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43625,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=271245,https://factmaps.sodir.no/factmaps/3_0/?run=FacilityByNPDID&scale=100000&NPDID=271245,,,2024-01-02 00:00:00,30,9,POINT (2.8273139 60.4918639)
271273,32011216,,FIXED,STATFJORD A,CONDEEP 3 SHAFTS,IN SERVICE,DRILLING - PROCESSING - QUARTER - STORAGE,ED50,61,15,20.46,N,1,51,13.95,E,1,31,6791967.89,438508.87,64.4,145,1979-11-24 00:00:00,30,,Y,STATFJORD,43658,FIELD,Equinor Energy AS,,NO,Norway,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43658,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=271273,https://factmaps.sodir.no/factmaps/3_0/?run=FacilityByNPDID&scale=100000&NPDID=271273,42,42,2024-01-02 00:00:00,33,9,POINT (1.853875 61.2556833)
271301,32011216,,FIXED,STATFJORD B,CONDEEP 4 SHAFTS,IN SERVICE,DRILLING - PROCESSING - QUARTER - STORAGE,ED50,61,12,24.88,N,1,49,50.29,E,1,31,6786557.69,437164.96,77.8,145,1982-11-05 00:00:00,30,,Y,STATFJORD,43658,FIELD,Equinor Energy AS,,NO,Norway,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43658,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=271301,https://factmaps.sodir.no/factmaps/3_0/?run=FacilityByNPDID&scale=100000&NPDID=271301,42,42,2024-01-02 00:00:00,33,12,POINT (1.8306361 61.2069111)
271329,32011216,,FIXED,STATFJORD C,CONDEEP 4 SHAFTS,IN SERVICE,DRILLING - PROCESSING - QUARTER - STORAGE,ED50,61,17,47.7,N,1,54,9.17,E,1,31,6796478.63,441196.55,78.4,145,1985-06-26 00:00:00,30,,Y,STATFJORD,43658,FIELD,Equinor Energy AS,,NO,Norway,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43658,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=271329,https://factmaps.sodir.no/factmaps/3_0/?run=FacilityByNPDID&scale=100000&NPDID=271329,42,42,2024-01-02 00:00:00,33,9,POINT (1.9025472 61.2965833)
271357,2410696,,FIXED,ALBUSKJELL A,JACKET 12 LEGS,REMOVED,,ED50,56,38,34.39,N,2,56,24.03,E,1,31,6277776.33,496320.62,41,71,1979-05-01 00:00:00,20,,Y,ALBUSKJELL,43437,FIELD,ConocoPhillips Skandinavia AS,,NO,Norway,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43437,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=271357,https://factmaps.sodir.no/factmaps/3_0/?run=FacilityByNPDID&scale=100000&NPDID=271357,,,2024-01-02 00:00:00,1,6,POINT (2.9400083 56.6428861)
271385,2410696,,FIXED,EKOFISK A,JACKET 8 LEGS,REMOVED,DRILLING - OIL PRODUCER - PROCESSING - QUARTER,ED50,56,31,15.65,N,3,13,22.29,E,1,31,6264231.08,513712.28,34,74.2,1974-01-01 00:00:00,20,,Y,EKOFISK,43506,FIELD,ConocoPhillips Skandinavia AS,,NO,Norway,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43506,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=271385,https://factmaps.sodir.no/factmaps/3_0/?run=FacilityByNPDID&scale=100000&NPDID=271385,,,2024-01-02 00:00:00,2,4,POINT (3.2228583 56.5210139)
271413,2410696,,FIXED,EKOFISK B,JACKET 12 LEGS,IN SERVICE,DRILLING - OIL PRODUCER - PROCESSING - WELLHEAD,ED50,56,33,55.27,N,3,12,13.28,E,1,31,6269162.84,512518.17,51.5,74,1974-10-01 00:00:00,20,,Y,EKOFISK,43506,FIELD,ConocoPhillips Skandinavia AS,,NO,Norway,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43506,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=271413,https://factmaps.sodir.no/factmaps/3_0/?run=FacilityByNPDID&scale=100000&NPDID=271413,,,2024-01-02 00:00:00,2,4,POINT (3.2036889 56.5653528)
271441,2410696,,FIXED,EKOFISK C,JACKET 12 LEGS,IN SERVICE,DRILLING - OIL PRODUCER,ED50,56,32,52.23,N,3,12,55.86,E,1,31,6267215.87,513251.19,37,76.8,1974-01-01 00:00:00,20,,Y,EKOFISK,43506,FIELD,ConocoPhillips Skandinavia AS,,NO,Norway,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43506,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=271441,https://factmaps.sodir.no/factmaps/3_0/?run=FacilityByNPDID&scale=100000&NPDID=271441,,,2024-01-02 00:00:00,2,4,POINT (3.2155167 56.5478417)
271469,2410696,,FIXED,EKOFISK K,JACKET 8 LEGS,IN SERVICE,DRILLING - QUARTER - WATER INJECTION,ED50,56,33,56.89,N,3,12,21.98,E,1,31,6269213.38,512666.54,56,74,1987-01-01 00:00:00,20,,Y,EKOFISK,43506,FIELD,ConocoPhillips Skandinavia AS,,NO,Norway,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43506,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=271469,https://factmaps.sodir.no/factmaps/3_0/?run=FacilityByNPDID&scale=100000&NPDID=271469,,,2024-01-02 00:00:00,2,4,POINT (3.2061056 56.5658028)
271497,2410696,,FIXED,VEST EKOFISK,JACKET 8 LEGS,REMOVED,,ED50,56,33,47.55,N,3,5,8.16,E,1,31,6268908.85,505261.04,34.1,75.1,1974-01-01 00:00:00,20,,Y,VEST EKOFISK,43513,FIELD,ConocoPhillips Skandinavia AS,,NO,Norway,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43513,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=271497,https://factmaps.sodir.no/factmaps/3_0/?run=FacilityByNPDID&scale=100000&NPDID=271497,,,2024-01-02 00:00:00,2,4,POINT (3.0856 56.5632083)
