activity_nr,reporting_id,state_flag,estab_name,site_address,site_city,site_state,site_zip,owner_type,owner_code,adv_notice,safety_hlth,sic_code,naics_code,insp_type,insp_scope,why_no_insp,union_status,safety_manuf,safety_const,safety_marit,health_manuf,health_const,health_marit,migrant,mail_street,mail_city,mail_state,mail_zip,host_est_key,nr_in_estab,open_date,case_mod_date,close_conf_date,close_case_date,ld_dt
127530,0213600,,RIZZO TRENCHING & WELL HOOK UP,26 INSTITUTE ST,Frewsburg,NY,14738,,0000,,S,1381,000000,H,A,,B,,,,,,,,,,,00000,,3,1984-01-27,,1984-01-27,1984-01-27,2011-10-14 16:38:47 EDT
129130,0213600,,INTL PETROLEUM SERV CO,GIERLINGER SITE WELL 1,Sinclairville,NY,14782,,0000,,S,1381,000000,A,B,,B,,,,,,,,,,,00000,,15,1984-02-08,,1984-03-12,1984-03-12,2011-10-14 16:38:47 EDT
227280,0419400,,B & B OIL WELL SERVICE CO,BOLTON FIELD ERNEST ROBINSON 4,Bolton,MS,39041,,0000,,S,1381,000000,F,A,,B,,,,,,,,,,,00000,,60,1984-03-21,,1984-03-21,1984-03-27,2011-10-14 16:38:47 EDT
227561,0419400,,B&B OIL WELL SERVICE,BOLTON FIELD ERNEST ROBINSON 4,Bolton,MS,39041,,0000,,S,1381,000000,A,A,,B,,,,,,,,,,,00000,,60,1984-02-16,,1984-02-18,1984-03-27,2011-10-14 16:38:47 EDT
267468,0522500,,TEMPLE OIL & GAS CO,HELSER LEASE WELL NUMBER ONE,Thornville,OH,43076,,0000,Y,S,1381,000000,H,A,,B,,,,,,,,,,,00000,,2,1984-02-02,,1984-02-02,1984-03-22,2011-10-14 16:38:47 EDT
267542,0522500,,HAMM DRILLING CO,MELVIN BAKER LEASE WELL 1,Junction City,OH,43748,,0000,,S,1381,000000,H,A,,B,,,,,,,,,,,00000,,4,1984-02-02,,1984-02-02,1984-03-23,2011-10-14 16:38:47 EDT
267583,0522500,,L A MOORE & SON INC,LESTER A MOORE LEASE WELL LA,Thornville,OH,43076,,0000,,S,1381,000000,H,A,,B,,,,,,,,,,,00000,,6,1984-01-31,,1984-01-31,1984-03-23,2011-10-14 16:38:47 EDT
268599,0522500,,QUAPAW DRILLING & EXPLORATION,GARBER & HOSTETLER LEASE WELL,Strasburg,OH,44680,,0000,,S,1381,000000,H,A,,B,,,,,,,,,,,00000,,4,1984-02-09,2016-06-03,1984-02-09,1984-03-27,2016-06-30 01:10:52 EDT
268631,0522500,,CARR DRILLING,LUCAS LEASE WELL 1,New Lexington,OH,43764,,0000,,S,1381,000000,H,A,,B,,,,,,,,,,,00000,,3,1984-02-08,,1984-02-08,1984-02-22,2011-10-14 16:38:47 EDT
268789,0522500,,C V A S DRILLING INC,DEMUTH LEASE NUMBER TWO WELL,New Philadelphia,OH,44663,,0000,,S,1381,000000,H,A,,B,,,,,,,,,,,00000,,4,1984-02-10,,1984-02-10,1984-08-06,2011-10-14 16:38:47 EDT
