SN_APD,API_WELL_NUMBER,MMS_COMPANY_NUM,KICKOFF_POINT_MD,WELL_NAME,WELL_NM_BP_SFIX,WELL_NM_ST_SFIX,WATER_DEPTH,PERMIT_TYPE,PRP_RKB_ELEV,MINERAL_CODE,REQ_SPUD_DATE,SUBSEA_BOP_FLAG,WELL_TYPE_CODE,DRIVE_DEPTH,DRIVE_SIZE,SURF_AREA_CODE,SURF_BLOCK_NUMBER,SURF_LEASE_NUMBER,SURF_STATE_LEASE_NUM,SURF_X_COORD_LOC,SURF_Y_COORD_LOC,SURF_LATITUDE,SURF_LONGITUDE,SURF_E_W_DISTANCE,SURF_E_W_CODE,SURF_N_S_DISTANCE,SURF_N_S_CODE,BOTM_AREA_CODE,BOTM_BLOCK_NUMBER,BOTM_LEASE_NUMBER,BOTM_STATE_LEASE_NUM,SV_PLAN_CTRL_CD,SV_PLAN_CTRL_NUM,SV_SURF_LEASE_NUM,SV_SURF_AREA_CODE,SV_SURF_BLOCK_NUM,SV_WELL_NAME,BV_PLAN_CTRL_CD,BV_PLAN_CTRL_NUM,BV_BOTM_LEASE_NUM,BV_BOTM_AREA_CODE,BV_BOTM_BLOCK_NUM,BV_WELL_NAME,RIG_ANCHOR_FLAG,RIG_NAME,RIG_TYPE_CODE,RIG_ID_NUM,RIG_FUNC_CODE,CONSTRUCTION_YR,SHIPYARD_NAME,REFURBISHED_YR,RATED_WTR_DEPTH,RATE_DRIL_DEPTH,ABS_CERT_EXPR_DT,CG_CERT_EXPR_DT,SAFE_BRN_APRV_DT,SAFE_BURN_DIST,SAFE_BRN_RMK,BUS_ASC_NAME,APD_SUB_STATUS_DT,APD_STATUS_DT
-6699,177124047202,1284,8049.0,A002,1,1,285,Bypass,119,H,5/1/2008,N,E,629,30,SS,315,G09631,,2074347.0,-172443.86,28.19232103,-91.10263897,3653,E,7118,S,SS,314,G26074,,,,,,,,,,,,,,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216,D,1976,LETOURNEAU,,320,30000,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,"W & T Offshore, Inc.",5/1/2008 3:58:00 PM,5/2/2008 2:55:43 PM
-6226,177124047201,2859,8049.0,A002,0,1,285,Sidetrack,119,H,3/1/2008,N,E,629,30,SS,315,G09631,,2074347.0,-172443.86,28.19232103,-91.10263897,3653,E,7118,S,SS,314,G26074,,,,,,,,,,,,,,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216,D,1976,LETOURNEAU,,320,30000,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Offshore Shelf LLC,2/1/2008 7:22:16 AM,2/28/2008 12:00:01 PM
-6078,177124047502,2859,8100.0,A004,0,2,285,Sidetrack,91,H,1/8/2008,N,E,631,30,SS,315,G09631,,2074357.0,-172442.86,28.19232372,-91.10260794,3643,E,7119,S,SS,314,G26074,,,,,,,,,,,,,,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216,D,1976,LETOURNEAU,,320,30000,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Offshore Shelf LLC,1/2/2008 3:20:54 PM,1/3/2008 2:14:03 PM
-6069,177124047402,2859,8695.0,A003,0,2,285,Sidetrack,91,H,11/12/2007,N,E,627,30,SS,315,G09631,,2074362.0,-172436.86,28.19234019,-91.10259238,3638,E,7125,S,SS,315,G09631,,,,,,,,,,,,,,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216,D,1976,LETOURNEAU,,320,30000,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Offshore Shelf LLC,1/2/2008 1:41:27 PM,1/3/2008 2:12:06 PM
-5884,177124047401,2859,8695.0,A003,0,1,285,Revised Sidetrack,91,H,11/12/2007,N,E,627,30,SS,315,G09631,,2074362.0,-172436.86,28.19234019,-91.10259238,3638,E,7125,S,SS,315,G09631,,,,,,,,,,,,,,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216,D,1976,LETOURNEAU,,320,30000,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Offshore Shelf LLC,11/27/2007 10:18:00 AM,11/27/2007 1:31:08 PM
-5775,177124047401,2859,8695.0,A003,0,1,285,Sidetrack,91,H,11/12/2007,N,E,627,30,SS,315,G09631,,2074362.0,-172436.86,28.19234019,-91.10259238,3638,E,7125,S,SS,315,G09631,,,,,,,,,,,,,,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216,D,1976,LETOURNEAU,,320,30000,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Offshore Shelf LLC,11/2/2007 2:14:31 PM,11/9/2007 2:35:40 PM
-5325,427094099501,2894,80.0,A004,0,1,278,Revised Sidetrack,150,H,4/6/2007,N,D,725,30,HI,A550,G04081,,3580175.81,96006.0,28.00635497,-94.10241067,6500,E,6954,N,HI,A550,G04081,,,,,,,,,,,,,,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216,D,1976,LETOURNEAU,,320,30000,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Beryl Oil and Gas LP,8/1/2007 9:19:02 AM,8/1/2007 10:24:10 AM
-5314,427094099501,2894,80.0,A004,0,1,278,Revised Sidetrack,150,H,4/6/2007,N,D,725,30,HI,A550,G04081,,3580175.81,96006.0,28.00635497,-94.10241067,6500,E,6954,N,HI,A550,G04081,,,,,,,,,,,,,,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216,D,1976,LETOURNEAU,,320,30000,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Coldren Resources LP,7/31/2007 1:32:58 PM,7/31/2007 1:38:44 PM
-5185,427094099501,2894,80.0,A004,0,1,278,Revised Sidetrack,150,H,4/6/2007,N,D,725,30,HI,A550,G04081,,3580175.81,96006.0,28.00635497,-94.10241067,6500,E,6954,N,HI,A550,G04081,,,,,,,,,,,,,,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216,D,1976,LETOURNEAU,,320,30000,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Coldren Resources LP,7/3/2007 4:16:33 PM,7/5/2007 11:37:55 AM
-4982,427094099501,2894,80.0,A004,0,1,278,Revised Sidetrack,100,H,4/6/2007,N,D,725,30,HI,A550,G04081,,3580175.81,96006.0,28.00635497,-94.10241067,6500,E,6954,N,HI,A550,G04081,,,,,,,,,,,,,,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216,D,1976,LETOURNEAU,,320,30000,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Coldren Resources LP,6/5/2007 10:14:30 AM,6/6/2007 5:03:07 PM
-4896,177164034401,222,9942.0,001,1,0,307,Bypass,115,H,4/28/2007,N,E,650,30,ST,293,G27945,,2278815.071235,-174234.997485,28.18470889,-90.46824389,3235,W,1354,S,ST,293,G27945,,,,,,,,,,,,,,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216,D,1976,LETOURNEAU,,320,30000,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,"Hunt Petroleum (AEC), Inc.",5/16/2007 12:46:19 PM,5/18/2007 12:41:18 PM
-4745,427094099501,2894,80.0,A004,0,1,278,Revised Sidetrack,100,H,4/6/2007,N,D,725,30,HI,A550,G04081,,3580175.81,96006.0,28.00635497,-94.10241067,6500,E,6954,N,HI,A550,G04081,,,,,,,,,,,,,,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216,D,1976,LETOURNEAU,,320,30000,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Coldren Resources LP,4/20/2007 9:19:42 AM,4/25/2007 10:32:19 AM
-4476,177164034400,222,,001,0,0,307,New Well,115,H,3/3/2007,N,E,650,30,ST,293,G27945,,2278815.071235,-174234.997485,28.18470889,-90.46824389,3235,W,1354,S,ST,293,G27945,,N,8859.0,G27945,ST,293.0,A,N,8859.0,G27945,ST,293.0,A,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216,D,1976,LETOURNEAU,,320,30000,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,"Hunt Petroleum (AEC), Inc.",3/2/2007 10:20:39 AM,3/6/2007 7:40:36 AM
-4395,177104161300,78,,006,0,0,200,Revised New Well,130,H,12/22/2006,N,E,680,36,EI,338,G02118,,1885621.802479,-173781.619947,28.18836194,-91.68822861,5799,W,5782,S,EI,338,G02118,,S,6976.0,G02118,EI,338.0,F,S,6976.0,G02118,EI,338.0,F,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216,D,1976,LETOURNEAU,,320,30000,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Chevron U.S.A. Inc.,2/15/2007 4:11:09 PM,2/21/2007 7:10:42 AM
-4328,177104161500,1978,,001,0,0,300,New Well,100,H,2/15/2007,N,E,575,30,EI,351,G23883,,1916561.022201,-189928.043486,28.14419889,-91.59211694,6694,W,4134,S,EI,351,G23883,,N,8815.0,G23883,EI,351.0,A,N,8815.0,G23883,EI,351.0,A,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216,D,1976,LETOURNEAU,,320,30000,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,"Helis Oil & Gas Company, L.L.C.",2/5/2007 1:41:39 PM,3/2/2007 3:24:43 PM
-4105,177054124900,78,,F009,0,0,133,Revised New Well,126,H,8/25/2006,N,D,550,24,VR,245,G01146,,1642960.547196,-33120.306464,28.57083222,-92.44536778,4422,E,3490,S,VR,245,G01146,,S,4181.0,G01146,VR,245.0,F-10,S,4181.0,G01146,VR,245.0,F-9,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216,D,1976,LETOURNEAU,,320,30000,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Chevron U.S.A. Inc.,12/18/2006 3:39:16 PM,12/19/2006 12:09:28 PM
-4014,177104161300,78,,006,0,0,200,New Well,130,H,12/22/2006,N,E,680,36,EI,338,G02118,,1885621.802479,-173781.619947,28.18836194,-91.68822861,5799,W,5782,S,EI,338,G02118,,S,6976.0,G02118,EI,338.0,F,S,6976.0,G02118,EI,338.0,F,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216,D,1976,LETOURNEAU,,320,30000,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Chevron U.S.A. Inc.,12/1/2006 2:46:47 PM,12/13/2006 7:50:51 AM
-4006,177054124900,78,,F009,0,0,133,Revised New Well,126,H,8/25/2006,N,D,550,24,VR,245,G01146,,1642960.547196,-33120.306464,28.57083222,-92.44536778,4422,E,3490,S,VR,245,G01146,,S,4181.0,G01146,VR,245.0,F-10,S,4181.0,G01146,VR,245.0,F-9,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216,D,1976,LETOURNEAU,,320,30000,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Chevron U.S.A. Inc.,11/29/2006 10:29:52 AM,11/29/2006 2:02:46 PM
