Year,Consultations opened,Employees affected,SHARP,VPP,Inspections,Workers covered by inspections,Percent in compliance,Citations,Violations,Penalties ($ millions)
1988,502,,,,5697,147414,23.3,4368,15735,1.9
1989,671,,,,5136,167432,24.2,3892,12364,1.5
1990,943,102739,,,4826,164052,21.4,3794,14009,2.8
1991,1741,250623,,,5506,163807,18.8,4472,17118,2.8
1992,2491,342683,,,5739,206170,17.7,4721,19424,3.2
1993,2089,249387,,,5613,245929,20.1,4485,17611,4.7
1994,2482,256604,,,5022,262509,20.9,3970,15292,4.6
1995,2153,231113,,,5470,227412,25.2,4093,15302,5.8
1996,1854,233732,4,,5181,195375,26.2,3823,12434,2.9
1997,1828,153922,9,1,4555,182058,28.2,3269,10359,3.9
1998,2050,219565,24,2,5172,152324,28.0,3725,11366,2.4
1999,2127,233665,42,3,5435,168258,30.7,3767,11433,3
2000,2505,241965,50,4,5069,165151,28.2,3642,11094,2.3
2001,2828,260695,69,4,5370,197722,27.8,3879,12701,2.4
2002,2457,219418,75,6,5642,196193,26.1,4170,12703,2.1
2003,2060,230245,80,9,5355,217724,26.4,3940,11700,2.3
2004,2094,229130,86,8,5097,207463,24.9,3827,11805,2.4
2005,2124,187449,104,9,4890,274457,22.2,3805,11376,2
2006,2283,221157,107,13,4873,355103,26.2,3595,10020,2.4
2007,2098,203369,126,16,5049,244111,25.5,3759,10495,2.4
2008,2542,209525,142,23,5248,221994,23.7,4004,10623,2.5
2009,2898,268631,161,24,5542,212372,24.0,4214,11582,3.1
2010,2693,159305,196,27,5261,132245,27.3,3825,10311,1.7
2011,2652,158535,174,28,4592,105395,29.5,3238,8605,2
2012,2735,160682,163,27,4101,127109,28.6,2928,7676,1.7
2013,2546,108628,168,22,4192,101955,31.5,2873,7308,1.8
2014,2638,106361,172,20,4244,127150,32.3,2872,7123,2
2015,2534,97753,173,21,4183,131272,32.7,2815,6839,2
2016,2602,102569,180,22,3946,105574,31.5,2704,6306,2.1
2017,2464,80349,180,21,3787,92859,31.5,2594,6139,2.5
2018,2502,92984,182,22,3288,96667,32.4,2224,5197,3.2
2019,2435,106191,211,21,3382,90083,34.1,2230,5116,3.6
2020,1649,79187,212,20,2010,65551,37.6,1254,2837,1.95
2021,1553,64353,175,21,1339,37758,37.7,834,1795,2.12
2022,1814,80917,183,23,1915,51020,34.4,1255,3129,2.48
2023,2457,109455,180,22,2686,76897,29.2,1903,4858,2.76
