incident_id,date,vessel_name,description,fatalities,cause_of_death,location
FA001,2024-01-10,Bulk Carrier Oceanic,"Crew member fell from ladder in cargo hold during inspection, impact trauma",1,"Fall from height","Port of Guangzhou, 23°N 113°E"
FA002,2024-01-28,Tanker Global,"Engineer electrocuted while working on electrical panel, inadequate lockout procedure",1,"Electrocution","Persian Gulf, 28°N 51°E"
FA003,2024-02-15,Fishing Vessel Atlantic,"Crew member swept overboard during storm, lost at sea despite search efforts",1,"Man overboard","North Atlantic, 50°N 30°W"
FA004,2024-03-05,Container Ship Harmony,"Crane operator struck by falling container, crush injuries proved fatal",1,"Struck by object","Port of Hamburg, 53°N 9°E"
FA005,2024-03-20,Chemical Tanker Aurora,"Toxic gas exposure in cargo tank, inadequate ventilation during tank cleaning",2,"Chemical exposure","Gulf of Mexico, 27°N 92°W"
FA006,2024-04-12,Bulk Carrier Pacific,"Confined space entry without proper testing, oxygen deficiency in cargo hold",1,"Asphyxiation","South China Sea, 18°N 112°E"
FA007,2024-04-30,MV Eastern Star,"Fire in accommodation area, crew member died from smoke inhalation",1,"Smoke inhalation","Red Sea, 22°N 37°E"
FA008,2024-05-15,Fishing Trawler Discovery,"Heavy equipment shifted in rough seas, crew member crushed against bulkhead",1,"Crush injury","Bering Sea, 58°N 175°W"
FA009,2024-05-28,Container Ship Progress,"Crew member fell into cargo hold while securing containers, fatal injuries",1,"Fall from height","Port of Los Angeles, 33°N 118°W"
FA010,2024-06-10,Oil Tanker Voyager,"Explosion in pump room during maintenance, thermal burns and blast injuries",2,"Explosion/burns","Arabian Sea, 19°N 67°E"
FA011,2024-06-25,Bulk Carrier Neptune,"Chief engineer heart attack while on watch, medical emergency at sea",1,"Medical emergency","Indian Ocean, 12°S 85°E"
FA012,2024-07-08,Chemical Carrier Polaris,"Crew member trapped in closing watertight door, crush injuries to torso",1,"Caught between","English Channel, 49°N 2°W"
FA013,2024-07-22,Fishing Vessel Endeavor,"Crew member entangled in fishing gear, dragged overboard and drowned",1,"Drowning","North Sea, 56°N 4°E"
FA014,2024-08-05,Container Ship Dynasty,"Deck crew struck by loose cargo during rough weather, blunt force trauma",1,"Struck by object","Pacific Ocean, 25°N 140°E"
FA015,2024-08-20,Tanker Phoenix,"Heat stroke in engine room, inadequate ventilation and high ambient temperature",1,"Heat stress","Suez Canal, 30°N 32°E"
FA016,2024-09-02,Bulk Carrier Olympus,"Crew member fell overboard during mooring operations, body not recovered",1,"Man overboard","Port of Rotterdam, 51°N 4°E"
FA017,2024-09-18,Fishing Trawler Fortune,"Winch cable failure, crew member struck by whipping cable",1,"Struck by object","North Atlantic, 52°N 20°W"
FA018,2024-10-01,Container Ship Meridian,"Crew member fell between vessel and dock during berthing, crush injuries",1,"Caught between","Port of Singapore, 1°N 103°E"
FA019,2024-10-15,Chemical Tanker Horizon,"Toxic vapor release during cargo operations, acute respiratory failure",1,"Chemical exposure","Gulf of Thailand, 12°N 101°E"
FA020,2024-10-28,Bulk Carrier Titan,"Crew member struck by swinging crane load, head trauma",1,"Struck by object","Port of Shanghai, 31°N 121°E"
