incident_id,date,vessel_name,description,severity,location
H001,2024-01-15,MV Atlantic Star,"Engine room hatch left open during rough seas, water ingress caused flooding in machinery spaces",Critical,"North Atlantic, 45°N 30°W"
H002,2024-02-03,SS Pacific Dawn,"Watertight door to engine room failed to close properly, crew discovered malfunction during inspection",High,"Pacific Ocean, 10°S 140°E"
H003,2024-02-18,Tanker Horizon,"Access hatch to cargo hold not secured, discovered open during storm conditions",Critical,"Gulf of Mexico, 28°N 90°W"
H004,2024-03-05,Bulk Carrier Neptune,"Engine room access door seal degraded, water entered through improper closure",Medium,"Mediterranean Sea, 36°N 15°E"
H005,2024-03-22,Container Ship Meridian,"Hatch cover locking mechanism jammed, unable to secure properly before departure",High,"South China Sea, 20°N 115°E"
H006,2024-04-10,MV Eastern Pride,"Ventilation hatch to machinery space left unsecured, crew failed to follow checklist",Medium,"Indian Ocean, 5°S 75°E"
H007,2024-04-28,Chemical Tanker Aurora,"Access portal to engine compartment inadvertently left open during maintenance",High,"North Sea, 56°N 3°E"
H008,2024-05-12,Fishing Vessel Endeavor,"Deck hatch seal worn, water infiltration during heavy weather operation",Critical,"Bering Sea, 58°N 175°W"
H009,2024-05-30,Cargo Ship Constellation,"Watertight door automatic closing system failed, manual override not engaged",High,"Caribbean Sea, 18°N 75°W"
H010,2024-06-15,Oil Tanker Voyager,"Engine room escape hatch found ajar after departure, improper securing procedure",Medium,"Persian Gulf, 26°N 52°E"
H011,2024-06-28,Bulk Carrier Titan,"Collision caused damage to cargo hold hatches, water ingress through compromised seals",Critical,"Bay of Bengal, 15°N 90°E"
H012,2024-07-08,MV Global Trader,"Inspection hatch to void space not properly closed, discovered during routine check",Low,"Baltic Sea, 58°N 20°E"
H013,2024-07-22,Container Ship Apex,"Hatch coaming damaged during cargo operations, seal integrity compromised",Medium,"Port of Singapore, 1°N 103°E"
H014,2024-08-05,Tanker Phoenix,"Emergency access to machinery space found unsecured during drill",Medium,"Red Sea, 20°N 38°E"
H015,2024-08-19,Fishing Trawler Discovery,"Fish hold hatch cover bolts not tightened, cover displaced in rough seas",Critical,"North Pacific, 50°N 170°W"
H016,2024-09-02,Bulk Carrier Olympus,"Weather deck hatch seal deteriorated, routine maintenance overlooked",High,"South Atlantic, 35°S 20°W"
H017,2024-09-15,MV Southern Cross,"Cargo hold ventilator not secured, damage during storm caused water entry",Medium,"Tasman Sea, 40°S 175°E"
H018,2024-09-28,Chemical Carrier Polaris,"Tank access hatch gasket failed, improper replacement during last maintenance",High,"English Channel, 50°N 1°W"
H019,2024-10-10,Container Ship Dynasty,"Bow thruster compartment hatch left open, crew error during departure preparations",Medium,"Panama Canal, 9°N 79°W"
H020,2024-10-22,Oil Tanker Sovereign,"Pump room access door hydraulic closure malfunctioned, manual securing attempted but incomplete",Critical,"Gulf of Aden, 12°N 45°E"
NI001,2024-01-20,MV Arctic Explorer,"Routine cargo operations completed successfully, all safety checks passed",None,"North Sea, 60°N 5°E"
NI002,2024-02-14,Bulk Carrier Harmony,"Engine room inspection completed, all hatches and doors verified secure",None,"Mediterranean Sea, 38°N 10°E"
NI003,2024-03-10,Container Ship Progress,"Safety drill conducted, emergency procedures reviewed with crew",None,"South China Sea, 22°N 114°E"
NI004,2024-04-05,Tanker Liberty,"Routine maintenance of ventilation systems completed without incident",None,"Persian Gulf, 27°N 50°E"
NI005,2024-05-18,Fishing Vessel Fortune,"Successful fishing operations, vessel in good condition",None,"North Atlantic, 52°N 25°W"
NI006,2024-06-22,MV Eastern Star,"Port state inspection passed all requirements, no deficiencies noted",None,"Port of Rotterdam, 51°N 4°E"
NI007,2024-07-30,Bulk Carrier Prosperity,"Cargo loading operations completed safely, all procedures followed",None,"Port of Shanghai, 31°N 121°E"
NI008,2024-08-25,Container Ship Excellence,"Routine voyage completed on schedule, no safety incidents reported",None,"Pacific Ocean, 35°N 140°E"
NI009,2024-09-12,Tanker Independence,"Fuel transfer operations conducted with all safety protocols observed",None,"Gulf of Mexico, 29°N 94°W"
NI010,2024-10-08,Cargo Ship Triumph,"Weather routing system helped avoid severe storm, voyage successful",None,"North Atlantic, 48°N 40°W"
