INCCOUNT,INC_ISSUE_DATE,BUS_ASC_NAME,MMS_COMPANY_NUM
4,6/29/1995,Pennzoil Exploration and Production Company,1291
1,2/15/2000,Shell Offshore Inc.,689
2,9/30/2003,Apache Corporation,105
2,6/3/1987,Enron Corp.,333
1,12/15/2015 10:40:00 AM,Fieldwood Energy LLC,3295
1,2/12/1994,"Gulfstream Resources, Inc.",1091
1,7/30/1993,Marathon Oil Company,724
4,7/13/2005,"PetroQuest Energy, L.L.C.",2222
2,9/19/1999,Samedan Oil Corporation,185
1,5/30/2003,The Louisiana Land and Exploration Company,83
2,3/28/2012,"Marlin Coastal, L.L.C.",2807
1,10/12/2006,Petsec Energy Inc.,1586
2,7/16/1987,Tenneco Oil Company,81
1,7/11/1997,El Paso Production GOM Inc.,1138
1,3/7/2013,"Flextrend Development Company, L.L.C.",1986
2,4/3/2008,GOM Shelf LLC,2451
1,10/29/1993,El Paso Production Company,236
1,1/13/1996,Walter Oil & Gas Corporation,730
1,8/1/2006,Apache Corporation,105
1,4/12/2012,Exxon Mobil Corporation,276
2,7/10/2006,Fieldwood Energy SP LLC,2636
1,11/6/2015 10:19:01 AM,Tana Exploration Company LLC,2579
2,6/26/2000,Union Oil Company of California,3
2,8/30/1988,BP Exploration Inc.,593
1,3/16/1988,"Union Exploration Partners, Ltd.",985
2,7/23/1991,Newfield Exploration Company,1364
3,4/20/1994,Seneca Resources Corporation,560
2,6/27/1988,"Union Exploration Partners, Ltd.",985
2,5/22/1994,Walter Oil & Gas Corporation,730
1,7/25/2002,Chevron U.S.A. Inc.,78
1,6/24/1998,Conoco Inc.,1
1,10/20/2001,Sabine Oil & Gas Corporation,48
2,12/6/1990,ORYX ENERGY COMPANY,250
1,6/22/1990,"SOCO Offshore, Inc.",748
1,7/12/1996,Exxon Mobil Corporation,276
1,10/7/2016 2:23:54 PM,Fieldwood Energy LLC,3295
1,11/21/2018 11:55:15 AM,GOM Shelf LLC,2451
1,8/22/1991,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,540
3,4/23/2008,"Arena Offshore, LP",2628
1,9/19/2017 11:35:21 AM,"Cox Operating, L.L.C.",3151
3,6/9/1994,Aquila Energy Corporation,1211
2,7/19/2012,"Castex Offshore, Inc.",2970
5,4/21/1994,"SOCO Offshore, Inc.",748
1,8/29/2019 2:29:15 PM,Fieldwood Energy LLC,3295
2,5/14/1995,Shell Offshore Inc.,689
5,11/6/2008,Apache Corporation,105
1,9/13/1989,Mobil Producing Texas & New Mexico Inc.,565
1,10/7/2016 12:35:30 PM,Talos Energy Offshore LLC,3247
1,5/16/1990,Kerr-McGee Corporation,35
2,6/18/2002,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,540
3,7/11/1990,Shell Offshore Inc.,689
1,12/7/2001,Talos Petroleum LLC,1834
1,10/3/2018 1:08:32 PM,"Texas Eastern Transmission, LP",176
1,8/22/2019 8:02:25 AM,ANKOR Energy LLC,3059
1,10/6/2009,JX Nippon Oil Exploration (U.S.A.) Limited,1482
1,3/1/2000,Samedan Oil Corporation,185
2,9/19/2002,Shell Frontier Oil & Gas Inc.,1728
2,7/1/2008,Talos Petroleum LLC,1834
1,8/13/2014,Chevron U.S.A. Inc.,78
3,5/19/2008,McMoRan Oil & Gas LLC,2312
2,10/17/1995,"Energen Resources MAQ, Inc.",898
3,6/9/2021 2:36:05 PM,"MC Offshore Petroleum, LLC",2957
5,1/31/2015,"Black Elk Energy Offshore Operations, LLC",3033
6,4/21/1989,"Union Exploration Partners, Ltd.",985
1,8/18/1987,Union Texas Petroleum Corporation,968
1,6/26/2019 2:39:54 PM,"Cox Operating, L.L.C.",3151
2,8/1/1990,"SOCO Offshore, Inc.",748
1,6/12/2019 2:42:14 PM,"Energy XXI GOM, LLC",2375
1,4/1/1992,Shell Offshore Inc.,689
2,7/16/2004,Anadarko E&P Company LP,148
3,3/28/2012,"Black Elk Energy Offshore Operations, LLC",3033
1,11/5/2015 11:52:10 AM,"Century Exploration New Orleans, LLC",2714
5,9/27/2001,"Denbury Offshore, Inc.",2522
1,4/17/2009,Eni US Operating Co. Inc.,2782
4,9/8/1995,Hunt Oil Company,64
7,7/5/1996,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,540
1,10/8/2014,Medco Energi US LLC,2672
2,7/23/2007,"Rooster Petroleum, LLC",2871
1,5/30/2006,"Arena Offshore, LP",2628
3,6/1/1992,Hall-Houston Oil Company,846
6,7/10/1990,ConocoPhillips Company,56
1,2/7/2020 1:40:04 PM,"Renaissance Offshore, LLC",3209
4,9/15/1992,Samedan Oil Corporation,185
3,5/27/1993,Atlantic Richfield Company,967
1,7/29/1999,"Dominion Exploration & Production, Inc.",282
2,9/13/2012,"Century Exploration New Orleans, LLC",2714
1,7/9/1999,Chevron U.S.A. Inc.,78
1,9/26/2019 12:43:04 PM,Fieldwood Energy LLC,3295
1,5/17/2017 12:25:03 PM,Fieldwood Energy Offshore LLC,3035
2,5/9/1986,ExxonMobil Oil Corporation,39
1,6/29/1995,Shell Frontier Oil & Gas Inc.,1728
6,9/19/1988,Shell Offshore Inc.,689
2,4/26/2000,Hall-Houston Oil Company,846
1,12/15/1994,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,540
2,7/10/1995,Pennzoil Exploration and Production Company,1291
1,4/20/1998,"Stone Energy, L.L.C.",2018
2,11/20/2008,"Merit Energy Company, LLC",2589
1,6/24/1997,Pennzoil Exploration and Production Company,1750
1,8/18/2011,"Apex Oil & Gas, Inc.",1963
4,9/9/1992,Chevron U.S.A. Inc.,78
