INCCOUNT,INC_ISSUE_DATE,BUS_ASC_NAME,MMS_COMPANY_NUM
1,4/7/2014,"DCOR, L.L.C.",2531
1,1/10/2017 2:28:17 PM,"DCOR, L.L.C.",2531
2,5/8/1990,Texaco Inc.,40
1,8/27/1998,Nuevo Energy Company,1546
2,6/12/2008,"Pacific Operators Offshore, LLC",1560
1,10/4/2004,Exxon Mobil Corporation,276
6,6/8/2005,Exxon Mobil Corporation,276
1,2/15/2013,Plains Exploration & Production Company (PXP),2702
1,1/21/1993,Union Oil Company of California,3
1,4/2/1991,SWEPI LP,832
1,1/27/1992,Texaco Inc.,40
3,8/12/2005,"Pacific Operators Offshore, LLC",1560
3,9/20/2023 1:16:26 PM,"DCOR, L.L.C.",2531
1,1/29/1998,Aera Energy LLC,1954
6,7/25/1998,"Pacific Operators Offshore, LLC",1560
2,3/20/1991,Union Oil Company of California,3
1,2/3/2011,"Venoco, LLC",2309
1,10/7/1998,Aera Energy LLC,1954
1,5/23/2013,"Beta Operating Company, LLC",3126
1,12/14/1994,"Torch Energy Services, Inc.",1099
1,1/21/1995,"Torch Energy Services, Inc.",1099
1,12/6/2018 9:47:59 AM,"Beta Operating Company, LLC",3126
1,8/11/2001,Aera Energy LLC,1954
1,3/4/2008,"DCOR, L.L.C.",2531
2,8/28/2000,Nuevo Energy Company,1546
1,4/10/2009,Exxon Mobil Corporation,276
1,7/15/2005,"Pacific Operators Offshore, LLC",1560
4,1/24/1991,Union Oil Company of California,3
2,4/10/1994,Chevron U.S.A. Inc.,78
14,3/14/1990,Union Oil Company of California,3
3,3/2/1994,Union Oil Company of California,3
2,4/8/1998,Nuevo Energy Company,1546
3,2/1/1993,Chevron U.S.A. Inc.,78
2,10/15/1993,Union Oil Company of California,3
8,12/12/1991,Union Oil Company of California,3
3,10/3/2014,Exxon Mobil Corporation,276
1,6/18/1991,Union Oil Company of California,3
3,3/21/1991,Union Oil Company of California,3
3,1/14/1991,Chevron U.S.A. Inc.,78
1,8/7/2015 1:00:00 PM,Freeport-McMoRan Oil & Gas LLC,3280
3,1/26/1993,Union Oil Company of California,3
2,8/25/2014,"DCOR, L.L.C.",2531
1,8/9/2011,"Beta Operating Company, LLC",3126
17,5/19/1989,Union Oil Company of California,3
1,10/23/1997,Nuevo Energy Company,1546
1,10/28/1996,Aera Energy LLC,1954
1,6/17/2005,"DCOR, L.L.C.",2531
1,11/17/2005,Exxon Mobil Corporation,276
1,1/31/2003,Aera Energy LLC,1954
2,3/12/1993,Texaco Inc.,40
1,3/24/2005,"Pacific Operators Offshore, LLC",1560
2,9/22/2019,"Beta Operating Company, LLC",3126
1,6/20/1991,Exxon Mobil Corporation,276
1,5/28/2022 1:32:33 PM,"DCOR, L.L.C.",2531
1,5/21/2009,Plains Exploration & Production Company (PXP),2702
2,10/7/1991,Union Oil Company of California,3
13,2/2/1987,Exxon Mobil Corporation,276
1,2/15/1991,Chevron U.S.A. Inc.,78
1,8/17/2010,Exxon Mobil Corporation,276
3,8/29/2013,"DCOR, L.L.C.",2531
1,4/23/2001,"Torch Energy Services, Inc.",1099
7,1/21/1997,Aera Energy LLC,1954
2,8/22/1992,Chevron U.S.A. Inc.,78
1,10/12/2023 11:01:26 AM,"Beta Operating Company, LLC",3126
3,6/8/1994,Union Oil Company of California,3
2,11/1/2000,Aera Energy LLC,1954
1,6/6/2013,"Pacific Operators Offshore, LLC",1560
2,6/28/2007,Exxon Mobil Corporation,276
1,7/29/1996,"Torch Energy Services, Inc.",1099
1,8/11/2011,"Beta Operating Company, LLC",3126
1,7/12/2002,Aera Energy LLC,1954
2,7/31/2019,"Pacific Operators Offshore, LLC",1560
3,9/28/1992,"Pacific Operators Offshore, LLC",1560
1,3/1/2022 7:35:37 AM,"DCOR, L.L.C.",2531
2,5/11/1988,ConocoPhillips Company,56
1,9/26/2019 9:32:12 AM,Exxon Mobil Corporation,276
1,7/5/2014,"DCOR, L.L.C.",2531
2,7/19/2007,"Pacific Operators Offshore, LLC",1560
52,1/4/1987,Exxon Mobil Corporation,276
3,4/22/1994,Exxon Mobil Corporation,276
1,5/7/2002,Exxon Mobil Corporation,276
2,1/27/1989,Union Oil Company of California,3
1,2/12/2013,Plains Exploration & Production Company (PXP),2702
1,9/5/1988,Texaco Inc.,40
1,9/17/2005,"DCOR, L.L.C.",2531
5,10/30/1991,"Pacific Operators Offshore, LLC",1560
1,10/22/2010,Exxon Mobil Corporation,276
1,3/8/1991,"Pacific Operators Offshore, LLC",1560
1,6/13/1996,Union Oil Company of California,3
2,7/6/1993,Union Oil Company of California,3
2,11/12/1995,Chevron U.S.A. Inc.,78
1,5/7/2003,Arguello Inc.,2372
6,7/20/2004,"Pacific Operators Offshore, LLC",1560
2,7/20/2017 11:25:59 AM,"Pacific Operators Offshore, LLC",1560
1,3/26/1992,Union Oil Company of California,3
7,2/24/1992,SWEPI LP,832
1,11/26/2003,Exxon Mobil Corporation,276
1,3/6/2002,Arguello Inc.,2372
2,12/8/2011,"Beta Operating Company, LLC",3126
2,5/6/1988,ConocoPhillips Company,56
