SN_ROW,ROW_NUMBER,ROW_STATUS_CD,BUS_ASC_NAME
291395043,G29591,PEND,Dauphin Island Gathering Partners
288758580,G29587,PEND,Dauphin Island Gathering Partners
290322281,G29588,PEND,Dauphin Island Gathering Partners
3631,G26811,EXP,"W & T Offshore, L.L.C."
873,G05129,RELQ,"Vastar Resources, Inc."
1763,G13501,RELQ,"Vastar Resources, Inc."
2008,G14695,RELQ,"Vastar Resources, Inc."
2281,G16049,RELQ,"Vastar Resources, Inc."
2469,G18813,RELQ,"Vastar Resources, Inc."
2541,G19690,RELQ,"Vastar Resources, Inc."
938,G05933,RELQ,Louis Dreyfus Natural Gas Corp.
2108,G15006,RELQ,Louis Dreyfus Natural Gas Corp.
1214,G08945,RELQ,Devon Energy Operating Corporation
2, 00641,ACT,"Gulf South Pipeline Company, LP"
3, 00642,ACT,"Gulf South Pipeline Company, LP"
304971843,G29636,PEND,"Gulf South Pipeline Company, LP"
282,G01709D,RELQ,"Gulf South Pipeline Company, LP"
482,G03450,RELQ,"Gulf South Pipeline Company, LP"
488,G03456,RELQ,"Gulf South Pipeline Company, LP"
492,G03612,RELQ,"Gulf South Pipeline Company, LP"
538,G03720,RELQ,"Gulf South Pipeline Company, LP"
541,G03824,RELQ,"Gulf South Pipeline Company, LP"
543,G03826,RELQ,"Gulf South Pipeline Company, LP"
549,G03832,EXP,"Gulf South Pipeline Company, LP"
551,G03834,EXP,"Gulf South Pipeline Company, LP"
593,G03882,RELQ,"Gulf South Pipeline Company, LP"
601,G04013,ACT,"Gulf South Pipeline Company, LP"
621,G04035,RELQ,"Gulf South Pipeline Company, LP"
622,G04036,RELQ,"Gulf South Pipeline Company, LP"
673,G04275,RELQ,"Gulf South Pipeline Company, LP"
683,G04285,RELQ,"Gulf South Pipeline Company, LP"
684,G04286,RELQ,"Gulf South Pipeline Company, LP"
700,G04302,EXP,"Gulf South Pipeline Company, LP"
755,G04358,RELQ,"Gulf South Pipeline Company, LP"
756,G04359,RELQ,"Gulf South Pipeline Company, LP"
811,G04636,RELQ,"Gulf South Pipeline Company, LP"
2210,G15977,RELQ,"Gulf South Pipeline Company, LP"
3325,G24683,RELQ,"Gulf South Pipeline Company, LP"
4690,G29213,CNCL,"Gulf South Pipeline Company, LP"
708,G04311,RELQ,"NCX Company, Inc."
1319,G10385,RELQ,"NCX Company, Inc."
1405,G11177,RELQ,"NCX Company, Inc."
1418,G11190,RELQ,"NCX Company, Inc."
2324,G16094,RELQ,"NCX Company, Inc."
2194,G15685,RELQ,Coastal States Gas Transmission Company
1102,G08278,RELQ,Tri-Union Development Corporation
1350,G10531,RELQ,Tri-Union Development Corporation
1409,G11181,RELQ,Tri-Union Development Corporation
1792,G13530,RELQ,Tri-Union Development Corporation
1793,G13531,RELQ,Tri-Union Development Corporation
1884,G14037,RELQ,Tri-Union Development Corporation
2019,G14706,RELQ,Tri-Union Development Corporation
2020,G14707,RELQ,Tri-Union Development Corporation
2557,G20500,CNCL,Tri-Union Development Corporation
1707,G13443,RELQ,XTO Offshore Inc.
2188,G15679,RELQ,XTO Offshore Inc.
2189,G15680,RELQ,XTO Offshore Inc.
2692,G21039,RELQ,XTO Offshore Inc.
2980,G22462,RELQ,XTO Offshore Inc.
3037,G23071,EXP,XTO Offshore Inc.
3038,G23072,RELQ,XTO Offshore Inc.
3225,G24271,RELQ,XTO Offshore Inc.
3226,G24272,EXP,XTO Offshore Inc.
3228,G24274,RELQ,XTO Offshore Inc.
3246,G24289,RELQ,XTO Offshore Inc.
3267,G24630,RELQ,XTO Offshore Inc.
3309,G24672,RELQ,XTO Offshore Inc.
3316,G24676,RELQ,XTO Offshore Inc.
3394,G25298,RELQ,XTO Offshore Inc.
3471,G25374,RELQ,XTO Offshore Inc.
3486,G25390,RELQ,XTO Offshore Inc.
3556,G25458,RELQ,XTO Offshore Inc.
3626,G26806,RELQ,XTO Offshore Inc.
3878,G28226,RELQ,XTO Offshore Inc.
257,G01702M,RELQ,CNOOC Petroleum Offshore U.S.A. Inc.
681,G04283,RELQ,CNOOC Petroleum Offshore U.S.A. Inc.
1164,G08538,EXP,CNOOC Petroleum Offshore U.S.A. Inc.
1171,G08586,RELQ,CNOOC Petroleum Offshore U.S.A. Inc.
1679,G13413,RELQ,CNOOC Petroleum Offshore U.S.A. Inc.
2217,G15984,RELQ,CNOOC Petroleum Offshore U.S.A. Inc.
3242,G24285,RELQ,CNOOC Petroleum Offshore U.S.A. Inc.
3557,G25459,RELQ,CNOOC Petroleum Offshore U.S.A. Inc.
3558,G25460,RELQ,CNOOC Petroleum Offshore U.S.A. Inc.
3777,G26952,RELQ,CNOOC Petroleum Offshore U.S.A. Inc.
4610,G29176,CNCL,CNOOC Petroleum Offshore U.S.A. Inc.
1493,G12291,RELQ,Gasdel Pipeline System Incorporated
3897,G28245,CNCL,Woodside Energy (GOM) Inc.
3991,G28334,CNCL,Woodside Energy (GOM) Inc.
3992,G28335,CNCL,Woodside Energy (GOM) Inc.
4022,G28364,RELQ,Woodside Energy (GOM) Inc.
4434,G29061,ACT,Woodside Energy (GOM) Inc.
4453,G29077,ACT,Woodside Energy (GOM) Inc.
4454,G29078,ACT,Woodside Energy (GOM) Inc.
268225020,G29562,ACT,Woodside Energy (GOM) Inc.
309824819,G29651,ACT,Woodside Energy (GOM) Inc.
1258,G09356,RELQ,Pacific Enterprises Oil Company (USA)
802,G04627,RELQ,The Houston Exploration Company
1291,G10087,CNCL,The Houston Exploration Company
1306,G10102,RELQ,The Houston Exploration Company
1853,G13742,RELQ,The Houston Exploration Company
