SN_EOR_FK,SN_EOR_WELL_COMP,COMP_LATITUDE,COMP_LONGITUDE,COMP_RSVR_NAME,COMP_INTERVAL_NAME
-177964,-27118,28.93418361,-88.54521306,M83A FB 3,M83A
-194093,-28201,28.93231944,-88.54231389,P8,P8
-155901,-23338,28.27830278,-91.73498,K FBA,K Sand
-156023,-23250,29.24097222,-88.76863056,7900 LWR FB-BF,7900' LWR BF Sand
-158074,-24271,28.84465417,-87.84488861,Big Hum,Big Hum
-158033,-23478,29.0241463,-90.1384805,E 8750 FB BUW,8750' Sand
-193053,-28142,29.02475,-90.13843889,83/87/8750,8700' Sand
-158434,-23835,28.62331806,-88.43401639,A3b,A3b
-158994,-23909,28.10028611,-90.67783333,Trim B-1 Sand,Trim B-1 Sand
-165889,-24645,27.31702222,-90.77018333,M21A_10,M21A
-158973,-23511,29.01370556,-90.16310278,7900 FB BB,7900' Sand
-166276,-24870,28.55355694,-88.43730972,Disc 12,Green
-199811,-29364,28.55110722,-88.44424806,Green/Purple,Green / Purple
-196535,-28542,28.55363541,-88.43709473,Purple Sand,Purple
-175139,-26551,28.55110723,-88.44442481,Disc 12,Green
-159426,-23664,28.69991528,-90.15478667,G-1 Sand,G-1 Sand
-169422,-25648,28.52916917,-88.45485,Upper Tex W,Upper Tex W
-181587,-27590,28.54557167,-88.45183056,Rob E,Rob E
-159705,-23651,29.01332056,-90.15736778,S 7400 FB BB,7400' Sand
-202104,-30256,29.01316167,-90.15780972,7600' Sand,7600 U Sand
-168918,-25492,26.48110278,-90.77669167,Upper Wilcox,UPPER WILCOX
-161947,-24040,27.30935833,-90.12108889,M10, M10
-163680,-24364,28.20654833,-89.17401194,Yellow RA,YELLOW
-168147,-25195,28.16685556,-89.22391333,O2 ,LOWER YELLOW
-166424,-24997,27.10247917,-90.80362028,M15b,M15B Sand
-164089,-24636,28.56987,-91.27483028,JS Sand,JS Sand
-166348,-24780,28.20774583,-91.53639944,6400 FB A15ST,6400  Sand
-166516,-24889,28.20630861,-91.53306194,5500 FB A16ST,5500 Sand
-168073,-25136,28.156245,-89.84564111,Disc 12,Disc 12
-164464,-24572,28.20721611,-91.52332222,5400' FBA14,5400' Sand
-168868,-25310,28.18127361,-88.99758,Kappa,Kappa
-166029,-24767,28.20265472,-91.53294,7400 MAIN,7400' Sand
-166533,-24849,28.20265472,-91.53294,7400 MAIN,7400' Sand
-166533,-24850,28.20265472,-91.53294,7400 MAIN,7400' Sand
-162807,-24197,28.20537528,-91.53846583,7400 A-1b,7400 Sand
-171960,-25968,28.20537528,-91.53846583,7400 A-1b,7400 Sand
-166404,-25594,26.28596389,-91.08724167,Wilcox1/Wilcox2,Wilcox 1A / Wilcox 1B / Wilcox 1C / Wilcox 2A / Wilcox 2B
-171127,-25920,28.60104389,-92.14398806,D5 Sand,D-5 Sand
-163773,-24511,27.07299972,-90.79106083,M15B,M15B
-202399,-30186,28.98070245,-88.14869643,M,M Sand
-180167,-27451,28.9835775,-88.14926056,J/M Sand,J/M Sand
-178829,-27309,28.98067855,-88.14869026,M Sand,M Sand
-166928,-24964,28.15431694,-89.83603194,Tex W,Tex W
-180471,-27554,28.15397,-89.83644,Disc 12 A/B,Disc 12 Upper A/B
-182916,-27751,28.15397,-89.83644,Disc 12 Upper A&B/Lower,Disc 12 Upper A&B/Lower
-175547,-26689,28.73504667,-88.12338778,B2/B3/B4/B5,Zone B
-175913,-26693,28.73504167,-88.12339278,C,Zone C
-165458,-24800,27.41469167,-90.27184611,M14,M14
-168049,-25130,28.55227694,-88.44101361,Green,Rob E / Green Sand
-161649,-23929,28.94105,-88.54061111,M83A,M83A
-168251,-25343,27.32668611,-90.74662778,M17C Upper/Lower,M17C Lower / M17C Upper
-168149,-25178,27.32101667,-90.75955278,M21A UP/M-21A LWR/M-21B,M21A10 / M21B40
-165480,-24721,28.201125,-91.53514889,7400A Sand,7400 Sand
-166462,-24856,28.69206917,-90.14444194,E6 FB-K4,E-6 Sand
-161145,-23908,28.69257167,-90.14412389,E7 FB-K4,E-7 Sand
-182575,-27676,28.69131028,-90.14492222,E2 RH,E-2 Sand
-169089,-25883,28.16278028,-88.48390694,Peach C/Peach D/Peach E,Peach C / Peach D / Peach E
-165972,-24895,26.45795278,-90.785075,Upper Wilcox,Upper Wilcox
-164256,-24766,28.16968167,-89.97121833,Miocene 20000' Sand,Miocene 20000' Sand
-167549,-25063,28.69309972,-90.14276278,E-10 FBK-6,E-10 Sand
-166525,-24858,28.69331806,-90.14251194,E-10 FBK-6,E-10 Sand
-163847,-24275,28.69309972,-90.14276278,E10 FB-K6,E-10 Sand
-173312,-26188,28.69291833,-90.142965,E9 FB-K5,E-9 Sand
-163313,-24178,28.68993139,-90.14718917,D11 RI,D-11 Sand
-200775,-29687,28.68993139,-90.14718917,D11 RI,D-11 Sand
-186753,-27942,28.68969583,-90.14741722,D-10 RI,D-10 Sand
-162886,-24223,28.77869028,-89.07318444,J001 RG Sand,J001 RG Sand
-165690,-24673,27.69292306,-91.11279222,B-6 Sand,B-6 Sand
-162622,-24179,28.96148389,-88.60663194,P-38A Sand,P-38A Sand
-175627,-26832,28.61801361,-88.00033889,Norphlet,Norphlet
-174178,-26677,27.44925833,-90.5925,Gff40, Gff40
-174178,-26674,27.44924722,-90.59235,Sh20/Sh30, Sh20/Sh30
-169267,-25652,28.24556778,-91.12693222,4200 Sand,4200 Sd
-169267,-25653,28.24595194,-91.12777611,3600 Sd,3600 Sd
-174453,-26483,28.88569556,-90.49236722,7700 D,7700 Sand
-200166,-29540,28.65873,-89.98202,Rob E1D Sand,Rob E-1D Sand
-201775,-30258,28.66192,-89.96355139,KS Sand,KS Sand
-176595,-27047,28.65276389,-89.96945278,Rob E-1 Sand,Rob E-1 Sand
-182268,-27686,28.67291779,-92.08055865,"""O"" Sand","""O"" Sand"
-188393,-28784,27.32384444,-90.10300278,M9U,M9U Sand
-195896,-28380,28.79211806,-88.02587944,M55,M55
-172211,-26360,28.79217417,-88.02694444,M56,M56
-179691,-27502,28.01816667,-89.13715556,VM80,VM80
-181407,-27629,28.55889583,-88.44402972,Green Sand,Green Sand
-184194,-27866,28.76521944,-91.69839333,G-20 Z4 RA,G-20 Sand
-195294,-28504,28.05810092,-90.21676912,Bul 1 Sand,Bul 1 Sand
-174294,-26475,28.19503833,-91.53454472,7400 C,7400 Sand
-196286,-28492,28.88790194,-88.09547611,M56C,M56 C
-172030,-25976,28.8614375,-88.04581167,M56B,M56B Sand
-174494,-26550,27.56410722,-92.43685889,O,O
-184293,-27881,27.95141611,-91.02810306,16 Sand,16 Sand
-178772,-27234,27.3992325,-90.27317202,M14 FB2,M14 Sand
-178772,-27233,27.39622167,-90.27634167,M20L,M20 Sand
-197826,-28828,27.3992325,-90.27317194,M14/20L,M14 Sand / M20 Sand
