DOC_ID,REGION,DOC_IMPORTED_DATE,DOC_PAGES,DOC_FILESIZE,LEASE_NUMBER,AREA_BLOCK,CONTROL_NUMBER,DOC_TYPE,DATE_RECEIVED
43821,Gulf of Mexico,3/28/2022 6:58:13 AM,7,328733,G24130,MC 942,S-8072,EP,1/25/2022
46082,Gulf of Mexico,7/19/2022 9:53:43 AM,71,2226931,G04410,WC 553,ES/SR 01-031,SEA,12/4/2001
46083,Gulf of Mexico,7/19/2022 9:54:43 AM,71,2226931,00786,SM 48,ES/SR 01-032,SEA,12/4/2001
43824,Gulf of Mexico,3/28/2022 7:27:04 AM,53,2378081,G13944 ,GI 116,N-6769 ,DOCD ,4/3/2000
43825,Gulf of Mexico,3/28/2022 7:28:26 AM,53,2378081,G18069 ,GI 111,N-6769 ,DOCD ,4/3/2000
43826,Gulf of Mexico,3/28/2022 7:30:12 AM,53,2486893,G15141,EC 161,S-5244 ,POE ,4/5/2000
43827,Gulf of Mexico,3/28/2022 7:34:07 AM,64,2757687,G15524 ,MC 948,N-6774 ,POE ,4/6/2000
43828,Gulf of Mexico,3/28/2022 7:35:16 AM,64,2757687,G18309,MC 904,N-6774 ,POE ,4/6/2000
43829,Gulf of Mexico,3/28/2022 7:36:38 AM,64,2757687,G18311 ,MC 949,N-6774 ,POE ,4/6/2000
43830,Gulf of Mexico,3/28/2022 7:38:28 AM,39,1327474,G08998 ,MI 650,ES/SR 00-032 ,SEA ,4/11/2000
43831,Gulf of Mexico,3/28/2022 7:40:27 AM,55,2127899,G05195 ,VR 226,ES/SR 00-028 ,SEA ,4/11/2000
43832,Gulf of Mexico,3/28/2022 7:42:17 AM,55,2127899,G06677 ,VR 237,ES/SR 00-029 ,SEA ,4/11/2000
43833,Gulf of Mexico,3/28/2022 7:46:23 AM,55,2127899,G06677 ,VR 237,ES/SR 00-030 ,SEA ,4/11/2000
43834,Gulf of Mexico,3/28/2022 7:48:48 AM,55,2127899,G02231 ,WC 605,ES/SR 00-031 ,SEA ,4/11/2000
43835,Gulf of Mexico,3/28/2022 7:52:17 AM,52,1831204,00420 ,SS 154,ES/SR 00-025 ,SEA ,4/11/2000
43836,Gulf of Mexico,3/29/2022 11:15:35 AM,32,1192136,G08671 ,VR 257,ES/SR 00-042A ,SEA ,5/5/2000
43837,Gulf of Mexico,3/29/2022 11:16:58 AM,44,1764095,G04010 ,MP 129,ES/SR 00-049 ,SEA ,5/5/2000
43838,Gulf of Mexico,3/29/2022 11:21:02 AM,37,1378094,00369 ,BM 2,ES/SR 00-050 ,SEA ,5/5/2000
43839,Gulf of Mexico,3/29/2022 11:24:26 AM,24,993826,G12027,PL 5,S-5259 ,POE ,4/19/2000
43840,Gulf of Mexico,3/29/2022 11:26:09 AM,70,4175612,00129 ,GI 41,S-5239 ,DOCD ,5/8/2000
43921,Gulf of Mexico,3/29/2022 11:27:45 AM,70,4175612,00132 ,GI 46,S-5239 ,DOCD ,5/8/2000
43922,Gulf of Mexico,3/29/2022 11:29:32 AM,27,1030026,G20794,GB 562,S-5263 ,POE ,4/21/2000
43923,Gulf of Mexico,3/29/2022 11:31:35 AM,49,1851308,G04473 ,WD 27,N-6793 ,DOCD ,5/5/2000
43924,Gulf of Mexico,3/29/2022 11:32:52 AM,49,1851309,G21689,WD 28,N-6793 ,DOCD ,5/5/2000
43925,Gulf of Mexico,3/29/2022 11:38:58 AM,24,981907,G01028 ,SS 247,S-5274 ,DOCD ,5/9/2000
43926,Gulf of Mexico,3/29/2022 11:39:48 AM,24,981907,G01029 ,SS 248,S-5274 ,DOCD ,5/9/2000
43927,Gulf of Mexico,3/29/2022 11:41:17 AM,49,1966462,G05332 ,WC 458,ES/SR 98-027 ,SEA ,5/10/2000
43928,Gulf of Mexico,3/29/2022 11:42:32 AM,49,1966462,G04189 ,HI A515,ES/SR 98-028 ,SEA ,5/10/2000
305,Gulf of Mexico,5/2/2000,2,59320,G01569         ,ST 185,S-5122                        ,DOCD      ,4/7/2000
43929,Gulf of Mexico,3/29/2022 11:43:59 AM,75,2659095,G16510,MP 235,N-6785 ,POE ,5/1/2000
43930,Gulf of Mexico,3/29/2022 11:45:25 AM,82,3944195,G06678 ,VR 249 ,N-6790 ,DOCD ,5/4/2000
43931,Gulf of Mexico,3/29/2022 11:47:33 AM,82,3944195,G15195 ,VR 248,N-6790 ,DOCD ,5/4/2000
