field,economics_status,wti_price_multiplier,discount_rate,npv_musd,breakeven_multiplier
jack_st_malo,surfaced,0.8,0.08,-1485.2,1.1108
jack_st_malo,surfaced,0.9,0.08,-1007.3,1.1108
jack_st_malo,surfaced,1.0,0.08,-529.5,1.1108
jack_st_malo,surfaced,1.1,0.08,-51.6,1.1108
jack_st_malo,surfaced,1.2,0.08,426.2,1.1108
jack_st_malo,surfaced,0.8,0.1,-1469.0,1.2421
jack_st_malo,surfaced,0.9,0.1,-1136.8,1.2421
jack_st_malo,surfaced,1.0,0.1,-804.5,1.2421
jack_st_malo,surfaced,1.1,0.1,-472.2,1.2421
jack_st_malo,surfaced,1.2,0.1,-139.9,1.2421
jack_st_malo,surfaced,0.8,0.125,-1350.9,1.4318
jack_st_malo,surfaced,0.9,0.125,-1137.1,1.4318
jack_st_malo,surfaced,1.0,0.125,-923.3,1.4318
jack_st_malo,surfaced,1.1,0.125,-709.5,1.4318
jack_st_malo,surfaced,1.2,0.125,-495.7,1.4318
stones,early_life,0.8,0.08,,
stones,early_life,0.9,0.08,,
stones,early_life,1.0,0.08,,
stones,early_life,1.1,0.08,,
stones,early_life,1.2,0.08,,
stones,early_life,0.8,0.1,,
stones,early_life,0.9,0.1,,
stones,early_life,1.0,0.1,,
stones,early_life,1.1,0.1,,
stones,early_life,1.2,0.1,,
stones,early_life,0.8,0.125,,
stones,early_life,0.9,0.125,,
stones,early_life,1.0,0.125,,
stones,early_life,1.1,0.125,,
stones,early_life,1.2,0.125,,
julia,surfaced,0.8,0.08,-747.8,1.3094
julia,surfaced,0.9,0.08,-601.0,1.3094
julia,surfaced,1.0,0.08,-454.2,1.3094
julia,surfaced,1.1,0.08,-307.4,1.3094
julia,surfaced,1.2,0.08,-160.6,1.3094
julia,surfaced,0.8,0.1,-712.7,1.4201
julia,surfaced,0.9,0.1,-597.8,1.4201
julia,surfaced,1.0,0.1,-482.8,1.4201
julia,surfaced,1.1,0.1,-367.9,1.4201
julia,surfaced,1.2,0.1,-252.9,1.4201
julia,surfaced,0.8,0.125,-658.0,1.5702
julia,surfaced,0.9,0.125,-572.5,1.5702
julia,surfaced,1.0,0.125,-487.1,1.5702
julia,surfaced,1.1,0.125,-401.7,1.5702
julia,surfaced,1.2,0.125,-316.3,1.5702
big_foot,early_life,0.8,0.08,,
big_foot,early_life,0.9,0.08,,
big_foot,early_life,1.0,0.08,,
big_foot,early_life,1.1,0.08,,
big_foot,early_life,1.2,0.08,,
big_foot,early_life,0.8,0.1,,
big_foot,early_life,0.9,0.1,,
big_foot,early_life,1.0,0.1,,
big_foot,early_life,1.1,0.1,,
big_foot,early_life,1.2,0.1,,
big_foot,early_life,0.8,0.125,,
big_foot,early_life,0.9,0.125,,
big_foot,early_life,1.0,0.125,,
big_foot,early_life,1.1,0.125,,
big_foot,early_life,1.2,0.125,,
cascade_chinook,early_life,0.8,0.08,,
cascade_chinook,early_life,0.9,0.08,,
cascade_chinook,early_life,1.0,0.08,,
cascade_chinook,early_life,1.1,0.08,,
cascade_chinook,early_life,1.2,0.08,,
cascade_chinook,early_life,0.8,0.1,,
cascade_chinook,early_life,0.9,0.1,,
cascade_chinook,early_life,1.0,0.1,,
cascade_chinook,early_life,1.1,0.1,,
cascade_chinook,early_life,1.2,0.1,,
cascade_chinook,early_life,0.8,0.125,,
cascade_chinook,early_life,0.9,0.125,,
cascade_chinook,early_life,1.0,0.125,,
cascade_chinook,early_life,1.1,0.125,,
cascade_chinook,early_life,1.2,0.125,,
anchor,early_life,0.8,0.08,,
anchor,early_life,0.9,0.08,,
anchor,early_life,1.0,0.08,,
anchor,early_life,1.1,0.08,,
anchor,early_life,1.2,0.08,,
anchor,early_life,0.8,0.1,,
anchor,early_life,0.9,0.1,,
anchor,early_life,1.0,0.1,,
anchor,early_life,1.1,0.1,,
anchor,early_life,1.2,0.1,,
anchor,early_life,0.8,0.125,,
anchor,early_life,0.9,0.125,,
anchor,early_life,1.0,0.125,,
anchor,early_life,1.1,0.125,,
anchor,early_life,1.2,0.125,,
shenandoah,early_life,0.8,0.08,,
shenandoah,early_life,0.9,0.08,,
shenandoah,early_life,1.0,0.08,,
shenandoah,early_life,1.1,0.08,,
shenandoah,early_life,1.2,0.08,,
shenandoah,early_life,0.8,0.1,,
shenandoah,early_life,0.9,0.1,,
shenandoah,early_life,1.0,0.1,,
shenandoah,early_life,1.1,0.1,,
shenandoah,early_life,1.2,0.1,,
shenandoah,early_life,0.8,0.125,,
shenandoah,early_life,0.9,0.125,,
shenandoah,early_life,1.0,0.125,,
shenandoah,early_life,1.1,0.125,,
shenandoah,early_life,1.2,0.125,,
buckskin,unlisted,0.8,0.08,,
buckskin,unlisted,0.9,0.08,,
buckskin,unlisted,1.0,0.08,,
buckskin,unlisted,1.1,0.08,,
buckskin,unlisted,1.2,0.08,,
buckskin,unlisted,0.8,0.1,,
buckskin,unlisted,0.9,0.1,,
buckskin,unlisted,1.0,0.1,,
buckskin,unlisted,1.1,0.1,,
buckskin,unlisted,1.2,0.1,,
buckskin,unlisted,0.8,0.125,,
buckskin,unlisted,0.9,0.125,,
buckskin,unlisted,1.0,0.125,,
buckskin,unlisted,1.1,0.125,,
buckskin,unlisted,1.2,0.125,,
