nps_in,od_mm,od_in,schedule,wt_mm,wt_in,weight_kgm,grade_range,standard,domain_hint
4.0,114.30,4.500,STD,6.02,0.237,16.07,X52-X80,API 5L / ASME B36.10M,flowline
4.0,114.30,4.500,XS,8.56,0.337,22.32,X52-X80,API 5L / ASME B36.10M,flowline
4.0,114.30,4.500,XXS,17.12,0.674,40.02,X52-X65,API 5L / ASME B36.10M,flowline
6.0,168.28,6.625,STD,7.11,0.280,28.26,X52-X80,API 5L / ASME B36.10M,flowline
6.0,168.28,6.625,XS,10.97,0.432,42.56,X52-X80,API 5L / ASME B36.10M,flowline
6.0,168.28,6.625,XXS,21.95,0.864,79.29,X52-X65,API 5L / ASME B36.10M,flowline
8.0,219.08,8.625,STD,8.18,0.322,42.55,X52-X80,API 5L / ASME B36.10M,flowline
8.0,219.08,8.625,XS,12.70,0.500,64.64,X52-X80,API 5L / ASME B36.10M,flowline
8.0,219.08,8.625,XXS,22.23,0.875,104.25,X52-X65,API 5L / ASME B36.10M,flowline
10.0,273.05,10.750,STD,9.27,0.365,60.31,X52-X80,API 5L / ASME B36.10M,infield_pipeline
10.0,273.05,10.750,XS,12.70,0.500,81.55,X52-X80,API 5L / ASME B36.10M,infield_pipeline
10.0,273.05,10.750,XXS,25.40,1.000,152.39,X52-X65,API 5L / ASME B36.10M,infield_pipeline
12.0,323.85,12.750,STD,9.53,0.375,73.78,X52-X80,API 5L / ASME B36.10M,infield_pipeline
12.0,323.85,12.750,XS,12.70,0.500,97.44,X52-X80,API 5L / ASME B36.10M,infield_pipeline
12.0,323.85,12.750,XXS,25.40,1.000,185.69,X52-X65,API 5L / ASME B36.10M,infield_pipeline
14.0,355.60,14.000,STD,9.53,0.375,81.33,X52-X80,API 5L / ASME B36.10M,export_pipeline
14.0,355.60,14.000,XS,12.70,0.500,107.39,X52-X80,API 5L / ASME B36.10M,export_pipeline
16.0,406.40,16.000,STD,9.53,0.375,93.00,X52-X80,API 5L / ASME B36.10M,export_pipeline
16.0,406.40,16.000,XS,12.70,0.500,123.30,X52-X80,API 5L / ASME B36.10M,export_pipeline
18.0,457.20,18.000,STD,9.53,0.375,104.67,X52-X80,API 5L / ASME B36.10M,export_pipeline
18.0,457.20,18.000,XS,12.70,0.500,139.13,X52-X80,API 5L / ASME B36.10M,export_pipeline
20.0,508.00,20.000,STD,9.53,0.375,116.33,X52-X80,API 5L / ASME B36.10M,export_pipeline
20.0,508.00,20.000,XS,12.70,0.500,155.00,X52-X80,API 5L / ASME B36.10M,export_pipeline
20.0,508.00,20.000,SCH30,14.27,0.562,173.72,X52-X80,API 5L / ASME B36.10M,export_pipeline
21.0,533.40,21.000,RISER_BORE,19.05,0.750,245.30,X65-X80,API 5L / API STD 16F,offshore_riser_bore
21.0,533.40,21.000,RISER_BORE_HW,25.40,1.000,321.70,X65-X80,API 5L / API STD 16F,offshore_riser_bore
22.0,558.80,22.000,STD,9.53,0.375,128.00,X52-X80,API 5L / ASME B36.10M,export_pipeline
22.0,558.80,22.000,XS,12.70,0.500,170.64,X52-X80,API 5L / ASME B36.10M,export_pipeline
24.0,609.60,24.000,STD,9.53,0.375,139.67,X52-X80,API 5L / ASME B36.10M,transmission_pipeline
24.0,609.60,24.000,XS,12.70,0.500,186.22,X52-X80,API 5L / ASME B36.10M,transmission_pipeline
24.0,609.60,24.000,SCH30,14.27,0.562,208.81,X52-X80,API 5L / ASME B36.10M,transmission_pipeline
26.0,660.40,26.000,STD,9.53,0.375,151.33,X52-X80,API 5L / ASME B36.10M,transmission_pipeline
26.0,660.40,26.000,XS,12.70,0.500,201.85,X52-X80,API 5L / ASME B36.10M,transmission_pipeline
28.0,711.20,28.000,STD,9.53,0.375,163.00,X52-X80,API 5L / ASME B36.10M,transmission_pipeline
28.0,711.20,28.000,XS,12.70,0.500,217.48,X52-X80,API 5L / ASME B36.10M,transmission_pipeline
30.0,762.00,30.000,STD,9.53,0.375,174.66,X52-X80,API 5L / ASME B36.10M,transmission_pipeline
30.0,762.00,30.000,XS,12.70,0.500,233.11,X52-X80,API 5L / ASME B36.10M,transmission_pipeline
32.0,812.80,32.000,STD,9.53,0.375,186.33,X52-X80,API 5L / ASME B36.10M,transmission_pipeline
32.0,812.80,32.000,XS,12.70,0.500,248.74,X52-X80,API 5L / ASME B36.10M,transmission_pipeline
34.0,863.60,34.000,STD,9.53,0.375,197.99,X52-X80,API 5L / ASME B36.10M,transmission_pipeline
34.0,863.60,34.000,XS,12.70,0.500,264.38,X52-X80,API 5L / ASME B36.10M,transmission_pipeline
36.0,914.40,36.000,STD,9.53,0.375,209.66,X52-X80,API 5L / ASME B36.10M,transmission_pipeline
36.0,914.40,36.000,XS,12.70,0.500,280.01,X52-X80,API 5L / ASME B36.10M,transmission_pipeline
