periods,production,prices,revenue,opex,net_cash_flow
1,9897.13,62.34,616987.0842,148456.94999999998,468530.1342000001
2,12489.75,47.76,596510.46,187346.25,409164.20999999996
3,19790.05,58.1,1149801.905,296850.75,852951.155
4,14147.064516129032,55.89,790679.4358064516,212205.96774193548,578473.4680645161
5,23428.066666666666,59.52,1394438.528,351421.0,1043017.5279999999
6,24973.758620689656,64.08,1600318.4524137932,374606.3793103448,1225712.0731034484
7,25630.63333333333,61.48,1575771.3373333332,384459.5,1191311.8373333332
8,32589.207161125323,56.56,1843245.5570332482,488838.10741687985,1354407.4496163684
9,36329.096774193546,46.52,1690029.581935484,544936.4516129032,1145093.1303225807
10,35053.86666666667,47.62,1669265.1306666667,525808.0,1143457.1306666667
11,33652.3870967742,48.43,1629785.1070967743,504785.80645161297,1124999.3006451614
12,32058.24137931034,44.27,1419218.345862069,480873.62068965513,938344.7251724137
13,34150.87096774194,38.01,1298074.605483871,512263.0645161291,785811.5409677419
14,34087.096774193546,30.7,1046473.8709677418,511306.45161290315,535167.4193548387
15,34581.41379310345,32.18,1112829.895862069,518721.20689655177,594108.6889655172
16,36057.77419354839,38.21,1377767.551935484,540866.6129032258,836900.9390322581
17,35016.48172043011,41.58,1455985.3099354838,525247.2258064516,930738.0841290322
18,34192.56,46.74,1598160.2544,512888.39999999997,1085271.8544
19,36386.433333333334,48.25,1755645.4083333334,545796.5,1209848.9083333334
20,35793.83870967742,44.95,1608933.05,536907.5806451612,1072025.4693548388
21,36234.83870967742,45.84,1661005.0064516128,543522.5806451612,1117482.4258064516
22,35602.23333333334,46.57,1657996.0063333334,534033.5,1123962.5063333334
23,33641.74193548387,49.52,1665939.0606451614,504626.12903225806,1161312.9316129033
24,34929.73333333334,44.73,1562406.972,523946.00000000006,1038460.9720000001
25,35641.74193548387,53.31,1900061.2625806453,534626.1290322581,1365435.1335483873
26,37959.91182795699,54.58,2071851.9875698923,569398.6774193548,1502453.3101505376
27,35785.92857142857,54.87,1963573.9007142857,536788.9285714286,1426784.972142857
28,39331.27764976959,51.59,2029100.6139516132,589969.1647465439,1439131.4492050693
29,41068.433333333334,52.31,2148289.7476666667,616026.5,1532263.2476666667
30,41561.09677419355,50.33,2091770.0006451614,623416.4516129033,1468353.549032258
31,40478.166666666664,46.37,1876972.5883333331,607172.5,1269800.0883333331
32,40039.360400444944,48.48,1941108.1922135707,600590.4060066742,1340517.7862068964
33,27230.76206896552,51.7,1407830.3989655175,408461.4310344828,999368.9679310347
34,22223.3,56.15,1247838.295,333349.5,914488.7949999999
35,23779.964285714286,57.51,1367585.7460714285,356699.4642857143,1010886.2817857142
36,29875.538095238095,62.71,1873494.993952381,448133.0714285714,1425361.9225238096
37,25759.354838709678,64.37,1658129.670967742,386390.32258064515,1271739.348387097
38,25933.8064516129,69.08,1791507.3496774193,389007.0967741935,1402500.2529032258
39,26885.75,65.32,1756177.1899999997,403286.25,1352890.9399999997
40,28722.774193548386,66.02,1896277.5522580643,430841.6129032258,1465435.9393548383
41,34331.26428571428,72.11,2475627.4676428568,514968.9642857142,1960658.5033571427
42,35076.45161290323,76.98,2700185.2451612907,526146.7741935484,2174038.4709677426
43,35772.76666666666,74.41,2661851.567666666,536591.5,2125260.067666666
44,34981.0,74.25,2597339.25,524715.0,2072624.25
45,37411.225806451606,72.53,2713436.2077419353,561168.3870967741,2152267.820645161
46,37211.100000000006,78.89,2935583.6790000005,558166.5000000001,2377417.1790000005
47,36753.032258064515,81.03,2978098.2038709675,551295.4838709678,2426802.7199999997
48,36839.666666666664,64.75,2385368.4166666665,552595.0,1832773.4166666665
49,42622.75670498084,57.36,2444841.324597701,639341.3505747126,1805499.9740229882
50,47543.161290322576,59.41,2824539.212258064,713147.4193548387,2111391.7929032254
51,50031.357142857145,63.96,3200005.602857143,750470.3571428572,2449535.245714286
52,49365.33333333333,66.14,3265023.1466666665,740479.9999999999,2524543.1466666665
53,48997.7,71.23,3490106.171,734965.5,2755140.671
54,46726.11067193676,71.32,3332506.2131225294,700891.6600790514,2631614.553043478
55,49942.76666666667,64.22,3207324.4753333335,749141.5,2458182.9753333335
