﻿OccNo,OccID,VesselID,VesselName,XrfOccVesselLsApplianceID,LsApplianceID,LsApplianceDisplayEng,LsApplianceDisplayFre,UsedEnum,UsedEnumDisplayEng,UsedEnumDisplayFre,ApprovedEnum,ApprovedEnumDisplayEng,ApprovedEnumDisplayFre
"M25A0028",52832,30230,"PARKER & COLE",2692,10,"Liferaft","Radeau de sauvetage",32,"No","Non",,,
"M25A0028",52832,30230,"PARKER & COLE",2692,10,"Liferaft","Radeau de sauvetage",32,"No","Non",,,
"M25A0028",52832,30230,"PARKER & COLE",2692,10,"Liferaft","Radeau de sauvetage",32,"No","Non",,,
"M25A0028",52832,30230,"PARKER & COLE",2692,10,"Liferaft","Radeau de sauvetage",32,"No","Non",,,
"M25A0028",52832,30230,"PARKER & COLE",2692,10,"Liferaft","Radeau de sauvetage",32,"No","Non",,,
"M25A0028",52832,30230,"PARKER & COLE",2692,10,"Liferaft","Radeau de sauvetage",32,"No","Non",,,
"M25A0028",52832,30230,"PARKER & COLE",2693,6,"Immersion suit","Combinaison d'immersion",31,"Yes","Oui",33,"Unknown","Inconnue"
"M25A0028",52832,30230,"PARKER & COLE",2693,6,"Immersion suit","Combinaison d'immersion",31,"Yes","Oui",33,"Unknown","Inconnue"
"M25A0028",52832,30230,"PARKER & COLE",2693,6,"Immersion suit","Combinaison d'immersion",31,"Yes","Oui",33,"Unknown","Inconnue"
"M25A0028",52832,30230,"PARKER & COLE",2693,6,"Immersion suit","Combinaison d'immersion",31,"Yes","Oui",33,"Unknown","Inconnue"
"M25A0028",52832,30230,"PARKER & COLE",2693,6,"Immersion suit","Combinaison d'immersion",31,"Yes","Oui",33,"Unknown","Inconnue"
"M25A0028",52832,30230,"PARKER & COLE",2693,6,"Immersion suit","Combinaison d'immersion",31,"Yes","Oui",33,"Unknown","Inconnue"
"M25A0018",52807,30626,"SUSAN BERNARD",2690,5,"EPIRB","Radiobalise de localisation des sinistres (EPIRB/RLS)",31,"Yes","Oui",,,
"M25A0018",52807,30626,"SUSAN BERNARD",2691,6,"Immersion suit","Combinaison d'immersion",31,"Yes","Oui",,,
"M25A0010",52791,30698,"RALPH NELSON",2689,6,"Immersion suit","Combinaison d'immersion",31,"Yes","Oui",33,"Unknown","Inconnue"
"M24A0378",52649,31114,"NICK & ASH 2021",2687,6,"Immersion suit","Combinaison d'immersion",32,"No","Non",,,
"M24A0378",52649,31114,"NICK & ASH 2021",2687,6,"Immersion suit","Combinaison d'immersion",32,"No","Non",,,
"M24A0378",52649,31114,"NICK & ASH 2021",2687,6,"Immersion suit","Combinaison d'immersion",32,"No","Non",,,
"M24A0378",52649,31114,"NICK & ASH 2021",2688,10,"Liferaft","Radeau de sauvetage",32,"No","Non",,,
