API_WELL_NUMBER,WELL_NAME,INTERVAL,COMP_AREA_CODE,COMP_BLOCK_NUMBER,COMP_STATUS_CD,VALUE,VALUE_DESC
177114156300,002,D5,WC,  498,OSI,FSI,SULPHUR SHUT-IN
608074031400,002,D2,WD,   31,OSI,GIO,OIL WELL TURNAROUND
608174128900,006,S4,VR,  245,PGW,GIW,GAS INJECTION WELL
177104167601,K018,S1,VR,  256,PGW,GLO,GAS LIFT OIL
608084004700,002,S2,MP,  109,PGW,GSI,GAS SHUT IN
608114061500,MD018,S1,WC,  598,GSI,IDS,A DISPOSAL OR FIELD SERVICE WELL
177104167800,K017,S3,EI,  314,PGW,LIW,LIQUID INJECTION WELL
177144001205,076,S1,EC,  235,GSI,OSI,OIL SHUT IN
608174128900,006,S1,ST,   35,GSI,PFW,PRODUCING SULPHUR WELL
608174112305,PI001,S1,ST,   67,PGW,PGW,PRODUCING GAS WELL
608114007502,A005,S2,HI,  194,PGW,POW,PRODUCING OIL WELL
177144001503,078,S8,VR,   26,PGW,PSW,PRODUCING SALT WELL
177114156100,C008,D1,HI,A 595,PGW,SSI,SALT SHUT-IN
177094121802,A005,S3,HI,  194,GSI,STI,STEAM INJECTION
608124009400,JU101,D3,VR,  172,PGW,WBW,SULPHUR BLEED WATER WELL
177190084601,C004,D3,VR,  331,OSI,WDW,SALT WATER DISPOSAL
608114063200,006,S1,EC,  346,POW,WIW,WATER INJECTION WELL
177114020302,B017,S3,MP,   41,POW,WSW,WATER SOURCE WELL
608114066900,005,S1,MC,  728,POW,,
177064098401,A004,S1,SM,  195,GSI,,
608114066300,PC001,S1,HI,A 582,POW,,
608174134500,002,S1,WC,  504,PGW,,
608174123200,006,S3,SS,  204,PGW,,
608174135000,001,S3,ST,   36,POW,,
608174133200,001,S1,SS,  169,POW,,
177104140404,A014,S2,WC,   66,PGW,,
608114066800,SS001,S1,WC,  494,PGW,,
608114066200,PS010,S9,HI,  116,PGW,,
608174134500,002,S2,SM,  288,PGW,,
608114065600,SB002,S4,SP,   77,POW,,
608084005703,001,S4,SS,  253,POW,,
608114067100,WI003,S2,WC,   66,PGW,,
177114055401,I012,S5,EI,   32,POW,,
608174105701,001,D3,EI,  325,PGW,,
608114067000,001,S2,HI,   84,PGW,,
177104149401,A017,S3,MC,  192,PGW,,
608174132900,011,S1,WC,  165,PGW,,
608054005900,GA022,S3,EI,  316,PGW,,
608114066901,005,S2,EI,  325,PGW,,
608174121404,006,S2,GI,   47,PGW,,
608164045700,SS006,S1,EI,  252,PGW,,
608174128800,001,S1,MP,  312,OSI,,
608114061500,MD018,D1,MI,  682,PGW,,
608114036904,A004,S1,SS,  218,GSI,,
608114040900,DC134,S3,HI,A 469,PGW,,
177190085602,B020,S1,VK,  786,WIW,,
177150100201,P008,S1,WC,   57,PGW,,
177254087401,CC051,S1,SS,   90,GSI,,
608234002800,001,S3,PL,   13,POW,,
608174128900,006,S2,HI,A 572,PGW,,
177244035201,DA008,S2,EI,  208,POW,,
608234002800,001,S5,SM,  218,PGW,,
608174129500,002,D5,ST,   72,PGW,,
608174127701,B011,S2,EI,  372,POW,,
608174128900,006,S2,SM,  238,POW,,
608114062201,005,S4,WC,  498,POW,,
608114062700,001,D1,SP,   93,PGW,,
177104167700,C020,S3,HI,   39,PGW,,
177144001503,078,D6,ST,   72,PGW,,
608084004701,002,S1,WC,   21,GSI,,
608114062900,002,S3,MP,   30,PGW,,
608174112305,PI001,S3,EC,   83,PGW,,
608174128200,002,S5,EI,  314,POW,,
608104014600,A008,S1,EB,  430,OSI,,
427094117200,C002,S1,MP,  312,OSI,,
608114065500,SA002,S1,ST,   21,POW,,
608174120701,MB008,S1,MC,  773,POW,,
608084005400,002,S1,GI,   23,GLO,,
608114066800,SS001,S3,MP,   42,OSI,,
608174134300,002,S1,WC,   66,PGW,,
177154127500,K002,S1,WC,   43,OSI,,
608114066700,007,S2,BS,   55,POW,,
608114066800,SS001,S3,BA,A  70,GSI,,
608114067200,006,S1,EI,  253,POW,,
177104140403,A014,S8,SS,  198,PGW,,
608174133200,001,S1,HI,A   1,GSI,,
608114066903,005,S2,WD,  109,POW,,
608124011101,JU105,S1,PL,    1,POW,,
608174135002,001,D2,SP,   93,PGW,,
608174135200,001,S1,EC,  282,PGW,,
608174134000,AW001,S6,HI,  200,GSI,,
608114066600,PC002,S2,EC,   81,PGW,,
608094000200,002,S1,BA,  451,GSI,,
608114067500,003,S3,MP,   93,GSI,,
608114063600,002,D3,WC,   66,PGW,,
608174128500,001,S1,MC,  728,POW,,
608114063500,002,S1,ST,  205,GSI,,
608174112305,PI001,D2,MI,  682,GSI,,
177124068900,A017,S1,WC,  328,PGW,,
608174129100,001,D3,WD,   31,OSI,,
608084004800,001,S2,SM,  130,PGW,,
608114059300,DC321,S4,GI,   94,PGW,,
608174128900,006,S1,MC,  348,PGW,,
427084064500,001,S1,VK,  113,PGW,,
608174046602,A003,S2,HI,A 550,PGW,,
608174129300,004,S3,SX,   17,PGW,,
608174128900,006,D2,HI,A 595,PGW,,
608174129100,001,S1,SS,  169,POW,,
608174128700,001,S1,HI,A 573,POW,,
177104167800,K017,S5,EI,  106,GSI,,
