VESSEL NAME,CLASSIFICATION,MAX OPERATING DRAFT (M),CONSTRUCTION TYPE,Leased or Own,Operating Water Depth,Location,Owner of FPSO,FPSO Operator
ABO,DNV,15,Converted,Yes,550,Abo,BW Offshore,BW Offshore
AGBAMI,ABS,,New Build,No,1462,"Agbami OPL 216, 217",Chevron,Star Deepwater JV
AKPO,BV,,New Build,No,1350,"Akpo OPL 246, OML-130",Total,Total
AL ZAAFARANA,DNV,16,Converted,No,60,Zaafarana Block BN 1,Zaafarana Oil Company,Aker
ALVHEIM,DNV,16,Converted,No,125,Alvheim,Marathon,Marathon
ANASURIA,LR,17,New Build,No,89,"Teal, Teal South, Guillemot A, Cook",Shell/Exxon (50/50),Shell
ANOA NATUNA,ABS,14,New Build,No,77,Anoa Block A,Premier Oil,Premier Oil
AOKA MIZU,DNV,15,New Build,Yes,115,"Ettrick Field, North Sea",Bluewater,Bluewater
ARMADA PERDANA,ABS,17,Converted,Yes,350,Oyo,Bumi Armada,Bumi Armada
ARMADA PERKASA,ABS,13,Converted,Yes,15,Okoru Setu Field,Bumi Armada,Bumi Armada
ARMADA STERLING,ABS,15,Converted,Yes,91,D1,Bumi Armada,Bumi Armada
ARMADA TGT1 (PERWIRA),ABS,14,Converted,Yes,47,Te Giac Trang,Bumi Armada,Bumi Armada
ASENG,ABS,,Converted,Yes,960,Aseng,JV - SBMO/ Partner,SBMO+JV Partner
ÅSGARD A,DNV,19,New Build,No,300,Åsgard,Statoil,Statoil
AZURITE FDPSO,DNV,18,Converted,Yes,1400,Pointe Noire,BW Offshore,BW Offshore
BA VI,,,Converted,No,48,Dragon Block 9/16,Vietsovpetro,Vietsovpetro
BAOBAB IVOIRIEN MV 10,ABS,,Converted,Yes,970,Baobab,MODEC,MODEC
BELANAK,ABS,,New Build,No,90,Belanak West Natuna Block B,ConocoPhillips,ConocoPhillips
BERANTAI (EAST FORTUNE),DNV,,Converted,No,55,Berantai,Petrofac,Petrofac
BERGE HELENE,ABS,,Converted,Yes,694,Chinguetti Field,BW Offshore,BW Offshore
BLEO HOLM,ABS,,,Yes,109,"Ross, Parry, Blake",Bluewater,Talisman
BOHAI MING ZHU,ABS,,,No,31,Penglai 19-3 Block 11/05,CNOOC,ConocoPhillips/CNOOC
BOHAI SHI JI (BOHAI CENTURY),DNV,,,No,20,Quinhuangdao 32-6,CNOOC,CNOOC
BOHAI YOU YI HAO,ABS,,Converted,No,22,Bozhong 28-1,CNOOC,CNOOC
BONGA,LRS,23,New Build,No,1250,Bonga,Shell,Shell
BOURBON OPALE,ABS,,Converted,No,,Various,Bourbon Offshore,Bourbon Offshore
BRASIL,ABS,,,Yes,1360,Roncador,JV - SBMO/ Partner,SBMO+JV Partner
BROTOJOYO,DNV,18,New Build,Yes,,Pagerungan Utara,BLT,BLT
BW ATHENA,DNV,9,Converted,Yes,825,Bressay,BW Offshore,BW Offshore
BW CIDADE DE SAO VICENTE,DNV,14,Converted,Yes,2120,"Early production, various fields - incl. Sapinhoa, Lula",BW Offshore,BW Offshore
BW JOKO TOLE,ABS / BKI,,Converted,Yes,300,Terang Sirasun Batur,BW Offshore,BW Offshore
BW PIONEER,DNV,,Converted,Yes,2600,"Cascade, Chinook",BW Offshore,BW Offshore
CAPIXABA,ABS,21,Converted,Yes,1485,Cachalote,SBMO,SBMO
CAPTAIN,DNV,18,New Build,No,104,"Captain A, B, C",Chevron,Chevron
CHI LINH,,,Converted,No,50,White Tiger,Vietsovpetro,Vietsovpetro
CIDADE DE ANCHIETA (former Espadarte),ABS,22,Converted,Yes,1221,Baleia Azul,SBMO,SBMO
CIDADE DE ANGRA dos REIS MV22,,,Converted,Yes,2150,Lula,MODEC,MODEC
CIDADE DE ITAJAI,ABS,,Converted,Yes,250,Bauna & Piracaba Fields,"Teekay, Odebrecht",Teekay Petrojarl
CIDADE DE PARATY,ABS,,Converted,Yes,2120,Lula NE Field,SBM Offshore,SBM Offshore
CIDADE DE SAO PAULO,ABS,,Converted,Yes,2100,Sapinhoa,MODEC,MODEC
CRYSTAL OCEAN,DNV,9,New Build,Yes,170,Litorial Tabasco area,Sea Production Ltd,Blue Marine
CURLEW,LR,15,Converted,Yes,92,"Curlew, Kyle",Shell/Exxon (50/50),Shell
CUULONG MV9 (SU TU DEN),ABS,,Converted,No,48,"Cuu Long Basin (Black Lion), Block 15-1",Cuu Long JV,MODEC
DALIA,ABS,,,No,1360,Dalia Block 17,Total,Total
DHIRUBHAI-1 (AKER SMART 1),ABS,,,Yes,1200,MA-D6,Aker FP,Aker BO
DYNAMIC PRODUCER (PIPA-2),DNV,,,No,2500,Carioca NE,DPI,DPI
ERHA,ABS,,Converted,No,1180,Niger Delta OPL 209,ExxonMobil,Esso
ESPIRITO SANTO (BC-10),ABS,22,Converted,Yes,1780,"BC-10, Parque das Conchas - Abalone, Ostras, Nautilus, Argonauta",SBMO,SBMO
ESPOIR IVOIRIEN,ABS,,Converted,Yes,120,Espoir,BW Offshore,BW Offshore
FARWAH,ABS,,,No,91,Al Jurf Block C137,Total,Exmar
FIRENZE FPSO,RINA,,Converted,Yes,800,Aquila,Saipem,Saipem
FLUMINENSE FPSO,ABS,16,Converted,No,740,"Bijupira, Salema",Shell,MODEC
FPF3 (JASMINE VENTURE),ABS,15,Converted,Yes,60,Jasmine,Petrofac,Petrofac
FRADE,ABS,21,Converted,No,1080,Frade BC-4,Chevron,SBMO
GIMBOA,ABS,21,Converted,Yes,711,Gimboa,Saipem,Saipem
GIRASSOL,BV,23,New Build,No,1400,"Girassol, Jasmim Block 17, Rosa (Future)",Total,Total
GLAS DOWR,,15,New Build,Yes,344,Kitan,Bluewater,Bluewater
GLOBAL PRODUCER (GRYPHON A),DNV,16,New Build,Yes,91,"Gryphon, Maclure, Tullich",Maersk,Maersk
GLOBAL PRODUCER III,DNV,17,New Build,Yes,113,Dumbarton,Maersk,Maersk
GLOBAL PRODUCER VIII (Hai Yang Shi You 112),DNV,16,New Build,No,24,"Caofeidian 11-1, 11-2, 11-3, 11-5",CNOOC,CNOOC
GREATER PLUTONIO,BV,,New Build,No,1200,"Block 18: Paladio, Plutonio, Platino, Galio, Cromio, Cobalto",BP,BP
HAI YANG SHI YOU 102 (CHANG QING HAO),CCS,,Converted,No,20,Bozhong 34/1,CNOOC,CNOOC
HAI YANG SHI YOU 111,CCS,17,New Build,No,110,"Panyu 4/2, 5/1",CNOOC,CNOOC
HAI YANG SHI YOU 113,DNV,14,New Build,No,22,Bozhong 25-1,CNOOC,Chevron
HAI YANG SHI YOU 117,DNV,,New Build,No,25,Penglai Block 19-3 (Phase 2),CNOOC,ConocoPhillips
HUMMINGBIRD SPIRIT (former Sevan Hummingbird),DNV,18,New Build,Yes,120,Chestnut,Teekay Petrojarl,Wood Group
IKDAM,DNV,16,Converted,Yes,260,Oudna,Ikdam,Ikdam
JOTUN A,DNV,16,New Build,Yes,128,Jotun,Bluewater (JV),ExxonMobil
KAKAP NATUNA,ABS,16,Converted,Yes,88,Kakap KH,MODEC,ConocoPhillips
KIKEH,ABS,21,Converted,Yes,1350,Kikeh,JV - SBMO/ Partner,SBMO+JV Partner
"KIZOMBA ""A""",DNV,24,New Build,No,1180,"Block 15 - Hungo, Chocalho",ExxonMobil,ExxonMobil
"KIZOMBA ""B""",DNV,24,New Build,No,1016,"Block 15 - Kissanje, Dikanza",ExxonMobil,ExxonMobil
