VESSEL NAME,TOTAL RISERS,PRODUCTION,WATER INJECTION,GAS INJECTION,GAS LIFT,IMPORT / EXPORT RISERS,OTHER,UMBILICALS
ABO,8,5,1,2,,,,2
AGBAMI,,,,,,,,
AKPO,14,8,4,1,,1,,8
AL ZAAFARANA,7,2,1,,,1,1,2
ALVHEIM,12,6,1,n/a,1,1,n/a,3
ANASURIA,,,,,,,,
ANOA NATUNA,6,,,,,,,2
AOKA MIZU,15,,,,,,,
ARMADA PERDANA,4,2,0,1,1,0,0,0
ARMADA PERKASA,3,2,0,0,1,0,0,0
ARMADA STERLING,6,3,1,0,0,0,0,2
ARMADA TGT1 (PERWIRA),10,4,1,0,1,1,3,0
ASENG,7,4,1,1,,,1,
ÅSGARD A,,,,,,,,
AZURITE FDPSO,4,2,1,,,,,1
BA VI,2,,,,,,,
BAOBAB IVOIRIEN MV 10,11,,,,,,,
BELANAK,5,,,,,,,
BERANTAI (EAST FORTUNE),,,,,,,,
BERGE HELENE,11,2,1,1,1,,,1
BLEO HOLM,8,,,,,,,
BOHAI MING ZHU,4,,,,,,,
BOHAI SHI JI (BOHAI CENTURY),,,,,,,,
BOHAI YOU YI HAO,4,2,,,,,,2
BONGA,,,,,,,,
BOURBON OPALE,1,,,,,,,
BRASIL,15,8,3,3,,1,,8
BROTOJOYO,,,,,,,,
BW ATHENA,6,,,,,,,
BW CIDADE DE SAO VICENTE,2,,,,,,,
BW JOKO TOLE,,,,,,,,
BW PIONEER,,,,,,,,
CAPIXABA,20,7,3,N/A,8,2,N/A,12
CAPTAIN,3,,,,,,,
CHI LINH,2,,,,,,,
CIDADE DE ANCHIETA (former Espadarte),39,9,6,,10,1,1,17
CIDADE DE ANGRA dos REIS MV22,,,,,,,,
CIDADE DE ITAJAI,,,,,,,,
CIDADE DE PARATY,,,,,,,,
CIDADE DE SAO PAULO,,,,,,,,
CRYSTAL OCEAN,,,,,,5,,4
CURLEW,7,2,1,,,1,1,2
CUULONG MV9 (SU TU DEN),,,,,,,,
DALIA,14,8,4,2,,,,8
DHIRUBHAI-1 (AKER SMART 1),11,5,,1,,4,,1
DYNAMIC PRODUCER (PIPA-2),1,1,,,,,,
ERHA,,,,,,,,
ESPIRITO SANTO (BC-10),12,8,1,1,,1,,9
ESPOIR IVOIRIEN,10,,,,,,,
FARWAH,,,,,,,,
FIRENZE FPSO,,,,3,,3,,3
FLUMINENSE FPSO,15,,,,,,,3
FPF3 (JASMINE VENTURE),2,,,,,,,
FRADE,18,12,2,,3,1,11,4
GIMBOA,,,,,,,,
GIRASSOL,4,,,,,,,
GLAS DOWR,,,,,,,,
GLOBAL PRODUCER (GRYPHON A),12,,,,,,,
GLOBAL PRODUCER III,,,,,,,,
GLOBAL PRODUCER VIII (Hai Yang Shi You 112),9,9,,,,,,
GREATER PLUTONIO,24,,,,,,,2
HAI YANG SHI YOU 102 (CHANG QING HAO),,,,,,,,
HAI YANG SHI YOU 111,,,,,,,,
HAI YANG SHI YOU 113,,,,,,,,
HAI YANG SHI YOU 117,,,,,,,,
HUMMINGBIRD SPIRIT (former Sevan Hummingbird),7,,,,,,,
IKDAM,3,,,,,,,
JOTUN A,4,2,,,,,,2
KAKAP NATUNA,2,,,,,,,
KIKEH,10,5,3,,0,1,0,3
"KIZOMBA ""A""",,,,,,,,
"KIZOMBA ""B""",15,12,,,,,,3
KNOCK ADOON,,,,,,,,
KNOCK ALLAN,,,,,,,,
KUITO,9,4,,1,,2,2,
KWAME NKRUMAH MV21 (JUBILEE FIELD),11,4,2,1,1,1,,2
LEWEK ARUNOTHAI,,,,,,,,
LEWEK EMAS (CHIM SAO),7,,,,,,,2
MAERSK NGUJIMA-YIN,14,5,1,1,,,,2
MARLIM SUL,19,6,5,0,6,2,0,12
MODEC VENTURE 11,12,,,,,,,
MONDO,12,6,1,1,1,,,3
MONTARA VENTURE,,,,,,,,
MUNIN,7,3,2,,,,,2
MV 8 LANGSA VENTURE,3,,,,,,,
MYSTRAS,23,9,,1,1,1,1,10
NAN HAI ENDEAVOR (FEN JIN HAO),4,2,,,,,,2
NAN HAI FA XIAN,3,,,,,,,
NAN HAI SHENG LI,3,,,,,,,
NGANHURRA,7 (11),3,1,1,1,,,1
NINGALOO VISION,8,,,,,,,
N'KOSSA II LPG,4,,,,,,,2
NORNE,,,,,,,,
NORTH SEA PRODUCER,8,1,1,,1,2,1,2
NORTHERN ENDEAVOUR,8 (21),3,,1,2,,,2
OCEAN PRODUCER,8,7,1,,,,,
OKHA,7,,,,,,,
OSX-1,15,6,2,0,0,0,2,5
P-31,4,,,,,,,4
P-33,1,1,,,,,,
P-34,34,,,,,,,
P-35,2,,,,,,,
P-37,,,,,,,,
P-43,5,,,,,,,
P-48,1,,,,,,,
P-50,23,9,,1,1,1,1,10
P-53,75,,,,,,,
P-54,10,,,,,,,
P-57,80,,,,,,,
PAZFLOR,17,9,4,1,2,1,,8
PEREGRINO,12,,,,,,,
