MOORING_SYSTEM,MOORING_SUBTYPE,MOORING_VARIANT,CONNECTION_MODE,FACILITY_TYPE,FEASIBILITY
SPREAD MOORING,,CATENARY,PERMANENT,SEMI -SUBMERSIBLE,Proven
SPREAD MOORING,,CATENARY,PERMANENT,DRILL SHIP    (DP Rig),Proven
SPREAD MOORING,,CATENARY,PERMANENT,SERVICE VESSEL,Proven
SPREAD MOORING,,CATENARY,PERMANENT,FLOATEL,Proven
SPREAD MOORING,,CATENARY,PERMANENT,SEMI - PRODUCTION SEMI,Proven
SPREAD MOORING,,CATENARY,PERMANENT,SPAR - TRUSS SPAR,Proven
SPREAD MOORING,,CATENARY,PERMANENT,CLASSIC SPAR,Proven
SPREAD MOORING,,CATENARY,PERMANENT,CELL SPAR,Proven
SPREAD MOORING,,CATENARY,PERMANENT,BUOY - LOADING/PROD.BUOY,Proven
SPREAD MOORING,,TAUT,PERMANENT,SEMI -SUBMERSIBLE,Proven
SPREAD MOORING,,TAUT,PERMANENT,DRILL SHIP    (DP Rig),Proven
SPREAD MOORING,,TAUT,PERMANENT,SERVICE VESSEL,Proven
SPREAD MOORING,,TAUT,PERMANENT,FLOATEL,Proven
SPREAD MOORING,,TAUT,PERMANENT,SEMI - PRODUCTION SEMI,Proven
SPREAD MOORING,,TAUT,PERMANENT,SPAR - TRUSS SPAR,Proven
SPREAD MOORING,,TAUT,PERMANENT,CLASSIC SPAR,Proven
SPREAD MOORING,,TAUT,PERMANENT,CELL SPAR,Not Proven
SPREAD MOORING,,TAUT,PERMANENT,BUOY - LOADING/PROD.BUOY,Proven
TENDONS & AP,,TENSION,PERMANENT,TLP - CONVENTIONAL& MINI-TLP,Proven
SINGLE POINT MOORING,TURRET,INTERNAL,DISCONNECTABLE/PERMANENT,SERVICE VESSEL,Proven
SINGLE POINT MOORING,TURRET,INTERNAL,DISCONNECTABLE/PERMANENT,FLOATEL,Proven
