FACILITY NAME,GENERAL LOCATION,OPERATING WATER DEPTH(m),RESERVES(MBOE),OPERATOR,CLASSIFICATIONS SOCIETY,Estimated Field Life (Years)
NEPTUNE,GOM,588,~ 75 MBOE,Anadarko,ABS - FOI,~ 15 Years
MEDUSA,GOM,678,90 MBOE,Murphy,ABS - FOI,~ 7 Years
GENESIS,GOM,792,120 MBOE,Chevron,ABS - FOI,~ 12 Years
GUNNISON Global Producer VII,GOM,960,175 MBOE,Anadarko,ABS - FOI,16 Years
FRONT RUNNER,GOM,1015,70 - 90 MBOE,Murphy,ABS - FOI,~ 12 Years
BOOMVANG Global Producer VI,GOM,1052,160 - 180 MBOE,Anadarko,ABS - FOI,~ 16 Years
NANSEN  Global Producer V,GOM,1121,50 MBOE,Anadarko,ABS - FOI,~ 10 Years
ATP TITAN Telemark Hub / Mirage,GOM,1219,400 - 500 MBOE,ATP,ABS - FOI,~ 25 Years
TAHITI,GOM,1250,,Chevron,ABS - FOI,30 years
AASTA HANSTEEN SPAR FPSO,Norwegian Sea,1300,300 MBOE,Statoil,N/A,25-30 Years
HOLSTEIN,GOM,1324,300 MBOE,BP,ABS - FOI,25-30 Years
KIKEH,Malaysia,1330,440 MBOE,Murphy,DNV - 01  Deep Draft Installation,~ 17 Years
MAD DOG,GOM,1347,~ 300 MBOE,BP,ABS - FOI,~ 35 Years
HOOVER / DIANA Deep Draft Cassion Vessel (DDCV),GOM,1463,+ / - 280 MBOE,ExxonMobil,ABS - FOI,15 - 20 Years
CONSTITUTION Global Producer X,GOM,1515,110 MBOE,Anadarko,ABS - FOI,~ 12 Years
RED HAWK Global Producer IX,GOM,1615,417 MBOE,Anadarko,ABS - FOI,~ 12 Years
HORN MOUNTAIN,GOM,1653,~150 MBOE,BP,ABS - FOI,~ 14 Years
DEVILS TOWER,GOM,1710,80 - 100 MBOE,Eni,ABS - FOI,8 - 9 Years
LUCIUS,GOM,2173,300,Anadarko,ABS - FOI,~ 20 Years
PERDIDO,GOM,2383,TBA,Shell,N/A,~ 20 Years
