REGION,BUS_PROCESS,APPROVAL_TYPE,APRV_DATE,REGULATION_NUMBER,WCR_REG,BUS_ASC_CODE,BUS_ASC_NAME,SHORT_DESCRIPTION,ATTR_LABEL_1,ATTR_VALUE_1,ATTR_LABEL_2,ATTR_VALUE_2,ATTR_LABEL_3,ATTR_VALUE_3,ATTR_LABEL_4,ATTR_VALUE_4,ATTR_LABEL_5,ATTR_VALUE_5
Gulf of Mexico,Measurement Verification,Time Extension,11/22/2024 3:46:00 PM,30 CFR 250.1204(b)(1),N,2899,Talos ERT LLC,Periodic Well Test,API No(s). (Required),608114062900,Well Name(s),002,Location(s) (AA 0BBB),GC 0236,Lease No(s).,G34971,,
Gulf of Mexico,Revised New Well,Time Extension,11/22/2024 3:32:21 PM,30 CFR 250.722(a)(1), ,2481,BP Exploration & Production Inc.,Casing Test Extension,Lease,G09981,Area/Block,GC   825,Rig ID,51525,Well Name,  017,API Well Number,608114078300
Gulf of Mexico,Revised New Well,Time Extension,11/22/2024 3:32:21 PM,30 CFR 250.737(a)(3), ,2481,BP Exploration & Production Inc.,BSR Test Extension,Lease,G09981,Area/Block,GC   825,Rig ID,51525,Well Name,  017,API Well Number,608114078300
Gulf of Mexico,FSS Permit,Time Extension,11/22/2024 2:52:55 PM,30 CFR 250.816,N,3209,"Renaissance Offshore, LLC",Time Extension for SSSV testing or Annual No Flow Verification,Complex ID,21007,Area Code,EI,Block Number,  331,Facility Name,EI 331 - B,,
Gulf of Mexico,Measurement Verification,Time Extension,11/22/2024 2:32:50 PM,30 CFR 250.1204(b)(1),N,2899,Talos ERT LLC,Periodic Well Test,API No(s). (Required),608114065700,Well Name(s),001,Location(s) (AA 0BBB),GC 0280,Lease No(s).,G35658,,
Gulf of Mexico,Measurement Verification,Time Extension,11/22/2024 2:25:29 PM,30 CFR 250.1204(b)(1),N,2899,Talos ERT LLC,Periodic Well Test,API No(s). (Required),608114070801,Well Name(s),SS003,Location(s) (AA 0BBB),GC 0281,Lease No(s).,G33242,,
Gulf of Mexico,FSS Permit,Time Extension,11/22/2024 2:13:43 PM,30 CFR 250.520,N,276,Exxon Mobil Corporation,Time Extension for Casing Pressure Monitoring,Complex ID,24030,Area Code,VR,Block Number,  164,Facility Name,VR 164 - A,,
Gulf of Mexico,FSS Permit,Alternate Compliance,11/22/2024 2:11:44 PM,30 CFR 250.825(a),N,689,Shell Offshore Inc.,Incapable of Natural Flow - No SSSV,Complex ID,70004,Area Code,MC,Block Number,  809,Facility Name,MC 809 - A (Ursa),,
Gulf of Mexico,Measurement Verification,Time Extension,11/22/2024 1:56:21 PM,30 CFR 250.1203(c)(1),N,3,Union Oil Company of California,Gas Royalty Meter Calibrations,FMP No. (Required),3060812XW00,Extension Month (MM/YYYY),11/2024,Location (AA 0BBB   P),WR 0718   A,Meter Data,"Gas Sales Meters, Serial Num. AM2739581, AM2739589-2, and AM2739589-3",,
Gulf of Mexico,FSS Permit,Time Extension,11/22/2024 1:18:41 PM,30 CFR 250.880(c)(2)(i),N,3670,"White Fleet Operating, LLC","Time Extension for API RP 14C Device Testing (PSHL, LSHL, TSH, PSV, BSL, FSL, FSV, and SDV)",Complex ID,21567,Area Code,EI,Block Number,  259,Facility Name,EI 259 - B,,
