PROD_YEAR,OIL_STB,GAS_MCF
1989,10007573,32527752
2022,586997426,586229786
1987,17070926,45145878
1991,22886754,59604768
1992,37295127,89003675
2002,348566124,1286974486
2010,460656543,1065131516
2004,347953910,1396314335
2008,312730034,999057060
2013,361704729,637924717
2019,629856972,721242125
1988,12984552,38994103
1990,12141988,31113841
1995,55200884,184645209
2005,325578420,1189883544
2016,507777424,783257886
2020,566580487,591161226
1993,36769914,122296667
1985,21053752,34527255
1998,159232680,567567774
2009,457552497,1103080864
1997,108514650,389404718
2001,315392362,1178429028
2000,271144316,998859653
2018,575770729,645786228
2014,416366555,687821328
1986,19077066,37639373
1996,72213069,283806147
2007,328133335,1027089948
2017,545640578,715922245
2012,367560384,725123678
2021,579118979,602111584
2023,640573078,597232631
1994,41803238,162666899
1999,225089761,845581180
2015,463451964,785208217
2003,350148830,1425743793
2006,341354260,1093965240
2011,378436357,854653280
