LEASE_NUMBER,OPERATOR_NUM,SORT_NAME
G31255,3280,FREEPORT MCMORAN OIL & GAS LLC
G31258,3280,FREEPORT MCMORAN OIL & GAS LLC
G26756,2528,EQUINOR USA E&P INC
G23883,1978,HELIS OIL & GAS COMPANY LLC
G31245,2481,BP EXPLORATION & PRODUCTION INC
G05503,105,APACHE CORPORATION
G05503,78,CHEVRON USA INC
G01144,1284,W & T OFFSHORE INC
G35508,3228,VENARI OFFSHORE LLC
G35509,2481,BP EXPLORATION & PRODUCTION INC
G35516,2481,BP EXPLORATION & PRODUCTION INC
G35521,3228,VENARI OFFSHORE LLC
G35523,56,CONOCOPHILLIPS COMPANY
G35537,2277,WOODSIDE ENERGY (DEEPWATER) INC
G35539,2277,WOODSIDE ENERGY (DEEPWATER) INC
G35559,2481,BP EXPLORATION & PRODUCTION INC
G35562,276,EXXON MOBIL CORPORATION
G35566,2277,WOODSIDE ENERGY (DEEPWATER) INC
G35571,276,EXXON MOBIL CORPORATION
G30797,2899,TALOS ERT LLC
G32557,2481,BP EXPLORATION & PRODUCTION INC
G02754,3295,FIELDWOOD ENERGY LLC
G21647,2451,GOM SHELF LLC
G02275,3209,RENAISSANCE OFFSHORE LLC
G27756,78,CHEVRON USA INC
G31924,78,CHEVRON USA INC
G32647,78,CHEVRON USA INC
 00594,3247,TALOS ENERGY OFFSHORE LLC
G21655,3247,TALOS ENERGY OFFSHORE LLC
G12355,3247,TALOS ENERGY OFFSHORE LLC
G00972,3247,TALOS ENERGY OFFSHORE LLC
G22605,3247,TALOS ENERGY OFFSHORE LLC
G02278,3033,BLACK ELK ENERGY OFFSHORE OPERATIONS LLC
G34325,3026,TALOS ENERGY VENTURES LLC
G21842,981,ANADARKO PETROLEUM CORPORATI
G23034,981,ANADARKO PETROLEUM CORPORATI
G35195,2058,LLOG EXPLORATION OFFSHORE LLC
G35384,2058,LLOG EXPLORATION OFFSHORE LLC
G28078,981,ANADARKO PETROLEUM CORPORATI
G02757,3295,FIELDWOOD ENERGY LLC
G02757,105,APACHE CORPORATION
G34587,2481,BP EXPLORATION & PRODUCTION INC
G12020,3035,FIELDWOOD ENERGY OFFSHORE LLC
G02393,3295,FIELDWOOD ENERGY LLC
G05550,78,CHEVRON USA INC
G33780,3019,STATOIL GULF PROPERTIES INC
G31702,2237,NOBLE ENERGY INC
G31702,3035,FIELDWOOD ENERGY OFFSHORE LLC
G35387,2058,LLOG EXPLORATION OFFSHORE LLC
G30948,78,CHEVRON USA INC
G25776,78,CHEVRON USA INC
G25811,3,UNION OIL COMPANY OF CALIFORNIA
G33157,2237,NOBLE ENERGY INC
G35575,1376,"LINDER OIL COMPANY, A PARTNERSHIP"
G35578,3214,OCXO LLC
G35610,3310,GULFSLOPE ENERGY INC
G35633,3296,APACHE SHELF EXPLORATION LLC
G35640,3035,FIELDWOOD ENERGY OFFSHORE LLC
G35648,3362,KOSMOS ENERGY GULF OF MEXICO OPERATIONS LLC
G35657,276,EXXON MOBIL CORPORATION
G35699,78,CHEVRON USA INC
G35715,2277,WOODSIDE ENERGY (DEEPWATER) INC
G35716,2277,WOODSIDE ENERGY (DEEPWATER) INC
G35735,689,SHELL OFFSHORE INC.
G35741,2277,WOODSIDE ENERGY (DEEPWATER) INC
G33333,78,CHEVRON USA INC
G33900,78,CHEVRON USA INC
G26361,2481,BP EXPLORATION & PRODUCTION INC
G32316,2481,BP EXPLORATION & PRODUCTION INC
G35494,2970,CASTEX OFFSHORE INC
G32436,56,CONOCOPHILLIPS COMPANY
G03958,3295,FIELDWOOD ENERGY LLC
G34019,2647,MURPHY EXPLORATION & PRODUCTION COMPANY - USA
G34876,3295,FIELDWOOD ENERGY LLC
G32917,59,HESS CORPORATION
G32918,59,HESS CORPORATION
G25803,3,UNION OIL COMPANY OF CALIFORNIA
G25804,3,UNION OIL COMPANY OF CALIFORNIA
G13055,3295,FIELDWOOD ENERGY LLC
G26622,59,HESS CORPORATION
G05612,105,APACHE CORPORATION
G26614,59,HESS CORPORATION
G04253,2451,GOM SHELF LLC
G26610,59,HESS CORPORATION
G30750,59,HESS CORPORATION
G32438,59,HESS CORPORATION
G18011,3295,FIELDWOOD ENERGY LLC
G32912,56,CONOCOPHILLIPS COMPANY
G01848,1978,HELIS OIL & GAS COMPANY LLC
G01848,3295,FIELDWOOD ENERGY LLC
G32712,59,HESS CORPORATION
G26607,59,HESS CORPORATION
G27611,59,HESS CORPORATION
G26623,59,HESS CORPORATION
G30766,59,HESS CORPORATION
G15156,2899,TALOS ERT LLC
G03540,2312,MCMORAN OIL & GAS LLC
 00820,3295,FIELDWOOD ENERGY LLC
G02588,105,APACHE CORPORATION
G01198,105,APACHE CORPORATION
