INC_DATE,REGION,BUS_ASC_CODE,BUS_ASC_NAME,WARNING_INCS,COMP_SHUTIN_INCS,FAC_SHUTIN_INCS
5/4/2009,G,2475,"TR Offshore, LLC",0,1,0
12/16/2008,G,2477,"Tarpon Operating & Development, L.L.C.",0,1,0
3/7/2009,G,2477,"Tarpon Operating & Development, L.L.C.",1,2,0
11/17/2012,G,2477,"Tarpon Operating & Development, L.L.C.",0,2,0
12/7/2012,G,2477,"Tarpon Operating & Development, L.L.C.",0,0,1
1/9/2014,G,2477,"Tarpon Operating & Development, L.L.C.",0,2,0
5/6/2014,G,2477,"Tarpon Operating & Development, L.L.C.",1,2,0
6/11/2014,G,2477,"Tarpon Operating & Development, L.L.C.",0,1,0
12/9/2014,G,2477,"Tarpon Operating & Development, L.L.C.",0,4,0
3/27/2013,G,2477,"Tarpon Operating & Development, L.L.C.",1,0,0
7/10/2013 9:00:00 AM,G,2477,"Tarpon Operating & Development, L.L.C.",1,0,0
4/2/2015 1:30:00 PM,G,2477,"Tarpon Operating & Development, L.L.C.",1,2,0
1/26/2017 2:32:02 PM,G,2477,"Tarpon Operating & Development, L.L.C.",1,1,0
1/25/2017 10:16:51 AM,G,2477,"Tarpon Operating & Development, L.L.C.",2,0,0
3/14/2017 11:56:48 AM,G,2477,"Tarpon Operating & Development, L.L.C.",0,1,0
12/2/2021,G,2478,"Calypso Exploration, LLC",0,0,1
2/23/2002,G,2481,BP Exploration & Production Inc.,0,1,0
3/13/2002,G,2481,BP Exploration & Production Inc.,1,0,0
3/18/2002,G,2481,BP Exploration & Production Inc.,1,1,0
5/10/2002,G,2481,BP Exploration & Production Inc.,0,4,0
7/16/2002,G,2481,BP Exploration & Production Inc.,0,0,1
8/20/2002,G,2481,BP Exploration & Production Inc.,1,0,0
11/23/2002,G,2481,BP Exploration & Production Inc.,2,1,0
11/4/2003,G,2481,BP Exploration & Production Inc.,0,1,0
12/3/2003,G,2481,BP Exploration & Production Inc.,6,0,0
1/23/2004,G,2481,BP Exploration & Production Inc.,1,0,0
1/29/2004,G,2481,BP Exploration & Production Inc.,1,1,0
8/18/2004,G,2481,BP Exploration & Production Inc.,0,1,0
1/16/2005,G,2481,BP Exploration & Production Inc.,3,2,0
5/11/2005,G,2481,BP Exploration & Production Inc.,0,1,0
5/12/2005,G,2481,BP Exploration & Production Inc.,1,0,0
4/6/2006,G,2481,BP Exploration & Production Inc.,0,1,0
6/12/2006,G,2481,BP Exploration & Production Inc.,0,2,0
7/13/2006,G,2481,BP Exploration & Production Inc.,3,2,0
3/6/2012,G,2481,BP Exploration & Production Inc.,2,0,0
4/25/2013,G,2481,BP Exploration & Production Inc.,1,0,0
8/6/2014 9:57:25 AM,G,2481,BP Exploration & Production Inc.,1,0,0
9/27/2001,G,2481,BP Exploration & Production Inc.,1,0,0
11/8/2002 3:00:00 PM,G,2481,BP Exploration & Production Inc.,1,0,0
11/7/2007,G,2481,BP Exploration & Production Inc.,1,0,0
10/4/2010 2:00:00 PM,G,2481,BP Exploration & Production Inc.,1,0,0
11/12/2015 9:46:48 AM,G,2481,BP Exploration & Production Inc.,1,0,0
1/11/2016 11:19:02 AM,G,2481,BP Exploration & Production Inc.,1,0,0
3/15/2017 6:55:59 AM,G,2481,BP Exploration & Production Inc.,1,0,0
7/18/2018 2:30:49 PM,G,2481,BP Exploration & Production Inc.,1,0,0
5/29/2019 1:29:02 PM,G,2481,BP Exploration & Production Inc.,1,0,0
10/3/2019 12:11:31 PM,G,2481,BP Exploration & Production Inc.,1,0,0
4/16/2020 6:14:22 AM,G,2481,BP Exploration & Production Inc.,1,0,0
5/9/2022 1:20:54 PM,G,2481,BP Exploration & Production Inc.,1,0,0
10/13/2022 3:35:03 PM,G,2481,BP Exploration & Production Inc.,0,1,0
5/4/2023 1:14:25 PM,G,2481,BP Exploration & Production Inc.,1,0,0
12/7/2010,G,2503,"Contango Operators, LLC",2,0,0
11/7/2017 12:34:03 PM,G,2503,"Contango Operators, LLC",0,1,0
7/17/2015 6:00:00 PM,G,2513,"Petro Ventures, Inc.",1,0,0
2/17/2017 11:21:00 AM,G,2513,"Petro Ventures, Inc.",2,0,2
8/31/2015 10:06:58 AM,G,2521,"Williams Oil Gathering, L.L.C.",2,0,0
8/27/2001,G,2522,"Denbury Offshore, Inc.",1,1,0
9/27/2001,G,2522,"Denbury Offshore, Inc.",1,5,0
6/6/2002,G,2522,"Denbury Offshore, Inc.",0,2,0
4/30/2002,G,2522,"Denbury Offshore, Inc.",3,3,0
2/7/2004,G,2522,"Denbury Offshore, Inc.",2,1,0
11/6/2003,G,2525,Westport Resources Corporation,1,0,0
9/14/2005,G,2525,Westport Resources Corporation,12,0,0
11/4/2005,G,2525,Westport Resources Corporation,2,0,0
2/25/2010,G,2528,Equinor USA E&P Inc.,0,0,1
4/29/2010,G,2528,Equinor USA E&P Inc.,1,0,0
10/1/2015 1:54:59 PM,G,2528,Equinor USA E&P Inc.,1,0,0
8/19/2009,P,2531,"DCOR, L.L.C.",1,1,0
7/9/2010,P,2531,"DCOR, L.L.C.",1,0,0
5/5/2005,P,2531,"DCOR, L.L.C.",1,0,0
4/27/2005,P,2531,"DCOR, L.L.C.",1,0,0
3/8/2010,P,2531,"DCOR, L.L.C.",1,0,0
7/15/2010,P,2531,"DCOR, L.L.C.",1,0,0
4/17/2011,P,2531,"DCOR, L.L.C.",1,0,0
7/4/2006,P,2531,"DCOR, L.L.C.",0,1,0
10/12/2006,P,2531,"DCOR, L.L.C.",1,0,0
4/17/2007,P,2531,"DCOR, L.L.C.",1,0,0
10/30/2007,P,2531,"DCOR, L.L.C.",2,0,0
3/4/2008,P,2531,"DCOR, L.L.C.",0,1,0
8/7/2008,P,2531,"DCOR, L.L.C.",1,3,0
5/14/2014,P,2531,"DCOR, L.L.C.",3,2,0
5/20/2014,P,2531,"DCOR, L.L.C.",1,0,0
5/21/2014,P,2531,"DCOR, L.L.C.",3,2,0
6/23/2014,P,2531,"DCOR, L.L.C.",2,0,0
4/14/2013,P,2531,"DCOR, L.L.C.",1,4,0
4/12/2013,P,2531,"DCOR, L.L.C.",6,0,0
3/25/2013,P,2531,"DCOR, L.L.C.",0,1,0
3/7/2012,P,2531,"DCOR, L.L.C.",1,0,0
7/1/2011,P,2531,"DCOR, L.L.C.",2,0,0
7/26/2011,P,2531,"DCOR, L.L.C.",1,0,0
4/17/2013,P,2531,"DCOR, L.L.C.",2,4,0
4/7/2012,P,2531,"DCOR, L.L.C.",0,1,0
11/27/2012,P,2531,"DCOR, L.L.C.",0,1,0
10/22/2012,P,2531,"DCOR, L.L.C.",0,3,0
8/29/2013,P,2531,"DCOR, L.L.C.",2,3,1
12/20/2012,P,2531,"DCOR, L.L.C.",1,0,0
8/25/2014,P,2531,"DCOR, L.L.C.",0,2,0
12/20/2013,P,2531,"DCOR, L.L.C.",4,1,0
7/7/2014,P,2531,"DCOR, L.L.C.",0,3,0
2/13/2008,P,2531,"DCOR, L.L.C.",2,0,0
