SN_APD,DRIVE_SIZE,DRIVE_DEPTH,Y_COORD_LOC,X_COORD_LOC,N_S_CODE,N_S_DISTANCE,E_W_CODE,E_W_DISTANCE,LATITUDE,LONGITUDE,SN_BOREHOLE_FK
-19327,36,7478,10305016.727,1291990.475,N,6823,E,6890,28.39239306,-88.08401972,
-19327,36,7478,10306099.492,1293929.106,N,5741,E,4951,28.39541958,-88.07801929,
-20483,36,3500,10220775.264,817745.571,S,3975,E,5934,28.14111667,-89.5531,
-20538,20,497,34451.299,1883651.722,N,3464,W,3829,28.7608926,-91.69638846,
-19342,36,3880,9992435.999,2562744.039,N,2604,E,3336,27.50746778,-90.15434389,
-19342,36,3880,9998281.131,2558517.088,S,3241,E,7563,27.52379895,-90.16696044,
-20483,36,3500,10226378.391,822467.941,N,6262,E,1212,28.15679111,-89.53881972,
-20563,36,3333,10227203.164,919821.941,N,5437,W,1102,28.16432583,-89.23689222,
-20563,36,3333,10228981.998,924407.0,N,3658,W,5687,28.1694484,-89.22276904,
-20626,36,6930,10293163.679,1239644.921,N,2836,W,4125,28.35839444,-88.24646583,
-20626,36,6930,10296272.03,1238737.995,S,272,W,3218,28.36691917,-88.24938611,
-20667,20,701,10409476.74,2611489.427,S,2597,E,2111,28.65024972,-89.97211722,
-20667,20,701,10415109.397,2612214.603,S,8229,E,1385,28.66567491,-89.96941324,
-20788,36,4716,10260725.421,1013977.652,N,3595,W,218,28.26097222,-88.94643056,
-20788,36,4716,10255246.525,1019776.372,S,6767,W,6016,28.24616085,-88.92815038,
-20688,36,3500,10226378.391,822467.941,N,6262,E,1212,28.15679111,-89.53881972,
-20688,36,3500,10220775.264,817745.571,S,3975,E,5934,28.14111667,-89.5531,
-20789,30,907,-197918.358,2258301.025,N,4395,E,6145,28.12000889,-90.532405,
-20845,38,4799,10229703.399,1003065.139,N,2937,W,5145,28.17517778,-88.97874694,
-20789,30,907,-202207.934,2261581.059,S,5277,E,2865,28.10815278,-90.52232889,
-20845,38,4799,10228686.045,1009772.978,N,3954,E,3987,28.17267944,-88.95788056,
-20890,36,6918,10293157.837,1239555.62,N,2842,W,4036,28.35837583,-88.24674333,
-20890,36,6918,10296272.03,1238737.995,S,272,W,3218,28.36691917,-88.24938611,
-21021,20,614,-214925.866,1619262.589,N,1219,W,1397,28.07034417,-92.51334139,
-21021,20,614,-209726.866,1617387.918,S,3980,E,478,28.08458316,-92.51931785,
-21162,36,7357,10270932.769,1250990.543,S,6613,E,369,28.29755778,-88.2104925,
-21162,36,7357,10274620.977,1253708.987,N,5539,W,2349,28.30777833,-88.20215806,
-21151,30,676,63086.948,2577767.175,S,1779,W,3639,28.82763472,-89.529195,
-21151,30,676,64381.9,2568582.929,S,3074,W,4905,28.83158964,-89.55780649,
-21164,24,434,3071.986,1760264.986,N,6949,E,5182,28.67296389,-92.08075972,
-18112,36,1737,10084526.29063,1969189.115562,N,5554,W,5029,27.78626139,-91.9828525,
-18112,36,1737,10083489.973017,1969278.454181,N,6590,W,5118,27.78340815,-91.98260268,
-18116,38,3535,10217138.909303,920815.200277,S,339,W,2095,28.13670472,-89.23323639,
-18116,38,3535,10225571.002071,919106.040683,N,7069,W,386,28.15980194,-89.23901972,
-18243,36,1737,10083489.965,1969278.452,N,6590,W,5118,27.78340815,-91.98260268,
-19278,36,6141,10448619.901,1293414.887,N,5780,E,5465,28.78746639,-88.08363222,
-18121,36,279,9584599.125419,2177768.608954,S,1399,W,7689,26.40478278,-91.35791694,
-18121,36,279,9576968.472417,2174943.753959,N,6232,W,4864,26.38388854,-91.366842,
-18122,26,545,-110395.238,1302316.316,N,2412,E,587,28.34497361,-93.50159222,
-18122,26,545,-108896.391,1302286.426,N,913,E,617,28.34909234,-93.50177323,
-18132,30,1961,10233214.011924,2619895.740255,S,574,W,6296,28.16536861,-89.95980694,
-18132,30,1961,10231487.969747,2623642.047157,N,1152,E,5798,28.1603675,-89.94832694,
-18155,36,820,-137999.671,2362408.293,N,6685,E,1720,28.2823325,-90.20778667,
