SN_MEAS_LOC_FK,LEASE_NUMBER,UNIT_AGT_NUMBER,UNIT_ALOC_SUFFIX
5907,,754399005.0,A
5929,G14205,,
5940,G02625,,
5946,G21738,,
5948,G21738,,
4835,G21738,,
4719,G21738,,
5950,G02592,,
5952,G02592,,
5940,G09637,,
4777,G09637,,
4719,G09637,,
5975, 00813,,
5975,,891008640.0,0
5975,G04809,,
5975,,754389021.0,0
5956,,754397014.0,A
5976,G15277,,
4223,G15277,,
5975,G15277,,
1292,G17938,,
2664,G17938,,
5087,G17938,,
5427,G18169,,
5992,G16493,,
5863,G16698,,
1538,G16698,,
4674,G16698,,
6005,G02592,,
6007,G15277,,
1410,G11546,,
5975,G11546,,
6043,G18194,,
6043,G19925,,
6044,G18194,,
6044,G19925,,
5781,G21702,,
6056,G20051,,
6057,G20051,,
5863,G20051,,
1538,G20051,,
5203,,754396002.0,A
6082,G03229,,
6082,G03237,,
6082,G06093,,
6097,,754396015.0,A
6100,,754396015.0,A
6101,,754396015.0,A
4242,G21532,,
6141,,754397014.0,A
5992,G21702,,
5186,G16698,,
5185,G16698,,
6171,G16614,,
6171,G16623,,
1410,G15879,,
5975,G15879,,
6218,G09216,,
6218,G14221,,
6218,,754395001.0,A
6218,,754395002.0,A
6220,G13928,,
6223,G22762,,
6224,G22762,,
6234,,754399002.0,A
6235,G10379,,
6235,,754399001.0,A
6241,,754397014.0,A
6266,G16647,,
6266,G19996,,
6267,G16647,,
6267,G19996,,
6224,G23946,,
6223,G23946,,
6282,G22762,,
6282,G23946,,
4410,G19866,,
4410,G19869,,
2113,G19866,,
2113,G19869,,
5956,,754397014.0,B
6311, 00310,,
6312,,891020234.0,0
6328,,754397006.0,A
6329,,754397006.0,A
6332,G08496,,
6333,G08496,,
6141,,754397014.0,B
6241,,754397014.0,B
6424,G04903,,
1410,,754391006.0,A
5975,,754391006.0,A
6254,,754304002.0,A
6253,,754304002.0,A
4242,,754304002.0,A
6252,,754304002.0,A
6473,G04452,,
6476,G02115,,
6483,G02587,,
6483,G02883,,
