COMPLEX_ID_NUM,WATER_DEPTH,INSTALL_DATE,REMOVAL_DATE
21225,15,1/1/1966,1/1/2500
21225,15,1/1/1966,1/1/2500
21228,100,1/1/1968,1/24/2009
21228,100,1/1/1972,6/24/2008
21232,99,1/1/1967,10/13/2011
21233,176,1/1/1971,7/22/2007
21234,101,1/1/1960,12/31/1979
21235,100,1/1/1961,12/31/1979
21236,103,1/1/1958,12/31/1985
21239,113,1/1/1966,8/4/2000
21240,113,1/1/1967,12/31/1982
21241,105,1/1/1967,12/31/1982
21242,105,1/1/1958,8/13/2000
21243,100,1/1/1959,12/31/1981
21244,102,1/1/1972,10/12/2003
21196,12,1/1/1962,1/12/1988
21197,12,1/1/1963,12/31/1985
21198,12,1/1/1965,7/8/1994
21199,12,1/1/1966,12/31/1985
21200,12,1/1/1967,6/18/1994
21201,12,1/1/1967,12/31/1985
21202,15,1/1/1966,1/28/2001
21202,15,1/1/1966,1/28/2001
21202,15,1/1/1966,1/28/2001
21203,12,1/1/1964,8/30/1988
21204,12,1/1/1960,8/28/1988
21205,107,1/1/1969,5/26/2002
21206,110,1/1/1970,1/1/2500
21208,100,1/1/1968,10/30/1989
21209,103,1/1/1968,5/20/2008
21215,167,1/1/1969,3/15/2011
21374,51,1/1/1966,7/8/1993
21375,39,1/1/1967,7/15/1993
21376,24,1/1/1972,6/17/1996
21377,51,1/1/1968,6/21/1992
21378,29,1/1/1971,7/13/1990
21379,24,1/1/1973,8/4/1993
21380,25,1/1/1972,8/5/2012
21381,28,1/1/1972,8/20/2014
21382,22,1/1/1972,1/1/2500
21383,24,1/1/1972,11/19/1990
21384,24,1/1/1972,1/1/2500
21385,32,1/1/1968,8/5/1992
21386,25,1/1/1970,8/4/1993
21387,29,1/1/1970,9/11/2010
21388,51,1/1/1967,8/5/1992
21389,35,1/1/1967,5/29/1991
21359,24,1/1/1961,8/13/2003
21360,48,1/1/1973,1/1/2500
21360,48,1/1/1973,9/13/1996
21361,54,1/1/1961,12/31/1985
21361,54,1/1/1974,12/31/1985
21362,53,1/1/1965,12/31/1984
21363,42,1/1/1966,6/17/1996
21364,47,1/1/1965,12/31/1975
21365,32,1/1/1970,7/14/1990
21366,30,1/1/1961,12/31/1975
21367,35,1/1/1965,12/31/1975
21368,29,1/1/1970,7/14/1990
21369,28,1/1/1969,8/31/1993
21370,49,1/1/1969,5/6/2007
21372,48,1/1/1967,11/19/2006
21373,49,1/1/1967,8/23/2006
21344,17,1/1/1982,1/31/1990
21345,30,1/1/1967,11/21/1993
21346,30,1/1/1967,11/17/1993
21347,20,1/1/1971,1/3/1990
21348,20,1/1/1970,1/18/1990
21349,22,1/1/1970,10/28/2016
21349,22,1/1/1982,10/28/2016
21350,22,1/1/1960,12/31/1980
21351,22,1/1/1959,10/13/1994
21352,20,1/1/1968,11/15/2016
21354,24,1/1/1971,8/7/2003
21354,24,1/1/1980,8/7/2003
21354,24,1/1/1984,8/7/2003
21355,27,1/1/1971,8/7/2003
21356,24,1/1/1961,7/7/2012
21357,24,1/1/1961,9/10/1990
21358,24,1/1/1961,10/15/2014
21282,48,1/1/1973,8/4/1993
21283,52,1/1/1967,1/1/2500
21284,38,1/1/1951,6/6/1990
21284,38,1/1/1970,1/1/2500
21284,38,1/1/1979,1/1/2500
21284,38,1/1/1989,1/1/2500
21285,51,1/1/1967,7/19/2012
21301,152,1/1/1972,1/1/2500
21303,155,1/1/1972,1/1/2500
21304,158,1/1/1970,1/1/2500
21304,158,1/1/1971,1/1/2500
21339,23,1/1/1960,8/30/1996
21340,20,1/1/1971,11/4/2016
21341,22,1/1/1971,10/31/2016
21342,20,1/1/1970,12/31/1980
21532,17,1/1/1967,11/10/1993
21533,19,1/1/1971,11/8/1993
21452,80,1/1/1964,1/1/2500
21468,45,1/1/1959,9/12/2011
21468,45,1/1/1959,9/12/2011
