DOC_ID,REGION,DOC_IMPORTED_DATE,DOC_PAGES,DOC_FILESIZE,API_WELL_NUMBER,AREA_CODE,BLOCK_NUMBER,LEASE_NUMBER,WELL_NAME,RECEIPT_DATE
80752,Gulf of Mexico,3/6/2017 2:57:30 PM,7,682576,177190106102,WD,  103, 00840, B018,3/30/1977
80753,Gulf of Mexico,3/6/2017 2:57:40 PM,6,599636,177190114202,WD,  103, 00840, B019,4/29/1977
80754,Gulf of Mexico,3/6/2017 2:57:44 PM,6,587774,177190106101,WD,  103, 00840, B020,2/27/1977
80755,Gulf of Mexico,3/6/2017 2:57:47 PM,4,491542,177190101800,WD,  103, 00840, C010,11/30/1978
80756,Gulf of Mexico,3/6/2017 2:57:50 PM,9,550064,177194054800,WD,  103,G12360, F001,7/22/1992
80757,Gulf of Mexico,3/6/2017 2:57:53 PM,8,419266,177194055100,WD,  103,G12360, F002,9/15/1992
80758,Gulf of Mexico,3/6/2017 2:57:56 PM,7,320811,177194058200,WD,  103,G12360, F003,5/2/1994
80759,Gulf of Mexico,3/6/2017 2:57:58 PM,7,1221423,177190099400,WD,   94, 00839, G009,9/30/1966
80760,Gulf of Mexico,3/6/2017 2:58:05 PM,9,972890,177192005700,WD,   94, 00839, V001,5/9/1970
80761,Gulf of Mexico,3/6/2017 2:58:09 PM,7,515644,177194057900,WD,  103,G12360, F005,4/11/1994
80762,Gulf of Mexico,3/6/2017 2:58:13 PM,12,1133787,177194041000,WD,  105, 00842, E006,11/14/1986
80763,Gulf of Mexico,3/6/2017 2:58:18 PM,5,441658,177194040600,WD,  105, 00842, E007,9/4/1986
80764,Gulf of Mexico,3/6/2017 2:58:21 PM,5,437838,177194041100,WD,  105, 00842, E008,12/15/1986
80765,Gulf of Mexico,3/6/2017 2:58:24 PM,6,315251,177194041101,WD,  105, 00842, E008,8/23/1995
80766,Gulf of Mexico,3/6/2017 2:58:26 PM,7,572573,177194041600,WD,  105, 00842, E009,10/27/1986
