DOC_ID,REGION,DOC_IMPORTED_DATE,DOC_PAGES,DOC_FILESIZE,PERMIT_NUMBER,APPLICANT_NAME,SAP,DOC_TYPE,SURVEY_TYPE,APPLICATION_TYPE,PERMIT_ISSUED_DATE,DOC_DATE,DOC_NOTES
213,Gulf of Mexico,12/7/2000,26,1041944,L00-046,TDI-Brooks International,N,Application/Permit,GEOLOGIC_HEAT_FLOW,,12/1/2000,,                                                  
211,Gulf of Mexico,12/7/2000,24,946486,L00-044,BP Corporation North America Inc.,N,Application/Permit,HiRes,,11/29/2000,,                                                  
212,Gulf of Mexico,12/7/2000,36,1306036,L00-045,"CGG, Americas Inc.",N,Application/Permit,3D,,11/30/2000,,                                                  
214,Gulf of Mexico,12/7/2000,24,975286,L00-047,WesternGeco,N,Application/Permit,2D_4C,,12/13/2000,,                                                  
215,Gulf of Mexico,1/29/2001,23,941061,L00-048,BP Corporation North America Inc.,N,Application/Permit,3D,,12/20/2000,,                                                  
216,Gulf of Mexico,1/29/2001,24,1008295,L00-049,WesternGeco,N,Application/Permit,3D_4C,,1/12/2001,,                                                  
217,Gulf of Mexico,1/29/2001,23,984436,L00-050,"PGS Ocean Bottom Seismic, Inc.",N,Application/Permit,3D_4C,,1/15/2001,,                                                  
218,Gulf of Mexico,1/29/2001,24,988892,T00-023,Fugro-Geoservices,N,Application/Permit,HiRes,,12/22/2000,,                                                  
219,Gulf of Mexico,1/29/2001,24,986908,L01-001,BP Corporation North America Inc.,N,Application/Permit,2D,,1/15/2001,,                                                  
220,Gulf of Mexico,1/29/2001,24,988716,L01-002,WesternGeco,N,Application/Permit,3D,,2/7/2001,,                                                  
221,Gulf of Mexico,1/29/2001,24,976439,L01-003,Exxon Mobil Corporation,N,Application/Permit,3D,,2/7/2001,,                                                  
222,Gulf of Mexico,1/29/2001,24,960317,L01-004,FAIRFIELD INDUSTRIES INC.,N,Application/Permit,3D,,2/1/2001,,                                                  
