INCCOUNT,INC_ISSUE_DATE,BUS_ASC_NAME,MMS_COMPANY_NUM
1,2/18/2004,Nuevo Energy Company,1546
1,4/16/1991,Union Oil Company of California,3
1,3/24/1992,Union Oil Company of California,3
1,10/6/2015 1:49:39 PM,"DCOR, L.L.C.",2531
1,5/28/1991,"Pacific Operators Offshore, LLC",1560
1,5/24/2012,Plains Exploration & Production Company (PXP),2702
1,11/5/2004,Exxon Mobil Corporation,276
5,9/22/2003,"Venoco, LLC",2309
1,4/21/1992,Chevron U.S.A. Inc.,78
4,12/2/1987,Union Oil Company of California,3
4,4/3/2005,Arguello Inc.,2372
6,10/11/1990,Exxon Mobil Corporation,276
2,3/6/2013,"Pacific Operators Offshore, LLC",1560
3,4/26/1989,Exxon Mobil Corporation,276
1,5/8/2000,Exxon Mobil Corporation,276
2,6/7/1999,Aera Energy LLC,1954
1,7/21/2003,"Pacific Operators Offshore, LLC",1560
1,7/21/2000,"Pacific Operators Offshore, LLC",1560
1,6/1/1991,Chevron U.S.A. Inc.,78
3,2/1/1991,Exxon Mobil Corporation,276
2,3/19/1991,Union Oil Company of California,3
2,8/31/1993,"Pacific Operators Offshore, LLC",1560
1,6/16/2008,"Pacific Operators Offshore, LLC",1560
1,4/10/1989,Union Oil Company of California,3
1,5/10/2005,Exxon Mobil Corporation,276
1,7/21/2002,"Pacific Operators Offshore, LLC",1560
3,2/1/1988,Exxon Mobil Corporation,276
2,10/1/1989,Texaco Inc.,40
1,9/17/1997,Chevron U.S.A. Inc.,78
1,7/13/1988,Chevron U.S.A. Inc.,78
1,3/29/2000,"Venoco, LLC",2309
3,2/21/1988,Exxon Mobil Corporation,276
1,4/18/1994,Exxon Mobil Corporation,276
12,5/23/2011,Plains Exploration & Production Company (PXP),2702
1,3/5/1999,Chevron U.S.A. Inc.,78
1,1/13/1989,Exxon Mobil Corporation,276
1,1/16/2001,"Pacific Operators Offshore, LLC",1560
1,7/13/2002,Nuevo Energy Company,1546
1,6/14/2012,"Pacific Operators Offshore, LLC",1560
1,11/6/1992,Union Oil Company of California,3
1,5/31/2009,Plains Exploration & Production Company (PXP),2702
3,8/12/1991,Exxon Mobil Corporation,276
1,11/7/1993,Chevron U.S.A. Inc.,78
1,8/22/1989,Exxon Mobil Corporation,276
1,4/4/1990,Chevron U.S.A. Inc.,78
6,12/9/1991,Union Oil Company of California,3
1,4/7/1991,Union Oil Company of California,3
1,4/22/2008,"DCOR, L.L.C.",2531
1,11/14/1992,Union Oil Company of California,3
1,8/14/1992,Union Oil Company of California,3
1,7/10/1990,Union Oil Company of California,3
1,1/7/1993,Union Oil Company of California,3
3,10/15/1996,Chevron U.S.A. Inc.,78
1,6/27/2004,Nuevo Energy Company,1546
1,7/24/2001,Arguello Inc.,2372
1,9/28/2005,"DCOR, L.L.C.",2531
3,2/15/1992,Chevron U.S.A. Inc.,78
1,4/2/2014,Freeport-McMoRan Oil & Gas LLC,3280
2,7/9/2002,Nuevo Energy Company,1546
1,2/14/1990,Union Oil Company of California,3
2,10/18/1996,Chevron U.S.A. Inc.,78
1,4/22/2016,"DCOR, L.L.C.",2531
2,5/6/2013,"DCOR, L.L.C.",2531
1,11/29/2010,"Beta Operating Company, LLC",3126
1,3/15/2006,"Pacific Operators Offshore, LLC",1560
2,9/14/1994,Chevron U.S.A. Inc.,78
1,9/16/1998,Chevron U.S.A. Inc.,78
1,11/19/2004,"Venoco, LLC",2309
1,4/23/1991,Union Oil Company of California,3
8,3/26/1994,"Texaco Exploration and Production, Inc.",771
1,5/22/1991,Union Oil Company of California,3
1,1/12/2006,"Pacific Operators Offshore, LLC",1560
26,11/17/1989,Exxon Mobil Corporation,276
1,9/14/1988,ConocoPhillips Company,56
1,6/18/1994,Chevron U.S.A. Inc.,78
2,2/11/1993,Chevron U.S.A. Inc.,78
1,8/8/1994,Union Oil Company of California,3
1,12/10/1994,"Pacific Operators Offshore, LLC",1560
1,8/14/2002,Nuevo Energy Company,1546
1,6/9/1989,Chevron U.S.A. Inc.,78
1,11/12/2001,Nuevo Energy Company,1546
1,11/3/2003,Exxon Mobil Corporation,276
1,6/15/1990,Union Oil Company of California,3
1,5/15/2006,Exxon Mobil Corporation,276
5,2/13/1994,Chevron U.S.A. Inc.,78
1,1/30/1993,Chevron U.S.A. Inc.,78
1,3/14/2013,"DCOR, L.L.C.",2531
1,8/2/2016 1:39:45 PM,"DCOR, L.L.C.",2531
1,6/24/1998,Chevron U.S.A. Inc.,78
1,3/13/1989,Chevron U.S.A. Inc.,78
3,7/22/1993,Chevron U.S.A. Inc.,78
1,5/3/2004,Exxon Mobil Corporation,276
1,12/16/1991,Union Oil Company of California,3
1,2/7/2004,Aera Energy LLC,1954
1,1/18/2007,Plains Exploration & Production Company (PXP),2702
1,7/11/2002,Nuevo Energy Company,1546
1,4/14/2004,Nuevo Energy Company,1546
11,1/26/1988,Exxon Mobil Corporation,276
1,7/10/2005,"DCOR, L.L.C.",2531
1,12/4/2006,Aera Energy LLC,1954
