INCCOUNT,INC_ISSUE_DATE,BUS_ASC_NAME,MMS_COMPANY_NUM
1,3/4/1987,Seagull Energy E&P Inc.,672
1,8/10/2017 8:08:24 AM,Fieldwood Energy LLC,3295
2,5/15/1997,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,540
1,12/5/1998,El Paso Production Company,236
1,8/19/1997,Shell Offshore Inc.,689
1,2/26/1990,Taylor Energy Company,774
8,11/24/1993,"SOCO Offshore, Inc.",748
1,6/2/2011,Sabine Oil & Gas Corporation,48
1,3/4/2005,Bois d'Arc Offshore Ltd.,2268
1,5/19/1987,Kerr-McGee Corporation,35
2,2/7/2013,"MC Offshore Petroleum, LLC",2957
1,1/5/1999,El Paso Production Company,236
2,7/30/2012 10:45:00 AM,ANKOR Energy LLC,3059
1,9/24/2009,GOM Shelf LLC,2451
1,5/2/2021 11:43:19 AM,McMoRan Oil & Gas LLC,2312
1,9/1/2000 10:00:00 AM,Samedan Oil Corporation,185
1,6/19/2002,Anadarko E&P Company LP,148
1,7/22/1988,Atlantic Richfield Company,967
1,10/26/1995,Newfield Exploration Company,1364
1,6/12/2020,"Sanare Energy Partners, LLC",3520
1,4/11/2019,"W & T Offshore, Inc.",1284
1,3/15/1993,El Paso Production GOM Inc.,1138
1,5/4/2004,Chevron U.S.A. Inc.,78
1,7/29/1991,Energy Development Corporation,415
1,8/7/2000,"PennzEnergy Exploration and Production, L.L.C.",2332
1,3/11/1997,Union Oil Company of California,3
1,7/9/2014,"Black Elk Energy Offshore Operations, LLC",3033
1,1/31/2024 8:12:51 AM,"Cox Operating, L.L.C.",3151
1,10/30/2002,El Paso Production GOM Inc.,1138
1,6/4/1997,UMC Petroleum Corporation,1643
1,3/27/2002,"Vastar Offshore, Inc.",2316
1,3/5/1990,Conoco Inc.,1
1,4/20/2010 1:50:00 PM,"El Paso Field Services, L.P.",2599
1,12/29/2005,JX Nippon Oil Exploration (U.S.A.) Limited,1482
2,10/12/1993,"Torch Energy Services, Inc.",1099
1,1/8/2015 6:30:00 AM,BP Exploration & Production Inc.,2481
1,8/9/2001,Denbury Resources Inc.,2416
2,5/23/2003,Mission Resources Corporation,2189
1,5/1/2014,Monforte Exploration L.L.C.,2800
1,7/21/2003,Talos Petroleum LLC,1834
4,7/28/1993,Union Oil Company of California,3
1,7/23/2015 11:10:58 AM,Fieldwood Energy LLC,3295
1,11/26/2018 1:00:00 PM,Fieldwood Energy LLC,3295
3,1/4/2010,"Hilcorp Energy GOM, LLC",3041
1,6/15/2012,"Mariner Energy, Inc.",818
1,12/15/2021 9:58:34 AM,"Cox Operating, L.L.C.",3151
3,8/23/1991,"SOCO Offshore, Inc.",748
1,9/20/1991,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,540
1,7/18/2005,Talos Petroleum LLC,1834
1,6/27/1996,CanadianOxy Offshore Production Co.,369
1,3/7/2014,"Contango Operators, LLC",2503
1,7/26/2017 1:03:24 PM,"Energy XXI GOM, LLC",2375
2,6/15/2000,Freeport-McMoRan Energy LLC,2313
1,3/9/1992,ConocoPhillips Company,56
1,11/29/2011,"Energy XXI GOM, LLC",2375
2,3/27/2017 11:55:43 AM,Fieldwood Energy LLC,3295
2,10/11/2019 1:23:36 PM,Fieldwood Energy Offshore LLC,3035
2,10/8/2008,Walter Oil & Gas Corporation,730
2,4/1/2015 1:00:00 PM,"Black Elk Energy Offshore Operations, LLC",3033
4,4/4/1992,"SOCO Offshore, Inc.",748
9,11/22/1996,"Matrix Oil & Gas, Inc.",1687
1,12/14/2005,"Century Exploration New Orleans, LLC",2714
2,4/12/2007,Offshore Shelf LLC,2859
1,1/6/2015,Walter Oil & Gas Corporation,730
1,4/5/2018 1:47:42 PM,Fieldwood Energy LLC,3295
1,6/29/2018 11:59:14 AM,Fieldwood Energy LLC,3295
1,4/17/1996,"Pioneer Natural Resources USA, Inc.",1935
2,5/19/1993,Shell Offshore Inc.,689
1,11/5/1991,Mobil Exploration and Producing North America Inc.,1055
1,6/4/1990,Aquila Energy Resources Corporation,1512
1,2/7/1998,Shell Frontier Oil & Gas Inc.,1728
1,9/2/2014,"Energy XXI GOM, LLC",2375
1,6/28/2018 11:14:01 AM,GOM Shelf LLC,2451
1,8/26/1988,Eni Petroleum Co. Inc.,162
5,2/13/1998,Shell Offshore Inc.,689
1,5/18/2011,Talos ERT LLC,2899
1,3/28/2013,Gateway Offshore Pipeline Company  LLC,2257
1,12/5/2023 11:16:28 AM,"W & T Offshore, Inc.",1284
3,11/3/1999,Chieftain International (U.S.) Inc.,1385
2,5/1/2000,Murphy Exploration & Production Company,1689
4,5/6/2005,Apache Corporation,105
2,9/14/2005,Apache Corporation,105
1,7/27/2017 10:01:57 AM,Chevron U.S.A. Inc.,78
1,4/30/2001,Exxon Mobil Corporation,276
1,3/18/1993,"Torch Energy Services, Inc.",1099
2,12/3/2019,"Arena Offshore, LP",2628
1,9/6/2023 1:37:53 PM,Talos ERT LLC,2899
7,5/27/1999,Anadarko Petroleum Corporation,981
2,8/24/2011,Exxon Mobil Corporation,276
2,1/7/2019 3:54:04 PM,Fieldwood Energy LLC,3295
3,8/7/1996,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,540
1,8/15/1991,Pennzoil Exploration and Production Company,1291
1,4/18/1996,"Dominion Exploration & Production, Inc.",282
2,12/3/2003,Exxon Mobil Corporation,276
1,3/20/2019 2:05:12 PM,Fieldwood Energy LLC,3295
3,10/23/2000,Apache Corporation,105
1,9/1/2005,BP Exploration & Production Inc.,2481
1,8/8/2011,"Black Elk Energy Offshore Operations, LLC",3033
1,12/10/2003,Hunt Oil Company,64
4,12/9/1994,Chevron U.S.A. Inc.,78
