LEASE_NUMBER,AREA_CODE,BLOCK_NUM,LEASE_STATUS_CD,LEASE_EFF_DATE,LEASE_EXPIR_DATE,BLK_MAX_WTR_DPTH
G06110,GA,357,EXPIR,10/1/1983,9/30/1988,28
G11328,GA,A  57,RELINQ,12/1/1989,9/28/1992,37
G01402,GA,A  75,RELINQ,1/1/1966,11/10/1966,42
G01420,GA,A 164,RELINQ,1/1/1966,1/2/1968,55
G11459,GB,151,RELINQ,10/1/1989,9/30/1993,210
G12633,GB,158,EXPIR,10/1/1990,9/30/1995,414
G10334,GB,163,EXPIR,10/1/1988,9/30/1993,485
G15844,GB,163,EXPIR,2/1/1996,1/31/2001,485
G11475,GB,239,RELINQ,12/1/1989,11/26/1993,243
G10343,GB,241,EXPIR,12/1/1988,11/30/1993,378
G19088,GB,241,EXPIR,1/1/1998,12/31/2002,378
G10345,GB,245,RELINQ,10/1/1988,9/28/1993,698
G19090,GB,252,RELINQ,1/1/1998,12/6/2002,461
G19107,GB,339,RELINQ,1/1/1998,12/13/2002,712
G10352,GB,415,EXPIR,10/1/1988,9/30/1993,714
G15898,GB,451,RELINQ,11/1/1995,10/28/1999,548
G17376,GB,485,EXPIR,2/1/1997,1/31/2005,817
G11536,GB,508,RELINQ,10/1/1989,9/30/1998,1105
G19148,GB,657,EXPIR,12/1/1997,11/30/2007,1429
G17424,GB,774,EXPIR,1/1/1997,12/31/2006,1269
G17444,GB,851,EXPIR,11/1/1996,10/31/2006,1390
G11586,GB,856,RELINQ,10/1/1989,9/29/1994,1467
G20023,GC,27,RELINQ,8/1/1998,7/21/2003,538
G15543,GC,105,RELINQ,9/1/1995,8/18/2000,620
G14668,GC,108,UNIT,7/1/1994,,521
G07022,GC,152,EXPIR,6/1/1984,5/31/1989,641
G14669,GC,152,RELINQ,7/1/1994,6/30/1999,641
G07054,GC,287,EXPIR,6/1/1984,5/31/1994,975
G15569,GC,287,EXPIR,7/1/1995,6/30/2005,975
G16738,GC,377,EXPIR,9/1/1996,8/31/2006,1180
G12231,GC,447,EXPIR,5/1/1990,4/30/2000,1170
G20075,GC,529,EXPIR,8/1/1998,7/31/2008,1052
G18426,GC,708,EXPIR,8/1/1997,7/31/2007,1512
G18442,GC,813,EXPIR,8/1/1997,7/31/2007,1773
G16818,GC,853,EXPIR,7/1/1996,6/30/2006,1820
G20104,GC,876,RELINQ,5/1/1998,4/21/2003,2347
G16840,GC,956,EXPIR,6/1/1996,5/31/2006,2346
G20116,GC,961,RELINQ,5/1/1998,4/21/2003,2411
G12049,GI,77,EXPIR,5/1/1990,4/30/1995,54
G09073,HI,48,EXPIR,10/1/1987,9/30/1992,12
G01815,HI,72,EXPIR,7/1/1968,4/24/1979,12
G07276,HI,114,RELINQ,10/1/1984,12/28/1987,14
G06155,HI,115,EXPIR,10/1/1983,9/30/1988,14
G14165,HI,A  18,EXPIR,11/1/1993,10/31/1998,19
G21346,HI,A  18,TERMIN,12/1/1999,2/9/2005,19
G14875,HI,A  24,EXPIR,12/1/1994,11/30/1999,19
 00634,HI,A 101,RELINQ,9/1/1955,8/30/1957,27
G03240,HI,A 155,RELINQ,9/1/1975,8/27/1979,41
G02737,HI,A 316,EXPIR,7/1/1974,6/30/1979,68
G13347,HI,A 399,RELINQ,10/1/1991,4/29/1993,136
G19450,KC,1,RELINQ,1/1/1998,11/13/2006,1335
G10382,KC,6,EXPIR,11/1/1988,10/31/1998,1346
G17581,KC,79,EXPIR,11/1/1996,10/31/2006,1716
G17586,KC,124,EXPIR,1/1/1997,12/31/2006,1833
G19496,KC,141,RELINQ,12/1/1997,11/13/2006,1377
G19507,KC,166,EXPIR,10/1/1997,9/30/2007,1964
G11653,KC,422,RELINQ,10/1/1989,9/29/1994,2253
G22358,KC,428,EXPIR,12/1/2000,11/30/2010,1977
G19576,KC,473,EXPIR,12/1/1997,11/30/2007,2184
