AUTH_TYPE_CODE,AUTH_NUMBER,COMPLEX_ID_NUM,STRUCTURE_NUMBER,AREA_CODE,BLOCK_NUMBER,STRUCTURE_NAME,PLT_REMOVAL_DCOM_P50,PLT_REMOVAL_DCOM_P70,PLT_REMOVAL_DCOM_P90,PLT_REMOVAL_DCOM_INDTR,PLT_SITE_CLRNC_DCOM_P50,PLT_SITE_CLRNC_DCOM_P70,PLT_SITE_CLRNC_DCOM_P90,PLT_SITE_CLRNC_DCOM_INDTR,EFFECTIVE_DATE
LSE,G07963,24199,1,MC,  807,A (Mars),0,0,0,22640044,0,0,0,700000,7/26/2016 10:28:13 AM
LSE,G02062,27065,1,EC,  334,D,1834019,2107909,2512296,0,141388,229808,452872,0,8/5/2020
LSE, 00438,26105,1,EI,  175,H,0,0,0,0,141388,229808,452872,0,8/31/2023 1:04:18 PM
LSE, 00438,26136,1,EI,  175,I,0,0,0,0,53182,101789,195080,0,12/19/2023 11:29:11 AM
LSE,G06093,28051,1,GA,  209,B,1315014,1765095,2431016,0,141388,229808,452872,0,8/5/2020
LSE,G09524,27021,1,VR,  371,A,3433551,3884163,4540842,0,141388,229808,452872,0,8/5/2020
RUE,G30366,28020,1,HI,A 442,A,2138301,2588913,3245592,0,141388,229808,452872,0,8/5/2020
LSE,G09514,27028,1,VR,  332,A,2625315,3075927,3732606,0,141388,229808,452872,0,8/5/2020
LSE, 00127,24255,1,GI,   39,Q,583666,767814,1035635,0,53182,101789,195080,0,8/5/2020
LSE,G09743,24201,1,VK,  817,A,0,0,0,18327325,367866,428568,531409,0,8/5/2020
RUE,G30413,24201,1,VK,  817,A,0,0,0,18327325,367866,428568,531409,0,6/6/2022 8:39:56 AM
LSE, 00310,27047,1,SM,  239,178,224766,408914,676735,0,53182,101789,195080,0,8/5/2020
LSE, 00310,27048,1,SM,  239,179,0,0,0,0,53182,101789,195080,0,8/5/2020
LSE,G01522,32026,1,SS,  206,E,1392237,1842849,2499528,0,141388,229808,452872,0,8/5/2020
LSE,G37176,26138,1,EI,  354,D,3257397,3708009,4364688,0,141388,229808,452872,0,4/22/2024 10:24:31 AM
LSE,G10780,26123,1,SS,  243,A,1920699,2371311,3027990,0,141388,229808,452872,0,8/5/2020
LSE,G12349,32011,1,SS,   87,M,551465,825355,1229742,0,141388,229808,452872,0,10/13/2023 10:38:45 AM
ROW,G29630,27032,1,GB,   72,A,0,0,0,11202215,295714,356416,459257,0,7/11/2023 4:00:05 PM
LSE,G01608,20285,2,SP,   60,D,3709949,4159499,4834662,0,141388,229808,452872,0,8/5/2020
LSE, 00796,26111,1,EI,  100,38,260656,444804,712625,0,53182,101789,195080,0,8/5/2020
LSE, 00310,24042,1,SM,  238,171,203232,387380,655201,0,53182,101789,195080,0,8/5/2020
LSE, 00253,29030,1,WC,  149,4,375504,559652,827473,0,53182,101789,195080,0,8/5/2020
RUE,G30267,24108,1,ST,   68,CAISS. #1,540598,724746,992567,0,53182,101789,195080,0,8/5/2020
RUE,G30415,24108,1,ST,   68,CAISS. #1,540598,724746,992567,0,53182,101789,195080,0,8/23/2023 5:18:36 PM
LSE, 00385,21273,3,WD,   29,F,2223262,3122361,4472688,0,141388,229808,452872,0,8/5/2020
