SN_WAR_FK,BUS_ASC_NAME,OPERATIONS_COMPLETED_DATE,TOOL_LOGGING_METHOD_NAME,LOG_INTV_TOP_MD,LOG_INTV_BOTM_MD,SN_OPEN_HOLE
-294641,SCHLUMBERGER,3/25/2017,MWD/LWD,30733,30891,-13348
-297866,SCHLUMBERGER,6/17/2017,MWD/LWD,21549,26972,-13461
-298840,SCHLUMBERGER,7/15/2017,MWD/LWD,30730,31646,-13496
-298840,SCHLUMBERGER,7/15/2017,WIRELINE,27990,31646,-13497
-302561,SCHLUMBERGER,9/4/2017,MWD/LWD,29918,33390,-13594
-311598,SCHLUMBERGER,6/23/2018,MWD/LWD,8722,10041,23117
-311598,SCHLUMBERGER,7/6/2018,MWD/LWD,10041,11218,23118
-311598,SCHLUMBERGER,7/14/2018,MWD/LWD,11218,12081,23119
-311598,SCHLUMBERGER,7/17/2018,MWD/LWD,12081,13640,23120
-317371,SCHLUMBERGER,1/24/2019,MWD/LWD,9273,11550,23385
-325277,SCHLUMBERGER,10/12/2019,WIRELINE,18607,23220,-14600
-326821,SCHLUMBERGER,12/2/2019,MWD/LWD,7052,7082,-14650
-326821,SCHLUMBERGER,12/2/2019,MWD/LWD,1604,7081,-14651
-326821,SCHLUMBERGER,12/2/2019,MWD/LWD,1604,7081,-14652
-359020,SCHLUMBERGER,1/19/2021,MWD/LWD,4308,6025,24364
-359020,SCHLUMBERGER,1/22/2021,MWD/LWD,6025,7245,24365
-359020,SCHLUMBERGER,4/28/2021,MWD/LWD,7245,10800,24366
-359020,SCHLUMBERGER,5/6/2021,MWD/LWD,10800,20957,24367
-359020,SCHLUMBERGER,5/15/2021,MWD/LWD,20957,22701,24368
-359020,SCHLUMBERGER,5/22/2021,MWD/LWD,22701,31430,24369
-359020,SCHLUMBERGER,5/23/2021,MWD/LWD,31430,31512,24370
-359020,SCHLUMBERGER,6/3/2021,WIRELINE,31050,31502,24372
-359020,SCHLUMBERGER,6/5/2021,WIRELINE,22904,31325,24375
-279430,SCHLUMBERGER,12/12/2015,MWD/LWD,21800,32318,-12597
-280616,SCHLUMBERGER,1/8/2016,WIRELINE,31275,32400,-12658
-280616,SCHLUMBERGER,1/6/2016,WIRELINE,31755,32723,-12659
-280926,SCHLUMBERGER,1/10/2016,WIRELINE,31784,32723,-12661
-283311,SCHLUMBERGER,3/13/2016,WIRELINE,27720,28390,22222
-291744,SCHLUMBERGER,11/7/2016,MWD/LWD,5353,28642,22402
-291744,SCHLUMBERGER,11/7/2016,MWD/LWD,5820,28642,22403
-291744,SCHLUMBERGER,11/7/2016,MWD/LWD,25365,28642,22404
-293325,SCHLUMBERGER,11/28/2016,WIRELINE,24356,26957,-13161
-293325,SCHLUMBERGER,12/1/2016,WIRELINE,24356,26957,-13163
-293371,SCHLUMBERGER,1/27/2017,MWD/LWD,7360,10622,-13264
-295261,SCHLUMBERGER,4/1/2017,WIRELINE,30073,30891,22563
-295261,SCHLUMBERGER,4/3/2017,WIRELINE,30073,30891,22564
-300539,SCHLUMBERGER,8/23/2017,WIRELINE,23000,23046,-13563
-300539,SCHLUMBERGER,8/22/2017,WIRELINE,23005,23607,-13562
-300539,SCHLUMBERGER,8/24/2017,WIRELINE,22694,23694,-13564
-305649,SCHLUMBERGER,1/20/2018,MWD/LWD,8775,10878,-13766
-305649,SCHLUMBERGER,1/20/2018,MWD/LWD,6850,8775,-13765
-306340,SCHLUMBERGER,2/5/2018,WIRELINE,25325,26725,-13807
-306547,SCHLUMBERGER,7/16/2017,WIRELINE,31000,31207,-13809
-313312,SCHLUMBERGER,9/1/2018,MWD/LWD,10624,13025,-14050
-321133,SCHLUMBERGER,6/12/2019,MWD/LWD,6104,9415,-14439
-321307,SCHLUMBERGER,6/22/2019,MWD/LWD,9415,15604,-14438
-322742,SCHLUMBERGER,7/27/2019,WIRELINE,10720,20855,23653
-325167,SCHLUMBERGER,10/12/2019,WIRELINE,30367,31340,-14597
-324788,SCHLUMBERGER,10/2/2019,MWD/LWD,7508,33077,-14599
-326507,SCHLUMBERGER,10/3/2019,MWD/LWD,22222,24920,23809
-326507,SCHLUMBERGER,11/15/2019,MWD/LWD,24920,25569,23810
-342500,SCHLUMBERGER,2/20/2021,MWD/LWD,15274,18750,24254
-342500,SCHLUMBERGER,2/27/2021,MWD/LWD,18750,24127,24255
-342500,SCHLUMBERGER,2/28/2021,MWD/LWD,24127,24207,24256
-338642,SCHLUMBERGER,1/16/2020,WIRELINE,24518,25049,24257
-349595,SCHLUMBERGER,4/20/2021,MWD/LWD,23089,25109,24345
-363379,SCHLUMBERGER,5/11/2021,MWD/LWD,23789,24720,24380
-363379,SCHLUMBERGER,12/30/2020,MWD/LWD,8750,12555,24377
-363379,SCHLUMBERGER,4/23/2021,MWD/LWD,12555,19792,24378
-363379,SCHLUMBERGER,5/7/2021,MWD/LWD,19792,23789,24379
-363379,SCHLUMBERGER,5/15/2021,MWD/LWD,24720,25030,24381
-363379,SCHLUMBERGER,5/29/2021,MWD/LWD,25030,26908,24382
-363379,SCHLUMBERGER,5/30/2021,MWD/LWD,26908,26923,24383
-363379,SCHLUMBERGER,6/21/2021,MWD/LWD,26923,26942,24384
-361891,SCHLUMBERGER,5/22/2021,MUD,22217,23919,-15048
-363982,SCHLUMBERGER,7/16/2021,MWD/LWD,11400,11737,-15067
-363982,SCHLUMBERGER,7/16/2021,MUD,11400,11738,-15068
-366410,SCHLUMBERGER,7/23/2021,MWD/LWD,5890,6911,-15074
-364341,SCHLUMBERGER,6/27/2021,MWD/LWD,7496,9902,24402
-373020,SCHLUMBERGER,8/4/2021,MWD/LWD,6872,9118,24444
-373020,SCHLUMBERGER,8/16/2021,MWD/LWD,9118,13160,24445
-373793,SCHLUMBERGER,9/27/2021,MWD/LWD,17562,17978,24449
-372020,SCHLUMBERGER,8/2/2021,MWD/LWD,15299,15409,24450
-372020,SCHLUMBERGER,8/2/2021,MWD/LWD,15409,17434,24451
-280452,SCHLUMBERGER,12/26/2015,MWD/LWD,26018,26550,-12616
-286826,SCHLUMBERGER,6/5/2016,MWD/LWD,4664,24890,-12952
-286826,SCHLUMBERGER,6/6/2016,MWD/LWD,20323,24890,-12953
-287945,SCHLUMBERGER,6/12/2016,WIRELINE,22600,26025,22317
-287945,SCHLUMBERGER,6/21/2016,WIRELINE,28029,30592,22318
-287945,SCHLUMBERGER,6/22/2016,WIRELINE,29943,30234,22319
-287945,SCHLUMBERGER,6/24/2016,WIRELINE,28547,30180,22320
-287945,SCHLUMBERGER,7/11/2016,WIRELINE,31284,31591,22321
-292625,SCHLUMBERGER,12/27/2016,MWD/LWD,7170,11302,22453
-293295,SCHLUMBERGER,1/21/2017,MWD/LWD,8331,10637,22553
-296080,SCHLUMBERGER,5/6/2017,MWD/LWD,4504,4535,-13391
-296080,SCHLUMBERGER,5/6/2017,MWD/LWD,4535,8365,-13392
-296847,SCHLUMBERGER,2/12/2017,MWD/LWD,7452,29401,-13407
-296848,SCHLUMBERGER,2/22/2017,WIRELINE,27831,29148,-13410
-296848,SCHLUMBERGER,2/21/2017,WIRELINE,25580,29386,-13409
-296637,SCHLUMBERGER,5/5/2017,WIRELINE,18332,19960,22604
-296637,SCHLUMBERGER,5/5/2017,WIRELINE,19395,19862,22605
-300676,SCHLUMBERGER,8/8/2017,WIRELINE,15826,19878,22737
-300676,SCHLUMBERGER,8/20/2017,WIRELINE,15826,20100,22738
-300676,SCHLUMBERGER,8/23/2017,WIRELINE,16544,19248,22739
-300676,SCHLUMBERGER,8/23/2017,WIRELINE,16015,18164,22740
-300676,SCHLUMBERGER,8/2/2017,MWD/LWD,11226,12351,22741
-300676,SCHLUMBERGER,8/2/2017,MWD/LWD,12641,15544,22742
-299091,SCHLUMBERGER,7/22/2017,MWD/LWD,28420,28817,22743
-299320,SCHLUMBERGER,7/25/2017,MWD/LWD,28817,29072,22744
-299320,SCHLUMBERGER,7/29/2017,MWD/LWD,29072,29810,22745
