SN_EOR_FK,SN_EOR_WELL_COMP,INTERVAL,COMP_LEASE_NUMBER,COMP_AREA_CODE,COMP_BLOCK_NUMBER,COMP_STATUS_CD
-3475,-747,D5,G03520,WC,  498,OSI
-2377,-749,D2, 00016,WD,   31,OSI
-3025,-753,S4,G01146,VR,  245,PGW
-2608,-754,S1,G01153,VR,  256,PGW
-3834,-767,S2,G22794,MP,  109,PGW
-3387,-777,S1,G17815,WC,  598,GSI
-3590,-782,S3,G02111,EI,  314,PGW
-1132,-311,S1,G25965,EC,  235,GSI
-629,-319,S1,G03336,ST,   35,GSI
-2036,-327,S1, 00020,ST,   67,PGW
-1954,-349,S2,G06166,HI,  194,PGW
-1683,-355,S8, 00297,VR,   26,PGW
-1619,-357,D1,G02721,HI,A 595,PGW
-1589,-360,S3,G06166,HI,  194,GSI
-1810,-366,D3,G21089,VR,  172,PGW
-1808,-410,D3,G02572,VR,  331,OSI
-1736,-419,S1,G06655,EC,  346,POW
-2505,-463,S3, 00374,MP,   41,POW
-1786,-456,S1,G16644,MC,  728,POW
-1538,-479,S1,G21108,SM,  195,GSI
-248,-520,S1,G02719,HI,A 582,POW
-2116,-532,S1,G02006,WC,  504,PGW
-2526,-566,S3,G01520,SS,  204,PGW
-2457,-582,S3,G02624,ST,   36,POW
-2139,-598,S1, 00820,SS,  169,POW
-2769,-617,S2,G01860,WC,   66,PGW
-2422,-624,S1,G15097,WC,  494,PGW
-2137,-346,S9,G06156,HI,  116,PGW
-2034,-356,S2,G02316,SM,  288,PGW
-1583,-420,S4,G02184,SP,   77,POW
-2091,-452,S4,G01031,SS,  253,POW
-3426,-615,S2,G02826,WC,   66,PGW
-3610,-632,S5, 00196,EI,   32,POW
-2260,-637,D3,G05517,EI,  325,PGW
-3288,-641,S2,G18948,HI,   84,PGW
-2564,-642,S3,G02636,MC,  192,PGW
-2684,-651,S1, 00758,WC,  165,PGW
-1956,-655,S3,G05040,EI,  316,PGW
-2261,-661,S2,G05517,EI,  325,PGW
-2529,-671,S2, 00133,GI,   47,PGW
-2397,-677,S1,G00983,EI,  252,PGW
-2964,-682,S1,G16520,MP,  312,OSI
-2338,-687,D1,G05171,MI,  682,PGW
-2098,-715,S1,G01022,SS,  218,GSI
-3225,-720,S3,G02689,HI,A 469,PGW
-3481,-729,S1,G12119,VK,  786,WIW
-2113,-733,S1,G21534,WC,   57,PGW
-1929,-758,S1,G22699,SS,   90,GSI
-2302,-811,S3,G03171,PL,   13,POW
-3902,-844,S2,G02392,HI,A 572,PGW
-4520,-897,S2, 00577,EI,  208,POW
-3793,-887,S5, 00310,SM,  218,PGW
-1472,-369,D5,G01244,ST,   72,PGW
-2033,-381,S2,G03786,EI,  372,POW
-2264,-387,S2, 00310,SM,  238,POW
-2102,-395,S4,G03520,WC,  498,POW
-2306,-397,D1,G01619,SP,   93,PGW
-2339,-435,S3,G04078,HI,   39,PGW
-2307,-441,D6,G01244,ST,   72,PGW
-2111,-470,S1,G23730,WC,   21,GSI
-2739,-472,S3,G04903,MP,   30,PGW
-1493,-487,S3,G08641,EC,   83,PGW
-2182,-522,S5,G02111,EI,  314,POW
-2278,-546,S1,G19001,EB,  430,OSI
-1948,-567,S1,G16520,MP,  312,OSI
-2050,-639,S1, 00263,ST,   21,POW
-1785,-571,S1,G19996,MC,  773,POW
-2623,-592,S1, 00034,GI,   23,GLO
-2823,-602,S3, 00375,MP,   42,OSI
-2943,-603,S1,G01860,WC,   66,PGW
-581,-610,S1,G16107,WC,   43,OSI
-2726,-644,S2,G01372,BS,   55,POW
-3384,-664,S3,G02663,BA,A  70,GSI
-2303,-675,S1,G10741,EI,  253,POW
-3431,-676,S8,G12355,SS,  198,PGW
-548,-304,S1,G25566,HI,A   1,GSI
-1542,-314,S2,G02937,WD,  109,POW
-1390,-318,S1,G04234,PL,    1,POW
-1536,-405,D2,G01619,SP,   93,PGW
-2095,-418,S1,G21581,EC,  282,PGW
-2185,-449,S6,G09086,HI,  200,GSI
-2297,-498,S2,G01477,EC,   81,PGW
-2523,-515,S1,G03935,BA,  451,GSI
-2519,-518,S3,G19855,MP,   93,GSI
-2745,-553,D3,G02826,WC,   66,PGW
-2163,-576,S1,G16644,MC,  728,POW
-3734,-680,S1,G05612,ST,  205,GSI
-2338,-688,D2,G05171,MI,  682,GSI
-3024,-748,S1,G22542,WC,  328,PGW
-2377,-750,D3, 00016,WD,   31,OSI
-4054,-717,S2,G02280,SM,  130,PGW
-3977,-756,S4,G02163,GI,   94,PGW
-3730,-760,S1,G19939,MC,  348,PGW
-2247,-773,S1,G16535,VK,  113,PGW
-3732,-776,S2,G04081,HI,A 550,PGW
-1750,-342,S3,G04143,SX,   17,PGW
-1619,-375,D2,G02721,HI,A 595,PGW
-1700,-417,S1, 00820,SS,  169,POW
-2092,-448,S1,G02393,HI,A 573,POW
-2075,-455,S5,G17966,EI,  106,GSI
