SN_EOR_FK,CASING_SIZE,CASING_CUT_DATE,CASING_CUT_METHOD_CD,CASING_CUT_DEPTH,CASING_CUT_MDL_IND
-113720,24.0,10/15/2010,M,25,BELOW
-114912,9.62,3/2/2011,M,10,BELOW
-114912,13.37,3/2/2011,M,10,BELOW
-114912,20.0,3/2/2011,M,10,BELOW
-114912,30.0,3/2/2011,M,10,BELOW
-115923,10.75,1/13/2007,M,22,BELOW
-115923,30.0,1/12/2007,M,27,BELOW
-116686,30.0,5/8/2011,M,15,BELOW
-116690,20.0,5/10/2011,M,15,BELOW
-116691,30.0,5/8/2011,M,15,BELOW
-116506,10.75,4/14/2011,M,10,ABOVE
-116506,26.0,4/14/2011,M,10,ABOVE
-116508,13.375,4/13/2011,M,10,ABOVE
-116508,20.0,4/13/2011,M,10,ABOVE
-116508,26.0,4/13/2011,M,10,ABOVE
-116510,10.75,4/13/2011,M,10,ABOVE
-116510,16.0,4/13/2011,M,10,ABOVE
-116510,26.0,4/13/2011,M,10,ABOVE
-116509,10.75,4/13/2011,M,10,ABOVE
-116509,26.0,4/13/2011,M,10,ABOVE
-116507,10.75,4/13/2011,M,10,ABOVE
-116507,26.0,4/13/2011,M,10,ABOVE
-116642,24.0,5/3/2011,E,20,BELOW
-116278,10.75,4/13/2011,E,25,BELOW
-116278,16.0,4/13/2011,E,25,BELOW
-116278,30.0,4/18/2011,E,15,BELOW
-116788,26.0,5/8/2011,E,16,BELOW
-116792,26.0,5/8/2011,E,16,BELOW
-116792,16.0,5/8/2011,E,16,BELOW
-116792,10.75,5/8/2011,E,16,BELOW
-116792,7.625,5/8/2011,E,16,BELOW
-116789,16.0,5/8/2011,E,16,BELOW
-116789,10.75,5/8/2011,E,16,BELOW
-116793,30.0,5/8/2011,E,16,BELOW
-116793,16.0,5/8/2011,E,16,BELOW
-116793,10.75,5/8/2011,E,16,BELOW
-116794,26.0,5/8/2011,E,16,BELOW
-116794,22.0,5/8/2011,E,16,BELOW
-116794,16.0,5/8/2011,E,16,BELOW
-116794,10.75,5/8/2011,E,16,BELOW
-116443,10.375,5/30/2011,M,35,BELOW
-116443,26.0,5/30/2011,M,35,BELOW
-116962,30.0,5/30/2011,M,99,ABOVE
-116962,20.0,5/30/2011,M,99,ABOVE
-116962,13.375,5/30/2011,M,99,ABOVE
-116963,26.0,5/31/2011,M,99,ABOVE
-116970,26.0,5/29/2011,M,99,ABOVE
-116974,26.0,5/29/2011,M,99,ABOVE
-116974,20.0,5/29/2011,M,99,ABOVE
-116974,13.375,5/29/2011,M,99,ABOVE
-116974,9.875,5/29/2011,M,99,ABOVE
-115144,13.375,4/7/2011,M,24,BELOW
-115144,20.0,4/8/2011,M,24,BELOW
-115144,30.0,4/9/2011,M,24,BELOW
-115143,9.625,5/9/2011,M,35,BELOW
-115143,13.375,5/9/2011,M,35,BELOW
-115143,20.0,5/9/2011,M,35,BELOW
-115143,30.0,5/9/2011,M,35,BELOW
-116376,13.375,5/28/2011,E,20,BELOW
-116376,9.625,5/28/2011,E,20,BELOW
-116376,7.0,5/28/2011,E,20,BELOW
-116377,26.0,5/28/2011,E,20,BELOW
-116377,16.0,5/28/2011,E,20,BELOW
-116377,10.75,5/28/2011,E,20,BELOW
-117636,7.0,6/24/2011,E,16,BELOW
-117636,10.75,6/24/2011,E,16,BELOW
-117636,16.0,6/24/2011,E,16,BELOW
-117636,26.0,6/24/2011,E,16,BELOW
-117637,26.0,6/24/2011,E,16,BELOW
-117637,16.0,6/24/2011,E,16,BELOW
-117637,10.75,6/24/2011,E,16,BELOW
-117638,26.0,6/24/2011,E,16,BELOW
-117638,16.0,6/24/2011,E,16,BELOW
-117639,26.0,6/24/2011,E,16,BELOW
-117639,16.0,6/24/2011,E,16,BELOW
-117639,10.75,6/24/2011,E,16,BELOW
-117639,7.0,6/24/2011,E,16,BELOW
-117640,26.0,6/24/2011,E,16,BELOW
-117640,20.0,6/24/2011,E,16,BELOW
-117640,13.375,6/24/2011,E,16,BELOW
-117640,9.625,6/24/2011,E,16,BELOW
-117641,26.0,6/24/2011,E,16,BELOW
-117641,16.0,6/24/2011,E,16,BELOW
-117641,10.75,6/24/2011,E,16,BELOW
-117641,7.625,6/24/2011,E,16,BELOW
-117642,26.0,6/24/2011,E,16,BELOW
-117642,16.0,6/24/2011,E,16,BELOW
-117643,26.0,6/24/2011,E,16,BELOW
-117643,16.0,6/24/2011,E,16,BELOW
-117644,10.75,6/24/2011,E,16,BELOW
-117644,16.0,6/24/2011,E,16,BELOW
-117644,26.0,6/24/2011,E,16,BELOW
-117445,13.375,6/14/2011,E,15,BELOW
-117445,20.0,6/14/2011,E,15,BELOW
-117445,30.0,6/14/2011,E,15,BELOW
-117502,9.625,6/17/2011,E,15,BELOW
-117502,13.375,6/17/2011,E,15,BELOW
-117502,48.0,6/19/2011,M,15,BELOW
-117502,30.0,6/20/2011,M,15,BELOW
-117501,10.75,6/17/2011,E,15,BELOW
