SN_EOR,EOR_OPERATION_CD,API_WELL_NUMBER,WELL_NAME,WELL_NM_ST_SFIX,WELL_NM_BP_SFIX,MMS_COMPANY_NUM,BUS_ASC_NAME,BOTM_LEASE_NUMBER,BOTM_AREA_CODE,BOTM_BLOCK_NUMBER,SURF_LEASE_NUMBER,SURF_AREA_CODE,SURF_BLOCK_NUMBER,BOREHOLE_STAT_CD,BOREHOLE_STAT_DT,OPERATIONAL_NARRATIVE,SUBSEA_COMPLETION_FLAG,SUBSEA_PROTECTION_FLAG,SUBSEA_COMPLETION_BUOY_FLAG,SUBSEA_TREE_HEIGHT_AML,OBSTRUCTION_PROTECTION_FLAG,OBSTRUCTION_TYPE_CD,OBSTRUCTION_BUOY_FLAG,OBSTRUCTION_HEIGHT_AML
-168823,A,427114089101,A019,0,1,3035,Fieldwood Energy Offshore LLC,G02735,HI,A309,G02735,HI,A309,PA,7/11/2017,Permanent Abandonment,NO,NO,NO,,NO,,NO,
-168916,A,177024107700,A002,0,0,2628,"Arena Offshore, LP",G14342,WC,544,G14342,WC,544,TA,8/2/2017,Temporarily abandon wellbore by isolating the B-4 and B-1 Sands.,NO,NO,NO,,NO,,NO,
-169001,W,177254078802,C006,1,1,1284,"W & T Offshore, Inc.",G16493,MP,61,G16493,MP,61,COM,5/25/2014,Gas Lift Modification Completed 7/27/2017,NO,NO,NO,,,,,
-169003,A,177014038800,B001,0,0,2222,"PetroQuest Energy, L.L.C.",G07619,WC,401,G07619,WC,401,PA,7/19/2017,,NO,YES,YES,,NO,,NO,
-168299,A,177154104700,B002,0,0,3035,Fieldwood Energy Offshore LLC,G12020,ST,179,G12020,ST,179,TA,6/30/2017,Operations to temporarily abandon the well were completed on 06/30/2017.,NO,NO,NO,,NO,,NO,
-165692,A,177032004501,CF002,1,0,3033,"Black Elk Energy Offshore Operations, LLC",G01972,EC,33,G01972,EC,33,PA,9/29/2016,,,,YES,,NO,,NO,
-165693,A,177032005000,CF003,0,0,3033,"Black Elk Energy Offshore Operations, LLC",G01972,EC,33,G01972,EC,33,PA,9/28/2016,,NO,NO,NO,,NO,,NO,
-165694,A,177032005101,CF004,1,0,3033,"Black Elk Energy Offshore Operations, LLC",G01972,EC,33,G01972,EC,33,PA,9/28/2016,,NO,NO,NO,,NO,,NO,
-165695,A,177034088700,CF005,0,0,3033,"Black Elk Energy Offshore Operations, LLC",G01972,EC,33,G01972,EC,33,PA,9/28/2016,,NO,NO,NO,,NO,,NO,
-165891,C,608124009400,DC101,0,0,276,Exxon Mobil Corporation,G20351,WR,584,G20351,WR,584,COM,10/7/2015,"Per Bobby Nelson's request on 10/17/16, EOR is being submitted to reflect open FIV per approved APM on 04/11/16; see attached update WBS. ",YES,YES,NO,15.0,NO,,NO,
-172136,A,608074066701,A003,1,0,981,Anadarko Petroleum Corporation,G17408,GB,669,G17407,GB,668,PA,5/7/2018,,NO,NO,YES,,NO,CS,NO,13.0
-168308,A,177114102500,E007,0,0,2899,Talos ERT LLC,G01984,SS,225,G01984,SS,225,TA,6/2/2017,Zonal isolation of the DQ-A perforations. Operations took place from 5/27/2017 - 6/2/2017.,NO,NO,NO,,NO,,NO,
-168329,A,177004088200,C001,0,0,1284,"W & T Offshore, Inc.",G03265,WC,198,G03265,WC,198,PA,6/9/2017,,NO,NO,NO,,NO,,NO,
-168330,A,177004105700,C003,0,0,1284,"W & T Offshore, Inc.",G03265,WC,198,G03265,WC,198,PA,6/9/2017,,NO,NO,NO,,NO,,NO,
-168331,A,177090071701,C013,1,0,2628,"Arena Offshore, LP",G00983,EI,252,G00983,EI,252,TA,7/27/2017,TA to surface.,,,YES,,NO,,NO,
-168332,A,177104156500,B002,0,0,2661,"Howard Energy Co., Inc.",G03569,EI,294,G03569,EI,294,PA,5/9/2017,,,,YES,,NO,,NO,
-168338,A,177090070803,C016,3,0,2628,"Arena Offshore, LP",G00983,EI,252,G00983,EI,252,TA,7/25/2017,TA to surface.,,,YES,,NO,,NO,
-168340,A,177094129200,E009,0,0,2628,"Arena Offshore, LP",G00982,EI,238,G00982,EI,238,TA,2/17/2012,Temporary abandonment; plugged to surface.,NO,NO,NO,,NO,,NO,
-172034,A,608114031900,A008,0,0,981,Anadarko Petroleum Corporation,G11080,GC,644,G11081,GC,645,ST,3/12/2018,,NO,NO,NO,,,,,
-172153,W,177084082800,A017,0,0,2451,GOM Shelf LLC,G03776,SM,106,G03776,SM,106,COM,9/16/1996,Operations to punch an orifice button were completed on 04/29/2018.,NO,NO,NO,,NO,,NO,
-172142,C,177094112002,H005,1,1,105,Apache Corporation, 00438,EI,175, 00438,EI,175,COM,6/12/2008,Operations to change zones to the JD Sand were completed on 04/13/2018.,NO,NO,NO,,,,,
-172143,W,177094104103,C029,1,2,3670,"White Fleet Operating, LLC",G00985,EI,259,G00985,EI,259,COM,5/19/2007,Gas lift modification operations completed 4/19/2018,NO,NO,NO,,NO,,NO,
-172567,C,177104117100,D010,0,1,3748,Natural Resources Worldwide LLC,G02324,EI,361,G03783,EI,353,COM,2/13/1986,,NO,NO,NO,,NO,,NO,
-172687,A,608174028600,A033,0,0,276,Exxon Mobil Corporation,G03605,MC,324,G03818,MC,280,TA,3/1/2017,All cement plugs and Dry Hole Tree have been installed.  Casing cutting operations to commence at a later date.  ,NO,NO,NO,,YES,,NO,
-172729,A,427064043800,A004,0,0,3295,Fieldwood Energy LLC,G15740,GA,151,G15740,GA,151,PA,5/17/2018,Permanent Abandonment,NO,NO,NO,,NO,,NO,
-172735,A,427094059400,A012,0,0,2894,"Bandon Oil and Gas, LP",G02359,HI,A446,G02359,HI,A446,TA,12/5/2018,Operations to temporarily abandon the well were completed as proposed on 12/05/2018.,NO,NO,NO,,NO,,NO,
-172736,A,427094060900,A014,0,0,2894,"Bandon Oil and Gas, LP",G02359,HI,A446,G02359,HI,A446,TA,12/7/2018,Operations to temporarily abandon the well were suspended on 12/07/2018.  All zones were isolated but the surface plug has not been set.,NO,NO,NO,,NO,,NO,
-172747,A,177154091000,K001,0,0,2899,Talos ERT LLC, 00599,ST,63, 00599,ST,63,PA,6/2/2018,,NO,NO,NO,,NO,,NO,
-171650,A,177004025700,A004,0,0,3295,Fieldwood Energy LLC, 00758,WC,165, 00758,WC,165,TA,6/8/2018,Operations to temporarily abandon the well were completed on 06/08/2018.,NO,NO,NO,,NO,,NO,
-173459,A,177254052200,B006,0,0,3035,Fieldwood Energy Offshore LLC,G03419,MP,116,G03419,MP,116,PA,7/6/2018,Permanent Abandonment,NO,NO,NO,,NO,,NO,
-173464,O,177104076400,A001,0,0,2628,"Arena Offshore, LP",G02914,EI,341,G02914,EI,341,TA,7/7/2018,Zonal Isolation and tubing spool replacement,NO,NO,NO,,NO,,NO,
-173465,O,177094111902,I009,2,0,2628,"Arena Offshore, LP",G00983,EI,252,G00983,EI,252,COM,8/9/2006,Tree valve repair - No changes,NO,NO,NO,,NO,,NO,
-173468,A,177184004001,A002,1,0,3295,Fieldwood Energy LLC,G04003,GI,90,G04003,GI,90,PA,6/24/2018,Permanent Abandonment,NO,NO,NO,,NO,,NO,
-173471,A,177184003101,C004,1,0,105,Apache Corporation,G02628,GI,93,G02628,GI,93,PA,8/26/2002,Permanent Abandonment,NO,NO,NO,,NO,,NO,
-173473,A,177184003300,C006,0,0,105,Apache Corporation,G02628,GI,93,G02628,GI,93,PA,7/6/2018,Permanent Abandonment,NO,NO,NO,,NO,,NO,
-173474,A,177184009901,C008,1,0,105,Apache Corporation,G02628,GI,93,G02628,GI,93,PA,7/8/2018,Permanent Abandonment,NO,YES,NO,,NO,,NO,
-173475,A,177124003800,B005,0,0,3209,"Renaissance Offshore, LLC",G01036,SS,269,G01036,SS,269,TA,7/3/2018,Zonal Isolation.,NO,NO,NO,,NO,,NO,
-173476,A,177184011000,C010,0,0,3295,Fieldwood Energy LLC,G04003,GI,90,G02628,GI,93,PA,7/5/2018,Permanent Abandonment,NO,,YES,,NO,,NO,
-173477,O,177104081800,A005,0,2,2628,"Arena Offshore, LP",G02914,EI,341,G02914,EI,341,TA,7/3/1981,Tubing spool replacement - no change to WBS.,NO,NO,NO,,NO,,NO,
-174375,C,177104008001,B003,1,0,2628,"Arena Offshore, LP",G02115,EI,330,G02115,EI,330,COM,2/19/1986,Operations to change zones to the HB-1 Sand were completed on 10/01/2018.,NO,NO,NO,,NO,,NO,
-174454,A,608174108201,BF003,1,0,78,Chevron U.S.A. Inc.,G16641,MC,696,G16641,MC,696,BP,11/17/2018,,NO,,YES,,,,,
-174547,A,177004007900,A010,0,0,276,Exxon Mobil Corporation,G01997,WC,171,G01997,WC,171,PA,10/15/2018,,NO,NO,NO,,NO,,NO,
-174927,W,177224021001,D002,1,0,105,Apache Corporation,G07799,SP,87,G07799,SP,87,COM,11/23/1999,CT Cleanout. SCP Remediation,NO,NO,NO,,NO,,NO,
-174929,A,608174139600,IW002,0,0,689,Shell Offshore Inc.,G26252,MC,391,G26252,MC,391,PA,11/9/2018,,,,YES,,NO,,NO,0.0
-166322,C,177024121000,B010,0,0,3151,"Cox Operating, L.L.C.",G03520,WC,498,G03520,WC,498,COM,8/4/1998,"Modify Perforations - Closed the lower sliding sleeve of the producing L-4 sand to eliminate water production.

Operation Completed 12/10/2016",NO,NO,NO,,NO,,NO,
-166328,A,177094060000,011,0,0,2970,"Castex Offshore, Inc.", 00317,EI,47, 00317,EI,47,PA,12/16/2016,,NO,NO,NO,,NO,,NO,
-166337,A,427034023801,A006,1,0,105,Apache Corporation,G04547,MI,668,G04547,MI,668,PA,12/15/2016,,NO,NO,NO,,NO,,NO,
-166338,A,427034026300,A007,0,1,105,Apache Corporation,G04547,MI,668,G04547,MI,668,PA,12/15/2016,,NO,NO,NO,,NO,,NO,
-166374,A,177034092800,C003,0,0,3026,"Talos Energy Ventures, LLC",G01477,EC,81,G14356,EC,84,TA,1/5/2017,,,,YES,,YES,CS,NO,99.0
-166375,W,177154097100,B030,0,0,3151,"Cox Operating, L.L.C.", 00020,ST,67, 00020,ST,67,COM,12/12/1999,"Revised gas lift design on recent completion in the G-7 Sand.  

Operations completed 12/15/2016.",NO,NO,NO,,NO,,NO,
-167769,O,177084029700,A040,0,0,2899,Talos ERT LLC,G02281,SM,131,G02280,SM,130,COM,12/14/1978,Operations to remove and replace tree were completed 4/23/2017.,NO,NO,NO,,NO,,NO,
-166378,O,177004130000,B001,0,0,3026,"Talos Energy Ventures, LLC",G32113,WC,266,G32112,WC,265,COM,11/2/2009,Completed modifications to the perforations in the G-1 Sand on 12/27/2016 (Gas cap).,NO,NO,NO,,,,,
-167770,O,177114154200,C017,0,0,1284,"W & T Offshore, Inc.", 00830,SS,229, 00830,SS,229,COM,4/20/2011,APM was approved to replace the dummy valve at 4981' with a live valve. The operation was unsuccessful and the dummy remains at 4981',NO,NO,NO,,,,,
