OWNER_ALIQUOT_CD,ASGN_EFF_DATE,MMS_COMPANY_NUM,ASGN_APRV_DATE,LEASE_NUMBER,MMS_START_DATE,ASSIGNMENT_PCT,OWNER_ALQT_DESC,ALIQUOT_AREA
1,6/11/1992,1125,9/23/1993,G10661,3/17/1987,0.833,,
1,6/11/1992,1203,9/23/1993,G10661,11/9/1987,5.0,,
1,6/11/1992,1205,9/23/1993,G10661,11/10/1987,5.0,,
1,6/11/1992,1334,9/23/1993,G10661,12/1/1988,50.0,,
1,6/11/1992,1715,9/23/1993,G10661,8/18/1992,26.667,,
1,9/10/1992,554,12/2/1993,G10661,6/26/1979,2.5,,
1,9/10/1992,739,12/2/1993,G10661,6/30/1982,10.0,,
1,9/10/1992,1125,12/2/1993,G10661,3/17/1987,0.833,,
1,9/10/1992,1203,12/2/1993,G10661,11/9/1987,5.0,,
1,9/10/1992,1205,12/2/1993,G10661,11/10/1987,5.0,,
1,9/10/1992,1334,12/2/1993,G10661,11/16/1993,50.0,,
1,9/10/1992,1597,12/2/1993,G10661,1/30/1991,26.667,,
1,12/31/1993,83,6/13/1994,G10661,11/11/1961,50.0,,
1,12/31/1993,554,6/13/1994,G10661,6/26/1979,2.5,,
1,12/31/1993,739,6/13/1994,G10661,6/30/1982,10.0,,
1,12/31/1993,1125,6/13/1994,G10661,3/17/1987,0.833,,
1,12/31/1993,1203,6/13/1994,G10661,11/9/1987,5.0,,
1,12/31/1993,1205,6/13/1994,G10661,11/10/1987,5.0,,
1,12/31/1993,1597,6/13/1994,G10661,1/30/1991,26.667,,
1,5/1/1994,83,1/5/1995,G10661,11/11/1961,50.0,,
1,5/1/1994,554,1/5/1995,G10661,6/26/1979,2.5,,
1,5/1/1994,739,1/5/1995,G10661,6/30/1982,10.0,,
1,5/1/1994,1125,1/5/1995,G10661,3/17/1987,0.833,,
1,5/1/1994,1203,1/5/1995,G10661,11/9/1987,5.0,,
1,5/1/1994,1205,1/5/1995,G10661,11/10/1987,5.0,,
1,5/1/1994,1888,1/5/1995,G10661,5/16/1994,26.667,,
1,11/17/1998,83,1/8/1999,G10661,11/11/1961,50.0,,
1,11/17/1998,554,1/8/1999,G10661,6/26/1979,2.5,,
1,11/17/1998,739,1/8/1999,G10661,6/30/1982,10.0,,
1,11/17/1998,1125,1/8/1999,G10661,3/17/1987,0.833,,
1,11/17/1998,1203,1/8/1999,G10661,11/9/1987,5.0,,
1,11/17/1998,1205,1/8/1999,G10661,11/10/1987,5.0,,
1,11/17/1998,2312,1/8/1999,G10661,10/16/1998,26.667,,
1,1/12/1999,83,5/5/1999,G10661,11/11/1961,50.0,,
1,1/12/1999,554,5/5/1999,G10661,6/26/1979,2.5,,
1,1/12/1999,739,5/5/1999,G10661,6/30/1982,10.0,,
1,1/12/1999,1203,5/5/1999,G10661,11/9/1987,5.0,,
1,1/12/1999,1205,5/5/1999,G10661,11/10/1987,5.0,,
1,1/12/1999,2312,5/5/1999,G10661,10/16/1998,26.667,,
1,1/12/1999,2334,5/5/1999,G10661,12/23/1998,0.833,,
1,5/1/1989,582,5/1/1989,G10662,3/24/1980,100.0,,
1,9/20/1989,280,6/8/1990,G10662,12/8/1972,50.0,,
1,9/20/1989,582,6/8/1990,G10662,3/24/1980,25.0,,
1,9/20/1989,1342,6/8/1990,G10662,11/9/1988,25.0,,
1,3/20/1990,280,11/7/1991,G10662,12/8/1972,35.0,,
1,3/20/1990,582,11/7/1991,G10662,3/8/1991,25.0,,
1,3/20/1990,1342,11/7/1991,G10662,11/9/1988,25.0,,
1,3/20/1990,1511,11/7/1991,G10662,3/2/1990,15.0,,
1,3/20/1990,280,11/7/1991 1:00:00 AM,G10662,12/8/1972,35.0,,
1,3/20/1990,582,11/7/1991 1:00:00 AM,G10662,3/8/1991,10.0,,
1,3/20/1990,1342,11/7/1991 1:00:00 AM,G10662,11/9/1988,25.0,,
1,3/20/1990,1501,11/7/1991 1:00:00 AM,G10662,1/8/1990,15.0,,
1,3/20/1990,1511,11/7/1991 1:00:00 AM,G10662,3/2/1990,15.0,,
1,1/1/1992,280,4/23/1992,G10662,12/8/1972,35.0,,
1,1/1/1992,582,4/23/1992,G10662,3/8/1991,25.0,,
1,1/1/1992,1342,4/23/1992,G10662,11/9/1988,25.0,,
1,1/1/1992,1501,4/23/1992,G10662,1/8/1990,15.0,,
1,7/1/1992,280,11/10/1992,G10662,12/8/1972,35.0,,
1,7/1/1992,582,11/10/1992,G10662,3/8/1991,25.0,,
1,7/1/1992,1342,11/10/1992,G10662,11/9/1988,25.0,,
1,7/1/1992,1674,11/10/1992,G10662,2/11/1992,15.0,,
1,9/9/1993,280,10/27/1993,G10662,12/8/1972,35.0,,
1,9/9/1993,582,10/27/1993,G10662,3/8/1991,25.0,,
1,9/9/1993,1342,10/27/1993,G10662,11/9/1988,25.0,,
1,9/9/1993,1831,10/27/1993,G10662,10/27/1993,15.0,,
