PLAN_CTRL_CD,PLAN_CTRL_NUM,MMS_COMPANY_NUM,BUS_ASC_NAME,PLAN_TYPE_CODE,PLAN_RECV_DATE,PLAN_COORDINATOR
N,8004,2268,Bois d'Arc Offshore Ltd.,DOCD,1/16/2004,KD
N,8005,2058,"LLOG Exploration Offshore, L.L.C.",EP,1/20/2004,EC
S,6340,2605,Badger Oil Corporation,DOCD,1/20/2004,MG
N,1550,59,Hess Corporation,POE,2/10/1984,MJ
R,1230,59,Hess Corporation,POE,10/3/1984,MJ
R,1272,59,Hess Corporation,POE,11/19/1984,MJ
R,1310,59,Hess Corporation,POE,12/31/1984,MJ
R,1176,59,Hess Corporation,POE,8/17/1984,MJ
N,8006,1355,Cabot Oil & Gas Corporation,EP,1/21/2004,MG
N,8007,1364,Newfield Exploration Company,DOCD,1/22/2004,MG
R,3996,689,Shell Offshore Inc.,DOCD,1/22/2004,RS
N,8008,2481,BP Exploration & Production Inc.,EP,1/22/2004,MG
S,6341,2561,"NCX Company, L.L.C.",DOCD,1/23/2004,RS
S,6342,2268,Bois d'Arc Offshore Ltd.,EP,1/23/2004,KD
N,8009,1207,Petrobras America Inc.,EP,1/23/2004,RS
N,8010,2349,"Magnum Hunter Production, Inc.",EP,1/23/2004,KD
N,8011,1207,Petrobras America Inc.,EP,1/23/2004,EC
N,8012,2566,Prime Offshore L.L.C.,DOCD,1/23/2004,MG
N,8013,689,Shell Offshore Inc.,EP,1/26/2004,RS
N,8014,818,"Mariner Energy, Inc.",EP,1/26/2004,KD
N,8015,236,El Paso Production Company,EP,1/26/2004,EC
N,8016,236,El Paso Production Company,EP,1/27/2004,MG
S,6343,687,CNOOC Petroleum U.S.A. Inc.,EP,1/27/2004,EC
S,6344,3,Union Oil Company of California,DOCD,1/27/2004,MG
N,8017,689,Shell Offshore Inc.,EP,1/28/2004,RS
S,6345,78,Chevron U.S.A. Inc.,DOCD,1/28/2004,RS
S,6346,78,Chevron U.S.A. Inc.,EP,1/28/2004,KD
N,8018,687,CNOOC Petroleum U.S.A. Inc.,EP,1/28/2004,KD
S,6347,1364,Newfield Exploration Company,DOCD,1/28/2004,EC
S,6348,1834,Talos Petroleum LLC,DOCD,1/28/2004,MG
S,6349,114,BP America Production Company,DOCD,1/29/2004,RS
N,8019,1704,Remington Oil and Gas Corporation,EP,1/29/2004,EC
N,8020,2349,"Magnum Hunter Production, Inc.",EP,1/29/2004,MG
R,3997,282,"Dominion Exploration & Production, Inc.",EP,1/30/2004,KD
N,8021,730,Walter Oil & Gas Corporation,EP,1/30/2004,RS
S,6350,2111,"Legacy Resources Co., L.P.",DOCD,1/30/2004,KD
R,3998,2268,Bois d'Arc Offshore Ltd.,EP,1/30/2004,MG
S,6351,231,Pogo Producing Company,DOCD,2/2/2004,EC
N,8022,2266,"EPL Oil & Gas, LLC",DOCD,2/2/2004,KD
S,6352,1500,"TotalEnergies E&P USA, Inc.",DOCD,2/3/2004,MG
N,8023,2058,"LLOG Exploration Offshore, L.L.C.",DOCD,2/3/2004,EC
N,8024,2349,"Magnum Hunter Production, Inc.",EP,2/3/2004,MG
S,6353,2579,Tana Exploration Company LLC,DOCD,2/4/2004,RS
R,3999,2268,Bois d'Arc Offshore Ltd.,DOCD,2/4/2004,MG
N,8025,1704,Remington Oil and Gas Corporation,DOCD,2/5/2004,RS
N,8026,687,CNOOC Petroleum U.S.A. Inc.,EP,2/5/2004,KD
S,6354,2058,"LLOG Exploration Offshore, L.L.C.",DOCD,2/5/2004,KD
S,6355,2268,Bois d'Arc Offshore Ltd.,DOCD,2/5/2004,MG
N,8027,1834,Talos Petroleum LLC,EP,2/5/2004,EC
N,8028,282,"Dominion Exploration & Production, Inc.",EP,2/9/2004,MG
R,4001,1834,Talos Petroleum LLC,DOCD,2/10/2004,EC
N,8029,2401,Westport Resources Corporation,EP,2/9/2004,RS
N,8030,231,Pogo Producing Company,DOCD,2/9/2004,KD
N,8031,2349,"Magnum Hunter Production, Inc.",DOCD,2/9/2004,EC
R,4000,2481,BP Exploration & Production Inc.,DOCD,2/9/2004,MT
S,6356,114,BP America Production Company,DOCD,2/10/2004,EC
S,6357,185,Samedan Oil Corporation,EP,2/10/2004,RS
N,8032,818,"Mariner Energy, Inc.",EP,2/10/2004,MG
N,8033,2266,"EPL Oil & Gas, LLC",DOCD,2/10/2004,RS
S,6358,2219,Anadarko US Offshore LLC,DOCD,2/11/2004,KD
R,4002,1364,Newfield Exploration Company,EP,2/11/2004,MT
N,8034,1364,Newfield Exploration Company,EP,2/11/2004,KD
N,8035,2066,"Ridgelake Energy, Inc.",DOCD,2/11/2004,EC
R,4003,689,Shell Offshore Inc.,EP,2/12/2004,RS
S,6359,981,Anadarko Petroleum Corporation,DOCD,2/13/2004,EC
N,8036,1704,Remington Oil and Gas Corporation,DOCD,2/13/2004,MG
N,8037,1963,"Apex Oil & Gas, Inc.",EP,2/13/2004,RS
R,4004,689,Shell Offshore Inc.,DOCD,2/17/2004,KD
R,4005,689,Shell Offshore Inc.,EP,2/17/2004,EC
N,8038,2606,Palace Operating Company,EP,2/17/2004,KD
S,6360,2608,Offshore Energy II LLC,DOCD,2/17/2004,MG
R,4006,78,Chevron U.S.A. Inc.,EP,2/17/2004,MG
R,4007,39,ExxonMobil Oil Corporation,EP,2/17/2004,RS
S,6361,730,Walter Oil & Gas Corporation,EP,2/17/2004,RS
S,6362,2672,Medco Energi US LLC,DOCD,2/18/2004,KD
R,4008,2058,"LLOG Exploration Offshore, L.L.C.",EP,2/18/2004,KD
S,6363,1834,Talos Petroleum LLC,DOCD,2/18/2004,EC
R,4009,2266,"EPL Oil & Gas, LLC",EP,2/19/2004,EC
S,6364,282,"Dominion Exploration & Production, Inc.",DOCD,2/19/2004,MG
R,4010,282,"Dominion Exploration & Production, Inc.",EP,2/19/2004,MG
S,6365,689,Shell Offshore Inc.,EP,2/20/2004,RS
S,6366,2312,McMoRan Oil & Gas LLC,DOCD,2/23/2004,KD
R,4011,2481,BP Exploration & Production Inc.,DOCD,2/23/2004,RS
