INSP_END_DATE,BUS_ASC_NAME,ID_NUMBER,INCCOUNT,MMS_COMPANY_NUM
8/5/1994,"Pacific Operators Offshore, LLC",51001,1,1560
6/23/1993,"Pacific Operators Offshore, LLC",51001,1,1560
8/25/1991,"Pacific Operators Offshore, LLC",51001,1,1560
7/13/1991,"Pacific Operators Offshore, LLC",51001,1,1560
12/23/1985,Exxon Mobil Corporation,85909,1,276
3/4/1987,Oryx Energy Company,90620,1,250
1/15/1987,Oryx Energy Company,90620,1,250
3/18/1988,Chevron U.S.A. Inc.,84011,1,78
3/10/1988,Chevron U.S.A. Inc.,84011,1,78
2/24/1988,Chevron U.S.A. Inc.,84011,1,78
2/10/1988,Chevron U.S.A. Inc.,84011,1,78
2/4/1988,Chevron U.S.A. Inc.,84011,1,78
1/25/1988,Chevron U.S.A. Inc.,84011,1,78
1/21/1988,Chevron U.S.A. Inc.,84011,1,78
1/12/1988,Chevron U.S.A. Inc.,84011,1,78
1/11/1988,Chevron U.S.A. Inc.,84011,1,78
1/6/1988,Chevron U.S.A. Inc.,84011,1,78
12/3/1987,Chevron U.S.A. Inc.,84011,1,78
1/19/1987,Chevron U.S.A. Inc.,84011,1,78
11/28/1989,Exxon Mobil Corporation,85909,1,276
11/4/1989,Exxon Mobil Corporation,85909,1,276
10/4/1989,Exxon Mobil Corporation,85909,1,276
8/11/1987,Union Oil Company of California,51003,1,3
7/22/1987,Union Oil Company of California,51003,1,3
6/30/1987,Union Oil Company of California,51003,1,3
12/22/1986,Union Oil Company of California,51003,1,3
1/14/1997,"Torch Energy Services, Inc.",51004,1,1099
5/7/1996,Union Oil Company of California,51004,1,3
11/22/1995,Union Oil Company of California,51004,1,3
9/14/1995,Union Oil Company of California,51004,1,3
8/24/1995,Union Oil Company of California,51004,1,3
5/8/1995,Union Oil Company of California,51004,1,3
2/17/1995,Union Oil Company of California,51004,1,3
10/6/1994,Union Oil Company of California,51004,1,3
2/4/1994,Union Oil Company of California,51004,1,3
6/3/1993,Union Oil Company of California,51004,1,3
6/2/1993,Union Oil Company of California,51010,1,3
12/4/1992,Union Oil Company of California,51010,1,3
11/16/1992,Union Oil Company of California,51010,1,3
8/10/1992,Union Oil Company of California,51010,1,3
2/5/1992,Union Oil Company of California,51010,1,3
1/13/1992,Union Oil Company of California,51010,1,3
10/27/1990,Union Oil Company of California,51010,1,3
3/9/1990,Union Oil Company of California,51010,1,3
12/5/1989,Union Oil Company of California,51010,1,3
8/26/1989,Union Oil Company of California,51010,1,3
6/14/1987,ConocoPhillips Company,51000,1,56
5/22/1987,ConocoPhillips Company,51000,1,56
5/19/1987,ConocoPhillips Company,51000,1,56
5/4/1987,ConocoPhillips Company,51000,1,56
6/29/1994,Exxon Mobil Corporation,99906,1,276
11/16/1993,Exxon Mobil Corporation,99906,1,276
11/2/1993,Exxon Mobil Corporation,99906,1,276
9/8/1993,Exxon Mobil Corporation,99906,1,276
7/31/1995,"Pacific Operators Offshore, LLC",51000,1,1560
4/6/1995,"Pacific Operators Offshore, LLC",51000,1,1560
3/12/1995,"Pacific Operators Offshore, LLC",51000,1,1560
12/10/1994,"Pacific Operators Offshore, LLC",51000,1,1560
7/12/1994,"Pacific Operators Offshore, LLC",51000,1,1560
1/13/1994,"Pacific Operators Offshore, LLC",51000,1,1560
6/27/1993,"Pacific Operators Offshore, LLC",51000,1,1560
2/3/1993,"Pacific Operators Offshore, LLC",51000,1,1560
3/15/1989,Exxon Mobil Corporation,85909,1,276
12/1/1988,Exxon Mobil Corporation,85909,1,276
11/8/1988,Exxon Mobil Corporation,85909,1,276
11/1/1988,Exxon Mobil Corporation,85909,1,276
1/26/1994,Chevron U.S.A. Inc.,84011,1,78
11/27/1993,Chevron U.S.A. Inc.,84011,1,78
1/20/1989,Chevron U.S.A. Inc.,84011,1,78
1/8/1989,Chevron U.S.A. Inc.,84011,1,78
12/28/1988,Chevron U.S.A. Inc.,84011,1,78
12/19/1988,Chevron U.S.A. Inc.,84011,1,78
12/4/1988,Chevron U.S.A. Inc.,84011,1,78
11/11/1988,Chevron U.S.A. Inc.,84011,1,78
8/25/1988,Chevron U.S.A. Inc.,84011,1,78
8/21/1988,Chevron U.S.A. Inc.,84011,1,78
8/10/1988,Chevron U.S.A. Inc.,84011,1,78
8/9/1988,Chevron U.S.A. Inc.,84011,1,78
8/3/1988,Chevron U.S.A. Inc.,84011,1,78
7/30/1992,Union Oil Company of California,51004,1,3
11/7/1991,Union Oil Company of California,51004,1,3
5/8/1991,Union Oil Company of California,51004,1,3
7/31/1990,Oryx Energy Company,51004,1,250
4/11/1990,Oryx Energy Company,51004,1,250
3/19/1990,Oryx Energy Company,51004,1,250
7/25/1989,Oryx Energy Company,51004,1,250
6/11/1989,Oryx Energy Company,51004,1,250
5/25/1989,Oryx Energy Company,51004,1,250
5/2/1989,Oryx Energy Company,51004,1,250
12/19/1988,Union Oil Company of California,51010,1,3
7/2/1988,Union Oil Company of California,51010,1,3
3/9/1988,Union Oil Company of California,51010,1,3
9/22/1987,Union Oil Company of California,51010,1,3
7/28/1987,Union Oil Company of California,51010,1,3
11/1/1986,Union Oil Company of California,51010,1,3
8/2/1995,Union Oil Company of California,51011,1,3
11/8/1994,Union Oil Company of California,51011,1,3
12/2/1991,"Pacific Operators Offshore, LLC",51000,1,1560
10/15/1991,"Pacific Operators Offshore, LLC",51000,1,1560
6/4/1991,"Pacific Operators Offshore, LLC",51000,1,1560
