ROW_NUMBER,PPL_ROW_PRMTE,BUS_ASC_NAME,ROW_STAT_DATE,ROW_STATUS_CD,WCD_VOLUME,ROW_DESC
G11156,105,Apache Corporation,8/8/2006,RELINQUISHED,,"Cut line, add 375 feet of new pipe, and install a new 4-inch riser.  (Part of partial ROW relinquishment)"
G11157,105,Apache Corporation,10/16/1995,RELINQUISHED,,
G11158,1,Conoco Inc.,2/2/2001,RELINQUISHED,,
G11159,2951,"Williams Gulf Coast Gathering Company, LLC",7/9/2015,RELINQUISHED,,"Pipeline Right-of-way (ROW) OCS-G11159 is a 200-foot wide and approximately 7.27 miles (38,386 feet) long corridor associated with the 16-inch Pipeline Segment No. (PSN) 12558. The purpose of the pipeline ROW-G11159 is to maintain and operate PSN 12558 and to transport gas/condensate originating at a Flange in Block 823, through Blocks 815 and 816, terminating at the Federal/State line in Block 798, all located in the Mustang Island Area."
G11160,967,Atlantic Richfield Company,8/29/1994,RELINQUISHED,,
G11161,967,Atlantic Richfield Company,8/29/1994,RELINQUISHED,,
G11162,11,"Transcontinental Gas Pipe Line Company, LLC",10/24/2008 8:39:33 AM,EXPIRED,,"Pipeline Right-of-way (ROW) OCS-G11162 is a 200-foot wide and approximately 1.65 miles (8,736 feet) long corridor associated with the 4-inch Pipeline Segment No. (PSN) 8753. The purpose of the pipeline ROW OCS-G11162 is to maintain and operate PSN 8753 and to transport gas/condensate originating at Platform A, terminating at a 16-inch SSTI, all located in Vermilion Area Block 115."
G11163,3530,"Avocet LNG, LLC",5/21/2019,RELINQUISHED,,"A pipeline right-of-way 200 feet in width for the operation and maintenance of a 16-inch pipeline, 4.89 miles in length, to transport gas from a Capped End in Block 187, through Block 186, to the HIOS - Valve in Block 167, all located in West Cameron Area."
G11164,208,Columbia Gulf Transmission Company,8/29/1994,RELINQUISHED,,
G11165,14,"Tennessee Gas Pipeline Company, L.L.C.",3/12/2007,RELINQUISHED,,
G11166,846,Hall-Houston Oil Company,8/29/1994,RELINQUISHED,,
G11167,2227,"Enterprise Field Services, LLC",8/7/2007,RELINQUISHED,,
G11168,2227,"Enterprise Field Services, LLC",8/7/2007,RELINQUISHED,,
G11169,2227,"Enterprise Field Services, LLC",8/24/2007,RELINQUISHED,,
G11170,1796,"Manta Ray Gathering Company, L.L.C.",1/31/2019,RELINQUISHED,,"A 16-inch 9.37 mile long pipeline to transport gas/condensate from sub sea 
tie-in in Block 620 through Blocks 603 and 590 to Federal/State Boundary at Block 565, all in Matagorda Island Area. 

"
G11171,2451,GOM Shelf LLC,9/29/2004,RELINQUISHED,,
G11172,295,"Koch Industries, Inc.",4/25/2000,RELINQUISHED,,
G11173,295,"Koch Industries, Inc.",10/6/1994,RELINQUISHED,,
G11174,3203,"Kinetica Partners, LLC",3/22/2018,RELINQUISHED,,"A pipeline right-of-way two-hundred feet (200') in width for the operation and maintenance of an 8 5/8-inch pipeline, 3.81 miles in length, to transport gas from Platform A in Block 271, Vermilion Area, to an 8 5/8-inch subsea tie-in in Block 252, all located in Vermilion Area."
